SA4_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
101,94,94,847,1078,296,1931,122,1196,98,5754,394,552,1730,1325,838,1028,327,1045,139,7369,1827,2985,3192,2089,2233,1295,852,1719,302,16489,3403,3946,2655,2173,2841,1326,1114,1668,351,19478,4366,4255,2962,2548,3971,1592,1490,2217,418,23818,3429,3508,2049,1906,2696,1292,1297,1895,347,18403,1585,834,394,317,589,358,386,507,112,5076,399,105,45,21,47,30,35,67,63,818,61,16,13,0,7,4,4,11,16,131,15560,16298,13869,11455,13513,8856,5624,10321,1839,97339
102,122,162,1154,1454,341,3162,254,1834,134,8614,645,1225,2701,2433,1157,2173,523,1669,192,12714,2554,5708,5096,3332,3091,2289,1357,2375,416,26212,4167,6541,4681,3261,4249,2135,1724,2501,505,29776,4443,6263,4408,3819,5241,2543,2140,3178,532,32560,2878,4758,2993,2567,4016,2005,1873,2404,408,23909,707,1135,526,427,925,505,450,450,122,5250,109,107,43,18,60,35,31,38,63,496,13,16,7,3,10,4,5,8,21,72,15643,25902,21602,17315,19083,14852,8354,14463,2383,139593
103,107,96,824,796,185,1622,113,1158,106,5009,343,675,1733,1316,569,1121,368,1068,102,7311,1648,3260,3187,1952,1647,1344,1380,1598,217,16228,2563,3387,2537,1794,2240,1109,1673,1652,284,17238,3160,3202,2404,2035,2738,1251,1991,2203,312,19298,2998,2682,1685,1419,2037,934,1547,1871,220,15394,1642,623,377,267,516,258,382,492,134,4687,537,74,45,19,57,37,44,78,70,961,79,11,8,7,7,8,0,10,24,161,13073,14014,12803,9609,10006,7681,7499,10131,1468,86287
104,44,33,375,497,123,1255,65,772,50,3217,184,311,843,706,321,624,164,634,70,3854,843,1638,1513,1112,914,736,497,1119,124,8497,1330,2222,1495,1208,1460,843,597,1056,189,10404,1716,2383,1526,1632,1805,991,836,1434,181,12501,1498,2196,1197,1347,1503,825,807,1248,153,10772,524,467,219,162,347,180,215,267,61,2444,126,34,24,11,28,26,14,35,37,337,20,5,0,0,4,0,0,6,15,53,6279,9300,7189,6679,6504,5475,3200,6575,880,52076
105,59,41,380,373,87,836,52,514,50,2380,216,404,868,711,316,499,213,582,48,3864,1005,1967,1547,1298,937,716,689,1040,165,9369,1446,1688,1154,1142,1045,611,689,882,143,8796,1973,1586,1114,1300,1415,648,911,1130,164,10236,1928,1253,899,915,1124,601,817,1024,157,8713,953,298,224,176,236,155,246,304,69,2672,325,35,41,16,33,21,21,40,35,558,62,3,10,3,4,7,3,5,16,119,7964,7271,6232,5931,5210,4091,3641,5519,860,46707
106,117,105,1054,1169,284,2358,201,1648,103,7038,426,730,2443,1833,951,1496,626,1509,135,10151,1792,3537,5141,2532,2465,1801,2494,2349,279,22380,2689,3809,4368,2432,3119,1634,3074,2346,400,23858,3185,3590,3941,2621,3605,1781,3368,2709,411,25217,2368,3014,2335,1665,2383,1249,2396,2017,278,17702,876,656,370,244,566,287,434,413,103,3948,225,71,34,11,47,38,35,59,45,561,44,9,4,4,4,9,8,3,19,104,11715,15517,19692,12507,13430,10649,12637,13055,1771,110966
107,104,202,1225,1365,358,2526,213,1454,103,7545,554,1739,2778,2802,1449,2096,480,1453,185,13546,2342,6825,4740,3338,3299,1973,1441,1900,438,26295,3567,7021,4181,3013,4052,1855,2017,2053,444,28201,3810,5966,3882,3181,4514,1987,2352,2475,437,28614,2363,4434,2466,1944,2906,1280,1792,1885,233,19307,464,834,360,281,510,248,294,327,88,3404,58,100,31,19,37,21,25,40,45,370,8,11,0,3,7,3,3,0,20,53,13274,27129,19665,15952,17128,11985,8621,11586,1987,127331
108,68,54,579,750,129,1750,106,1044,83,4568,261,435,1132,931,394,803,244,860,83,5143,940,2221,2085,1522,1156,1101,621,1362,178,11183,1774,2810,2222,1864,1853,1236,833,1467,219,14276,2335,3326,2437,2427,2585,1562,1321,2140,273,18402,2148,3208,1954,1941,2064,1332,1159,1875,233,15919,965,704,349,292,550,314,298,419,123,4002,232,73,33,17,55,22,27,49,72,573,32,6,6,3,3,7,3,6,20,88,8759,12837,10790,9745,8787,8128,4608,9221,1279,74160
109,78,60,504,484,117,1070,68,657,54,3084,220,383,988,776,333,599,218,660,73,4253,1060,1899,1654,1063,913,696,578,1094,103,9060,1749,1865,1303,998,1268,642,657,1012,128,9631,2119,1794,1291,1160,1599,782,934,1255,160,11089,1971,1539,1029,861,1313,692,899,1256,169,9721,831,367,214,173,311,193,274,297,88,2746,220,37,20,8,30,23,25,42,32,442,51,6,3,3,3,3,0,0,11,79,8295,7941,6996,5535,5890,4703,3666,6272,812,50100
110,101,86,652,618,179,1562,141,1061,103,4495,386,625,1239,979,496,870,376,1172,79,6223,1517,2717,2362,1562,1394,1127,1030,2050,207,13967,2381,2921,1855,1562,1795,964,1101,1731,226,14543,3127,2948,1820,1687,2344,1149,1454,2085,250,16864,3045,2470,1531,1262,1832,871,1255,1786,242,14285,1719,575,338,237,442,233,384,471,132,4535,536,57,44,19,52,27,38,70,76,920,75,8,3,10,13,3,3,8,19,150,12886,12417,9848,7934,8550,6801,5784,10442,1331,75985
