SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
604,5,3,11,172,94,265,8,3,9,4,6,14,27,63,86,16211,14455,30664,1058,1255,2318,402,10,417,210,42,255,118,30,152,259,85,342,863,798,1662,19330,16856,36187,0,0,0,0,0,0,0,0,0,4,3,13,0,3,3,0,0,0,6,7,15,0,0,0,0,0,0,14,3,22,3,6,9,4,5,7,22,16,38,146,56,202,180,82,256,0,0,4,0,3,3,6,3,14,7,9,19,1011,1092,2098,2142,3104,5249,274,251,528,22943,21395,44336
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,7,0,7,33,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,38,9,47
699,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
701,16,16,38,2857,1265,4126,13,3,16,7,6,12,92,86,183,24842,21360,46207,1838,2538,4374,368,9,375,865,177,1043,929,571,1503,528,175,701,1487,1348,2831,33845,27563,61403,4,0,4,0,0,0,0,0,0,7,6,18,0,0,0,0,0,0,13,8,24,0,0,0,0,0,0,790,136,929,76,107,183,125,24,150,995,271,1260,362,203,560,1364,480,1843,4,3,7,43,27,65,23,16,35,63,44,109,638,1105,1742,2499,2937,5439,471,351,824,38883,32474,71357
702,4,4,9,449,234,689,15,5,22,0,3,3,48,50,97,8223,7322,15546,1163,1362,2529,157,11,171,250,83,335,601,438,1036,295,139,435,2646,3056,5705,13859,12712,26572,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,5,3,4,8,0,0,0,24,7,30,5,10,15,11,3,19,47,27,69,191,146,335,239,175,417,3,0,3,8,13,16,18,18,39,29,26,64,417,476,886,1004,1165,2167,331,315,650,15882,14868,30752
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,22,4,28
799,0,0,0,57,12,64,0,0,0,0,0,0,0,0,0,79,48,127,19,21,42,6,0,6,6,0,6,4,6,15,19,21,39,66,78,142,259,193,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,5,9,14,26,40,41,75,8,3,9,320,252,574
801,97,51,147,5930,6279,12208,23,12,41,25,24,50,192,126,315,69387,61288,130677,4114,8191,12306,954,20,976,1767,207,1971,3726,1632,5358,736,324,1057,4985,4297,9288,91935,82452,174389,17,9,23,0,0,0,3,0,4,47,26,72,0,3,8,11,0,9,78,43,119,0,3,3,3,0,4,406,457,865,254,422,683,159,130,290,826,1018,1839,941,654,1599,1841,1715,3555,24,19,44,91,80,173,61,25,83,173,125,300,2730,3577,6309,7293,12376,19668,638,568,1201,104617,100807,205419
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,8,14,19,0,0,0,0,0,0,0,0,0,51,49,104,3,11,16,3,0,3,0,0,0,4,5,10,0,0,3,10,9,18,89,87,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,19,0,3,0,102,101,202
901,4,0,4,28,21,51,28,13,37,0,0,0,0,0,3,675,593,1270,53,63,117,62,8,71,41,13,52,13,5,16,20,7,30,88,69,159,1012,803,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,21,0,0,0,0,0,0,0,0,0,0,0,0,11,16,21,19,8,30,28,25,53,0,0,0,6,3,4,5,0,5,7,3,15,33,43,81,63,90,150,26,11,37,1175,970,2151
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,8,11
