SOS_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOS10,1909,4871,12060,10563,9773,5839,1685,394,123,47219,56516,117083,293563,265429,244456,156702,33231,2925,418,1170326,233,743,1542,1587,1809,1321,593,160,22,8012,41,363,2748,2845,2334,1316,199,25,3,9872,3132,8627,28344,34391,36929,25186,4696,444,63,141811,160,998,4567,5547,5211,3358,488,27,0,20356,8450,22088,53755,47750,39918,23378,5087,428,45,200888,1150,5055,19975,23066,19977,12376,2816,298,43,84745,26182,40850,55610,42017,37451,24759,6391,710,71,234039,35783,33514,42883,23549,19160,12273,2628,258,42,170090,1443,6590,25183,29239,31763,22805,4964,377,26,122389,1685,5029,19390,18987,12956,6071,1231,143,16,65497,877,8832,45764,47143,31349,14802,2949,375,103,152186,1037,4131,12640,11109,9424,5948,2210,431,66,46996,2372,18074,71610,62871,43970,26472,8830,1121,123,235440,1538,7612,23094,20541,18948,13121,3304,301,37,88503,1157,7389,33207,37274,36119,23197,4295,326,34,142997,5653,15996,44857,45141,45633,36618,8563,768,55,203288,4741,23483,72430,66247,67996,52498,13002,1164,106,301666,3754,6145,10462,8061,6327,4045,1300,200,27,40320
SOS11,586,672,1351,1633,1691,1446,534,191,75,8178,18684,24991,54374,58176,65711,50184,9982,969,203,283279,586,1421,3112,2762,3026,2646,1349,432,81,15413,129,857,4504,4320,3494,1877,174,15,8,15373,1823,3687,8440,8371,8613,6037,1073,130,16,38184,88,394,1497,1884,2278,1514,162,8,5,7832,2641,5766,12065,10409,10100,7754,1574,126,19,50461,447,1000,2359,2605,2899,2089,539,67,4,12015,9918,8634,12672,11340,11978,9391,2310,238,37,66520,12254,7702,9108,7043,7091,5771,1541,128,16,50648,359,1062,3332,4462,6219,5835,2069,210,8,23566,317,568,1106,1096,1113,897,217,27,3,5352,147,688,2263,2431,2577,1597,389,66,13,10168,267,727,1503,1710,1824,1539,597,100,19,8299,432,1530,4852,5644,5161,4252,1578,195,13,23651,470,1341,3549,4238,5165,4127,1020,106,13,20030,443,1909,8146,10443,11505,7883,1154,84,11,41580,756,2802,9609,12079,13418,11622,2115,183,16,52605,1415,5839,16189,17427,21787,19596,3420,193,34,85897,717,848,1252,1361,1410,1099,395,56,10,7148
SOS12,63,53,129,174,247,172,64,28,8,927,1819,1936,4247,6013,7496,5842,1163,126,21,28657,90,190,433,452,560,565,259,91,15,2664,6,59,250,340,323,206,23,0,0,1208,193,290,567,750,989,710,153,14,0,3666,7,48,134,188,254,198,24,0,0,841,310,541,1120,1358,1409,1051,205,11,3,6014,41,83,192,265,310,216,60,10,0,1175,910,602,874,1060,1262,1039,235,28,3,6008,1182,650,779,724,884,691,199,17,0,5130,55,110,282,540,790,784,275,34,3,2867,32,38,70,111,144,101,26,7,0,521,14,60,167,221,241,184,40,6,0,945,30,62,119,159,190,161,56,4,0,785,44,134,400,607,640,556,194,26,0,2595,39,98,242,425,585,447,117,18,0,1979,54,155,644,1067,1257,874,145,12,4,4202,72,224,784,1308,1554,1360,247,29,3,5583,109,417,1050,1540,2257,2179,357,24,0,7935,80,76,127,169,195,162,49,7,3,870
SOS13,293,305,517,827,1042,827,421,162,21,4411,7037,7696,15297,23148,31203,24468,7270,1350,192,117653,1167,1968,4825,6687,9712,11018,7831,2707,466,46389,60,230,1104,1479,1467,773,120,10,0,5246,807,1124,1842,2650,3548,2728,683,98,10,13491,47,135,390,687,931,554,65,11,0,2814,1428,2292,4073,5339,6087,4382,1050,79,9,24732,246,355,805,1197,1549,1164,336,56,5,5705,3207,2193,2482,3061,4228,3368,905,125,10,19583,3769,1711,1475,1609,2085,1741,498,56,10,12958,161,401,1002,1868,2800,2566,863,84,12,9759,91,155,256,375,536,442,103,13,0,1973,63,233,636,893,1108,725,176,35,0,3867,131,272,466,697,924,686,291,56,3,3529,262,651,1690,2530,3211,2644,1041,109,16,12155,170,361,846,1390,2053,1485,448,62,4,6823,421,886,2084,3530,4714,3047,474,19,9,15184,365,824,2644,4484,6183,5238,1082,73,13,20900,460,1382,3245,4755,7718,7339,1409,96,12,26409,337,316,460,583,758,626,220,32,3,3330
SOS17,0,0,0,3,0,3,0,0,0,7,3,3,17,13,17,11,11,0,0,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,0,0,0,0,16,3,0,3,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,3,7,8,3,3,0,0,18,0,0,0,0,0,0,0,0,0,3
SOS19,3,7,20,15,12,11,0,0,0,72,44,243,451,183,185,151,28,0,0,1291,5,41,58,13,11,10,3,0,0,143,0,0,17,15,5,0,0,0,0,35,7,24,59,36,29,20,0,0,0,173,0,3,8,7,9,3,0,0,0,30,7,59,125,89,65,43,9,0,0,389,0,5,20,20,4,11,3,0,0,63,3,47,76,39,40,22,4,0,0,223,27,108,152,25,24,32,5,0,0,389,0,10,49,44,36,32,6,0,0,175,0,8,18,16,9,7,5,0,0,62,0,10,34,24,22,3,3,0,0,92,0,8,22,6,4,4,3,0,0,51,0,25,84,51,27,22,8,0,0,222,3,18,53,34,20,20,0,0,0,155,33,42,54,37,19,20,3,0,0,207,4,25,46,30,41,24,10,0,0,185,5,20,84,48,62,47,7,0,0,272,5,20,41,21,12,6,3,0,0,107
SOS20,1420,3724,9456,8265,8191,4843,1449,344,123,37811,44871,97775,250151,216973,204562,126611,26320,2176,414,969850,238,852,2231,2146,2176,1467,560,170,25,9862,11,119,1017,1208,1036,632,139,17,7,4182,3553,9133,31856,39365,40908,26281,5050,454,60,156668,137,1047,6151,5741,4548,2555,433,24,9,20636,4953,17459,46287,37717,32395,18769,3959,372,68,161982,1137,4706,16388,18529,17884,10574,2289,250,32,71780,23741,39187,49940,36248,33461,21285,5332,537,66,209799,28605,29686,35101,17818,13915,8264,1666,179,26,135251,894,5791,23815,23437,23913,16490,3656,240,34,98269,1185,3466,13290,12796,9122,4412,789,64,19,45146,409,5238,29119,28114,19309,9089,2075,242,74,93667,584,3197,10276,8048,6821,4286,1540,265,39,35057,1219,12583,58299,51403,35787,20942,7078,841,104,188250,1099,6763,19730,16425,15446,10530,2915,285,28,73229,807,4914,23542,26520,26080,16905,3538,392,39,102734,3886,12307,42415,41090,41212,30970,6611,512,64,179067,2272,17204,64232,57025,56672,41973,9908,782,105,250172,4335,6990,11328,8108,6197,3689,1269,196,32,42137
SOS21,459,583,1052,1243,1416,1131,397,132,41,6465,13820,19830,42841,44430,49483,36835,6857,632,162,214891,367,1051,2396,2372,2317,1925,1049,334,54,11868,9,157,800,775,771,459,68,3,0,3047,1626,3389,7682,8501,9310,6498,1007,78,17,38114,63,356,1387,1433,1960,1416,189,10,7,6826,1947,5327,11305,8841,7990,5537,1060,95,23,42137,338,822,2151,2504,2646,1853,423,47,10,10787,7570,6974,9409,8577,9152,6985,1591,161,29,50447,9071,5600,5529,4314,4176,3193,822,73,20,32805,255,1035,3519,4391,5610,4985,1333,94,23,21243,267,491,1160,1181,1093,763,171,15,3,5143,80,628,2270,2582,2302,1365,261,30,8,9517,135,477,1115,1172,1226,889,308,42,9,5366,322,1297,4316,4583,4004,3094,1060,124,7,18814,273,934,2514,2943,3419,2738,726,95,17,13651,274,1383,5398,6969,7680,5673,1007,74,15,28479,640,2086,7926,9251,9716,8006,1429,87,14,39153,787,4518,13208,13221,16025,14206,2428,158,31,64577,713,834,1258,1316,1248,955,335,42,10,6706
SOS22,34,34,89,115,145,156,41,19,4,646,1013,1279,2935,3873,4984,4045,790,81,30,19026,80,176,408,441,516,512,254,67,10,2466,0,6,81,83,88,74,14,3,0,348,145,240,529,667,822,687,98,11,0,3197,4,23,90,158,180,138,15,4,0,610,177,381,909,921,972,716,120,18,6,4216,24,50,126,194,279,210,43,3,0,935,548,378,575,678,906,737,181,14,5,4020,599,362,430,470,526,468,154,14,0,3025,25,70,249,365,554,567,159,11,0,2002,16,30,49,63,90,69,17,3,0,334,7,27,86,149,154,84,26,0,0,539,11,38,75,92,119,96,35,3,0,471,27,57,213,326,371,356,123,5,5,1489,31,65,213,259,354,303,75,11,0,1311,18,81,360,556,749,604,111,6,0,2483,54,163,557,764,982,840,142,10,6,3522,73,252,711,985,1493,1480,249,10,9,5253,49,56,107,162,156,156,47,11,0,738
SOS23,232,236,360,603,857,691,360,113,18,3467,5555,6209,11737,17297,24636,19491,5490,899,146,91453,920,1568,3938,5438,7708,8833,6000,1941,323,36660,13,71,250,377,455,316,53,12,0,1545,765,1058,1749,2902,4134,3158,744,82,14,14612,30,103,389,554,887,652,95,7,0,2710,1018,1973,3389,4080,4885,3471,724,62,13,19617,184,348,619,971,1317,1013,288,34,4,4770,2738,1734,1845,2317,3293,2556,660,86,16,15238,2934,1310,938,1112,1510,1259,385,39,10,9505,123,339,906,1584,2540,2208,656,57,12,8417,76,109,195,302,431,351,83,5,0,1548,34,157,508,639,893,499,153,19,3,2905,55,170,324,403,510,442,172,18,3,2096,142,460,1221,1925,2357,1817,699,86,6,8717,127,284,595,997,1436,1236,318,36,7,5031,225,598,1471,2263,3214,2328,378,24,9,10500,329,644,1794,2944,4217,3751,697,36,12,14421,270,1198,2793,4036,6426,5932,1073,75,12,21810,317,335,422,553,678,574,210,27,3,3120
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,14,14,10,9,4,0,0,0,50,25,142,304,121,102,80,16,0,0,786,3,13,23,5,10,7,3,0,0,62,0,0,10,5,0,0,0,0,0,17,3,13,39,44,26,7,4,0,0,131,0,0,7,3,3,5,0,0,0,20,4,20,73,51,25,22,4,0,0,199,0,3,16,17,7,10,0,0,0,42,12,21,32,30,23,16,0,0,0,133,21,80,84,25,20,14,5,0,0,245,0,15,45,29,24,18,3,0,0,134,0,4,12,3,6,0,0,0,0,29,0,0,16,11,10,4,0,3,0,45,0,0,11,5,7,0,0,0,0,29,0,8,76,26,11,10,3,0,0,131,0,11,32,11,10,17,4,0,0,89,10,28,33,23,17,19,0,0,0,118,3,10,40,25,14,21,0,0,0,115,0,22,62,39,34,28,0,0,0,189,5,9,31,9,15,7,3,0,0,65
SOS30,1362,2377,5293,5605,5091,3187,982,268,92,24267,47343,77775,169470,164948,160552,101055,20214,1521,214,743094,408,1055,2219,1937,1907,1381,571,122,11,9605,59,573,4974,5573,4172,1923,299,25,7,17598,3269,7271,19281,21800,21872,13580,2631,237,22,89958,130,644,3279,4296,4067,2382,293,20,0,15113,5247,14459,36540,33045,28141,17136,3509,227,26,138335,1078,3144,9046,10531,10327,6277,1449,124,9,41980,22773,27643,32719,25119,24397,16551,4335,326,38,153894,31260,22756,25700,14980,12090,7600,1890,188,30,116489,1047,4501,16086,17515,19892,14658,3816,273,16,77813,1111,2531,5430,4849,4335,2438,452,42,3,21194,466,3091,12911,12939,10179,5412,1180,138,31,46364,910,2965,7301,7146,7290,5394,2231,354,42,33633,1843,9741,29366,29298,22321,13400,4161,412,32,110568,1513,5468,13721,12833,12338,8453,2092,191,17,56624,1120,7515,24647,27809,26371,15274,2232,150,15,105119,3299,9022,27359,34418,36049,24441,4900,370,28,139889,3751,17244,48488,46859,48585,34989,6991,473,36,207424,2916,4072,6373,5484,4585,2862,902,131,13,27341
SOS31,381,426,927,1077,1159,760,308,97,32,5168,11964,15137,34264,35759,38494,25686,4775,503,78,166656,477,1462,3038,2050,2072,1752,797,232,19,11909,252,1318,6492,6437,5355,2628,289,9,4,22793,1199,2208,5240,5303,5193,3598,607,40,12,23399,99,347,1249,1294,1472,950,104,10,4,5522,1223,3031,7061,6464,6015,4410,773,57,5,29037,389,757,1903,2043,2063,1364,258,32,3,8816,6667,4922,6854,6510,6830,4651,1083,118,12,37653,6973,3891,4951,3709,3640,2571,635,71,12,26456,281,935,2948,3626,4880,4064,1092,87,11,17923,181,346,531,478,456,400,95,9,4,2498,107,372,1173,1194,1198,651,126,21,0,4843,220,485,981,1104,1205,1016,365,74,11,5469,353,1033,3022,3058,2764,2051,585,61,6,12935,421,877,2254,2390,2792,2040,483,55,8,11310,254,1152,4141,5087,5691,3830,512,47,0,20715,547,1783,5918,7999,8412,5551,988,64,8,31264,924,3245,8752,9359,11593,9231,1542,84,6,44742,396,337,633,693,653,469,153,38,3,3374
SOS32,59,59,139,189,212,149,71,14,5,899,1563,1778,4121,5475,6675,5120,1032,112,17,25898,158,320,609,571,728,694,348,98,24,3547,29,114,481,588,617,329,47,3,0,2210,152,308,559,683,808,698,114,8,4,3338,9,39,136,162,221,177,15,0,0,769,228,415,932,1135,1252,929,177,9,0,5076,53,75,185,246,290,246,47,3,0,1137,825,490,722,871,1093,878,230,27,3,5140,779,356,561,541,707,604,153,15,0,3716,46,84,368,528,893,811,211,26,0,2964,18,18,43,74,82,67,24,0,0,332,13,48,126,162,170,94,23,4,0,639,17,42,103,123,155,156,65,10,0,674,31,115,316,454,428,343,118,9,0,1812,54,100,226,427,454,408,94,6,0,1774,101,269,803,1111,1394,968,152,16,0,4807,102,289,848,1243,1369,1080,187,19,0,5147,123,320,841,1280,1802,1687,288,19,3,6360,45,37,95,145,159,144,42,9,0,672
