SOS_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
SOS10,5736,14218,2553,1359,2028,1395,1133,1237,426,30087,12215,35101,8276,1792,4357,3151,2966,2667,1185,71706,32409,45308,82923,5715,11342,8214,20551,15453,3198,225119,16143,8047,46269,1558,3075,1928,4635,8429,1146,91231,2094,2053,5844,630,878,678,1356,2568,230,16320,3342,31268,1686,5775,1264,1013,1090,1175,447,47052,3700,18070,1123,2036,1095,731,996,806,237,28797,59425,65707,9200,8710,27306,21467,10666,9250,3549,215272,12969,33624,3242,16167,7256,3689,3132,3298,1326,84706,4516,16743,4424,2117,2407,2789,1407,1829,433,36654,4431,878,15002,2615,1395,1932,3080,2859,351,32540,129,115,273,115,77,111,224,351,59,1453,2039,2607,1809,897,1061,678,1666,1035,530,12323,2280,2146,4462,1275,1203,1353,2991,2959,4108,22780,161426,275883,187084,50770,64729,49120,55891,53916,17227,916055,3785,12236,2967,2307,4751,1819,203,800,344,29215,2741,8876,1144,1093,3842,1176,194,606,351,20033,2602,6699,2107,1257,3151,1458,764,1569,302,19908,1127,5295,1337,536,1312,889,63,227,96,10886,716,1581,918,550,1096,534,98,526,73,6090
SOS11,658,1685,447,203,192,142,117,197,53,3692,644,1382,950,198,285,300,177,398,62,4396,6598,5583,31243,1817,2026,2107,8540,5894,914,64727,4388,890,14434,618,512,670,2131,3119,301,27059,1570,1245,2665,327,380,477,1046,1870,137,9706,741,6089,390,1880,189,180,272,364,98,10220,1281,6194,407,672,243,164,342,266,64,9632,6431,4902,1401,1207,2679,2953,1559,1521,289,22947,1377,3986,606,4853,751,519,521,802,174,13587,448,1459,629,309,198,277,207,329,49,3905,1238,169,4607,700,275,623,1071,1390,101,10167,30,30,38,17,13,29,47,92,16,315,360,344,460,224,145,121,451,308,122,2539,662,328,1693,433,212,491,1257,1494,879,7458,26434,34303,59975,13459,8095,9044,17744,18028,3265,190339,375,1380,523,318,472,180,22,146,30,3452,129,280,95,118,399,135,17,120,21,1315,280,465,460,238,398,261,262,475,32,2872,142,387,223,95,200,128,21,50,13,1257,362,665,436,346,501,297,69,405,22,3104
SOS12,67,175,50,31,24,16,12,30,3,398,57,114,56,14,27,13,17,28,10,331,827,566,3398,170,243,201,996,671,120,7189,552,90,1725,70,62,85,260,384,45,3275,297,122,298,37,49,62,134,231,26,1258,72,494,48,161,12,11,32,31,10,870,168,675,49,61,26,12,24,29,6,1054,639,430,137,91,199,256,132,113,33,2042,159,324,65,522,78,34,37,72,25,1313,55,148,60,25,26,28,12,45,6,402,124,15,437,61,18,45,116,141,12,967,0,0,8,0,3,3,4,5,3,24,41,41,48,15,17,6,51,31,11,254,94,48,222,46,26,46,150,179,99,912,3155,3246,6596,1307,810,827,1984,1982,405,20305,56,149,56,33,64,24,3,18,3,401,16,26,16,13,44,8,0,12,0,141,26,37,56,16,45,26,24,55,0,287,14,48,23,7,24,13,4,8,3,146,58,72,64,46,70,38,18,84,3,460
SOS13,603,766,177,86,94,43,41,118,26,1951,361,509,225,43,96,58,37,87,34,1460,6042,2258,12602,644,814,800,3926,2518,478,30090,3319,345,5829,200,208,257,964,1320,181,12628,5804,845,1326,146,207,273,697,1482,172,10949,468,2176,119,484,67,43,61,93,36,3553,709,1842,181,193,77,52,116,108,27,3301,3591,1895,424,299,736,923,431,435,140,8876,1164,1415,204,1364,263,133,143,227,96,5012,259,494,247,96,57,84,66,133,28,1461,494,55,1076,148,67,154,378,402,29,2806,34,19,13,5,0,3,15,17,4,109,288,130,184,81,59,30,163,134,48,1126,980,187,810,131,92,209,604,619,371,4005,24115,12937,23416,3930,2843,3062,7644,7695,1669,87309,389,703,230,128,301,80,20,76,30,1953,129,152,47,27,183,29,4,30,14,615,230,204,197,80,192,92,72,136,17,1218,102,208,105,27,108,49,12,30,8,656,1017,568,405,263,649,235,66,556,45,3799
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,13,0,0,0,7,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,4,13,7,7,3,0,3,5,0,42,9,21,6,0,3,3,6,4,0,61,26,43,118,5,6,11,57,49,9,317,18,9,80,7,5,5,13,20,0,162,3,6,10,3,0,0,5,8,0,34,7,44,3,11,0,0,3,5,0,77,3,15,5,3,0,0,5,4,0,33,32,55,6,18,21,19,10,26,3,190,11,37,3,26,9,6,10,12,0,111,6,25,3,13,3,0,4,0,0,54,6,3,33,8,0,3,4,11,0,64,0,3,0,3,0,0,0,0,0,10,0,0,3,3,4,0,3,4,0,23,4,3,16,13,0,0,11,16,18,76,126,273,286,117,60,59,131,167,36,1251,0,9,4,9,0,3,0,3,0,30,0,9,3,0,0,0,0,0,0,19,0,10,3,3,0,3,0,3,0,33,0,0,8,0,0,0,0,0,0,9,0,0,8,3,0,3,0,4,0,20
SOS20,5346,12875,2132,1297,1694,1359,903,1212,344,27164,10762,29611,6488,1632,3892,2961,2529,2742,962,61585,27289,37048,66759,4279,8692,6921,15819,14265,2386,183459,11230,6692,43876,1193,2183,1800,3394,6586,888,77841,2025,1585,5046,510,709,647,1022,1780,195,13509,2735,25105,1510,5318,1070,959,870,1157,364,39087,3382,16081,1039,1882,962,711,776,760,202,25802,45469,48473,7116,7015,21807,15765,8892,7678,2316,164529,9318,23932,2798,12264,5743,3313,2731,3226,984,64296,3972,14461,4018,2265,2377,2993,1329,1922,351,33702,3989,803,13578,2527,1364,1906,2871,2909,261,30206,93,84,167,81,68,87,169,265,52,1063,2034,2582,1687,1127,1062,732,1359,960,447,11985,2019,1809,4303,1040,989,1231,2496,2499,3086,19475,129665,221142,160521,42437,52608,41388,45160,47945,12827,753698,3661,12285,2670,2356,4087,2071,175,847,334,28501,2323,7433,1011,1132,3170,1066,155,691,255,17238,2241,5758,1723,1179,2281,1249,648,1495,207,16780,1092,4829,1441,480,1287,966,46,225,78,10434,737,1331,1121,555,1018,592,97,532,87,6071
SOS21,579,1219,270,165,159,121,118,209,45,2879,676,1673,810,145,318,219,188,261,82,4362,5143,4108,21590,1164,1490,1482,5255,4526,625,45368,3358,594,13224,425,382,502,1553,2515,298,22853,1451,885,1941,236,283,328,780,1175,112,7190,543,4543,315,1464,194,134,190,255,60,7705,1025,4920,345,661,247,172,266,240,66,7946,5434,4454,1073,923,2221,1994,1199,1152,242,18701,1034,2477,464,3269,622,426,401,772,131,9593,376,1149,500,264,157,318,197,347,52,3364,884,148,3346,476,225,459,760,1047,85,7433,20,24,29,9,6,12,34,68,11,212,349,345,349,303,149,106,315,247,93,2246,618,281,1366,313,215,360,897,1055,714,5821,21500,26812,45648,9808,6660,6634,12153,13859,2601,145675,344,1138,429,285,434,156,18,118,24,2942,115,267,83,81,292,83,8,58,15,1003,216,355,330,147,297,186,135,383,31,2082,92,318,252,61,165,139,8,44,10,1092,277,451,382,216,376,242,39,310,19,2306
SOS22,59,99,29,8,10,6,7,18,3,244,42,80,37,12,15,18,16,15,6,232,577,328,2212,119,130,143,618,507,70,4711,354,54,1276,38,26,32,173,265,29,2243,288,104,246,35,35,35,116,186,15,1057,42,258,33,113,14,16,12,20,0,501,115,417,34,58,26,14,19,36,8,728,344,239,108,62,118,143,93,90,16,1205,94,187,52,286,42,30,25,59,5,777,36,87,39,10,14,17,19,31,3,245,105,9,290,23,18,23,53,103,3,624,0,0,0,0,3,0,0,5,0,13,32,31,33,31,14,9,22,20,6,213,94,32,169,31,22,38,119,127,78,719,2177,1919,4554,825,502,516,1282,1498,253,13521,40,98,41,25,31,11,0,16,0,262,10,16,3,4,28,9,0,7,3,81,25,33,41,16,33,24,18,40,3,227,13,23,21,8,16,10,3,5,0,100,45,64,58,38,51,23,14,69,0,363
SOS23,471,575,105,57,62,38,52,95,27,1487,301,439,159,40,68,49,37,58,19,1160,4367,1734,9646,463,567,544,2715,1977,380,22401,2289,256,5213,145,122,180,697,1096,127,10116,5349,552,1055,129,162,226,629,1155,103,9375,334,1431,116,435,59,47,44,92,24,2582,584,1435,161,205,81,56,115,115,31,2793,2461,1435,320,280,575,515,366,351,101,6396,674,865,163,891,175,86,126,207,43,3233,184,370,221,72,71,70,54,125,9,1170,459,45,755,96,57,117,223,336,24,2114,20,8,11,3,5,3,8,14,8,75,273,129,163,112,52,47,132,87,36,1014,897,133,770,101,74,156,464,522,323,3440,18660,9411,18854,3022,2130,2139,5657,6229,1253,67354,342,551,181,132,220,72,6,60,21,1580,101,125,26,23,127,25,4,26,7,454,187,170,141,65,142,94,61,127,18,1010,83,134,91,29,72,42,8,12,3,475,962,354,342,187,414,201,50,479,39,3028
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,3,14,0,3,0,3,0,0,0,29,4,21,3,0,0,0,0,4,0,33,20,40,60,6,8,4,17,26,0,181,12,6,57,3,0,0,11,11,0,101,6,5,4,0,0,3,3,14,0,30,3,20,3,3,0,0,3,0,0,40,0,12,3,3,0,0,4,0,0,26,28,31,6,12,9,9,12,6,3,117,7,21,3,12,7,0,9,10,0,75,3,6,8,4,0,0,3,3,0,25,3,3,20,5,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,3,0,6,0,20,0,0,15,3,0,0,5,6,11,42,88,178,189,67,30,30,63,97,21,761,0,13,3,11,3,0,0,4,0,34,0,5,0,3,0,0,0,0,0,7,0,3,5,3,3,0,0,0,0,15,0,3,7,0,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3
SOS30,2478,7478,1497,752,801,658,431,707,195,15004,4274,12750,3701,771,1601,1268,1001,1363,440,27181,19020,25665,64797,4021,6168,5683,12528,11518,1882,151282,10127,4611,36264,1338,2122,1698,3545,7731,825,68264,1585,1776,3678,448,740,565,1061,2225,176,12259,2260,21666,1171,4539,785,638,653,916,318,32940,2571,12120,807,1396,722,467,680,587,185,19524,26383,24985,5253,4779,12272,9955,6334,5628,1341,96931,5409,14185,2273,11304,3649,2401,2043,2848,594,44702,1890,6243,2472,1261,1234,1661,807,1289,178,17035,3100,599,10786,1998,920,1663,2219,2724,211,24219,72,63,133,87,53,113,112,210,29,872,1154,1266,1233,870,541,365,1102,745,347,7628,1265,961,3019,813,660,851,1876,2172,2275,13900,81595,134372,137075,34391,32263,27989,34390,40674,9007,531756,1410,6625,1617,1185,1841,776,64,459,134,14111,815,2569,402,487,1221,468,58,330,100,6447,974,2997,1307,766,1186,655,439,1342,109,9792,571,2518,778,299,879,590,42,175,44,5893,520,1207,562,431,814,450,80,442,54,4566
SOS31,301,717,272,121,85,49,93,102,22,1747,321,651,539,98,107,167,133,200,38,2251,4345,4001,26504,890,1227,1239,6402,3731,609,48950,2041,360,7885,300,317,346,1825,2156,198,15429,676,654,895,146,174,204,601,993,51,4391,420,3337,230,1030,123,71,205,182,44,5644,637,3098,254,333,128,90,328,146,31,5035,3136,2111,1009,721,1234,1218,1109,940,152,11626,498,1478,296,2339,304,225,374,524,59,6105,124,447,267,113,69,111,101,162,13,1405,599,102,2503,367,160,358,837,856,56,5840,14,19,54,6,9,16,25,59,13,215,183,206,297,208,83,61,403,185,62,1685,342,183,1135,213,107,257,826,908,517,4489,13642,17357,42136,6880,4129,4407,13269,11147,1856,114809,173,691,336,183,244,96,17,102,13,1853,61,154,51,72,155,86,5,73,8,664,163,385,434,155,246,152,209,392,21,2159,54,156,107,44,93,68,12,58,8,602,166,364,182,171,272,138,46,231,15,1587
SOS32,37,116,27,30,22,7,15,20,0,279,29,82,46,10,17,17,13,17,3,225,713,496,3409,147,210,171,1137,700,112,7098,411,76,1372,64,65,54,287,363,43,2734,187,145,192,43,53,35,136,215,11,1011,65,366,29,157,20,9,36,35,14,730,128,472,25,46,28,9,35,21,8,770,401,258,120,105,128,129,151,130,23,1452,81,182,50,339,43,35,48,79,22,877,36,75,59,30,8,7,24,27,6,259,107,24,354,47,21,29,144,144,3,868,3,3,6,0,3,0,3,6,0,26,37,29,41,23,11,9,62,33,8,255,87,58,234,44,34,44,185,217,108,1013,2314,2385,5970,1080,666,555,2262,2021,359,17606,33,95,58,34,50,13,6,14,4,312,5,12,4,12,23,8,0,9,0,78,31,40,56,24,34,31,37,76,3,332,14,20,20,13,9,12,6,5,7,94,51,60,62,41,66,23,13,69,4,389
SOS33,280,462,127,50,54,29,28,78,18,1125,196,360,147,36,49,48,33,64,22,952,4615,1938,11888,421,593,584,3590,2172,363,26174,1905,238,4225,122,166,153,913,1333,127,9183,2222,511,731,73,129,156,495,934,61,5314,249,1323,94,347,47,35,79,84,23,2286,416,1134,126,121,62,31,135,81,25,2127,1881,1038,382,238,501,451,444,367,82,5377,451,674,164,721,136,84,147,205,28,2613,125,246,158,56,36,56,31,91,3,806,423,54,861,118,64,119,368,388,17,2400,22,9,16,6,3,8,16,19,4,105,157,91,162,69,46,23,166,100,45,854,572,99,601,87,74,131,538,525,311,2942,13527,8172,19694,2459,1962,1911,6981,6434,1117,62252,247,427,191,96,181,47,15,68,9,1270,60,107,30,20,97,25,5,27,3,380,164,175,203,72,166,84,95,189,15,1149,65,94,74,20,78,31,13,34,3,409,563,302,266,178,352,154,64,415,23,2301
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,3,13,4,5,0,0,3,5,0,39,0,9,0,4,0,0,3,6,0,22,29,41,115,15,6,6,45,54,9,310,10,9,67,3,0,4,11,39,4,141,0,0,14,3,0,3,15,20,0,53,0,41,3,5,0,0,0,6,0,57,0,15,0,0,0,0,0,0,0,31,25,27,6,9,17,4,13,36,0,136,9,8,6,23,5,3,7,28,3,94,5,14,4,3,0,0,0,13,0,47,8,0,26,8,5,0,3,8,0,63,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,4,3,3,26,4,0,11,3,0,3,7,12,18,54,95,180,264,79,37,29,113,234,41,1070,3,3,4,3,0,0,0,3,0,21,0,0,0,3,3,0,0,0,0,8,0,3,3,0,0,0,0,8,3,24,0,5,0,3,0,0,0,0,0,12,4,4,3,0,0,0,0,4,0,18
SOS40,1003,3269,656,347,364,253,214,411,59,6583,1271,4357,1371,304,588,393,413,522,119,9345,6326,8239,21703,1511,2360,1916,4320,4302,639,51323,2426,1282,9404,376,551,485,839,1764,186,17320,544,551,1469,168,219,202,330,726,68,4290,674,8117,409,1756,276,224,229,338,90,12109,911,4939,226,576,258,168,216,198,61,7549,9052,8770,1690,1829,4645,3471,1718,1928,442,33541,1805,5118,722,4837,1509,739,701,1022,237,16688,567,2170,856,448,383,494,274,465,65,5716,1004,161,3586,587,293,477,591,823,63,7584,17,15,29,15,14,6,30,64,16,212,358,444,388,309,216,141,366,235,107,2557,433,355,1024,291,217,320,586,658,631,4520,26390,47788,43545,13355,11901,9298,10823,13447,2782,179338,547,2578,727,484,640,299,26,226,55,5581,227,862,192,202,433,114,11,137,29,2208,336,982,416,289,465,244,160,451,38,3379,222,776,268,137,308,249,16,82,21,2082,165,345,269,172,261,167,16,144,14,1554
SOS41,182,481,71,35,43,22,40,113,10,997,130,291,162,39,65,63,48,84,9,884,1557,1165,7164,382,437,493,1785,1537,217,14742,655,132,2386,91,76,109,358,501,68,4366,432,294,496,65,93,107,211,482,30,2201,139,1187,84,337,55,24,70,87,23,1999,249,1311,70,109,40,32,81,53,14,1964,1414,1034,296,240,576,628,360,399,92,5031,294,719,139,1106,150,121,112,210,40,2895,89,267,115,50,35,54,37,74,5,716,260,32,905,127,53,151,210,321,28,2100,10,5,10,3,0,4,9,25,5,74,68,72,91,57,25,15,110,80,28,550,167,69,354,85,45,96,259,378,164,1611,5638,7054,12354,2728,1700,1911,3681,4340,722,40133,104,291,118,61,99,41,5,50,12,784,21,43,22,15,56,16,3,22,5,211,75,106,97,48,94,60,41,131,11,664,24,67,32,19,40,20,3,15,3,223,83,161,102,70,101,69,8,105,6,711
SOS42,25,51,17,3,8,3,6,10,0,118,22,27,12,4,9,7,5,13,0,96,355,152,1305,51,60,66,343,324,33,2686,146,19,397,11,15,11,65,101,8,776,154,61,84,10,19,29,65,118,7,547,31,131,16,51,5,9,11,14,0,264,42,223,17,18,9,6,16,8,3,348,198,103,33,28,55,71,51,51,12,605,42,90,26,129,14,13,15,27,4,368,20,22,20,11,11,5,8,8,0,109,60,4,140,21,4,12,23,62,3,331,0,0,0,0,0,0,0,0,0,3,9,10,14,8,7,3,21,13,5,94,59,16,64,20,7,21,75,56,29,349,1168,908,2143,370,226,254,701,814,107,6702,12,37,17,8,15,7,0,8,0,109,7,7,3,3,16,0,0,4,0,36,12,13,10,8,19,14,10,24,3,110,5,10,11,0,7,0,0,7,3,43,24,35,26,15,21,17,5,31,0,171
