SOS_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
SOS10,4542,15644,23144,20769,22386,23448,37178,30468,18593,196169,3612,18237,32285,29164,28119,23114,21786,11516,6992,174824,2208,18881,36720,31128,30424,23492,14415,6622,2966,166853,1130,17963,43886,32677,32777,24279,10710,4324,2070,169835,417,13423,50294,34915,32808,24221,8868,2950,1552,169442,129,5254,37863,26827,23347,15568,4866,1325,661,115848,70,1680,29121,24711,21123,14015,3641,1102,619,96078,51,492,16394,18736,15921,10141,2481,776,390,65376,55,400,19639,29051,22266,12417,3356,1124,564,88871,142,288,5453,16996,15119,7142,2920,1270,744,50078,11353,13803,32341,24725,22097,20011,18775,16809,16890,176796,154257,186005,426273,382594,351096,300284,217264,129473,70794,2218034,154774,59695,68700,50516,42965,53149,27444,12133,4852,474224,65297,25891,15065,15362,14298,17032,13054,5616,1878,173483,28969,40351,35665,31740,32400,41514,38284,23069,7717,279702,12529,29740,33479,29659,34241,45321,77698,54871,18784,336308,11162,30308,39213,31754,35379,39064,61291,46677,26152,321004,9391,35898,52839,42679,41974,38526,39590,21220,10253,292368,5284,38210,67679,51487,50081,42066,28372,13372,5244,301790,2780,37191,90862,64373,62160,49314,24277,8779,3566,343288
SOS11,1906,4309,7111,7090,8308,10478,18199,14552,7700,79660,1619,5940,10673,9835,10242,9836,9845,5404,3250,66647,776,5746,10777,9836,10850,8867,5835,3027,1247,56953,324,3660,9123,8849,10190,8380,3667,1667,945,46798,109,2183,7759,7506,8543,6891,2521,1245,602,37357,20,816,5069,4784,5370,3988,1089,375,153,21663,14,240,3190,4013,4301,3327,776,270,121,16241,6,87,1549,2828,3251,2537,473,174,77,10979,14,53,1341,2815,3120,2369,546,241,110,10604,59,90,399,929,1060,922,510,321,178,4475,4613,3534,6602,6230,7325,8322,9660,9474,7977,63741,42465,39894,83635,84256,93887,99993,88602,56366,29226,618327,32820,4657,7074,6603,7369,12492,5400,2125,1121,79669,19268,3834,3421,3524,3797,5786,3989,1480,563,45647,8831,9901,10649,9350,10318,15973,15691,8098,2449,91259,4066,6216,9023,9546,12082,19402,38766,26066,8024,133195,4379,7309,10402,10691,13440,18036,31082,22700,10833,128873,3757,10397,15010,13732,14812,16247,18668,10053,4661,107341,1932,11534,18706,15894,17474,16435,12110,6233,2240,102554,901,8794,20210,17548,19621,18006,9045,3479,1563,99171
SOS12,171,392,604,725,928,1213,1800,1089,493,7418,137,472,910,971,1204,1123,1018,407,205,6455,65,428,799,940,1222,1013,596,233,84,5375,24,249,666,840,1068,929,366,128,38,4308,8,144,550,749,858,751,273,91,27,3444,0,52,375,452,542,457,112,33,10,2049,0,16,233,369,489,377,88,21,8,1597,0,4,108,307,368,293,58,9,8,1154,0,5,109,330,348,270,51,15,5,1137,3,5,31,102,161,99,47,27,16,489,573,265,611,684,859,1065,951,678,315,6005,4340,3132,6809,8638,10703,11875,9401,4432,1724,61045,3421,421,579,686,904,1664,620,231,95,8618,1929,325,338,437,519,834,524,146,64,5123,815,782,952,1069,1312,2209,1840,779,194,9951,376,528,805,963,1450,2405,4652,2454,622,14263,423,669,877,1103,1534,2240,3344,1921,753,12863,362,881,1275,1367,1798,1968,1986,840,319,10801,192,891,1391,1507,2018,1970,1378,526,166,10039,76,690,1538,1687,2231,2152,960,301,75,9720
SOS13,595,1163,1771,2379,3207,3709,4493,2278,995,20581,511,1539,2582,3240,4199,3991,3150,1077,389,20677,303,1479,2551,3263,4218,3580,2082,646,176,18297,120,1184,2350,3007,4082,3486,1487,444,142,16304,40,644,2036,2602,3651,3144,1297,340,111,13871,14,221,1452,1820,2376,1946,648,180,33,8687,7,82,959,1751,2302,1715,491,115,32,7459,5,15,485,1166,1620,1288,320,70,30,5004,5,25,455,1508,2045,1405,429,111,25,6014,20,27,150,669,1082,784,402,132,36,3307,2538,1209,2330,3137,4239,4536,3766,1886,841,24480,17018,11532,23136,32498,43171,43769,30752,11785,3961,217622,13719,1585,2390,3059,4333,6346,2959,943,312,35646,7254,1269,1183,1475,2104,3021,1926,625,175,19039,2751,2511,2987,3463,4545,7182,6471,2485,605,32993,1577,1790,2465,3431,5097,7567,12350,5874,1295,41437,1745,2112,2730,3575,5324,7093,9320,4447,1525,37869,1556,2999,3889,4769,6550,7330,6546,2471,655,36766,964,3345,4721,5450,7302,7133,4695,1543,386,35533,436,3032,5259,6060,8324,7935,4002,1156,286,36491
SOS17,0,0,3,0,0,5,6,3,3,22,3,0,0,3,3,0,4,3,0,25,0,0,3,0,10,4,4,0,0,25,0,0,3,4,3,0,4,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,13,17,10,3,50,7,4,24,14,31,53,60,24,7,220,4,0,0,0,0,13,0,0,0,24,0,0,0,3,0,0,0,0,0,11,3,0,0,0,3,5,6,11,0,33,0,0,4,0,0,12,20,5,0,46,0,0,3,0,0,6,14,3,3,34,3,0,3,3,8,0,16,7,4,38,0,0,8,5,13,9,11,5,0,47,0,0,3,5,6,4,5,0,0,24
SOS19,10,38,71,45,72,72,79,17,7,409,6,54,78,46,41,55,47,7,5,350,4,47,91,27,37,38,16,3,0,270,3,45,64,25,32,25,15,7,3,221,6,25,77,22,24,34,9,5,0,201,0,7,51,16,18,9,3,0,0,104,3,3,27,18,11,12,5,0,0,81,0,4,21,10,13,3,0,0,0,44,0,0,19,26,14,4,3,0,0,70,0,0,3,13,8,3,3,0,0,29,49,131,241,133,118,126,81,30,15,935,232,615,1091,629,646,732,477,120,48,4590,163,228,302,144,155,184,54,16,10,1241,39,53,53,63,61,74,14,6,3,364,109,214,297,302,250,250,100,19,3,1549,16,94,210,189,235,227,298,61,11,1328,16,81,140,134,188,180,248,39,12,1047,26,100,154,94,93,112,101,21,5,698,14,122,203,83,105,87,49,16,3,681,14,108,212,108,81,78,47,15,3,664
SOS20,2528,13146,19677,18417,19949,20103,30435,25115,14714,164074,1997,14749,27693,25340,25188,19934,18291,9846,5667,148701,1193,14571,32361,26763,26710,19269,11861,5389,2527,140643,639,13964,40030,28193,28320,19421,8381,3302,1770,144016,279,9264,45168,28718,27681,18962,6505,2315,1219,140106,73,2962,32837,22026,19379,12294,3552,1009,593,94721,69,938,21838,19753,16672,10219,2556,814,469,73328,37,335,10640,13117,11359,6941,1686,555,284,44960,61,281,12048,18620,14441,7737,2203,770,442,56593,114,276,3059,10506,9687,4664,2103,976,540,31925,10235,11925,27100,20543,19187,17075,16434,14392,12717,149591,128075,162436,364222,314671,290627,237818,175652,107472,56588,1837560,128262,57092,60030,42404,35536,40651,21469,9219,3808,398489,60670,27654,15126,14737,12936,13976,10439,4809,1802,162146,23536,42071,36007,29673,28202,33826,31693,20282,6469,251760,8250,28040,30445,25952,28041,34703,60930,45475,15482,277330,6608,26491,33761,27643,30322,31881,48913,37963,20540,264124,5151,30142,47026,37000,36849,32186,33045,18058,8478,247932,3003,30290,62286,45259,43768,34590,23337,11035,4507,258066,1671,28864,84204,56544,53988,39823,19072,6929,3193,294282
SOS21,1051,3202,5215,5476,6430,7592,12181,9482,5542,56176,843,4138,7708,7690,7771,7128,7041,3663,2300,48287,441,4132,7949,7446,7896,6516,3912,1834,850,40968,159,2918,7473,6764,7613,5864,2320,996,526,34641,70,1700,6691,5639,6677,4968,1613,691,425,28473,22,543,4308,3978,4094,2775,697,248,104,16771,0,139,2384,2835,3196,2229,485,165,71,11507,3,52,922,1743,1986,1378,268,111,54,6517,3,38,729,1524,1669,1134,328,153,66,5638,40,64,304,711,779,545,319,215,122,3115,3346,2525,4985,4795,5303,6123,6758,6054,4552,44440,30827,30455,65121,64952,69755,70339,59492,36406,19567,446912,24779,4145,5943,5711,5594,8953,4027,1573,807,61525,15960,3562,2995,3008,2900,4039,2676,1044,486,36673,6417,7808,8121,7283,7541,11025,10298,5368,1921,65789,2555,4940,6822,7205,8366,12383,24748,16408,5313,88738,2706,5678,7609,7915,9680,12197,20497,14653,7658,88601,2124,7632,10940,10418,10865,11411,13181,6795,3359,76717,1085,8486,14015,11873,12594,11698,8189,3921,1538,73399,506,7140,16545,13669,14689,12660,5913,2189,960,74270
SOS22,87,211,393,546,675,892,1306,838,442,5390,64,262,569,690,824,837,683,249,168,4349,22,255,527,645,802,656,373,161,64,3513,7,193,501,537,728,605,259,76,35,2953,3,122,407,435,620,504,170,79,37,2368,0,33,251,257,379,272,77,14,8,1291,0,3,125,223,272,227,41,15,12,914,0,3,64,128,167,127,26,5,4,523,0,0,30,130,147,114,24,12,3,467,7,6,15,48,71,73,33,19,4,276,345,174,393,489,639,758,768,521,369,4446,2552,1913,4555,5736,7166,7991,6484,3165,1475,41044,2265,256,419,492,669,1150,481,167,47,5942,1188,221,246,326,347,519,305,85,24,3258,422,447,649,724,879,1471,1291,554,137,6579,182,327,505,717,936,1640,3166,1621,445,9545,222,392,550,786,1094,1574,2495,1444,644,9205,192,467,809,973,1200,1407,1438,548,238,7265,91,559,965,1075,1360,1317,900,345,120,6730,33,467,1157,1152,1521,1464,678,179,69,6722
SOS23,350,884,1275,1957,2691,2949,3547,1703,684,16047,300,1040,1842,2553,3417,3308,2423,798,290,15963,147,1128,1889,2397,3468,2912,1572,492,150,14153,58,883,1926,2315,3288,2679,1080,295,80,12619,37,469,1755,2099,2979,2363,863,244,83,10878,4,124,1063,1365,1894,1577,467,92,30,6613,3,45,614,1056,1633,1227,316,84,25,4998,7,12,255,603,939,725,202,58,13,2815,0,8,257,741,1069,800,249,77,14,3214,17,28,129,416,701,538,271,105,23,2231,1722,826,1526,2082,2940,3197,2696,1275,487,16757,12860,8809,17334,24097,33153,33382,22945,8465,2766,163808,10576,1355,1909,2452,3561,5171,2401,680,235,28339,6524,1192,948,1317,1637,2337,1573,479,123,16129,2049,2046,2115,2693,3483,5322,4833,1804,467,24811,1026,1401,1835,2616,3721,5518,9343,4163,964,30589,1105,1623,1988,2867,4194,5308,7243,3313,1079,28725,970,2242,2765,3682,5243,5955,5284,1819,535,28492,511,2639,3441,4095,5883,5742,3670,1231,311,27521,252,2307,4255,4778,6801,6330,2898,770,188,28575
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,3,27,50,63,48,35,30,12,5,272,9,45,70,47,20,21,12,0,3,224,7,29,59,33,12,19,8,3,0,162,3,16,60,26,21,6,5,0,0,136,0,15,57,18,19,9,3,0,0,118,0,4,33,16,10,9,0,0,0,70,0,0,17,14,9,6,0,0,0,41,0,0,16,4,4,4,0,0,0,28,0,0,14,8,3,5,0,0,0,30,0,0,7,12,5,0,0,0,0,23,28,83,142,97,55,65,33,13,10,526,178,453,795,479,347,352,204,49,28,2883,98,161,195,116,67,94,28,5,0,760,48,60,72,42,37,28,12,0,0,306,76,157,252,219,165,107,45,8,3,1020,16,76,109,119,108,111,119,21,8,690,8,54,121,122,110,98,97,41,5,655,17,74,122,71,55,47,28,6,3,423,15,65,123,72,52,38,13,0,0,381,4,33,136,74,62,30,22,3,0,365
SOS30,4208,10718,15174,14165,14474,15933,26996,19090,10128,130896,3682,14554,23223,21263,19845,16692,16434,8112,4567,128366,1942,15467,26338,22994,22421,16256,9751,4012,1681,120868,832,12503,28810,23380,23459,16350,6677,2398,1114,115516,298,7859,28863,23651,23465,15954,4984,1611,832,107515,99,3037,19906,17126,16084,9754,2570,636,295,69502,47,1094,14032,15812,14894,8881,1838,481,226,57300,20,338,6933,9368,8990,5072,1122,365,160,32366,30,237,7245,11939,10891,5665,1376,460,211,38047,79,188,1754,5464,5165,2739,1229,599,304,17521,8054,9525,18802,15257,14982,13441,12405,10499,10551,113522,102797,119862,245900,231564,220836,184335,137788,74134,38799,1356018,84115,26345,30197,24339,22458,27532,12412,4116,1509,233006,47330,13487,8896,9223,8257,10654,7100,2343,771,108055,24688,26765,24076,19491,18012,24050,22672,11001,3295,174046,10426,18520,21350,18357,19342,26267,50531,31927,10017,206735,8651,19520,24353,20738,22056,25699,44654,29556,14233,209467,7921,26309,35647,29116,27970,26499,29986,14972,6526,204946,4464,29945,46519,36403,34528,28201,19809,8517,3057,211435,2297,26590,59207,45099,43340,32810,15764,5210,1957,232274
SOS31,1333,2429,4189,4347,4767,5397,9370,6970,3553,42355,1278,3469,6326,6076,6172,5221,4893,2457,1292,37179,633,3736,6731,6210,6266,4523,2595,1240,392,32326,253,2580,5709,5511,5935,4138,1479,589,259,26460,81,1733,5059,4661,5176,3536,1040,495,197,21981,25,719,3306,3061,3182,1924,459,130,51,12852,15,294,2196,2615,2860,1715,291,106,43,10133,4,132,1075,1471,1559,933,220,46,21,5456,4,122,1203,1464,1564,886,201,91,24,5574,35,59,345,589,614,428,228,137,46,2473,2819,2332,4830,4272,4747,4845,4787,3839,2799,35269,25611,24610,55156,53602,56880,53652,44485,25389,11661,351044,18900,3003,6007,5178,5577,8391,2996,1131,439,51620,11418,1920,2311,2386,2414,3507,2131,711,264,27049,5812,5284,7055,6205,6656,9445,8243,3819,1101,53615,2660,3261,5467,5546,6856,10420,21429,13136,3631,72407,2687,4009,6029,6181,7352,9177,16283,11253,5110,68081,2598,5782,8615,8046,8510,8291,9468,4704,1839,57866,1407,7042,10944,9275,9637,7999,5674,2704,795,55468,722,5855,11809,10327,10983,8804,3974,1333,454,54270
SOS32,182,339,644,724,898,1069,1729,924,354,6870,175,468,921,1018,1070,1025,791,290,127,5889,78,422,800,944,1111,871,463,160,40,4893,29,262,633,776,1011,797,270,97,25,3900,20,191,587,677,838,641,199,80,20,3244,9,82,366,439,477,353,91,15,4,1825,5,26,218,373,458,343,51,7,3,1488,0,8,95,205,251,165,34,7,3,769,0,10,108,203,239,189,47,19,5,825,9,6,34,86,96,81,51,13,3,382,610,389,662,695,920,980,958,526,192,5937,3922,3399,7224,8436,10279,10853,8532,3516,1134,57294,2916,460,722,760,1107,1713,598,155,85,8518,1526,292,367,398,497,734,463,122,44,4454,817,940,1325,1339,1613,2314,1830,638,151,10974,390,497,904,1037,1488,2414,4663,2118,468,13985,398,563,925,1081,1482,1960,3354,1718,575,12061,395,765,1281,1403,1615,1750,1748,647,208,9815,189,849,1323,1510,1841,1634,1103,383,86,8918,101,672,1388,1583,1987,1851,779,217,46,8627
SOS33,515,834,1473,2089,2725,2883,3653,1670,587,16434,490,1306,2173,2829,3457,2902,2272,710,209,16347,281,1334,2214,2731,3401,2659,1300,391,94,14414,117,909,1889,2412,3265,2365,866,251,66,12142,41,531,1620,2193,2931,2062,700,181,45,10299,16,175,1005,1521,1860,1274,361,94,19,6318,6,75,751,1303,1738,1164,253,55,10,5359,0,37,305,662,940,615,170,42,13,2779,3,15,361,895,1036,709,237,62,5,3330,15,20,131,500,603,436,255,76,13,2048,1612,981,1965,2602,3413,3374,2682,1162,372,18157,12551,9128,19550,26852,34470,32520,22396,7908,2140,167514,9700,1351,2298,2944,4280,5546,2300,630,161,29224,5420,939,1051,1417,1749,2424,1589,436,114,15141,2426,1852,2571,3052,4079,6110,4998,1726,359,27187,1241,1232,2100,2771,4165,6321,10662,4606,904,34008,1310,1484,2202,3038,4401,5507,7667,3415,996,30040,1303,2360,3063,3968,5146,5319,4960,1690,387,28192,764,2780,3870,4440,5744,5258,3058,1034,204,27151,399,2246,4280,4911,6637,5649,2476,634,154,27389
SOS37,0,0,0,0,0,0,7,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,13,5,4,6,3,7,19,16,7,0,81,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,9,4,0,18,0,0,0,3,0,3,6,4,0,11,0,0,0,0,3,0,5,3,0,14,0,0,0,0,3,6,0,0,0,11,0,0,0,0,0,0,0,3,0,11
SOS39,7,40,75,39,54,123,128,28,6,499,6,53,95,42,42,69,66,9,0,371,9,67,96,33,36,69,39,4,0,355,3,50,74,12,47,43,21,4,0,251,0,26,66,21,36,32,16,4,0,194,0,3,29,14,17,20,6,0,0,99,0,0,32,18,13,13,0,0,0,73,0,0,14,9,10,3,4,0,0,35,0,0,12,8,12,13,0,0,0,41,0,7,5,0,0,11,3,3,0,30,33,116,193,101,125,190,108,32,11,920,203,576,1005,514,688,1224,798,153,18,5179,115,150,233,116,166,284,72,12,3,1145,36,49,57,42,57,120,30,7,3,403,89,131,225,246,225,325,191,36,0,1468,32,74,161,136,182,338,559,111,6,1606,16,87,140,89,122,240,331,67,8,1094,23,98,175,77,94,142,166,26,0,797,10,134,214,91,87,144,112,15,0,807,4,90,184,68,101,108,68,14,0,640
