SOS_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
SOS10,149,2269,15,2281,..,40414,2083,42498,340,42836,..,24729,3027,27756,302,28058,..,13974,1255,15234,113,15340,..,5708,2456,8169,66,8234,..,8776,1676,10451,97,10548,..,33882,13040,46917,274,47187,..,88941,19405,108343,2301,110647,..,713351,138641,851997,8362,860364,..,6436,1460,7893,145400,153293,1599417,719789,140101,859892,153762,2613075,1625278,..,..,..,..,1625278,..,2813,43,2854,15,2868,..,78546,17316,95859,884,96742,..,317,10,324,19,347,..,52334,21633,73969,382,74347,..,89404,36774,126172,676,126847,..,6507,2864,9371,48,9425,..,148240,61273,209516,1109,210624,..,8531,1466,9992,96,10087,..,3301,89,3383,43,3428,..,10144,421,10563,95,10661,..,8996,273,9269,117,9383,..,33189,7321,40510,422,40924,..,12391,1598,13990,93,14089,..,30236,1874,32108,294,32401,..,11445,1624,13069,101,13168,..,5010,229,5240,27,5270,..,10912,1417,12331,135,12468,..,25711,2679,28389,204,28597,..,95712,9422,105127,860,105984,..,28932,5164,34101,421,34518,..,7880,1429,9311,67,9379,..,19619,10777,30396
SOS11,18,211,4,213,..,1919,74,1988,32,2020,..,1157,110,1272,19,1285,..,283,44,332,0,338,..,385,102,480,12,492,..,172,36,210,3,209,..,486,136,621,11,630,..,5673,1349,7022,182,7209,..,27912,4701,32615,566,33182,..,1832,162,2001,52017,54018,619119,29747,4866,34613,52587,706317,662454,..,..,..,..,662454,..,714,17,731,9,738,..,885,157,1038,27,1065,..,407,21,433,23,450,..,856,370,1222,18,1245,..,1551,779,2331,26,2357,..,98,46,142,5,148,..,2505,1190,3695,52,3746,..,420,44,464,5,470,..,791,17,808,14,819,..,1015,51,1059,9,1073,..,1805,59,1863,30,1891,..,800,85,878,15,896,..,326,42,371,4,375,..,692,46,736,8,740,..,1329,313,1646,22,1666,..,310,30,340,7,342,..,284,45,326,4,334,..,1023,265,1284,12,1301,..,3963,738,4702,50,4755,..,2171,352,2520,62,2586,..,534,78,617,7,626,..,324,162,493
SOS12,0,3,0,3,..,63,0,65,3,66,..,96,17,114,5,118,..,15,5,20,0,20,..,25,3,26,0,26,..,9,0,12,0,12,..,28,9,43,0,43,..,316,67,382,11,395,..,1825,222,2047,38,2092,..,223,6,227,5172,5406,66596,2047,228,2281,5217,74085,66785,..,..,..,..,66785,..,47,3,45,0,45,..,71,3,74,0,72,..,73,11,80,3,84,..,50,29,79,0,75,..,98,43,137,3,139,..,6,0,5,0,5,..,148,73,222,7,225,..,30,0,28,0,30,..,91,0,91,0,88,..,106,3,108,0,108,..,222,5,227,3,226,..,74,4,76,0,80,..,4,0,4,0,4,..,26,0,29,0,29,..,37,10,41,0,41,..,7,0,7,0,7,..,8,0,8,5,15,..,19,5,21,0,21,..,105,8,115,7,119,..,192,11,202,0,210,..,55,5,59,0,62,..,24,0,22
SOS13,0,31,0,37,..,214,10,223,7,227,..,400,41,443,5,449,..,30,3,36,0,36,..,108,25,134,0,134,..,73,3,80,0,76,..,108,23,134,0,136,..,1293,202,1498,63,1562,..,10293,1177,11466,196,11661,..,712,50,759,25912,26675,246679,11003,1223,12227,26106,285013,232822,..,..,..,..,232822,..,253,0,260,0,260,..,794,101,892,5,904,..,101,8,107,8,116,..,253,200,458,5,458,..,387,143,530,6,534,..,40,15,54,0,54,..,681,361,1037,9,1051,..,305,26,336,9,341,..,362,6,371,8,375,..,390,10,404,4,407,..,932,17,947,9,954,..,340,49,389,10,398,..,20,5,22,0,24,..,140,9,150,3,153,..,213,60,270,3,277,..,25,0,25,0,25,..,61,5,66,0,66,..,39,4,45,0,45,..,507,79,583,4,595,..,1418,186,1602,23,1619,..,176,14,194,3,197,..,68,29,92
SOS17,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,9,11,0,11,..,0,0,0,0,0,..,19,15,36,0,36,..,0,0,0,12,15,119,25,15,39,12,171,154,..,..,..,..,154,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,3,10,11,0,11,..,0,0,3,0,3,..,3,14,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3
SOS19,0,3,0,3,..,39,0,39,0,39,..,43,7,57,3,55,..,9,0,9,0,9,..,13,4,19,0,19,..,14,3,19,0,19,..,34,9,40,0,40,..,140,19,159,6,161,..,823,166,986,10,997,..,24,3,25,2154,2181,4175,840,168,1010,2165,7351,3038,..,..,..,..,3038,..,0,0,0,0,0,..,29,15,48,0,48,..,4,0,10,0,10,..,42,10,53,0,51,..,103,41,145,0,145,..,3,4,10,0,10,..,152,57,206,0,211,..,4,0,4,0,4,..,13,0,13,0,13,..,32,3,38,4,41,..,23,0,23,0,23,..,18,0,19,0,19,..,7,3,9,0,9,..,20,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,8,3,15,0,15,..,13,0,18,0,18,..,55,6,65,0,65,..,24,3,21,0,26,..,6,3,9,0,9,..,12,7,20
SOS20,178,3035,26,3057,..,24296,1044,25338,190,25525,..,14045,1587,15633,178,15815,..,12062,1191,13247,119,13369,..,2800,686,3487,30,3517,..,12418,2358,14771,155,14925,..,34442,12202,46648,369,47018,..,86416,20864,107277,2115,109399,..,584158,107159,691320,7271,698591,..,5190,1304,6498,115141,121641,1311504,589352,108464,697814,122414,2131735,1354180,..,..,..,..,1354180,..,2190,28,2215,11,2221,..,30285,6849,37135,409,37543,..,136,3,138,0,138,..,30083,10227,40309,227,40538,..,75167,26123,101291,567,101855,..,6998,2869,9868,57,9921,..,112253,39218,151469,850,152324,..,8194,1510,9698,116,9817,..,3295,98,3397,48,3443,..,8773,356,9123,74,9202,..,8076,252,8323,99,8427,..,43902,11062,54968,516,55482,..,4438,436,4873,32,4907,..,21644,1423,23066,179,23243,..,19573,2938,22518,232,22750,..,16303,1199,17499,135,17628,..,7938,1183,9125,90,9211,..,13064,1462,14527,93,14624,..,82962,8645,91604,753,92358,..,44336,9031,53368,680,54045,..,5142,904,6045,51,6094,..,5569,2248,7820
SOS21,44,273,6,280,..,1756,118,1878,19,1894,..,754,76,833,6,839,..,284,53,339,4,343,..,273,74,345,5,357,..,551,160,718,7,722,..,533,233,770,16,786,..,5994,1864,7856,175,8026,..,28415,5332,33744,522,34271,..,1311,135,1447,34429,35881,438578,29728,5468,35194,34957,508725,469836,..,..,..,..,469836,..,381,10,390,3,393,..,1168,326,1496,23,1524,..,87,0,87,3,91,..,546,183,729,8,740,..,1692,879,2569,18,2586,..,143,71,211,0,211,..,2377,1131,3512,32,3542,..,582,75,657,6,661,..,812,20,832,16,843,..,635,32,665,15,677,..,1305,35,1348,23,1363,..,1095,191,1288,22,1315,..,236,30,261,0,268,..,837,68,902,8,915,..,1291,245,1537,18,1558,..,556,48,608,4,609,..,339,36,380,3,384,..,532,118,650,13,657,..,3801,541,4339,47,4392,..,3241,566,3806,70,3875,..,393,46,443,3,442,..,194,58,250
SOS22,3,11,0,11,..,81,3,85,0,85,..,73,5,83,3,79,..,7,0,7,0,7,..,22,8,28,0,28,..,17,3,21,0,21,..,22,3,26,0,21,..,245,51,292,6,304,..,1394,171,1561,25,1586,..,134,11,146,3764,3908,43902,1530,175,1706,3795,49397,43801,..,..,..,..,43801,..,22,0,22,0,22,..,25,6,23,0,28,..,7,0,7,0,7,..,22,4,26,0,26,..,105,34,143,3,144,..,4,6,8,0,8,..,127,45,176,3,182,..,27,4,35,0,36,..,63,0,69,0,68,..,57,0,53,0,53,..,140,5,148,4,151,..,79,13,95,0,90,..,0,0,0,0,0,..,6,0,6,0,7,..,25,4,24,0,24,..,10,0,10,0,10,..,4,0,4,0,4,..,9,0,9,0,9,..,49,4,50,0,55,..,157,12,167,4,170,..,26,3,25,0,25,..,7,0,13
SOS23,7,40,0,40,..,383,30,418,3,421,..,203,13,220,6,228,..,59,9,62,0,62,..,61,7,72,0,72,..,154,14,176,7,177,..,148,54,204,0,204,..,1218,209,1426,46,1474,..,8512,921,9429,160,9586,..,501,39,537,18747,19288,184983,9016,960,9970,18909,213864,175812,..,..,..,..,175812,..,153,3,157,0,157,..,164,7,176,9,184,..,45,3,49,0,50,..,91,17,116,3,119,..,365,140,506,10,516,..,25,4,25,0,25,..,483,166,647,10,659,..,222,39,266,0,266,..,394,10,401,7,404,..,260,5,272,0,270,..,626,21,648,6,655,..,447,67,518,12,532,..,25,0,27,0,27,..,168,10,182,0,182,..,238,54,296,0,297,..,96,9,103,4,108,..,23,6,29,0,29,..,52,5,53,0,53,..,613,81,693,6,701,..,1475,180,1653,26,1678,..,122,10,132,0,134,..,31,5,34
SOS27,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,18,7,0,7,3,28,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS29,0,5,0,5,..,20,0,20,0,20,..,31,3,28,0,28,..,9,0,10,0,10,..,3,0,3,0,3,..,20,3,24,0,21,..,27,11,39,0,39,..,115,30,151,5,154,..,532,158,687,15,698,..,21,4,28,1236,1261,2372,555,162,714,1245,4331,1835,..,..,..,..,1835,..,0,0,0,0,0,..,22,21,41,0,41,..,0,0,0,0,0,..,27,9,36,0,36,..,84,37,124,0,124,..,8,9,19,0,19,..,124,57,177,0,177,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,13,0,13,0,18,..,15,3,18,0,18,..,6,0,6,0,6,..,4,3,4,0,4,..,9,0,12,0,12,..,3,0,3,0,3,..,3,0,7,0,7,..,6,0,6,0,6,..,34,5,44,0,44,..,24,7,28,0,30,..,4,0,5,0,5,..,8,6,17
SOS30,65,1199,16,1215,..,10226,424,10644,87,10733,..,8094,933,9028,83,9111,..,2302,202,2509,21,2529,..,1695,367,2065,14,2080,..,859,113,972,9,984,..,8414,2841,11253,73,11323,..,36610,7308,43921,998,44914,..,191912,32041,223957,2434,226394,..,3891,513,4405,99239,103643,1261038,195803,32554,228362,101676,1591077,1306768,..,..,..,..,1306768,..,4499,58,4553,26,4582,..,4619,1349,5965,58,6030,..,1201,58,1264,53,1316,..,9727,2865,12591,65,12658,..,27381,8587,35969,184,36147,..,1546,606,2153,13,2165,..,38660,12057,50713,267,50973,..,1622,220,1848,19,1866,..,2732,67,2801,24,2825,..,4981,261,5247,37,5290,..,6234,194,6432,69,6502,..,4437,542,4973,52,5027,..,1366,173,1546,3,1550,..,7825,448,8274,70,8349,..,6012,902,6912,88,7004,..,2476,161,2636,15,2654,..,1735,249,1979,15,1998,..,5580,759,6341,51,6387,..,24997,2696,27692,243,27934,..,6624,730,7356,101,7461,..,7514,1553,9065,54,9122,..,6442,2958,9405
SOS31,19,180,0,180,..,2648,129,2773,32,2802,..,514,34,550,6,554,..,293,98,390,0,395,..,235,40,276,5,278,..,103,13,120,0,120,..,378,226,602,3,612,..,4023,988,5015,142,5155,..,19663,3414,23073,426,23501,..,1181,119,1299,34458,35757,367642,20844,3528,24368,34887,426903,379059,..,..,..,..,379059,..,1201,12,1216,9,1224,..,208,44,253,3,255,..,1772,155,1927,94,2025,..,334,122,454,3,461,..,1046,621,1668,20,1687,..,49,45,97,0,98,..,1428,786,2218,29,2247,..,106,14,121,4,122,..,514,21,533,7,536,..,563,49,611,9,612,..,1210,42,1249,19,1271,..,233,19,253,4,260,..,153,25,178,3,184,..,485,39,521,0,527,..,610,113,728,8,730,..,242,18,255,3,262,..,154,12,168,0,164,..,431,64,496,0,497,..,2076,271,2347,16,2367,..,1327,264,1591,30,1626,..,435,110,549,5,559,..,275,214,489
SOS32,0,13,0,13,..,127,4,129,0,129,..,62,3,65,0,64,..,3,0,3,0,3,..,27,8,29,0,33,..,0,3,3,0,3,..,19,4,22,0,22,..,709,162,873,19,892,..,4585,643,5227,162,5394,..,212,36,254,6292,6548,60825,4805,677,5478,6462,72766,59558,..,..,..,..,59558,..,101,0,102,0,102,..,6,0,6,0,6,..,2741,307,3048,116,3159,..,22,7,28,0,25,..,71,27,94,3,95,..,7,3,7,0,7,..,94,34,121,3,129,..,16,0,16,0,16,..,93,3,101,0,101,..,84,7,92,0,94,..,232,6,235,0,235,..,25,3,23,0,28,..,5,0,5,0,5,..,27,0,27,0,24,..,36,4,42,0,48,..,4,0,4,0,4,..,11,0,11,0,11,..,21,3,23,0,23,..,105,7,113,4,120,..,220,28,253,8,260,..,64,10,75,0,75,..,6,3,11
SOS33,0,26,0,23,..,340,16,354,8,360,..,237,18,256,0,256,..,25,0,26,0,26,..,72,12,81,0,81,..,21,0,20,0,20,..,142,82,225,4,227,..,1230,238,1465,45,1505,..,6451,772,7221,151,7368,..,598,21,613,21252,21869,194896,7048,790,7838,21404,224138,182027,..,..,..,..,182027,..,411,13,423,3,426,..,48,5,61,0,59,..,305,48,353,37,390,..,104,27,129,0,129,..,341,140,474,15,488,..,11,7,23,0,23,..,456,167,626,15,636,..,82,9,92,0,93,..,398,6,401,3,402,..,327,10,340,6,340,..,793,18,809,4,817,..,84,7,92,0,94,..,14,3,14,0,14,..,85,4,94,3,92,..,92,19,114,0,114,..,25,3,34,0,34,..,15,0,15,0,19,..,34,3,39,0,39,..,279,31,309,6,312,..,691,70,763,21,782,..,190,49,235,3,239,..,61,30,86
SOS37,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,6,6,56,7,0,7,6,66,56,..,..,..,..,56,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
SOS39,0,3,0,11,..,15,0,19,0,24,..,28,3,30,0,30,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,4,3,13,0,13,..,117,15,131,9,136,..,512,115,619,16,636,..,20,6,29,1515,1542,4759,530,118,650,1532,6937,3934,..,..,..,..,3934,..,4,0,4,0,4,..,7,0,6,0,6,..,11,0,11,0,11,..,20,4,26,0,24,..,78,50,129,0,131,..,3,7,10,0,10,..,101,59,163,3,161,..,0,0,0,0,0,..,27,0,26,0,26,..,46,7,56,0,56,..,37,3,39,0,40,..,3,0,4,0,4,..,0,0,0,0,0,..,10,0,11,0,11,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,25,0,29,0,29,..,21,3,27,0,27,..,11,5,12,0,19,..,10,13,25
SOS40,37,683,5,693,..,4165,218,4381,39,4412,..,2251,214,2465,28,2492,..,1203,140,1342,12,1348,..,409,98,509,7,519,..,248,19,273,3,273,..,6159,2143,8301,58,8359,..,16831,4876,21707,478,22179,..,99148,19069,118213,1336,119548,..,1537,292,1826,26913,28740,421402,100679,19357,120039,28256,569694,439109,..,..,..,..,439109,..,785,12,801,8,805,..,3256,962,4215,38,4253,..,326,18,348,12,363,..,3642,1136,4774,30,4805,..,11431,3275,14699,76,14772,..,787,293,1080,3,1086,..,15855,4701,20554,110,20669,..,1207,193,1398,23,1422,..,1010,17,1024,6,1039,..,1114,61,1175,9,1187,..,2554,92,2646,27,2675,..,8923,1819,10742,119,10856,..,988,111,1093,8,1101,..,3074,249,3324,24,3342,..,3324,512,3831,40,3870,..,1130,81,1208,7,1216,..,1096,159,1260,11,1268,..,3737,1149,4886,36,4918,..,13343,2259,15608,121,15727,..,11561,2354,13918,178,14099,..,957,127,1078,9,1085,..,1386,454,1833
SOS41,9,61,0,61,..,709,31,740,9,749,..,136,13,156,6,155,..,71,11,84,0,84,..,58,13,64,0,69,..,34,9,46,3,46,..,139,82,223,3,220,..,1174,495,1668,36,1698,..,6335,1260,7595,123,7716,..,439,35,474,9674,10154,134611,6768,1295,8065,9795,152477,141801,..,..,..,..,141801,..,272,4,281,0,281,..,74,12,89,0,88,..,211,9,228,3,229,..,76,22,96,0,101,..,317,237,551,10,562,..,30,25,50,0,49,..,424,282,703,9,712,..,124,16,138,0,143,..,232,5,237,0,237,..,172,8,185,0,184,..,569,17,588,10,596,..,390,100,487,12,498,..,49,4,60,0,60,..,102,7,110,0,114,..,209,42,252,3,258,..,82,7,86,0,86,..,65,10,69,0,69,..,51,4,59,0,59,..,558,77,636,5,639,..,688,93,789,10,796,..,124,10,131,3,139,..,33,18,53
SOS42,0,0,0,0,..,43,0,42,0,42,..,8,0,8,0,8,..,7,0,7,0,7,..,6,0,6,0,6,..,8,0,8,0,8,..,31,20,51,0,51,..,89,19,109,3,116,..,1199,237,1434,15,1450,..,65,7,79,1697,1774,23790,1267,242,1511,1708,27010,23434,..,..,..,..,23434,..,20,0,20,0,20,..,3,0,3,0,3,..,658,127,787,16,795,..,17,0,22,0,22,..,36,32,69,0,69,..,0,3,3,0,3,..,58,32,94,0,94,..,7,0,7,0,7,..,39,0,39,0,39,..,25,0,25,0,25,..,67,6,66,0,70,..,32,0,33,0,33,..,0,0,0,0,0,..,9,0,9,0,9,..,10,3,13,0,13,..,4,0,4,0,4,..,5,0,5,0,5,..,11,0,7,0,14,..,35,4,40,0,35,..,55,8,65,0,65,..,8,0,8,0,8,..,5,0,5
SOS43,6,12,0,12,..,97,11,109,3,110,..,31,3,31,4,38,..,3,13,15,0,15,..,9,0,17,0,17,..,33,8,35,0,35,..,223,124,352,0,348,..,343,103,447,14,460,..,2904,459,3364,71,3430,..,173,9,185,5797,5985,65665,3069,474,3542,5871,75073,59784,..,..,..,..,59784,..,75,0,77,0,77,..,27,5,31,3,35,..,323,30,351,20,366,..,16,0,16,0,16,..,78,27,106,0,112,..,4,3,8,0,8,..,100,33,130,0,138,..,28,3,30,0,30,..,97,0,98,0,101,..,69,6,73,0,74,..,245,3,252,4,256,..,334,65,402,8,407,..,3,0,7,0,10,..,19,0,19,0,19,..,91,34,119,3,122,..,3,0,3,0,3,..,4,0,4,0,4,..,9,3,9,0,9,..,123,34,158,5,164,..,362,67,429,3,431,..,29,3,31,0,31,..,16,3,15
SOS47,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,4,4,0,4,0,6,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
