RA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
RA10,29682,98562,92504,88962,263277,338821,157314,273681,29120,1371927,118,632,593,675,626,564,218,409,71,3909,83,92,151,152,339,429,190,298,11,1757,1332,4465,4824,4813,12876,9542,3824,3992,332,45999,207,178,387,473,1447,1263,434,406,26,4828,787,4215,4211,3709,4709,6399,1934,2569,276,28810,991,2227,3140,3350,8770,8183,3060,3274,181,33177,4769,31703,24545,21142,23356,14582,6599,7384,1504,135577,2758,27048,18630,12758,10520,7650,3988,5645,1255,90250,1342,2476,3370,3953,7523,6295,2465,2397,333,30152,1016,2055,2236,2271,5529,6477,2905,3859,156,26506,3846,2999,6698,7860,18191,19450,6870,8164,531,74610,739,2425,2657,2466,4824,5558,2224,2587,174,23656,3695,10867,12509,12058,19057,24051,10020,13615,603,106482,1496,7943,8041,6429,9033,8037,2957,3373,532,47843,4092,3637,6630,7384,22269,12690,6028,4786,502,68020,5908,23353,21230,20751,25456,22459,11152,17820,1208,149343,10694,25508,43446,43906,48375,41728,12209,14931,2374,243171,765,4930,2891,2668,2474,2713,1146,1612,197,19401,1310,8264,6960,6263,8466,6280,2870,2795,527,43741
RA11,9596,24651,18618,24245,57220,61709,35179,66011,6725,303958,309,1337,1075,1104,861,1014,403,1375,132,7622,105,84,89,148,190,210,260,379,13,1477,337,1426,1170,1381,1871,1528,643,680,104,9131,52,63,132,189,465,320,84,92,7,1403,230,1307,974,1017,1001,1059,403,520,62,6568,108,425,461,556,710,649,317,312,32,3580,1687,9614,6675,6727,6009,2704,1712,1901,451,37480,1066,9875,4685,4624,2905,1885,1103,2127,422,28695,210,772,756,807,937,688,317,498,58,5039,107,343,280,305,636,329,182,192,18,2394,336,430,823,1008,1674,1039,398,430,34,6179,165,525,546,612,1292,874,397,503,38,4962,492,2155,1974,2394,2853,1888,832,1200,85,13870,389,2842,1793,1601,1706,1222,383,600,154,10683,1251,934,1867,2192,6258,2853,1514,1285,124,18273,1736,5140,5420,6583,6685,5098,2993,4813,324,38798,3562,6619,12187,15222,12620,9281,2906,3692,602,66697,178,1045,516,563,452,328,158,295,57,3598,322,2206,1680,1722,1794,1166,620,666,120,10298
RA12,3174,6659,5290,6769,15412,17229,10018,26132,2538,93223,348,1258,976,1191,646,1328,461,2318,205,8731,28,22,22,49,40,49,91,172,10,480,116,376,334,413,701,558,244,253,38,3027,10,25,34,36,90,48,18,24,0,280,62,258,178,201,180,202,74,118,19,1295,36,132,141,165,215,179,111,93,4,1077,446,2357,1625,1902,1568,707,529,619,130,9894,288,2439,1189,1241,688,438,322,860,133,7604,54,313,296,241,222,197,88,161,26,1593,26,90,63,69,133,50,36,45,6,515,120,138,198,263,353,230,92,92,16,1502,36,122,119,141,250,130,67,106,12,977,145,487,513,594,742,450,205,298,35,3463,115,765,535,544,433,305,97,195,47,3038,271,275,427,579,1541,494,262,259,44,4147,455,1450,1634,2046,1696,1411,866,1489,122,11164,968,1644,2920,3849,2995,2488,724,1076,221,16885,49,201,99,124,137,91,52,98,13,867,90,511,390,395,447,298,154,189,39,2529
RA13,209,314,241,383,801,1094,667,2780,233,6723,32,103,95,109,68,182,58,426,24,1095,12,9,4,6,8,19,25,61,0,144,0,11,7,8,17,10,4,13,0,71,0,0,0,0,4,0,0,3,0,14,0,14,8,13,6,10,3,0,0,57,3,3,6,9,18,7,6,12,0,68,11,110,84,103,76,56,30,30,5,501,11,107,74,73,38,35,15,61,12,430,3,18,22,22,13,11,10,13,3,112,0,5,7,10,3,0,4,3,0,36,8,12,12,18,10,9,3,0,3,81,0,3,3,0,8,10,0,4,0,32,4,22,17,33,27,17,10,20,4,153,15,40,30,21,22,24,12,18,0,186,20,26,27,38,131,37,26,16,4,325,56,99,107,170,134,119,57,162,13,901,65,62,149,170,191,166,38,78,19,937,0,10,0,8,5,7,0,7,0,34,11,17,20,12,21,14,11,10,0,115
RA14,27,46,38,77,137,208,87,456,43,1121,5,7,8,9,22,30,8,106,3,200,0,0,0,0,3,0,3,3,0,9,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,5,0,9,6,3,9,9,0,11,3,49,5,25,16,8,9,7,4,26,3,106,3,0,0,0,0,3,3,3,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,3,0,0,3,0,5,0,16,0,7,9,3,6,5,3,5,0,36,7,3,11,11,31,9,0,8,0,84,4,15,24,32,29,16,7,39,3,165,7,8,13,9,26,45,9,6,3,125,0,0,0,0,5,0,0,0,0,4,0,0,7,7,7,4,0,0,0,20
RA15,20,0,3,3,11,8,3,7,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,3,3,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
RA19,85,152,190,184,356,428,187,348,103,2042,0,3,8,9,18,9,5,5,3,64,0,0,0,0,0,0,0,4,0,7,0,3,10,4,13,9,4,3,0,41,0,0,0,0,0,0,0,0,0,3,0,6,3,4,4,4,3,3,0,27,0,3,3,3,5,0,0,0,0,23,3,12,23,18,18,23,4,4,0,108,4,30,41,39,30,20,15,23,4,196,0,3,3,6,5,3,0,0,0,23,0,0,3,0,3,10,4,3,0,27,0,3,4,0,9,11,3,6,0,44,0,0,6,0,3,8,3,0,0,20,4,8,14,8,20,18,7,10,0,84,4,14,5,14,16,7,3,6,0,72,10,3,4,4,22,12,11,16,0,74,9,23,17,19,26,14,6,6,3,124,13,19,32,41,30,37,12,10,0,186,3,9,4,4,10,6,6,4,0,49,3,7,3,5,11,3,3,7,0,42
RA20,24712,89664,73025,78385,221930,280411,131859,207138,23297,1130425,173,699,644,683,830,682,283,333,43,4374,67,48,103,104,140,293,121,222,3,1103,1481,5515,5232,5623,13047,9844,3928,3337,388,48393,346,279,547,684,2102,1630,582,518,29,6736,606,3379,3111,3008,3667,4403,1460,1726,235,21586,942,2445,3048,3259,7203,6129,2336,2307,169,27839,4218,32711,20892,18531,19459,12157,6167,6291,1335,121757,2085,25355,13223,9603,7422,5308,3295,4255,1097,71643,1124,2040,2788,3621,6304,5071,2071,1920,246,25183,708,1741,1767,1874,3758,3916,1723,1885,145,17501,2461,2096,4727,5302,10460,12467,4033,4345,298,46194,599,1934,1998,1931,3851,3933,1759,1900,150,18056,3187,9635,10097,10562,15477,17874,7461,9259,533,84081,1264,7434,6659,5429,7112,5407,2174,2405,424,38303,3447,3850,6417,7368,14157,9358,4822,3761,357,53534,4809,20309,19334,18813,22272,16390,10363,15727,935,128956,10015,24261,36420,44581,38063,27359,9893,11118,1921,203636,759,5777,2867,2738,2486,2415,1215,1598,214,20074,1110,7282,5507,5608,6927,4286,2145,2132,369,35382
RA21,8959,20689,13988,18825,44614,55617,31155,54401,5644,253894,451,1720,1246,1355,951,1157,544,2091,198,9705,18,32,50,50,56,84,50,90,0,425,482,1753,1400,1394,2337,1805,852,730,116,10869,93,88,156,191,363,354,98,93,7,1432,180,1125,784,758,703,811,227,335,63,4978,142,426,416,450,633,508,242,210,26,3045,1360,8292,5110,5258,4136,2233,1259,1344,326,29327,819,7600,3154,2820,1745,1129,734,1463,345,19816,215,689,575,702,765,544,304,373,43,4212,106,402,294,292,485,304,182,146,9,2210,374,390,807,878,1401,924,354,344,39,5516,114,405,409,357,737,466,229,289,25,3024,427,1822,1614,1843,1946,1430,688,841,91,10695,316,2197,1271,1167,1065,704,284,341,116,7460,1138,1393,2054,2239,3518,2345,1074,992,125,14872,1420,4297,4904,5107,4886,3280,2441,3655,268,30254,3727,6343,11585,13954,8606,6094,2241,2542,550,55638,216,1125,585,593,454,326,191,307,58,3855,308,1849,1266,1343,1371,856,433,480,104,8007
RA22,2080,4275,2864,3894,8787,11074,5829,13690,1415,53900,215,757,554,677,400,725,229,1131,112,4804,7,8,7,10,15,15,5,7,0,69,67,300,224,238,354,240,122,129,11,1688,24,8,31,24,54,63,9,16,3,231,40,171,101,134,91,112,38,51,11,747,17,90,82,97,129,101,52,41,4,617,262,1618,1002,1084,930,436,298,329,80,6051,196,1551,685,610,447,276,189,528,78,4553,41,159,149,146,136,114,65,89,13,909,22,67,35,49,80,36,20,13,0,323,61,87,134,164,176,135,38,63,3,852,17,59,64,66,130,84,40,60,0,521,78,297,223,315,376,225,94,130,14,1752,73,442,276,271,287,166,69,95,28,1705,181,271,364,405,574,433,147,142,25,2547,258,773,986,1094,947,586,511,814,67,6034,786,1215,2241,2819,1676,1402,439,564,135,11271,29,169,78,95,60,36,29,44,7,547,60,309,241,259,244,129,65,90,20,1415
RA23,24,57,50,59,69,107,55,198,16,637,3,13,8,17,4,8,6,19,4,89,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,11,12,7,3,3,4,8,0,47,3,20,7,6,4,4,0,13,3,62,0,8,0,0,0,6,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,12,3,5,3,3,0,3,3,0,0,24,3,15,13,22,15,5,10,16,0,98,5,14,30,28,11,16,0,4,3,110,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,12
RA25,0,0,0,0,0,0,0,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,64,96,107,108,210,272,113,215,53,1242,0,0,6,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,3,0,7,7,10,3,0,24,0,0,0,0,0,3,0,0,0,4,0,3,0,3,4,3,0,4,0,20,0,0,0,0,5,7,0,0,0,12,0,14,8,14,13,9,3,4,0,62,6,22,18,28,18,8,9,15,4,130,0,3,3,3,3,3,0,3,0,23,0,3,0,0,0,0,6,4,0,9,4,3,0,0,9,5,0,0,0,22,0,0,0,0,4,3,0,0,0,13,0,5,6,3,10,15,4,7,0,59,0,8,3,3,6,3,0,6,0,37,8,0,3,3,7,8,4,0,0,36,3,16,9,13,11,9,0,6,6,70,10,11,20,31,13,20,16,8,0,139,0,3,0,6,0,4,0,8,0,28,0,6,6,3,7,6,0,0,0,38
RA30,17523,54489,43007,55692,139303,158406,85770,154934,13087,722218,82,515,518,630,612,501,189,350,45,3438,213,99,188,226,527,829,425,753,14,3278,654,2516,2333,3044,6373,4457,2073,1832,196,23472,167,129,276,356,802,947,368,325,13,3395,479,2454,2128,2410,2945,3597,1372,1773,151,17309,323,1077,1257,1632,3454,2807,1247,1178,69,13039,2576,19319,13201,13841,14283,6672,4086,4369,788,79133,1559,17813,9979,9291,6548,4271,2727,3801,715,56708,844,1372,1997,2516,4263,3206,1513,1624,192,17531,278,884,879,1031,2065,1318,668,865,40,8027,1195,1191,2202,2996,6879,4991,2048,2123,151,23780,417,1710,1609,1887,3501,3363,1427,2130,99,16145,1631,5687,5719,6259,9324,9217,3986,5394,295,47521,891,5335,4620,4075,5009,3798,1633,2204,279,27836,2727,1851,3558,4410,13595,8176,3775,2807,312,41206,3750,13694,11844,16108,14923,11354,6480,10808,598,89562,7126,14022,22902,31131,32649,19102,7073,8257,1261,143535,492,3076,1788,2065,1708,1381,694,889,139,12239,755,4979,3932,4502,5015,3236,1677,1645,259,26018
RA31,6748,14550,10210,14773,36557,36477,24777,52186,4296,200581,211,986,767,1022,711,920,434,1317,129,6505,92,77,80,87,194,204,177,488,15,1423,190,797,655,895,1522,1180,664,596,58,6550,57,62,104,136,285,342,80,84,10,1151,150,921,635,676,721,763,329,575,40,4804,102,329,300,407,668,535,266,252,16,2868,873,5913,4029,4634,4200,1603,1240,1417,234,24136,485,5033,2624,2820,1608,933,616,1353,240,15712,171,593,543,636,773,612,344,501,40,4211,48,191,120,181,298,166,94,110,7,1218,235,261,418,572,1248,661,316,302,28,4051,102,418,312,380,937,524,291,450,32,3436,308,1306,1098,1275,1832,1214,568,816,62,8488,217,1690,969,1027,1049,622,276,476,85,6422,623,611,862,1037,3280,1619,847,623,82,9580,1182,3706,3694,5791,4029,2888,1948,3424,202,26872,2271,3663,6629,9637,9122,4992,1954,2463,448,41179,84,669,283,318,251,193,93,193,33,2114,249,1557,1060,1232,1244,768,422,491,74,7096
RA32,5348,10379,7286,10836,26343,28223,19381,43897,3569,155261,219,863,755,913,659,885,383,1692,109,6471,156,76,85,111,178,193,303,860,26,1973,90,432,323,441,709,618,312,366,40,3332,39,39,55,77,182,231,88,87,5,802,118,507,376,460,553,527,236,348,33,3165,68,171,204,277,456,382,174,207,18,1966,615,4142,2786,3431,3349,1311,997,1079,163,17858,466,3601,2073,2603,1762,1000,795,1504,212,14028,157,445,472,642,823,602,371,491,47,4051,37,110,86,146,260,123,81,81,11,938,145,189,315,388,671,462,195,229,19,2619,86,258,213,275,723,457,234,349,20,2618,218,805,699,920,1340,918,482,638,50,6076,188,1126,756,958,1037,650,297,530,76,5621,676,487,719,898,3373,1712,867,818,82,9633,892,2519,2547,4121,3001,2186,1495,2859,153,19775,1618,2278,4040,6156,6739,4209,1467,1861,290,28663,73,446,228,265,301,169,111,158,23,1774,162,965,687,902,1029,627,375,467,60,5280
RA33,646,814,522,865,1823,2593,2771,7715,461,18211,56,211,153,153,122,255,95,834,49,1925,60,22,26,43,40,118,221,316,9,855,5,36,27,31,45,60,29,38,3,275,0,6,3,12,8,16,3,10,0,56,7,39,25,27,39,35,16,48,6,250,6,11,15,19,38,35,22,24,0,172,38,271,173,251,275,114,68,139,9,1335,34,216,151,197,230,205,155,285,21,1490,18,59,34,51,54,74,46,57,6,395,5,25,5,9,12,9,0,6,0,73,7,9,16,22,36,20,23,8,0,144,8,19,13,18,28,25,15,26,3,162,13,56,30,49,56,47,38,48,7,347,16,115,62,83,88,59,42,83,9,559,50,58,49,84,320,149,72,71,10,865,89,253,270,492,244,223,143,297,22,2044,148,187,259,383,464,416,114,168,25,2166,0,27,19,19,20,8,7,17,0,113,25,82,58,67,76,61,38,49,9,460
RA34,407,651,351,634,1561,2061,1449,4425,395,11934,52,97,61,99,67,242,73,854,45,1585,29,5,3,13,14,11,136,68,0,280,3,12,9,22,28,15,11,29,0,137,0,3,0,3,3,7,0,3,0,16,10,16,13,16,24,26,9,53,0,168,3,13,8,9,20,21,6,16,0,97,29,126,102,163,166,89,78,106,13,866,24,106,82,97,68,79,87,242,21,818,0,37,30,18,41,37,19,37,8,228,0,9,3,9,14,8,0,4,0,44,6,5,9,15,18,22,6,6,0,88,3,9,7,4,12,8,5,15,0,58,5,24,22,25,37,30,12,36,0,198,11,58,30,40,37,49,8,38,4,288,48,87,91,111,404,202,82,118,25,1165,72,184,151,411,205,185,126,286,25,1644,104,124,155,199,362,458,90,200,29,1727,8,10,10,8,16,16,8,16,7,91,17,63,39,51,78,45,17,30,8,349
RA35,4,4,0,0,8,3,3,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,107,118,119,193,262,299,142,404,100,1743,4,7,20,39,43,30,24,41,9,216,0,0,3,0,0,0,0,7,0,19,3,5,9,4,13,3,0,4,0,37,0,0,0,0,0,0,0,0,0,3,4,0,5,7,0,0,3,5,0,23,0,0,3,3,3,3,0,0,0,12,6,17,21,19,11,3,9,5,4,89,4,37,38,40,31,18,20,29,12,230,8,0,4,3,8,3,0,5,0,28,0,0,0,3,0,0,0,0,0,9,3,0,3,0,4,0,0,3,0,17,0,3,0,0,0,3,3,5,0,16,6,9,4,7,11,19,5,9,0,63,5,13,20,10,7,4,8,14,0,85,7,3,5,8,29,9,0,4,0,56,8,14,15,16,12,9,3,13,0,88,15,22,23,27,30,34,5,20,0,171,3,7,4,5,0,3,0,0,0,33,3,14,6,4,3,4,3,4,3,50
RA40,7792,25421,17443,24289,65513,57691,34889,48006,4667,285707,65,303,234,269,260,225,95,163,32,1637,50,36,50,79,162,178,99,154,11,807,348,1448,1205,1541,3058,1626,834,681,82,10820,104,90,164,217,632,354,168,94,8,1829,180,1076,747,819,950,910,418,327,47,5463,147,475,513,701,1325,815,385,316,19,4686,1306,9661,5546,6036,5217,2141,1557,1273,306,33038,618,7525,3440,3266,1939,1153,876,1039,259,20119,251,503,532,781,1051,674,356,390,39,4571,137,422,377,435,833,473,216,215,22,3144,555,576,1249,1623,3008,1606,793,609,48,10075,124,486,422,528,1029,667,329,368,36,3976,647,2195,2041,2410,3469,2422,1247,1318,87,15845,385,2544,1954,1663,1988,995,522,571,105,10720,1345,912,2099,2757,6561,3414,1666,1211,119,20076,1496,4910,4785,5737,6025,3960,2737,4049,222,33921,3694,7862,11800,16297,15004,5888,2862,3219,594,67236,147,1291,556,651,536,388,216,218,42,4046,352,2094,1624,1883,2096,1072,574,507,105,10310
RA41,1801,4022,2882,4128,8944,10010,6093,10698,869,49450,98,435,306,355,250,275,120,303,38,2169,12,12,12,11,14,15,10,34,0,124,113,484,353,496,565,505,236,198,27,2970,14,15,15,24,48,28,20,14,3,179,45,235,151,183,148,129,36,69,11,1009,37,97,87,96,153,181,78,60,12,797,275,1532,1033,1228,909,370,278,273,57,5963,152,1496,686,622,303,172,157,268,49,3904,41,154,136,138,130,112,47,106,10,875,16,56,43,51,92,36,23,18,6,345,57,93,128,216,259,135,67,56,7,1031,32,95,82,79,180,88,55,62,0,677,81,333,309,347,396,213,134,134,13,1957,77,546,288,280,261,158,97,96,21,1809,172,126,299,372,691,424,175,160,15,2421,274,734,874,1094,773,558,465,751,32,5559,623,1263,1989,2620,1863,697,400,455,86,10011,31,154,88,77,66,56,26,52,8,556,72,386,214,286,253,130,77,94,13,1527
RA42,1520,2837,1806,2741,6706,7150,4681,9784,875,38100,162,575,378,470,313,431,175,557,60,3115,10,7,7,14,21,20,17,60,0,159,65,212,152,187,362,217,126,126,10,1460,17,12,14,19,21,16,6,9,0,108,22,121,89,75,102,75,34,47,5,576,23,48,57,75,116,62,38,39,8,462,189,1098,811,949,600,296,216,262,42,4462,115,1135,535,460,215,152,109,257,47,3024,19,119,109,88,77,70,46,58,3,596,9,33,23,23,59,24,17,14,6,202,42,71,99,135,128,100,25,31,0,632,17,67,50,52,98,33,23,29,0,370,43,139,132,187,173,101,69,75,9,925,46,393,185,196,186,87,59,100,18,1261,128,100,215,249,509,282,96,112,14,1703,223,487,686,839,583,398,350,628,33,4210,478,909,1521,1938,1345,619,293,412,83,7593,4,75,26,34,26,24,7,18,4,211,43,249,136,175,157,112,56,52,11,985
RA43,448,743,587,796,1466,1782,1307,3357,242,10715,47,157,109,141,79,143,58,206,21,951,12,3,19,15,13,37,39,85,3,229,22,64,60,54,43,25,12,22,3,295,0,0,0,0,8,5,3,0,0,25,3,48,25,27,21,25,6,19,0,182,9,27,17,27,39,22,13,13,0,165,47,338,208,268,154,69,62,72,12,1228,26,267,165,141,65,38,59,112,19,890,16,36,30,48,28,20,13,30,4,213,0,12,6,3,14,4,4,0,0,49,13,24,36,35,41,23,12,15,0,186,5,14,14,22,28,17,4,9,0,110,13,58,51,43,50,34,12,25,0,274,8,105,59,49,39,28,13,31,10,346,31,37,59,71,109,60,34,26,0,433,55,153,216,220,137,89,89,155,10,1127,115,198,311,410,291,117,68,88,21,1608,5,21,18,11,15,5,4,6,0,96,3,73,50,71,33,29,15,20,3,300
RA44,133,186,164,225,411,493,275,1098,101,3084,9,37,25,32,18,35,16,93,5,285,0,3,5,0,5,3,11,22,0,56,0,0,5,7,0,3,3,8,0,28,0,0,0,0,0,3,0,0,0,5,0,4,8,13,15,6,3,3,0,47,0,3,3,3,9,12,7,3,0,41,3,50,37,37,39,15,23,28,3,238,9,38,20,33,35,17,13,52,3,219,0,11,7,11,0,0,4,3,0,39,0,0,0,0,3,0,0,0,0,3,0,4,4,3,4,3,0,0,0,21,0,0,3,0,17,4,0,0,0,22,3,10,3,11,5,3,8,7,4,52,5,20,15,28,18,7,0,11,0,96,9,3,13,14,45,28,14,11,0,138,25,52,66,76,66,63,45,68,6,470,40,47,54,97,114,58,21,31,13,482,3,3,3,17,10,3,0,0,0,42,3,9,9,19,5,15,3,7,3,76
