RA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
RA10,83367,14775,18903,23401,24393,25084,14213,7864,289134,36,22,72,22,19,19,24,17,20,863,1109,66199,44632,98912,19865,24399,29143,29936,30502,17312,11224,372120,43540,19317,16429,3009,2628,2221,1893,1697,893,2149,93781,70014,51048,48982,6583,6961,6820,6157,5785,3129,3247,208732,5368,5659,7411,1380,1911,2276,1895,1821,1177,1151,30054,513,346,307,43,45,68,45,43,18,90,1525,75896,57051,56703,8006,8922,9163,8106,7647,4317,4491,240311,72,41,33,5,7,8,4,3,4,627,806,119503,76412,73160,11024,11555,11392,10001,9345,5218,7267,334892,77000,11763,7007,1167,1080,844,730,647,353,2427,103016,109364,22130,13194,1817,1752,1662,1335,1106,595,2874,155834,20023,6292,6170,1117,1376,1578,1363,1331,969,1839,42046,820,165,122,19,24,18,12,17,9,102,1316,130212,28590,19483,2953,3156,3255,2712,2446,1576,4808,199195,131,32,14,3,0,0,3,0,0,494,686,207346,40384,26507,4125,4230,4097,3452,3104,1926,7728,302896,78227,3690,1852,348,341,280,243,250,121,2004,87359,104112,6292,2845,483
RA11,2956,569,831,771,872,1042,573,339,9143,4,3,4,0,3,0,0,0,0,338,355,2486,1320,4196,918,1185,1046,1134,1320,707,911,15233,5320,1799,1459,225,254,195,156,132,63,416,10009,1434,1316,2391,362,504,419,345,301,159,171,7397,65,88,229,61,65,67,61,79,46,34,804,13,9,24,3,3,3,0,3,3,7,68,1513,1413,2643,429,573,491,405,383,210,210,8267,3,3,6,0,0,0,0,0,0,283,296,6840,3206,4108,651,821,688,563,509,269,915,18572,13308,1431,1122,192,163,142,106,79,34,649,17212,2803,875,835,132,130,97,81,79,41,168,5237,191,83,163,39,53,46,38,35,35,56,745,27,13,7,0,3,3,0,0,0,6,56,3016,970,1012,175,187,149,118,113,75,230,6036,24,0,0,0,0,0,0,0,0,192,220,16346,2399,2132,369,351,292,220,186,103,1064,23463,18660,749,429,73,76,43,41,37,20,689,20826,3464,278,180,35
RA12,649,112,182,228,250,260,118,150,2209,0,0,0,0,0,0,0,0,0,69,74,469,328,924,196,287,305,309,315,149,298,3579,1033,339,235,39,50,26,31,23,12,94,1889,300,268,486,84,117,120,73,58,21,54,1583,16,31,56,13,15,12,12,22,11,15,214,7,6,3,3,4,3,0,3,0,4,30,321,306,550,103,135,138,87,83,31,67,1829,4,0,3,0,0,0,0,0,0,44,50,1360,642,785,139,183,168,119,113,47,207,3764,2825,287,203,33,34,19,21,15,11,167,3614,591,194,232,36,61,26,25,26,5,36,1241,59,30,39,10,17,6,17,14,7,18,217,14,4,0,0,0,0,0,0,0,3,22,658,232,268,49,77,34,39,44,12,55,1480,6,0,0,0,0,0,0,0,0,35,44,3496,517,468,80,114,55,60,58,19,258,5131,4429,189,95,23,22,16,13,14,3,247,5049,765,104,58,10
RA13,52,18,26,12,18,23,10,14,183,0,0,0,0,0,0,0,0,0,0,0,22,19,89,31,32,22,32,31,11,22,311,36,20,30,6,3,0,3,0,0,7,109,9,7,64,5,4,13,3,4,6,3,128,0,0,0,0,0,0,3,0,0,3,5,0,3,0,0,0,0,0,0,0,0,5,9,13,65,9,9,10,4,4,7,14,142,0,0,0,0,0,0,0,0,0,0,0,47,34,101,18,8,14,8,6,7,14,257,113,13,15,3,3,4,0,0,0,4,158,28,11,22,3,3,4,3,0,0,0,74,5,0,6,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,34,11,23,3,3,4,3,5,0,5,83,0,0,0,0,0,0,0,0,0,0,0,149,24,38,3,8,8,5,5,0,7,238,150,9,15,3,0,0,0,3,0,5,182,53,4,3,0
RA14,6,3,0,0,6,3,0,0,21,0,0,0,0,0,0,0,0,0,5,5,5,0,10,3,3,0,8,0,0,5,45,12,12,0,0,0,0,0,0,0,0,22,3,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,9,12,5,0,0,0,0,0,0,3,32,18,4,0,0,0,0,0,0,0,3,29,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,32,4,0,0,0,0,0,0,0,6,46,36,0,0,0,0,0,0,0,0,0,34,0,0,0,0
RA15,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,3,10,5,0,0,0
RA19,73,22,27,23,69,113,137,50,573,0,0,0,0,0,0,0,0,0,38,38,80,25,85,23,34,29,90,160,188,109,829,63,14,17,7,3,4,0,6,17,10,142,52,19,27,3,3,4,3,13,37,12,171,4,5,4,0,0,0,0,0,8,3,25,0,0,0,0,0,0,0,0,0,0,4,58,23,31,3,6,3,7,9,45,13,201,0,0,0,0,0,0,0,0,0,37,39,122,40,52,11,7,4,13,15,63,61,382,135,13,12,3,3,3,0,0,6,9,184,63,8,8,0,0,4,0,3,9,5,97,4,5,0,3,0,0,3,0,6,3,31,0,0,0,0,0,0,0,0,0,0,0,68,11,11,3,0,4,3,3,14,13,124,0,0,0,0,0,0,0,0,0,57,57,207,27,23,9,6,3,3,4,15,79,367,175,10,10,0,0,0,0,3,3,12,220,61,4,4,0
RA20,80485,13140,16999,19708,20073,19783,11324,5982,244290,22,22,57,14,8,14,12,10,12,636,808,46520,37771,94643,17546,21827,24212,24303,23918,13727,8605,313068,33382,12711,12395,2546,2299,1797,1486,1399,662,1703,70374,46806,35387,44723,5903,6542,5884,5106,4836,2464,2394,160044,3755,3650,6089,1276,1689,2127,1630,1611,1020,886,23736,341,254,316,24,43,53,33,25,17,76,1188,50897,39293,51136,7208,8274,8065,6768,6479,3495,3354,184968,51,34,27,6,7,9,5,3,3,380,526,84327,52037,63557,9754,10578,9875,8260,7878,4167,5429,255872,56924,8744,6731,1115,1003,712,622,507,296,1780,78425,69202,15173,13798,1875,1843,1601,1290,1138,594,2049,108563,12685,3782,5083,1083,1329,1534,1252,1270,889,1513,30419,562,128,106,11,22,14,17,9,5,87,961,82454,19090,18980,2974,3198,3149,2554,2412,1490,3649,139945,75,15,21,0,0,7,0,4,3,264,392,139455,27848,25731,4088,4199,3859,3174,2923,1785,5697,218761,64455,3082,1823,338,295,280,228,200,113,1661,72480,72986,4654,2730,470
RA21,3028,450,618,631,693,757,391,307,8043,3,3,3,0,0,0,0,3,0,227,242,1943,1237,4006,678,874,867,882,934,484,716,12615,3890,1329,1182,258,170,168,128,114,38,285,7563,995,1153,2110,303,294,280,214,194,101,141,5782,73,100,228,46,60,87,64,49,42,35,784,14,10,21,0,0,3,0,3,0,3,54,1079,1260,2356,348,356,369,278,245,142,178,6611,10,3,0,0,0,0,0,0,0,211,234,4973,2601,3535,609,525,534,400,357,185,676,14405,9472,1150,909,131,129,83,80,51,31,503,12538,1862,601,756,105,102,81,66,57,38,106,3787,149,108,199,32,33,44,37,42,31,44,715,22,4,9,0,0,0,0,3,0,10,44,2033,710,964,145,138,134,106,103,69,152,4548,18,0,6,0,0,0,0,0,0,156,186,11525,1864,1876,273,268,213,185,151,100,818,17272,14105,495,347,56,47,44,38,35,22,571,15760,2795,206,156,21
RA22,622,120,184,199,217,236,145,160,2133,0,0,0,0,0,0,0,0,3,12,19,330,214,809,171,241,252,257,275,178,204,2933,573,187,157,27,21,25,17,19,9,52,1086,213,212,436,55,78,68,54,38,30,41,1234,38,30,87,24,26,18,11,17,12,21,283,3,4,0,0,0,0,0,0,0,3,16,251,251,520,80,104,87,63,59,49,64,1529,3,0,0,0,0,0,0,0,0,3,6,829,439,684,104,123,113,85,79,55,115,2627,1459,182,121,18,22,27,11,17,4,70,1918,388,142,140,29,19,27,20,7,8,38,816,78,28,74,26,33,21,7,18,11,17,307,6,0,0,0,0,0,0,0,0,0,8,470,167,215,53,55,42,25,22,22,59,1130,8,0,3,0,0,0,0,0,0,3,16,1934,352,339,72,74,72,37,37,27,134,3064,2561,91,57,8,12,19,3,6,0,103,2859,575,52,37,4
RA23,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,14,6,0,3,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,3,22,21,0,3,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,3,0,3,37,53,0,3,0,0,0,0,0,0,0,59,11,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,59,10,15,20,40,81,97,32,408,0,0,0,0,0,0,0,5,0,28,34,44,36,85,16,25,26,55,123,148,77,634,47,11,11,5,0,5,0,0,16,8,100,19,15,17,7,5,3,5,5,23,8,102,0,0,8,3,0,3,3,5,4,6,31,0,0,0,0,0,0,0,0,0,0,0,20,11,22,5,3,8,10,10,31,16,136,0,0,0,0,0,0,0,0,0,33,38,69,22,28,9,3,10,10,13,44,51,268,65,19,9,0,0,0,0,0,0,9,99,46,4,15,3,3,0,0,0,0,4,74,6,0,0,0,0,0,3,0,0,6,17,0,0,0,0,0,0,0,0,0,3,5,50,4,15,3,3,0,4,0,4,14,94,0,0,0,0,0,0,0,0,0,22,25,118,26,25,5,3,0,3,0,3,45,226,66,5,5,0,0,3,0,0,0,8,92,30,0,3,0
RA30,26365,4838,6011,7419,7876,7811,4725,2841,85927,21,10,30,3,3,17,13,11,4,314,425,25517,17296,39431,8303,9465,10333,10453,10244,6178,4812,142033,30491,12094,13863,2490,2270,1666,1275,1115,559,1576,67385,14825,12550,18631,2749,2823,2415,2031,1927,1030,959,59928,823,1016,2348,405,512,652,478,468,407,270,7377,120,81,132,21,25,20,8,23,6,19,447,15764,13650,21114,3168,3364,3083,2522,2420,1435,1246,67755,41,16,23,3,4,3,8,0,0,217,306,46291,25754,35001,5655,5637,4748,3801,3531,1995,3036,135457,50693,11580,11253,1580,1372,951,761,605,305,1643,80739,20026,6839,7426,1044,1005,744,603,503,307,623,39119,2598,1195,1704,287,328,405,315,301,284,369,7797,153,60,47,15,5,12,6,3,5,22,329,22772,8096,9182,1342,1341,1164,930,812,596,1016,47242,64,12,23,6,0,0,0,0,0,137,244,73534,19680,20453,2925,2714,2115,1692,1414,899,2792,128224,51932,5305,4053,636,546,450,348,302,160,1381,65127,19725,2493,1765,257
