RA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
RA10,158,555,546,618,1078,1308,597,1460,115,6440,513,178,244,283,2115,2227,2134,3904,114,11714,1808,2984,3876,3969,27867,26633,15283,20548,925,103900,394,312,402,499,4476,5117,2156,3511,158,17019,3699,6977,9991,12095,25081,56693,23088,45184,2762,185578,792,1691,2015,1943,12486,15723,7526,11829,396,54395,2434,16002,12831,10002,21264,19354,9953,17269,1343,110455,1973,18563,15752,8888,12194,10744,6085,12275,1241,87717,2792,4811,5931,7886,18360,21643,11920,23058,1463,97870,691,1801,1436,1632,8844,12215,5036,8282,282,40220,1528,1703,1905,2913,15731,25277,10647,20093,577,80372,398,1432,1309,1320,3541,6486,3233,7378,218,25316,2071,6287,6016,6183,19947,42612,16697,34124,954,134896,996,4867,5685,4691,8527,9645,3665,6041,592,44708,2919,2498,2630,3288,25545,19569,13221,11720,784,82175,1462,10427,4968,4723,12639,12314,5988,10682,624,63831,1889,5128,6421,7731,16470,17301,6454,11619,711,73729,593,3977,2135,2282,3506,4400,1915,3549,286,22643,852,3327,3208,3499,10110,12399,6096,10207,591,50291,1716,5027,5210,4508,13478,17163,5624,10951,14986,78667
RA11,529,1328,1311,1612,2073,3122,1550,6385,332,18247,546,134,209,298,1335,1616,2488,4621,169,11416,707,878,926,1625,6649,6543,3990,5378,302,27000,218,90,146,307,2029,1611,856,1015,72,6346,1329,2074,2456,3520,7239,13666,5757,11616,709,48365,199,402,294,426,1619,2009,1397,2285,83,8707,713,4183,2233,2690,5189,3721,2579,4207,302,25816,587,5016,2173,2267,2565,1983,1225,3043,323,19175,741,1221,1393,1595,2615,2913,1984,5822,303,18599,87,242,168,209,700,676,373,602,19,3079,123,211,158,223,629,1023,503,934,30,3838,96,336,219,237,494,762,497,1208,25,3865,282,1028,795,1043,1880,2811,1387,3265,119,12604,295,1378,976,1253,1482,1529,610,1151,161,8842,1046,720,717,993,8159,5220,4076,3429,252,24608,461,1539,1115,1365,2975,2806,1461,2819,155,14699,618,1190,1601,2443,3871,3336,1299,2268,192,16816,145,778,338,396,718,602,314,601,56,3939,313,787,610,827,2721,3118,1743,3176,154,13454,563,1117,776,931,2276,2637,1099,2193,2964,14551
RA12,658,1115,1009,1416,1747,3704,1974,10795,412,22817,188,55,54,90,279,428,824,1922,84,3930,208,254,296,492,2020,1988,1120,1370,98,7831,66,48,38,81,596,524,211,249,22,1833,404,557,658,854,1706,2756,1208,2589,212,10950,39,138,110,120,415,616,390,682,25,2527,185,941,485,565,1249,857,643,1086,102,6116,126,1015,502,544,570,427,303,996,96,4591,225,385,411,429,614,780,452,1547,114,4959,15,47,26,30,147,126,74,80,6,551,23,30,37,36,93,119,70,145,6,556,16,62,40,52,94,157,80,251,13,766,76,200,141,190,356,435,246,623,28,2300,74,345,219,225,284,293,126,270,31,1872,265,168,163,248,2316,990,887,626,87,5751,112,338,271,362,549,551,342,666,33,3222,159,245,335,465,756,627,228,470,47,3330,65,138,71,107,229,183,86,214,15,1108,86,250,178,196,730,917,453,853,57,3708,189,342,255,271,657,738,317,688,1041,4508
RA13,67,91,73,135,179,439,208,1723,59,2979,34,18,15,18,24,66,167,375,12,715,9,8,0,15,32,42,31,51,3,184,4,0,0,3,30,40,3,6,3,97,11,20,21,24,65,94,39,129,16,405,5,3,3,9,7,20,15,38,0,105,8,34,18,28,46,28,28,57,3,243,3,24,19,27,11,24,10,48,0,176,9,19,14,14,31,43,10,65,10,216,0,3,0,0,3,5,7,11,0,31,0,0,0,4,3,3,0,0,3,10,0,0,0,0,5,6,0,6,3,21,0,4,5,6,11,10,4,21,0,60,7,19,10,17,4,10,3,12,6,92,23,10,16,16,183,74,70,47,0,445,0,19,3,28,37,39,20,43,3,194,3,16,10,16,51,40,12,33,0,184,3,3,3,6,12,13,7,7,0,54,9,9,6,9,29,56,19,47,0,179,21,20,20,17,38,35,20,59,98,330
RA14,4,7,11,19,18,68,31,274,8,443,3,0,3,0,0,3,11,28,0,57,0,0,0,0,0,0,0,3,0,4,0,0,0,0,9,7,3,3,0,22,0,4,0,0,3,15,7,31,0,67,0,0,0,0,0,3,0,10,0,13,0,0,3,3,0,5,0,13,0,22,6,6,4,13,7,7,10,24,5,75,3,3,4,4,0,0,0,16,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,4,0,0,3,4,0,3,0,15,0,3,0,0,4,3,5,3,0,29,7,3,4,7,44,39,18,20,4,142,0,4,0,12,13,12,0,14,0,52,0,0,3,6,4,9,3,9,0,37,0,0,0,0,15,6,0,0,0,21,0,0,5,5,3,9,0,4,0,28,4,3,3,0,5,5,4,13,26,63
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
RA19,0,7,9,17,8,9,9,20,3,79,3,0,0,0,5,3,8,12,0,30,4,6,8,7,37,26,21,13,5,134,0,0,3,3,3,4,0,4,0,23,12,24,37,35,49,97,38,55,17,359,4,0,0,0,9,13,3,7,0,48,14,3,9,11,27,28,11,12,3,119,3,20,41,21,37,32,7,31,3,191,10,9,11,11,23,23,14,40,6,152,0,0,5,0,13,3,0,8,0,30,0,0,3,3,11,12,3,8,0,42,0,0,0,0,3,6,5,7,0,26,11,6,16,11,16,45,8,21,0,135,5,15,11,13,13,16,6,4,0,84,10,8,5,3,16,26,23,35,6,134,3,15,3,5,13,9,3,6,0,61,4,0,14,13,18,15,8,7,3,83,3,10,4,6,14,6,3,7,3,62,0,5,5,8,12,20,3,9,0,71,7,20,11,8,23,32,12,22,50,174
RA20,207,613,577,626,1281,1590,681,1581,117,7279,208,89,64,65,328,711,444,1486,29,3427,2054,3349,3780,4784,32941,30587,17067,20167,1023,115763,311,331,369,493,4005,4414,2085,2895,141,15041,3352,4926,6321,9716,23376,48948,19559,33682,2154,152031,774,1813,1854,1993,10827,13322,6775,9397,323,47082,2104,16504,10312,8855,18746,16634,9207,14435,1107,97898,1423,17370,11550,6810,8720,7742,4804,9389,1074,68895,2264,3628,4921,6802,14995,18987,10794,17181,1226,80785,531,1453,1194,1400,6786,8577,3480,5100,241,28757,987,1079,1345,1846,9424,17537,6406,10905,368,49900,299,1010,874,1031,2836,4185,2377,5573,172,18353,1823,5517,4604,5699,17305,34332,13712,24985,728,108724,842,4532,5077,4397,7734,7239,3087,4606,520,38026,2015,2392,2107,2732,14748,15009,8114,7227,474,54825,1134,8810,4266,4428,11133,10888,5827,10190,527,57203,1569,4211,4787,7429,11906,11571,5938,8684,587,56686,601,4889,2235,2390,3547,4301,1943,3528,261,23697,693,2798,2836,2992,9004,9970,4819,7334,488,40938,1505,4344,3945,3890,12284,13882,4748,8793,11730,65133
RA21,761,1490,1221,1663,2021,3384,1869,8898,411,21720,244,86,71,68,340,441,578,1586,50,3455,949,1022,1024,1631,7510,7783,5430,5449,323,31113,323,153,171,260,1656,1604,962,1146,58,6326,1338,1488,1682,2775,6300,13027,5398,9442,631,42076,232,371,358,415,1542,1856,1269,1809,72,7929,613,3717,1668,1880,3827,3071,2158,3127,276,20337,403,4019,1320,1268,1428,1236,837,1963,235,12705,643,824,906,1133,2104,2813,1993,4618,275,15310,90,227,135,178,698,651,452,539,26,2995,102,140,126,192,727,1027,568,822,25,3728,87,170,130,135,354,533,342,848,26,2618,286,791,611,886,1624,2527,1311,2483,77,10591,216,1001,707,803,1121,1104,497,859,104,6426,839,581,509,757,3930,4320,2429,2241,150,15760,325,1238,879,1052,2249,2063,1402,2228,106,11547,529,964,1052,1898,2452,2485,1136,1612,124,12248,147,764,326,375,663,605,306,634,55,3876,272,690,495,691,2082,2603,1256,2073,127,10288,552,955,614,752,1999,2482,984,2012,2499,12849
RA22,409,634,535,850,1080,2189,1085,5574,250,12605,55,15,16,15,52,72,87,318,13,641,157,168,163,260,1142,1148,805,807,56,4710,39,39,39,35,249,305,128,165,16,1013,263,257,255,501,1052,1922,815,1303,105,6468,51,91,67,74,327,426,295,416,13,1759,122,751,292,350,851,643,423,567,59,4059,110,681,289,276,352,312,187,626,44,2876,161,227,224,232,435,587,386,1178,64,3499,19,38,20,10,118,56,48,61,7,378,16,21,17,24,78,119,45,99,3,419,16,29,15,21,66,80,55,126,3,413,35,107,80,128,215,309,175,341,22,1409,47,237,141,145,228,206,75,185,18,1275,186,99,96,132,724,715,349,273,36,2608,59,208,137,186,419,305,227,460,39,2035,101,199,203,291,426,479,202,268,29,2209,30,112,32,51,151,93,58,88,13,627,56,154,98,132,422,575,229,413,28,2113,153,203,156,168,387,528,158,427,602,2787
RA23,10,18,14,22,15,48,24,137,6,281,0,0,0,0,0,0,0,7,0,9,3,7,0,0,5,7,3,3,0,24,0,0,0,0,3,3,0,0,0,12,3,3,5,9,7,9,5,4,0,56,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,12,0,27,0,3,11,0,3,4,0,10,0,32,0,3,4,0,3,11,3,6,0,30,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,6,3,3,0,0,0,0,0,14,0,3,0,3,13,11,6,4,0,35,0,0,3,10,3,5,8,11,0,39,0,3,3,0,0,3,0,0,0,13,0,0,0,0,10,3,0,0,0,17,0,3,0,0,0,3,0,4,0,11,0,0,0,3,0,3,0,3,5,24
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA29,3,0,3,9,8,10,3,7,0,45,3,0,0,0,0,0,0,7,0,7,8,3,5,8,23,26,7,14,8,107,0,3,4,0,3,7,0,4,0,17,5,12,10,13,22,58,20,41,3,182,0,0,3,3,11,8,3,0,0,35,3,5,6,11,15,18,3,10,0,70,3,15,17,14,22,19,12,13,3,116,7,4,0,6,18,25,16,25,4,111,0,0,0,0,4,0,3,0,0,20,0,3,0,0,3,8,0,10,0,26,0,0,0,0,3,4,0,6,0,13,3,3,3,3,10,21,7,15,3,71,3,7,10,4,7,4,5,6,0,52,3,3,3,3,15,20,17,20,0,78,4,7,9,6,3,5,3,6,0,44,4,5,10,11,6,8,3,6,0,51,0,10,4,4,3,12,3,12,0,41,0,10,3,0,7,12,8,14,0,54,9,3,8,4,19,10,5,8,27,94
RA30,113,418,432,563,811,1027,517,1312,56,5244,748,165,169,210,1012,1883,1461,5965,108,11717,1180,1632,1753,2828,17132,14545,9668,12273,516,61535,293,170,196,321,2053,3100,1504,2430,64,10123,2460,3725,4438,7681,14966,30062,15985,32418,1375,113112,443,849,819,1150,6004,6651,4048,5887,184,26040,1309,9712,6017,6478,11786,8896,5694,10110,606,60605,968,12038,6899,5577,5968,4757,3171,6725,630,46732,1736,2161,3027,4722,10336,10322,6849,13446,763,53360,262,731,534,686,2992,2872,1398,2321,96,11905,357,540,653,907,4528,5625,2602,4876,108,20196,237,990,792,1148,2153,3167,1735,4877,128,15234,993,3117,2499,3086,8530,16438,7376,15174,333,57557,558,2875,3080,2976,4592,4384,1987,3452,290,24187,1894,1322,1410,2097,14226,12367,7062,6660,419,47456,859,4728,2369,3887,7082,6882,3537,6604,307,36243,1268,2711,3089,5137,10119,8875,3763,6510,384,41853,356,2324,1180,1568,2387,2283,1028,1868,136,13129,521,1831,1595,2219,5756,6441,3465,5531,281,27640,971,2457,2061,2452,6868,7817,2928,6490,6298,38347
RA31,346,756,702,1084,1300,2061,1190,5378,235,13053,795,137,197,214,1039,1004,1792,6355,180,11717,531,594,527,1064,5036,4661,4084,4392,254,21147,173,93,94,174,1162,1206,684,1022,35,4659,925,1269,1197,2096,4291,6866,4046,9232,436,30358,170,308,199,328,1663,1547,1164,1784,53,7212,424,2580,1304,1689,3189,1994,1546,2762,193,15677,264,2868,1129,1155,1052,789,592,1581,147,9571,652,686,786,1021,2362,2387,1850,5171,254,15157,53,131,89,110,424,339,185,307,11,1648,60,83,79,100,431,508,281,597,11,2152,54,181,138,188,314,434,339,936,38,2616,211,535,383,461,1117,1630,857,2486,47,7719,179,794,519,662,837,796,414,861,78,5134,598,396,344,546,4184,2772,1867,1661,135,12503,275,900,595,1124,1777,1532,989,1732,100,9019,365,603,862,1349,2368,2076,788,1422,89,9921,74,374,177,194,334,293,140,316,25,1927,210,588,418,570,1961,1873,1133,2182,96,9033,382,682,501,649,1711,1706,832,2007,1884,10357
RA32,338,735,606,940,1361,2333,1263,7227,274,15086,925,170,197,240,842,801,2027,7429,225,12856,272,327,246,425,2501,2641,2002,2586,125,11137,116,58,60,120,729,887,500,708,22,3206,622,789,806,1399,2867,4259,2574,5703,287,19313,101,154,117,183,988,1012,699,1129,38,4410,266,1842,863,1145,2133,1442,1097,1860,108,10760,231,2162,1075,1198,1338,1004,730,1765,160,9654,494,524,556,893,2015,1978,1513,3434,180,11593,52,85,45,105,355,249,154,246,13,1312,27,49,40,43,199,270,173,335,12,1161,46,123,95,130,287,380,255,660,22,1990,123,348,244,326,834,1144,621,1504,43,5182,115,496,375,589,842,698,422,934,76,4544,660,348,310,478,3604,3621,2643,2917,183,14762,182,626,377,704,1127,1058,613,1208,64,5962,280,374,469,831,1570,1485,583,1067,67,6730,45,333,162,193,431,286,190,266,25,1935,138,368,298,407,1269,1447,799,1561,80,6368,306,472,342,477,1042,1228,538,1336,1561,7295
RA33,83,128,87,137,190,491,242,2604,67,4041,283,68,39,70,167,321,1436,2250,60,4691,10,21,14,29,92,148,123,207,8,653,18,0,8,9,43,59,53,89,0,285,44,60,41,96,148,284,129,605,35,1439,3,12,9,19,44,62,56,132,6,338,22,115,54,64,103,99,72,135,13,677,29,90,41,86,164,180,143,290,18,1039,31,38,43,48,79,125,77,295,15,754,3,6,0,3,4,3,3,20,3,39,3,3,0,3,6,8,3,13,0,40,0,12,8,5,22,10,20,61,3,138,8,17,3,20,29,38,22,173,3,316,9,35,35,33,67,50,49,99,8,388,31,44,28,36,317,242,149,154,15,1021,6,46,20,79,68,73,44,103,6,443,11,35,28,30,95,105,23,81,9,417,0,16,6,14,37,27,11,16,0,128,16,35,24,41,89,131,71,176,9,591,36,45,23,35,64,127,54,206,186,780
RA34,69,79,50,90,85,399,145,1883,52,2845,55,30,14,9,28,59,492,425,9,1115,13,24,11,22,59,55,64,132,8,382,0,11,0,9,43,47,17,31,3,157,40,45,30,62,141,229,116,443,11,1119,4,9,0,5,29,37,28,63,3,177,8,78,35,57,82,77,57,138,6,539,11,42,20,22,48,60,81,232,18,538,14,29,37,45,99,116,63,206,24,641,0,0,0,0,5,10,3,10,0,32,0,0,0,0,3,9,0,12,0,32,0,4,0,3,11,6,3,34,4,69,8,4,10,6,27,15,8,34,3,120,9,24,11,14,36,25,7,51,5,188,63,108,42,91,519,465,193,319,48,1846,21,43,24,69,72,67,41,94,4,436,30,25,24,33,116,167,30,71,11,502,7,11,6,20,32,23,17,19,10,143,14,74,26,53,73,127,42,105,20,530,27,27,14,34,54,59,30,117,167,531
RA35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
RA39,4,13,14,43,31,32,15,47,3,204,12,0,0,0,8,5,6,38,0,71,9,0,3,9,31,20,18,21,4,112,0,0,0,0,4,7,3,13,0,25,25,17,18,27,32,53,18,82,12,275,0,0,3,3,11,9,3,7,0,40,5,3,14,7,11,14,8,17,5,87,5,15,11,27,18,23,8,30,3,143,11,9,10,18,15,16,12,34,6,130,3,0,3,3,0,0,0,6,0,15,3,0,0,0,4,3,0,0,0,12,0,0,0,3,3,3,6,3,0,20,9,5,0,3,12,12,7,20,0,64,3,11,5,10,15,11,0,13,0,72,6,3,4,0,19,18,7,10,0,75,10,10,7,6,8,6,3,8,0,50,3,4,6,7,15,13,3,12,0,70,0,7,4,6,5,3,3,7,0,39,0,6,6,3,6,12,8,4,3,52,10,8,5,10,18,28,4,31,63,184
RA40,114,348,241,377,678,611,361,707,65,3508,296,67,74,73,336,549,443,1652,32,3515,614,945,971,1586,10239,6985,4979,4594,239,31150,153,133,114,211,1316,1382,838,1011,32,5188,938,1652,1611,3090,6319,10064,4805,8003,447,36927,241,520,384,577,3064,2651,1803,2048,70,11353,683,5171,2532,3063,5376,3398,2846,3510,267,26843,398,5039,2350,2176,1946,1513,1343,2152,252,17161,646,867,1155,1793,3867,3277,2720,3953,236,18496,134,367,239,272,1501,1400,569,692,26,5205,186,225,225,412,2059,1858,1050,1383,43,7450,115,313,260,283,711,734,518,1025,38,3990,395,1332,909,1181,3771,5120,2496,4366,117,19696,233,1355,1189,1409,2112,1396,833,1012,103,9643,821,687,639,1081,7549,5796,3341,2552,173,22632,419,2132,1107,1292,3303,2835,1592,2797,97,15571,663,1517,1745,3029,5528,2922,1717,2615,173,19914,117,982,400,559,676,657,328,531,42,4298,260,833,656,956,2834,2591,1511,1936,100,11675,368,936,641,863,2325,1955,811,1476,2126,11487
RA41,181,329,317,456,627,1007,574,1832,80,5403,118,20,21,23,81,99,119,632,14,1112,199,242,243,366,1604,1898,1134,1200,55,6937,41,29,36,42,220,215,133,178,12,902,219,321,331,636,1095,1709,940,1516,87,6847,79,85,59,87,356,546,326,430,26,1998,132,715,370,467,792,555,497,711,55,4290,71,670,241,300,239,195,155,352,25,2238,138,202,210,267,442,433,356,1053,49,3139,13,30,23,26,122,108,57,81,6,471,18,16,24,29,118,178,79,121,4,583,26,41,33,24,76,94,58,133,3,488,54,181,111,126,276,392,190,423,16,1766,58,234,151,221,275,308,161,196,19,1616,135,92,95,166,857,778,464,351,26,2966,68,214,136,208,355,338,221,384,25,1957,88,165,212,342,484,282,156,243,14,1993,23,120,64,58,91,96,43,91,9,593,52,165,107,142,512,469,296,445,16,2196,101,160,105,139,331,320,142,324,332,1956
RA42,358,459,400,650,987,1585,962,3560,122,9083,98,24,39,26,141,143,240,879,23,1617,197,135,112,217,1378,1238,988,948,57,5273,31,21,22,42,164,198,108,128,15,717,147,164,163,292,760,1079,507,899,45,4058,34,54,41,51,221,326,185,257,8,1184,84,522,205,267,507,389,309,438,37,2762,57,457,143,190,155,120,87,265,37,1507,108,146,158,175,281,342,245,721,59,2236,3,12,4,3,56,27,19,36,3,165,15,9,3,4,37,64,33,57,0,227,11,12,10,17,50,35,30,68,4,243,23,87,30,52,99,128,92,185,15,711,31,143,94,116,158,143,82,134,12,914,99,72,38,76,638,404,263,219,26,1840,44,140,76,135,222,162,148,288,4,1217,58,109,101,207,296,161,92,168,21,1211,6,45,13,25,36,20,18,23,5,194,43,109,84,98,311,351,174,289,28,1486,72,115,71,90,216,229,102,223,364,1472
RA43,139,130,130,206,242,558,308,1226,55,3005,64,16,45,21,57,80,182,713,20,1197,26,30,32,59,115,87,69,115,9,529,8,11,4,3,44,42,24,23,0,155,42,68,72,107,178,279,184,272,10,1213,12,15,15,24,65,117,56,97,6,404,12,134,57,73,113,86,91,132,12,710,14,99,48,57,40,26,41,113,8,452,38,47,44,58,76,58,57,189,7,588,0,7,4,4,12,9,5,9,0,44,3,6,0,0,10,21,12,21,0,68,3,8,0,4,14,13,6,30,0,73,5,20,8,10,38,35,26,49,0,196,18,34,30,38,40,27,16,51,3,247,23,9,5,15,184,90,65,55,3,455,10,39,25,26,48,51,43,66,0,310,4,16,24,30,53,33,24,30,0,223,0,15,5,5,18,11,12,11,3,75,11,17,12,27,74,110,52,81,6,394,20,26,16,26,44,51,39,77,94,375
RA44,23,42,31,50,48,146,72,410,15,829,24,22,10,13,27,16,33,255,11,398,0,5,3,3,5,10,5,15,0,54,0,3,3,5,9,3,4,8,0,44,16,5,15,33,44,60,21,50,8,251,3,0,0,8,15,20,16,18,0,76,11,23,19,13,26,20,23,33,4,170,7,9,12,18,15,15,17,65,3,168,11,10,13,11,16,25,12,56,4,151,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,14,0,0,0,0,3,0,0,3,0,9,0,3,0,3,11,3,5,20,0,41,3,10,5,13,17,5,8,18,0,79,9,8,8,12,56,67,24,34,0,217,4,4,10,13,22,30,13,28,0,131,7,14,7,20,50,20,4,19,4,136,3,3,3,3,5,0,0,3,3,26,8,6,11,11,28,31,6,29,3,134,10,11,13,0,16,12,11,31,44,141
