SUA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
1000,27,3,0,32,35,3,3,0,45,11,0,11,57,19,0,68,2508,359,64,45,2978,38,8,54,3028,214,9,3245,365,77,18,9,471,9,5,15,487,154,4,643,3,3,0,4,7,0,0,0,7,0,8,21,2879,435,84,58,3456,50,14,63,3525,365,20,3909,357,41,12,5,413,8,0,6,414,24,0,445,320,50,9,5,383,7,3,5,391,37,0,423,13,4,5,0,27,0,0,0,27,3,0,27,4,0,0,15,17,0,0,0,17,0,3,23,693,100,25,23,837,14,5,12,850,60,3,918,7,0,0,0,7,0,0,0,7,3,0,17,5,4,0,0,8,0,0,0,8,0,0,8,14,3,0,0,18,0,0,0,18,5,0,25,708,103,28,23,856,14,5,12,868,67,3,944,100,23,4,3,131,6,0,6,140,51,0,189,0,0,0,0,3,0,0,0,3,0,4,3,810,127,33,21
1001,8,0,0,8,5,0,0,0,7,3,3,4,15,0,0,15,314,33,3,3,354,7,3,12,369,11,0,381,50,7,0,0,57,0,0,0,58,27,0,84,0,0,0,0,0,0,0,0,0,0,4,0,364,38,3,3,411,11,5,18,424,40,3,469,37,3,0,0,41,0,0,0,44,0,0,44,34,8,4,0,48,0,0,0,48,0,0,53,3,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,81,10,7,0,98,0,0,0,95,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,82,10,7,0,97,0,0,0,97,3,0,102,8,0,0,0,16,0,0,0,16,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,90,16,7,0
1002,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,71,4,0,0,80,4,0,4,81,9,0,93,8,0,0,0,11,0,0,0,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,80,9,0,0,90,4,0,4,94,6,0,105,11,4,0,0,8,0,0,0,8,0,0,9,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0
1003,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,61,11,4,0,83,0,0,0,85,3,0,88,10,3,0,0,10,0,0,0,10,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,74,16,4,0,93,0,0,0,92,4,0,99,9,3,0,0,16,0,0,0,18,0,0,18,9,0,0,0,9,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,23,0,0,0,22,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,24,0,0,0,24,0,0,27,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,0
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,0,38,0,0,0,42,0,0,44,0,3,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,41,3,0,3,44,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,126,6,0,0,137,3,0,3,138,5,0,143,11,4,0,0,20,3,0,3,23,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,139,11,0,0,153,3,0,6,157,9,0,166,19,0,0,0,19,0,0,0,22,0,0,24,16,3,0,0,14,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,41,0,0,0,36,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,41,0,0,0,36,0,0,39,8,0,0,0,8,0,0,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0
1006,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,125,13,0,0,145,0,0,0,142,12,0,151,18,4,0,0,20,0,0,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,142,19,0,0,169,0,0,0,170,9,0,179,14,3,0,0,21,0,0,0,21,0,0,16,16,4,0,0,22,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,43,0,0,0,43,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,43,0,0,0,42,0,0,41,12,0,0,0,12,0,0,0,9,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,0
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,20,0,0,0,20,4,0,24,4,3,0,0,3,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,25,0,0,0,30,4,0,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,3,0,55,0,0,0,55,3,0,60,13,0,0,0,8,0,0,0,8,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,55,5,3,0,65,0,0,0,65,5,0,75,8,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
1009,29,3,0,35,49,3,0,0,54,5,3,5,62,3,0,63,1542,205,38,20,1806,33,4,39,1846,98,3,1955,237,32,9,7,279,5,0,8,283,83,0,366,0,0,0,0,0,0,0,0,0,0,3,3,1777,235,47,22,2082,42,9,46,2131,177,10,2323,330,36,4,0,377,4,0,4,383,24,0,407,290,61,5,0,360,13,3,13,372,34,0,407,5,3,10,0,18,0,0,0,18,3,0,20,3,0,0,0,4,0,0,0,4,3,0,5,629,102,21,9,755,17,3,19,775,64,0,839,6,0,0,0,6,0,0,0,8,0,0,9,14,0,0,0,14,0,0,0,14,3,0,13,20,0,0,0,21,0,0,0,21,3,0,26,642,102,19,9,774,17,3,20,793,69,3,861,97,20,9,0,126,5,0,7,129,55,0,185,0,0,0,0,0,0,0,0,0,0,0,0,742,120,30,10
1010,3,3,0,4,3,0,0,0,3,0,0,0,6,0,0,7,164,35,3,4,205,6,3,7,215,25,0,239,16,3,0,0,23,3,0,3,22,20,0,44,0,0,0,0,0,0,0,0,0,0,0,0,179,38,3,4,226,12,3,9,236,40,0,284,33,4,0,0,32,0,0,0,32,0,0,35,12,7,0,0,25,0,0,0,25,0,0,26,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44,8,3,0,63,0,0,0,63,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,13,3,0,64,0,0,0,64,3,0,63,8,0,0,0,8,0,0,0,8,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,52,13,3,0
1011,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,90,10,0,0,101,0,0,0,101,4,0,109,6,0,0,0,9,0,0,0,11,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,103,6,0,0,115,0,0,0,112,9,0,120,10,3,0,0,9,0,0,0,9,0,0,10,9,0,0,0,8,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,22,0,0,0,22,3,0,21,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,22,6,0,0,21,0,0,0,21,3,0,29,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0
1012,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,32,11,3,0,39,0,0,0,43,0,0,43,11,3,0,0,9,0,0,0,9,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,37,13,3,0,56,0,0,0,51,3,0,60,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,0,67,0,0,0,67,4,0,66,3,0,0,0,8,4,0,4,8,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,66,4,0,0,68,4,0,4,75,8,0,77,10,0,0,0,10,0,0,0,10,0,0,10,9,0,0,0,9,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,0,0,0,22,0,0,23,3,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
1014,3,0,0,3,0,0,0,0,0,3,0,3,3,0,0,3,33,3,3,0,39,4,0,3,41,7,0,47,4,0,0,0,4,0,0,0,4,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,38,3,3,0,44,4,0,3,48,12,0,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,43,0,0,0,46,6,0,52,7,0,0,0,6,0,0,0,6,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,46,4,0,0,53,0,0,0,59,9,0,60,0,0,0,0,4,0,0,0,4,0,0,4,4,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,14,0,0,14,3,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,22,0,0,0,27,0,0,27,6,3,0,0,11,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,33,0,0,0,39,0,0,41,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,9,0,0,9,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
1017,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,78,15,0,0,98,0,0,0,98,3,0,104,4,0,0,0,6,0,0,0,6,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,81,22,0,0,106,0,0,0,106,8,0,116,10,0,0,0,10,0,0,0,16,0,0,16,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
1018,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,32,0,0,0,38,3,0,3,37,4,0,41,7,0,0,0,3,0,0,0,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,42,6,0,6,45,5,0,52,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1019,7,0,0,7,8,0,0,0,7,0,0,0,7,0,0,10,106,12,0,3,121,0,0,0,121,5,0,133,13,0,0,0,13,3,0,3,15,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,122,12,0,3,135,3,0,3,138,17,0,159,34,0,0,0,36,0,0,0,39,3,0,38,16,0,0,0,11,0,0,0,11,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,50,3,0,3,55,0,0,0,53,4,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,3,55,0,0,0,53,4,0,62,13,0,0,0,14,0,0,0,14,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,61,4,0,3
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,3,23,3,0,3,19,3,0,28,5,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,3,22,3,0,3,23,3,0,29,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,39,4,0,4,42,0,0,44,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,38,4,0,4,38,6,0,45,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1022,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,92,13,0,0,112,3,0,5,120,9,0,130,13,3,4,0,16,0,0,0,23,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,110,22,5,0,134,3,3,6,137,13,0,148,13,3,0,0,16,0,0,0,16,3,0,17,13,0,0,0,17,0,0,0,17,0,0,18,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,35,0,0,0,38,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,35,0,0,0,38,5,0,40,3,0,0,0,3,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0
1023,44,5,0,50,57,11,0,0,70,8,0,11,79,11,0,88,2134,267,42,31,2473,67,13,78,2548,197,0,2743,327,38,13,6,387,11,3,18,401,117,0,518,4,0,0,0,4,0,0,0,4,0,4,6,2462,304,55,33,2859,75,12,90,2946,316,3,3267,426,42,12,3,484,16,7,17,502,65,0,568,455,56,6,9,522,8,6,13,532,59,0,595,15,0,12,0,23,0,0,0,23,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,894,97,28,14,1033,24,5,30,1058,124,4,1186,5,3,0,0,6,0,0,0,6,5,0,9,15,4,3,0,14,0,0,0,18,0,0,18,19,4,3,0,27,0,0,0,24,5,0,28,912,102,29,14,1053,24,12,28,1086,127,4,1214,155,30,5,3,197,7,5,8,209,68,0,276,0,0,0,0,3,0,0,0,3,0,0,3,1069,132,32,16
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,9,3,4,119,0,0,4,123,9,0,126,18,0,0,0,19,0,0,0,19,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,120,13,8,3,144,0,0,4,141,10,0,155,17,3,0,0,20,0,0,0,20,0,0,19,7,3,0,0,15,0,0,0,15,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,28,0,0,0,28,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,28,0,0,0,28,3,0,33,10,0,0,0,6,0,0,0,6,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0
