SUA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1000,2901,13210,4557,5415,839,30189,2532,1791,11738,9035,13623,1798,40521,189,101,863,555,1549,171,3425,191,114,816,1253,8836,416,11618,273,145,1199,1165,4879,1837,9494,11886,8271,55029,42654,130137,15615,263588
1001,392,1304,433,479,54,3080,394,330,1677,1037,1534,162,5128,11,6,47,39,100,9,211,26,14,78,180,859,43,1200,22,8,105,90,441,153,816,1339,1115,5888,4657,12521,1033,26552
1002,162,667,177,207,27,1889,133,78,404,225,298,45,1178,6,3,15,8,26,3,57,14,6,36,20,159,5,240,12,3,32,14,62,25,144,1092,360,1905,889,2204,248,6694
1003,101,507,121,138,19,1034,154,76,495,252,433,68,1474,6,4,18,16,39,0,79,4,0,38,44,158,12,258,10,6,40,39,111,26,229,478,290,1935,1100,2839,325,6964
1004,51,135,46,62,7,339,33,30,169,107,263,24,625,0,0,7,7,24,3,48,8,0,15,23,134,3,185,5,0,20,19,63,32,137,121,121,609,507,1821,202,3392
1005,141,742,199,262,32,1637,143,95,566,346,518,56,1722,12,0,28,21,48,9,116,9,4,41,45,307,9,416,7,6,36,36,156,46,287,599,393,2563,1550,4729,401,10236
1006,157,522,189,190,41,1365,197,86,546,331,447,78,1684,15,8,52,28,43,0,152,17,6,53,76,377,13,536,24,12,70,70,214,60,446,889,424,2597,1855,4653,511,10923
1007,40,221,66,106,10,491,71,61,261,201,355,40,995,0,0,4,5,25,0,38,0,3,7,18,159,7,193,3,6,6,11,59,25,106,162,151,718,594,2268,239,4133
1008,48,229,88,91,14,520,30,30,213,132,268,39,704,0,0,3,5,19,3,33,4,0,9,15,150,5,187,0,0,11,11,81,18,113,132,99,706,566,1969,177,3649
1009,720,4261,1274,1463,201,9156,1163,734,5290,3513,5699,679,17075,45,29,255,230,530,58,1142,104,45,358,635,3024,130,4289,107,36,419,430,1624,530,3138,4588,2456,19510,16028,41491,4071,88142
1010,183,1067,326,356,50,2197,298,172,1376,779,1208,131,3961,9,4,38,43,118,9,226,12,9,86,117,581,32,839,18,3,79,86,328,90,600,842,594,4532,3216,8365,784,18338
1011,134,655,154,235,25,1347,162,116,719,444,656,65,2160,5,9,34,16,109,3,175,15,4,41,66,444,16,579,8,0,16,22,174,56,282,590,392,2609,1616,5175,464,10849
1012,53,215,74,82,9,472,49,29,223,177,355,36,856,0,0,9,8,28,3,48,6,0,13,32,149,9,213,3,0,8,17,67,23,121,135,117,750,669,2075,243,3985
1013,56,246,112,112,15,613,88,36,310,289,474,46,1245,0,3,9,11,27,0,59,4,5,20,35,227,11,297,5,3,18,29,101,26,179,288,175,1060,1092,3055,284,5958
1014,34,205,66,93,22,453,37,30,229,166,404,32,908,3,0,5,7,30,3,51,7,3,18,27,171,3,221,3,4,0,10,65,21,103,129,99,756,609,2231,216,4045
1015,51,235,75,80,10,490,35,33,235,167,240,23,738,0,0,6,7,21,3,40,4,0,11,17,222,15,264,9,8,18,22,98,44,191,198,129,1073,739,2462,331,4934
1016,28,130,45,93,6,316,30,16,142,128,299,23,634,0,0,3,3,14,0,17,0,0,5,12,101,9,128,0,0,7,10,49,29,101,62,67,416,381,1647,168,2747
1017,105,547,124,169,20,1108,126,84,616,333,632,58,1848,3,8,21,12,32,0,75,10,5,46,42,277,14,387,4,3,31,31,130,42,242,384,282,1977,1050,3567,279,7539
1018,21,93,46,62,3,253,14,19,122,85,167,16,430,0,0,6,3,18,0,34,0,3,8,13,99,3,126,0,0,6,13,61,27,106,82,76,433,414,1613,137,2755
1019,56,324,103,135,14,777,93,54,349,278,442,41,1255,0,0,11,16,32,4,67,25,9,42,42,213,8,334,7,0,27,42,114,41,229,383,183,1228,1099,3089,272,6248
1020,40,172,38,65,4,342,23,13,141,89,139,19,425,4,0,3,4,20,0,35,4,0,11,22,167,11,210,0,0,15,11,26,18,68,111,92,685,477,1746,185,3291
1021,18,120,34,49,0,250,19,11,102,72,130,16,346,0,3,0,0,8,3,18,0,0,3,22,114,0,141,0,0,9,8,46,15,81,105,61,457,397,1771,124,2912
1022,56,294,107,107,10,676,57,35,303,253,379,37,1063,3,0,18,23,44,4,96,3,5,25,58,202,6,302,13,3,26,32,135,41,241,363,178,1375,1259,3353,274,6807
1023,1201,7089,1937,2304,274,15553,2461,1181,9882,5083,7879,939,27438,65,36,347,237,616,65,1356,163,55,610,814,4567,175,6387,153,53,610,510,2109,621,4045,9391,4197,35037,22080,61001,4874,136572
1024,104,299,118,183,30,818,115,78,507,373,728,85,1884,4,3,14,19,50,7,102,8,4,28,49,331,13,434,7,4,23,25,153,65,279,380,310,1640,1606,4687,460,9085
1025,118,656,178,244,17,1401,243,134,949,506,723,104,2663,4,0,30,19,35,9,91,6,6,42,55,375,10,500,5,0,41,25,153,52,272,762,422,3005,1780,4998,484,11456
1026,28,157,39,72,5,316,20,17,94,78,185,22,423,0,0,0,0,8,5,16,3,3,8,11,124,4,152,0,0,3,7,46,17,81,84,82,518,371,1554,153,2764
1027,154,685,213,247,23,1518,245,102,956,591,817,98,2805,4,3,16,27,71,3,126,12,3,48,86,361,23,533,13,3,40,39,136,48,276,701,405,2939,2225,5340,495,12108
1028,36,164,56,83,4,385,26,15,121,100,203,20,486,0,0,0,3,19,3,33,0,5,10,21,205,8,255,0,0,16,13,70,17,124,165,111,776,650,2827,176,4700
1029,35,189,73,76,4,430,38,30,180,172,335,23,777,3,0,18,9,26,0,53,5,6,13,20,122,7,173,4,0,13,13,86,35,157,193,127,700,698,2159,171,4049
1030,11071,62605,15974,13984,3162,146013,31334,9301,83760,33893,33777,7124,199195,2726,727,8961,4152,5629,877,23071,3985,971,11170,9016,28343,1866,55350,7585,1123,19899,10097,18055,9005,65765,226467,51461,560205,240516,361066,59407,1499119
1031,143,627,208,216,42,1372,160,125,773,486,722,81,2345,3,0,15,15,56,11,105,9,5,35,57,447,21,571,3,0,32,41,235,78,391,497,374,2468,1816,5433,628,11222
1032,52,220,80,107,17,510,76,45,339,311,580,74,1424,0,0,3,14,21,3,49,0,3,17,33,224,3,287,0,3,10,16,121,34,184,152,137,828,829,2937,332,5211
1033,73,165,60,68,10,419,33,19,159,115,173,22,530,0,0,8,8,28,9,54,0,4,14,17,130,7,177,0,0,14,18,66,17,115,135,140,641,533,1811,188,3437
1034,210,1048,300,436,46,2454,276,166,1320,632,993,101,3483,6,0,29,22,59,3,128,14,8,63,86,571,12,751,7,3,62,49,263,71,466,1068,588,4328,2416,7827,639,16860
1035,1238,4810,1374,1622,206,11810,1562,681,4716,3148,4474,544,15128,82,28,286,195,387,38,1013,133,41,393,522,2653,113,3854,119,38,442,336,1365,418,2717,7190,3057,20913,14533,36131,3297,85121
2000,3020,8266,2747,3030,479,19769,1779,2149,8733,6904,9088,1439,30087,163,120,743,630,1193,163,3009,153,110,587,898,5653,311,7723,188,137,871,927,3593,1416,7126,7782,8212,37431,31853,88379,11363,185019
2001,91,293,105,127,16,734,41,57,232,177,240,23,775,4,0,17,20,36,3,86,6,3,20,40,193,11,272,9,3,26,29,117,23,207,286,236,1190,1028,2791,239,5771
2002,47,161,64,91,14,402,50,57,196,177,236,26,744,3,0,6,12,19,0,39,0,0,11,30,143,7,195,0,0,13,16,58,25,110,118,136,683,629,1834,223,3622
2003,608,1738,485,545,54,4147,618,571,2281,1094,1387,187,6137,36,15,167,86,184,25,515,22,20,104,167,718,32,1072,34,14,133,96,357,134,774,2128,1738,7960,4661,11380,1081,28953
2004,517,1469,414,437,74,3298,559,502,1996,1097,1609,197,5958,22,13,85,64,157,16,356,41,23,106,178,803,41,1190,24,17,107,88,401,149,772,1519,1506,6957,4198,11766,1113,27050
2005,36,138,48,55,5,299,31,23,125,123,235,42,581,0,0,4,9,21,0,39,4,0,7,22,95,0,130,0,0,8,8,69,30,114,83,84,498,512,1698,204,3076
2006,86,312,75,69,5,593,58,76,316,214,291,42,993,0,3,16,16,44,8,90,7,0,21,45,189,6,260,6,3,27,15,106,46,206,166,226,1215,864,2677,291,5429
2007,1233,4238,1381,1163,187,9853,1259,1144,5225,2613,3516,478,14232,72,58,337,233,402,53,1156,90,59,373,538,1866,81,3011,99,52,444,381,1066,389,2435,5286,3828,21344,13325,28668,2884,75342
2008,142,402,112,109,21,931,88,110,335,164,190,40,916,9,7,48,14,34,10,124,6,0,41,37,177,13,267,15,14,67,31,104,32,252,528,447,1985,1238,2542,256,6995
2009,83,234,64,80,10,500,77,74,327,225,298,34,1040,0,0,15,12,37,3,71,3,3,21,37,180,3,248,5,3,11,20,62,33,130,201,208,985,797,2212,204,4596
2010,20689,62724,17554,13829,2830,154821,28982,15360,83120,37448,37942,6956,209814,2698,1324,10925,5077,6196,873,27099,3480,1384,9971,9769,27802,1873,54278,5788,1395,16872,9364,17926,8201,59544,184508,73242,511424,237866,370762,52702,1430509
2011,149,577,215,261,37,1351,110,108,526,579,728,79,2129,7,7,41,42,105,14,225,25,8,43,100,511,25,711,20,3,74,112,327,132,660,651,417,2691,2789,7404,778,14728
2012,214,733,275,258,29,1607,157,131,732,516,698,91,2319,6,3,18,27,67,0,123,0,4,36,70,420,29,563,8,9,31,55,243,113,456,406,491,2676,2115,6021,744,12451
2013,46,128,85,85,7,376,28,30,166,152,288,34,703,0,0,5,10,22,5,39,0,5,9,28,137,9,185,0,0,4,20,95,35,155,88,108,526,615,2228,228,3788
2014,38,137,42,51,3,288,18,35,137,107,210,25,536,0,0,4,11,11,0,29,0,0,11,14,91,4,119,0,0,6,7,56,22,96,65,106,470,403,1481,156,2675
2015,78,201,78,71,4,472,87,68,270,146,209,40,814,3,0,3,11,16,0,32,0,3,11,25,109,7,158,0,0,11,16,75,19,124,207,204,930,715,1777,185,4017
2016,285,602,203,224,30,1474,233,191,855,618,759,103,2764,3,0,11,32,54,0,103,11,12,44,102,440,25,622,13,5,38,58,231,107,450,634,647,2703,2232,5447,640,12294
2017,55,188,34,66,3,365,27,32,162,113,143,18,493,0,0,6,3,26,0,39,0,0,9,15,121,6,149,0,0,8,10,55,13,95,67,105,611,456,1356,149,2738
2018,151,447,129,161,33,1028,178,123,675,389,557,92,2012,0,4,24,16,44,4,87,8,3,28,55,340,15,453,3,3,30,19,183,76,317,427,414,2160,1697,5182,513,10393
2019,78,256,70,92,13,559,82,101,389,252,324,46,1203,0,4,15,12,30,4,64,9,3,18,35,163,4,232,3,0,13,30,86,32,160,219,247,1103,893,2357,219,5040
