SUA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
1035,9099,345,11,9452,88,21,0,0,111,9,0,9,122,8,0,127,265,31,7,4,308,21,7,24,334,20,0,351,359,51,10,6,422,31,7,36,457,24,0,485,8215,900,158,98,9363,135,47,185,9549,372,13,9936,2115,320,48,58,2544,75,28,104,2649,522,4,3173,22,4,0,5,32,0,0,0,29,0,25,56,10348,1219,207,162,11940,213,76,293,12226,896,45,13170,1681,211,23,12,1924,34,12,51,1971,104,0,2075,2841,288,41,32,3198,30,5,35,3232,81,3,3316,72,18,25,0,117,3,0,3,123,8,0,125,14,3,0,28,51,0,0,0,52,0,3,55,4611,516,86,69,5288,68,18,87,5381,189,3,5571,51,11,0,0,63,4,3,5,72,9,0,84,123,3,3,0,133,13,3,13,144,14,0,158,176,16,4,3,195,21,4,25,218,24,0,242,4788,532,92,71,5481,90,24,113,5595,214,4,5815,1029,148,26,25
2000,20576,838,39,21453,117,24,3,6,153,48,3,47,198,35,0,232,346,62,9,3,422,33,15,49,473,33,3,503,465,86,10,10,574,76,16,95,669,68,3,739,17810,2317,474,311,20912,260,73,336,21245,905,46,22190,5244,828,155,222,6448,167,38,205,6648,906,24,7574,61,7,13,12,96,3,0,3,101,9,63,163,23115,3151,641,548,27455,428,112,538,27992,1818,124,29931,3872,455,72,35,4434,49,29,76,4511,226,14,4746,6876,900,157,77,8005,81,14,96,8100,302,15,8413,217,38,73,3,330,8,3,9,334,25,0,360,96,12,0,111,224,3,0,3,229,10,3,240,11059,1411,296,227,12992,134,44,177,13170,558,31,13756,84,16,3,3,100,32,3,33,132,21,0,151,170,27,3,0,201,23,9,26,231,13,0,243,258,41,4,4,305,49,8,60,362,35,0,393,11316,1453,300,232,13297,183,50,237,13537,586,31,14153,2228,361,76,105
2001,746,24,0,773,8,0,0,0,6,0,0,0,6,0,0,6,18,0,0,0,18,3,0,3,24,0,0,24,27,0,0,0,29,3,0,3,27,0,0,28,667,72,5,13,757,14,0,14,773,28,0,798,249,25,8,7,292,6,3,13,302,18,0,319,0,0,0,0,0,0,0,0,0,0,0,0,917,99,18,14,1049,28,3,29,1081,39,0,1123,137,16,0,3,153,0,0,0,153,3,0,159,201,10,0,3,217,4,0,4,216,3,0,220,8,3,3,0,13,0,0,0,17,3,0,18,0,0,0,0,3,0,0,0,3,0,0,3,350,27,8,8,388,6,0,6,392,8,0,397,5,0,0,0,9,0,0,0,9,0,0,9,11,0,0,0,11,0,0,0,16,0,0,16,18,0,0,0,19,0,0,0,22,0,0,22,364,29,8,8,409,7,0,7,412,8,0,417,104,17,3,0
2002,344,30,0,376,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,12,0,0,0,12,0,0,12,303,40,6,3,347,6,0,6,355,30,0,382,110,12,0,0,129,3,0,3,133,22,0,150,0,0,0,3,3,0,0,0,3,0,3,3,418,52,7,3,478,6,0,6,489,49,3,535,54,7,3,0,69,0,0,0,68,3,0,74,127,14,3,0,140,3,0,3,141,8,0,152,5,0,0,4,8,0,0,0,8,3,0,10,3,0,0,0,3,0,0,0,3,0,0,3,191,20,11,4,218,4,0,4,221,21,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,20,11,4,218,4,0,4,221,21,0,240,38,6,0,0
2003,3084,122,0,3213,30,0,0,0,34,10,0,10,40,3,0,44,77,13,0,0,87,0,6,3,96,8,0,102,106,16,0,3,123,11,4,13,138,12,0,150,2750,326,39,45,3162,45,18,60,3221,137,0,3362,754,96,20,9,877,46,3,46,928,143,10,1082,0,0,0,0,0,0,0,0,0,0,7,4,3502,416,62,58,4037,85,24,110,4150,284,12,4442,506,80,3,3,589,12,8,23,607,33,0,638,983,100,10,7,1109,9,3,13,1121,39,0,1156,12,0,4,0,17,0,0,0,18,0,0,18,11,0,0,14,25,0,0,0,25,3,0,24,1514,178,16,22,1737,27,8,33,1771,69,0,1843,10,0,0,0,10,4,0,4,22,9,0,22,27,5,0,0,36,0,0,0,39,15,0,52,43,9,0,3,47,9,0,9,58,20,0,75,1552,187,16,23,1787,33,8,45,1831,88,0,1918,304,52,3,11
2004,2809,90,0,2899,30,0,0,0,32,8,0,8,39,3,0,45,70,5,0,0,80,8,4,15,94,6,0,98,100,8,0,3,114,14,4,17,129,11,0,142,2474,303,59,39,2881,47,16,60,2939,100,0,3038,728,121,10,11,874,45,13,57,938,144,4,1084,8,0,0,0,8,0,0,0,8,0,7,17,3217,420,75,55,3762,96,25,118,3880,248,12,4136,454,59,4,7,521,12,0,13,533,24,0,563,817,99,15,13,947,10,5,15,957,20,3,980,21,7,3,0,38,0,0,0,38,3,0,38,10,0,0,3,10,0,0,0,10,3,0,15,1297,169,31,17,1516,17,4,26,1540,56,3,1598,15,3,0,0,17,0,0,0,19,0,0,19,34,0,0,0,35,0,3,6,39,7,0,45,49,3,0,0,53,3,3,6,58,8,0,66,1347,172,31,18,1564,25,8,31,1598,59,3,1664,337,62,9,11
2005,416,8,0,419,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,5,0,0,5,4,3,0,0,4,0,0,0,5,0,0,5,371,33,0,10,414,8,0,4,419,8,0,426,73,17,4,9,100,7,0,7,104,11,0,117,0,0,0,0,0,0,0,0,0,0,3,3,442,51,4,12,512,12,0,11,526,21,4,548,58,15,3,0,79,0,0,0,76,0,0,75,133,9,0,0,146,0,0,0,146,7,0,154,3,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,200,20,4,3,228,0,0,0,228,8,0,241,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,4,0,0,0,4,0,0,4,205,21,4,3,231,0,0,0,234,8,0,240,27,3,0,3
2006,658,13,3,681,8,0,0,0,8,0,0,0,8,0,0,8,17,3,0,0,22,0,0,0,22,0,0,22,25,3,0,0,30,0,0,0,29,0,0,29,604,57,16,11,681,3,4,11,691,13,3,705,103,18,8,5,134,9,0,9,142,20,0,158,0,0,0,0,0,0,0,0,0,3,9,7,709,77,22,13,817,11,4,17,827,41,9,877,147,11,3,0,163,0,0,4,168,3,0,170,204,18,3,0,229,3,0,3,230,3,0,237,7,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,356,32,3,3,394,4,0,7,406,8,4,418,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,8,0,0,7,362,32,3,3,403,7,0,7,407,14,4,430,41,4,0,0
2007,7859,236,11,8107,61,11,0,0,73,11,0,11,81,7,0,86,200,17,3,3,221,19,3,17,241,3,3,256,264,23,5,6,294,28,3,29,329,11,3,337,6975,823,146,72,8020,138,27,166,8184,247,10,8445,2076,272,49,53,2446,75,25,99,2543,290,3,2838,17,0,0,7,21,0,0,0,21,0,11,33,9066,1097,199,130,10490,209,51,260,10752,544,26,11321,1208,180,17,13,1412,30,9,43,1456,84,6,1542,2534,257,26,18,2839,33,3,38,2876,75,3,2956,64,9,19,0,94,0,0,0,96,8,0,104,19,3,0,26,48,0,0,0,49,0,0,53,3830,442,71,55,4395,67,15,80,4476,170,14,4658,44,8,0,0,49,11,0,11,57,0,0,58,84,9,0,3,93,9,0,11,107,0,3,111,126,14,4,3,144,20,0,17,165,3,3,167,3959,459,69,57,4540,85,17,102,4644,172,13,4828,833,117,23,28
2008,937,27,0,970,8,0,0,0,10,0,0,0,10,0,0,10,20,0,0,0,24,0,0,0,24,0,0,24,33,0,0,0,32,0,0,0,32,0,0,32,865,70,8,19,956,13,0,14,969,27,0,1003,249,12,8,4,275,0,0,3,275,10,0,286,0,0,0,0,0,0,0,0,0,0,3,0,1123,85,15,24,1234,12,0,17,1252,39,3,1294,186,13,0,0,205,3,0,3,208,7,0,210,362,37,0,6,408,0,0,3,412,11,0,416,12,0,0,0,15,0,0,0,15,0,0,15,0,0,0,6,4,0,0,0,8,0,0,11,566,56,3,6,629,10,0,9,639,17,0,652,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,12,0,0,0,12,0,0,12,16,0,0,0,16,0,0,0,16,0,0,16,576,56,3,6,645,10,0,9,650,17,0,667,92,6,5,3
2009,501,16,0,512,3,0,0,0,8,0,0,0,8,0,0,8,6,0,0,0,6,0,0,3,6,0,0,9,6,0,0,0,8,0,0,3,15,0,0,11,440,42,13,5,499,10,0,11,509,15,0,527,129,22,3,6,159,3,0,3,162,24,0,187,0,0,0,0,0,0,0,0,0,0,0,0,572,61,17,11,663,8,0,10,672,37,0,710,84,7,0,0,94,3,0,3,97,3,0,96,185,15,0,0,203,3,0,3,208,0,0,207,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,278,21,3,4,305,9,0,9,313,5,0,315,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,0,9,0,0,0,5,0,0,8,278,21,3,4,310,9,0,10,320,6,0,326,44,10,0,0
2010,130957,4891,212,136061,1836,339,40,57,2273,437,39,471,2745,181,8,2940,4293,547,34,98,4975,386,144,535,5506,238,10,5758,6130,886,80,154,7250,823,180,1007,8253,421,17,8693,118025,14046,1617,1815,135506,3039,663,3698,139209,5309,237,144753,41583,6702,755,1188,50226,1908,445,2350,52576,8372,190,61137,263,61,4,209,538,12,3,12,551,69,538,1162,159875,20808,2379,3210,186268,4953,1113,6066,192331,13755,963,207048,24220,2979,239,202,27639,678,156,833,28472,1569,30,30080,37946,4366,350,333,43002,627,143,771,43776,1348,47,45171,829,139,231,15,1209,20,3,31,1237,64,5,1309,444,98,7,433,983,35,5,38,1025,84,34,1142,63441,7585,825,983,72833,1363,309,1675,74511,3072,122,77707,896,192,22,17,1128,280,20,305,1427,124,3,1555,2007,286,12,60,2363,216,72,292,2654,151,7,2808,2904,474,32,77,3485,496,96,594,4080,283,7,4371,66342,8058,858,1055,76319,1859,406,2265,78592,3358,126,82069,17910,3147,320,569
2011,1607,102,4,1709,35,11,0,6,48,19,0,19,65,0,0,68,75,12,0,0,85,5,3,14,101,3,0,103,107,24,0,6,136,24,3,30,160,6,0,169,1496,153,21,25,1700,62,10,71,1767,107,9,1882,766,132,13,41,959,58,12,70,1030,215,10,1254,3,0,0,0,7,0,0,0,7,0,14,22,2269,289,32,68,2667,118,22,144,2807,321,37,3162,315,17,3,3,345,9,3,10,355,24,0,373,410,52,9,3,466,5,3,13,476,26,0,503,18,7,0,0,32,0,0,0,30,0,0,30,7,0,0,3,8,4,0,4,12,0,0,14,750,73,14,10,849,21,9,22,875,49,0,923,16,3,0,0,24,9,0,9,31,0,0,36,28,3,0,0,34,4,0,3,35,3,0,44,47,4,0,0,53,11,0,12,67,3,0,77,800,82,14,10,904,35,5,37,946,54,4,997,313,54,14,7
2012,1423,46,0,1469,11,0,0,0,11,5,3,13,17,3,0,22,14,3,3,0,22,12,0,14,38,3,0,39,23,3,3,0,31,19,4,23,55,6,0,59,1227,141,29,22,1417,43,9,57,1478,49,0,1523,352,54,4,17,424,36,11,51,475,119,0,594,6,0,0,0,9,0,0,0,7,0,5,15,1580,195,31,42,1849,89,19,102,1958,171,11,2135,294,32,0,3,329,3,0,8,334,11,0,349,431,40,11,4,481,9,3,7,487,25,0,517,7,0,5,0,15,0,0,0,14,3,0,19,8,0,0,3,14,0,0,0,14,0,0,17,739,70,11,11,834,10,3,15,853,41,0,893,6,0,0,0,6,3,0,3,11,0,0,11,19,3,0,0,20,3,0,3,21,3,0,24,20,3,0,0,28,8,0,8,31,7,0,38,761,72,11,11,859,23,3,23,883,46,0,934,162,16,6,0
2013,332,25,0,356,3,0,0,0,4,3,0,3,3,0,0,3,8,3,0,0,12,3,0,3,14,0,0,19,9,3,0,0,13,3,0,3,18,0,0,25,283,32,5,3,333,15,3,16,350,23,0,375,83,14,12,4,111,10,0,10,119,26,0,146,0,0,0,0,0,0,0,0,0,0,3,0,369,51,16,7,439,21,3,24,470,47,3,518,57,6,0,0,61,0,0,0,59,3,0,67,116,7,0,3,127,9,0,9,130,11,0,142,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,3,0,0,0,3,0,0,3,173,15,0,8,190,5,0,6,203,14,0,215,4,0,0,0,3,0,0,0,3,0,0,5,4,7,0,0,7,0,0,0,7,0,0,11,3,5,0,0,8,0,0,0,14,6,0,19,173,16,3,8,204,11,0,8,212,17,0,233,43,8,0,3
2014,244,10,0,262,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,7,5,0,0,0,5,0,0,0,5,0,0,7,212,27,3,6,252,3,0,3,251,11,0,267,71,20,0,0,92,3,0,8,102,10,0,113,0,0,0,0,0,0,0,0,0,0,0,3,283,45,3,7,345,11,0,11,357,28,0,383,46,4,0,0,48,3,0,3,51,3,0,53,81,14,0,0,99,0,0,0,96,5,0,102,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,129,15,3,4,154,3,0,3,153,8,0,168,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,4,0,0,0,4,0,0,8,4,0,0,0,4,0,0,0,4,3,0,6,131,15,3,4,160,7,0,7,164,12,0,177,28,3,0,0
2015,383,12,0,402,3,0,0,0,4,0,0,0,4,0,0,4,14,5,3,0,17,5,0,3,25,0,0,26,18,4,3,0,28,5,0,3,32,0,0,30,348,41,14,3,403,12,4,15,419,15,0,430,161,11,7,6,183,8,0,8,191,14,0,205,0,3,0,0,0,0,0,0,0,0,0,3,511,49,16,11,585,14,4,25,607,32,0,638,66,7,3,4,77,0,0,0,76,3,0,80,107,11,3,3,127,4,0,3,135,7,0,141,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,3,9,0,0,0,9,0,0,9,182,19,5,8,217,6,0,3,221,9,0,226,5,3,0,0,11,0,0,0,7,0,0,7,3,0,0,0,5,0,0,0,5,0,0,5,7,5,0,0,15,0,0,0,10,0,0,10,187,25,5,7,225,6,3,3,232,9,0,242,55,4,3,0
2016,1367,63,0,1430,18,3,0,0,21,5,0,5,29,3,0,30,46,0,0,3,50,3,0,7,54,0,0,54,65,6,0,3,75,12,0,12,83,3,0,91,1236,140,22,24,1416,34,5,39,1455,67,0,1519,368,101,12,17,499,28,15,42,543,247,3,795,8,0,0,0,4,0,0,0,4,0,6,12,1609,244,28,41,1923,61,17,76,2003,310,10,2323,241,26,4,0,275,9,0,9,278,16,0,303,429,44,6,3,481,0,3,4,486,17,0,503,19,0,9,0,28,0,0,0,28,3,0,30,0,3,0,4,6,0,0,0,6,0,0,5,690,72,16,7,786,7,3,13,797,36,0,837,10,3,0,0,14,9,0,9,20,3,0,24,12,3,0,0,16,3,0,3,24,0,0,24,26,7,3,0,35,11,0,11,44,3,0,41,717,80,18,7,822,15,3,19,842,42,0,878,179,43,12,11
2017,280,12,0,294,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,7,6,0,0,0,8,0,0,0,7,0,0,14,248,33,3,7,286,3,0,8,290,16,0,307,79,8,5,0,90,0,0,0,90,8,0,101,0,0,0,0,0,0,0,0,0,0,0,0,329,37,7,7,373,3,0,8,383,21,0,411,53,7,0,0,62,0,0,0,65,4,0,69,81,3,0,0,88,0,0,0,88,4,0,93,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,145,13,0,0,158,0,0,4,160,4,0,162,0,3,0,0,3,0,0,0,3,0,0,6,3,0,0,0,3,0,0,0,5,0,0,5,9,3,0,0,10,0,0,0,12,0,0,12,147,14,0,0,161,6,0,6,168,6,0,178,31,3,0,0
2018,1061,40,0,1099,16,3,0,0,22,7,0,7,27,4,0,30,32,4,0,0,42,10,3,12,56,0,0,55,48,10,0,0,59,15,3,18,78,4,0,81,945,110,16,16,1098,34,13,46,1139,43,0,1182,283,30,4,12,327,31,3,36,360,73,0,440,0,0,0,3,3,0,0,0,3,0,0,3,1230,139,23,36,1426,61,17,76,1506,124,0,1622,174,25,0,3,196,9,4,17,210,7,0,222,340,29,8,5,373,11,0,11,384,13,0,402,17,3,3,0,21,0,0,0,22,0,0,22,3,0,0,7,6,0,0,0,6,0,0,7,534,52,9,11,605,20,4,26,628,23,0,652,8,0,0,0,9,6,0,6,11,4,0,11,17,3,0,0,24,0,0,5,24,0,0,24,21,7,0,0,30,8,0,11,36,4,0,41,557,57,9,13,629,28,7,35,662,31,0,692,106,16,4,5
2019,546,22,0,573,0,0,0,0,4,0,0,0,4,0,0,4,8,5,0,0,12,0,0,0,16,0,0,16,11,5,0,0,18,0,0,0,14,0,0,14,485,52,10,11,559,3,3,6,561,22,0,588,132,12,3,0,145,9,0,14,155,38,0,188,4,0,0,0,4,0,0,0,4,0,3,9,614,67,13,13,709,17,3,17,725,56,8,787,95,11,3,0,105,0,0,0,105,7,0,114,187,25,3,3,221,0,0,0,225,8,0,230,4,0,3,0,5,0,0,0,5,0,0,5,0,0,0,4,4,0,0,0,4,0,0,4,287,44,8,7,341,0,0,0,340,19,0,360,0,3,0,0,3,0,0,0,3,0,0,3,7,3,0,0,12,0,0,0,12,0,0,12,7,7,0,0,12,0,0,0,12,0,0,12,293,44,8,7,354,0,0,0,354,19,0,371,55,0,0,0
2020,1072,62,3,1139,14,0,0,0,17,0,0,0,17,0,0,18,38,0,0,0,44,7,0,10,46,0,0,54,57,0,0,0,56,7,0,10,66,3,0,70,985,113,11,13,1127,11,7,14,1141,67,3,1205,375,49,8,13,452,9,6,14,467,69,0,536,0,0,0,0,0,0,0,0,0,0,0,3,1361,159,21,27,1574,20,12,31,1603,136,4,1743,142,14,0,3,162,0,0,3,166,15,0,178,391,30,3,0,426,7,0,7,436,14,0,451,12,4,0,0,22,0,0,0,22,0,0,22,3,0,0,8,9,0,0,0,9,0,0,11,554,50,3,13,617,6,0,7,630,30,0,659,14,0,0,0,14,4,0,4,15,0,0,15,18,0,0,0,19,0,0,0,18,3,0,19,27,0,0,0,29,6,0,6,31,3,0,32,582,50,3,13,645,7,0,10,658,30,0,687,139,25,3,5
2021,1099,38,0,1138,3,0,0,0,8,4,0,4,12,6,0,14,17,3,0,0,21,0,0,0,21,0,0,18,19,3,0,0,22,4,0,4,26,7,0,35,960,134,12,15,1119,9,3,16,1129,42,0,1175,218,29,3,10,263,4,0,6,267,32,3,300,0,0,0,0,0,0,0,0,0,0,0,3,1178,163,18,23,1382,15,4,21,1401,75,8,1479,159,27,0,0,187,0,0,0,190,11,0,197,398,35,11,5,446,0,0,0,451,7,0,456,5,0,4,0,6,0,0,0,6,0,0,13,7,0,0,0,8,0,0,0,8,0,0,8,573,59,11,9,651,0,0,5,657,19,0,675,7,0,0,0,4,0,0,3,7,0,0,7,4,0,0,0,6,5,0,5,10,0,0,7,7,0,0,0,17,5,0,6,17,0,0,17,582,63,13,9,668,8,0,7,676,19,0,695,78,6,0,0
3000,21287,1049,41,22379,286,59,11,19,369,171,4,174,543,82,3,623,499,65,34,18,607,55,28,88,697,50,3,743,779,121,41,34,976,223,36,260,1238,131,4,1371,18704,2211,501,426,21839,582,102,687,22526,1176,49,23748,6203,947,279,251,7684,528,82,608,8299,1890,30,10217,72,11,0,20,103,0,0,0,100,10,127,241,24983,3171,784,698,29628,1109,186,1295,30923,3079,209,34208,4764,460,83,26,5337,118,22,141,5473,323,15,5820,5997,862,125,84,7072,131,24,158,7227,374,11,7615,153,47,51,4,261,9,5,12,272,26,0,301,86,11,7,128,237,7,0,8,245,29,11,277,11005,1383,273,244,12911,272,48,317,13225,748,34,14008,174,24,3,9,208,87,3,88,295,59,3,360,259,41,13,12,323,25,18,36,357,33,0,393,431,66,12,22,528,108,17,128,659,87,3,750,11438,1445,286,267,13439,377,65,440,13881,837,39,14759,2729,457,113,128
