SUA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
1000,9,10,124,224,352,278,631,603,71,92,63,40,52,52,77,2694,0,10,28,40,27,43,34,105,12,35,31,19,6,14,22,432,0,0,9,26,49,83,180,199,46,25,44,70,56,37,72,897,3,3,16,74,18,13,5,3,0,0,0,0,0,0,13,146,0,3,0,37,18,19,19,7,4,0,0,6,3,5,15,134,222,3268,6840,9572,3423,2447,2497,1410,283,258,253,207,273,184,1519,32653,4,60,141,458,334,340,549,344,90,68,52,66,93,70,121,2796,0,0,7,13,104,77,52,71,20,23,17,17,39,28,84,549,0,0,26,22,92,59,103,85,21,15,11,14,18,3,16,485,66,763,1370,2626,1241,1152,1230,926,199,288,282,337,465,286,792,12009,500,7916,12861,17886,10575,8890,9497,7153,1500,1722,1532,1596,1943,1293,4973,89838
1001,0,0,8,10,17,7,74,79,7,3,0,0,0,5,0,214,0,0,3,0,3,14,23,51,21,21,5,6,12,7,3,165,0,0,0,0,3,7,32,29,3,6,4,4,7,3,4,105,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,13,187,379,574,247,155,206,150,20,22,16,14,17,3,86,2093,0,4,3,18,11,20,25,22,10,6,3,14,4,13,7,165,0,0,0,0,4,4,8,14,0,0,0,3,3,4,0,51,0,0,0,0,5,3,8,21,3,0,0,3,4,0,3,52,6,139,188,258,139,102,148,465,185,139,108,79,109,56,47,2164,34,800,1065,1271,797,696,968,1671,383,392,266,273,280,198,319,9410
1002,0,0,3,7,3,8,37,12,0,8,0,0,0,0,4,81,0,0,0,0,8,8,3,10,6,5,7,6,0,5,0,61,0,0,0,0,0,0,4,8,0,0,0,0,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,41,105,143,61,44,69,42,13,17,7,11,7,5,22,588,0,0,3,12,17,6,32,21,0,4,8,6,7,3,0,124,0,0,0,0,3,0,3,5,5,6,3,9,3,13,3,50,0,0,0,0,7,0,0,8,0,0,0,0,3,0,0,25,3,13,21,46,31,42,83,174,23,41,42,89,152,87,23,863,14,101,191,285,230,229,428,480,89,136,167,249,339,211,119,3269
1003,0,0,3,14,18,14,16,23,4,6,0,0,5,0,3,100,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,0,4,0,7,19,11,3,3,3,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,14,85,188,233,90,74,123,83,10,21,11,9,9,3,46,997,0,0,9,18,16,14,12,14,0,9,0,0,0,0,3,89,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,21,0,0,0,3,0,0,3,3,0,0,4,0,0,0,0,17,4,23,53,55,29,24,43,53,4,7,9,8,9,3,4,335,29,225,337,468,335,280,383,341,44,85,68,39,42,15,120,2810
1004,0,0,0,13,16,4,16,3,0,0,0,0,0,3,0,62,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,144,241,285,102,49,37,27,0,7,6,12,0,3,42,975,0,0,3,6,3,9,11,0,0,0,0,0,0,0,0,35,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,31,55,92,18,22,30,25,3,3,3,5,0,4,11,312,17,305,499,579,248,180,160,118,15,32,23,35,10,16,102,2344
1005,0,0,3,0,6,8,24,33,3,7,0,10,3,0,0,97,0,3,0,0,0,3,12,12,3,0,6,0,0,0,0,45,0,0,0,0,0,7,9,12,3,3,3,3,4,3,0,51,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,144,210,109,62,46,45,16,12,16,0,6,11,33,813,0,0,3,6,5,3,15,8,0,0,3,7,4,3,0,65,0,0,0,0,3,10,3,6,8,3,3,3,0,0,13,62,0,0,3,0,9,0,4,3,0,0,0,0,0,0,0,19,0,18,22,72,30,35,76,73,8,8,8,17,23,19,30,442,11,197,259,428,290,290,427,399,97,92,99,88,98,69,207,3063
1006,0,6,8,20,36,17,42,29,5,5,4,0,0,8,4,187,0,0,6,0,4,0,3,0,0,0,0,3,0,0,0,17,0,0,0,0,0,8,8,8,0,7,3,0,3,0,0,48,0,0,3,7,0,7,6,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,215,509,782,317,157,209,104,11,20,10,30,5,3,77,2464,0,0,5,41,20,14,28,10,6,3,0,0,3,4,3,137,0,0,0,0,12,0,5,8,7,3,0,7,0,14,4,56,0,0,0,3,3,4,12,7,0,0,0,0,0,0,3,31,4,52,102,215,81,78,69,153,17,12,15,18,18,11,27,867,37,534,915,1375,776,554,563,550,76,79,64,121,126,112,217,6114
1007,0,0,0,0,4,3,7,7,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,55,14,20,11,10,0,4,5,0,0,0,10,195,0,0,0,0,4,3,3,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,8,13,14,14,0,4,3,0,10,0,4,95,4,85,85,105,57,74,76,108,22,37,35,18,28,7,42,800
1008,0,0,0,8,10,0,13,3,0,0,3,0,0,0,0,35,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,114,199,243,86,33,72,24,4,4,0,0,0,0,40,829,0,0,4,9,0,0,10,10,3,3,5,3,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,7,21,54,19,10,16,8,0,0,0,0,0,3,3,144,17,217,320,391,210,93,175,81,15,17,19,11,12,9,88,1680
1009,3,3,37,120,211,197,483,297,47,20,31,22,39,22,32,1568,3,3,27,46,30,41,21,27,12,7,3,3,11,3,9,234,0,0,0,3,13,58,150,139,21,16,40,30,29,8,39,548,0,0,3,24,3,6,0,0,0,0,0,0,0,0,0,39,0,0,0,29,10,15,15,3,0,0,0,0,0,0,5,92,114,1294,2940,4407,1903,1794,1987,1473,250,259,211,175,152,61,585,17613,3,13,46,128,97,141,224,157,40,41,24,29,22,21,34,1014,0,0,0,14,64,46,35,43,10,14,14,17,21,9,17,299,0,0,3,9,34,13,96,74,7,0,18,10,5,4,3,269,30,293,498,1443,736,749,862,638,117,125,86,116,94,48,199,6012,260,3135,5432,8540,5638,5877,6834,4995,938,956,828,773,705,398,1682,46994
1010,0,3,13,22,29,24,62,87,7,8,0,4,11,11,4,285,0,0,0,0,0,4,3,11,3,0,0,0,0,0,0,27,0,0,0,0,12,10,19,27,11,6,9,12,9,11,9,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,0,12,23,289,566,799,255,194,223,189,51,45,42,12,25,5,107,2820,0,3,5,31,37,25,34,33,5,9,9,6,6,0,6,208,0,0,0,3,4,5,3,8,0,3,0,9,5,0,0,47,0,0,0,3,9,5,11,4,3,0,3,0,3,0,0,44,4,61,121,182,92,114,202,309,67,145,143,136,175,115,80,1949,44,655,1055,1460,939,846,1046,1308,235,342,363,360,380,247,386,9671
1011,0,0,3,0,5,10,22,11,0,5,0,3,7,0,0,74,0,0,0,0,3,9,18,47,12,13,6,4,17,0,3,137,0,0,0,0,3,0,5,9,0,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,53,72,110,42,28,30,28,12,3,21,11,7,3,14,444,0,0,5,7,10,5,9,3,0,3,0,0,0,0,0,44,0,0,0,0,9,3,5,14,3,3,3,0,5,4,0,45,0,0,0,0,0,0,5,38,0,0,0,0,10,5,0,74,0,11,27,30,15,15,42,198,33,29,29,21,17,45,15,534,11,127,179,245,184,213,319,733,136,152,148,133,155,109,79,2917
1012,0,0,3,3,17,8,15,6,0,0,0,0,0,0,0,56,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,3,0,3,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,129,202,262,82,36,60,26,4,4,0,3,3,3,51,873,0,0,0,11,0,0,4,5,3,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,36,32,66,23,15,22,18,10,0,5,0,0,0,13,243,23,315,349,458,221,149,190,103,26,35,26,10,21,16,112,2059
1013,0,0,0,0,3,4,0,11,0,0,0,0,4,0,4,27,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,3,4,11,3,0,0,3,3,0,5,36,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,57,109,164,53,41,19,32,5,4,5,3,4,0,46,550,0,0,0,8,0,3,13,13,3,0,0,0,6,0,0,48,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,23,0,0,4,0,0,0,0,9,3,0,0,0,0,3,0,23,0,17,24,47,16,16,40,91,7,14,11,10,21,11,38,367,3,128,211,329,171,172,192,317,53,48,50,83,99,59,221,2143
1014,0,0,0,0,0,4,7,3,3,0,0,0,0,0,0,20,0,0,3,0,0,8,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,3,0,7,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,87,83,34,23,18,18,0,3,0,4,3,0,16,339,0,0,0,11,0,6,4,7,6,3,0,0,0,0,0,39,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,10,0,9,13,28,16,10,12,14,0,0,7,3,7,0,9,129,8,90,137,179,103,111,88,126,21,38,16,27,22,10,65,1043
1015,0,0,0,0,3,3,22,24,9,9,4,5,0,0,3,76,0,0,0,0,3,0,4,17,0,3,0,4,4,0,0,28,0,0,0,0,0,3,8,6,0,0,0,0,3,0,0,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,43,16,0,0,0,3,0,0,3,88,0,20,23,42,15,7,16,20,5,13,0,6,13,5,12,215,0,0,4,0,3,6,7,0,0,0,0,3,0,0,3,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,20,3,0,0,5,0,0,0,42,0,6,25,30,37,79,154,59,40,39,60,59,74,38,78,789,40,373,309,210,132,304,688,693,152,193,210,199,222,137,293,4162
1016,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,28,89,97,17,12,9,3,0,4,0,0,0,0,19,279,0,0,0,3,3,3,5,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,22,9,10,15,10,3,0,3,4,6,9,16,130,12,69,128,167,77,89,66,52,15,13,15,21,19,28,89,856
1017,0,0,3,9,5,8,18,3,4,8,0,0,4,0,0,65,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,0,0,0,0,3,6,10,11,0,0,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,63,134,183,63,76,51,37,10,0,4,3,3,4,19,664,0,0,0,24,11,14,20,9,3,0,7,4,3,0,0,89,0,0,0,3,0,3,3,3,8,7,4,3,0,11,0,41,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,19,0,14,21,55,42,25,49,67,4,7,18,11,19,17,14,358,23,179,257,375,296,298,338,275,63,41,69,49,66,48,73,2440
1018,0,0,0,3,6,0,0,4,3,3,0,0,0,0,0,22,0,0,0,0,0,4,0,6,0,0,0,4,0,0,3,14,0,0,0,0,0,3,0,10,3,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,69,137,67,16,20,3,4,0,0,0,7,0,18,379,0,0,0,7,0,3,0,3,0,0,0,0,0,0,0,23,0,0,0,0,4,4,3,6,3,0,3,0,0,3,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,33,16,11,17,10,0,4,0,4,5,0,37,160,7,100,145,249,162,106,125,109,18,23,3,19,28,9,174,1269
1019,0,3,0,15,19,13,37,27,8,0,3,0,0,0,3,130,0,0,0,5,0,5,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,10,3,3,0,3,5,0,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,133,194,275,103,78,64,39,8,3,7,8,3,5,58,970,0,3,6,13,8,14,17,11,7,0,0,3,0,0,5,85,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,3,4,8,3,0,0,0,0,0,0,22,9,28,46,110,49,66,45,56,6,10,22,12,14,4,25,512,37,323,390,607,363,371,348,241,64,50,51,54,31,27,165,3122
1020,0,0,0,0,0,10,6,7,6,13,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,43,70,28,14,19,6,7,3,0,6,0,0,10,241,0,0,0,3,0,0,3,3,0,0,0,0,0,0,3,17,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,12,0,8,11,23,3,7,13,11,0,0,0,0,3,0,12,93,7,74,84,147,76,67,100,111,21,40,23,10,18,5,55,834
1021,0,0,0,3,8,0,8,17,4,0,0,0,0,0,0,39,0,0,0,0,0,8,0,7,0,0,3,0,0,0,0,20,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,16,34,59,10,9,12,8,13,3,3,0,3,0,13,194,0,0,0,3,0,4,3,9,0,0,0,0,0,0,6,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,8,19,0,0,4,0,0,0,0,29,0,7,3,20,5,8,15,33,9,3,3,6,5,0,18,132,0,39,51,123,67,84,113,193,44,48,49,26,26,22,125,1017
1022,0,3,6,10,32,16,38,49,5,9,3,7,0,0,0,169,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,22,8,3,0,0,6,0,0,7,49,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,14,13,181,266,442,193,100,144,170,28,21,38,5,10,4,61,1674,0,3,7,11,11,9,26,15,0,3,9,3,3,3,3,102,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,19,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,16,0,33,48,110,67,43,44,45,7,12,3,13,8,0,18,449,20,406,575,799,471,325,427,421,78,65,67,65,48,30,158,3963
