SUA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
1035,10,104,0,109,..,472,31,505,3,511,..,963,134,1096,8,1104,..,119,3,121,0,118,..,160,47,214,0,215,..,528,108,632,3,635,..,477,135,608,0,610,..,2198,520,2718,55,2777,..,17052,3043,20094,250,20348,..,365,50,413,6695,7104,113235,17423,3088,20506,6945,140690,116275,..,..,..,..,116275,..,99,0,104,0,104,..,1151,365,1521,11,1534,..,15,0,15,0,15,..,290,101,386,4,391,..,1132,354,1490,12,1496,..,102,51,153,0,153,..,1522,509,2033,12,2041,..,416,86,501,15,514,..,252,6,259,8,265,..,204,12,218,0,221,..,592,28,615,15,631,..,865,191,1057,24,1079,..,79,5,81,0,81,..,206,14,221,5,225,..,51,7,61,0,61,..,103,9,110,0,110,..,104,18,122,0,122,..,130,3,138,0,138,..,677,55,732,7,736,..,1820,404,2228,51,2281,..,155,19,178,0,178,..,137,62,194
2000,13,88,0,85,..,669,49,714,7,725,..,353,28,383,4,390,..,74,27,100,3,99,..,135,31,166,0,167,..,132,33,167,0,169,..,203,88,290,3,299,..,1890,435,2323,69,2394,..,11127,1726,12851,239,13096,..,877,72,952,29313,30263,302117,12004,1799,13801,29552,345471,303213,..,..,..,..,303213,..,175,0,175,0,175,..,212,48,259,10,269,..,72,4,79,0,77,..,191,76,265,0,264,..,688,352,1042,11,1058,..,54,42,98,0,98,..,940,468,1404,12,1415,..,213,21,229,3,238,..,601,9,609,9,618,..,419,11,435,7,442,..,997,26,1024,13,1045,..,536,79,620,9,629,..,32,4,36,0,36,..,140,15,155,0,158,..,256,54,306,0,305,..,70,3,74,3,76,..,41,17,58,0,60,..,97,9,104,3,100,..,630,98,729,11,734,..,1757,251,2013,42,2050,..,183,22,208,0,206,..,70,18,88
2001,0,4,0,4,..,14,0,15,0,15,..,32,0,30,0,30,..,7,0,7,0,7,..,6,0,6,0,6,..,3,0,3,0,3,..,18,0,20,0,25,..,88,24,107,0,107,..,586,55,639,9,650,..,10,0,18,532,545,8747,597,58,654,537,9944,9190,..,..,..,..,9190,..,15,0,15,0,15,..,11,0,13,0,16,..,0,0,0,0,0,..,7,0,7,0,7,..,13,5,19,0,20,..,0,0,0,0,0,..,21,5,29,0,31,..,20,6,27,0,29,..,22,0,20,0,20,..,12,0,13,0,13,..,33,0,38,0,38,..,32,3,37,0,36,..,0,0,0,0,0,..,19,0,19,0,19,..,33,8,39,0,39,..,0,0,4,0,4,..,7,0,7,0,7,..,5,3,9,0,9,..,67,13,83,0,83,..,46,6,53,0,53,..,0,0,4,0,4,..,0,0,0
2002,0,5,0,5,..,30,0,29,0,29,..,5,0,5,0,5,..,6,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,9,9,24,0,24,..,26,5,37,3,37,..,239,37,273,6,279,..,18,0,18,620,644,5982,254,37,293,629,6905,6697,..,..,..,..,6697,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3,..,17,20,34,0,36,..,3,3,4,0,4,..,28,17,45,0,49,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,27,0,24,3,28,..,0,0,0,0,3,..,0,0,0,0,0,..,10,0,17,0,17,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,7,0,7,0,7,..,30,0,30,0,30,..,46,3,50,3,53,..,0,0,0,0,0,..,6,0,6
2003,0,15,0,15,..,142,5,151,0,153,..,49,3,49,0,49,..,39,3,41,0,41,..,26,11,32,0,32,..,14,0,14,0,14,..,38,8,45,0,45,..,450,98,549,20,561,..,2272,345,2614,35,2647,..,134,4,144,2787,2934,42361,2408,346,2754,2823,47944,45984,..,..,..,..,45984,..,27,0,27,0,27,..,60,4,61,0,61,..,7,0,7,0,10,..,68,24,88,0,89,..,327,93,427,4,426,..,34,5,41,0,41,..,430,122,555,3,554,..,54,7,65,0,61,..,92,0,94,3,98,..,64,3,63,0,64,..,95,8,99,0,99,..,51,9,67,4,66,..,29,4,31,0,31,..,98,8,110,0,110,..,90,22,110,0,114,..,38,4,42,0,38,..,35,9,42,0,42,..,50,3,51,0,51,..,336,48,389,3,388,..,93,13,106,0,110,..,75,9,88,0,88,..,22,3,26
2004,0,7,0,7,..,107,4,110,0,112,..,25,3,32,0,32,..,28,3,29,0,33,..,13,3,16,0,22,..,6,0,11,0,11,..,36,16,49,0,46,..,554,314,863,12,878,..,1763,465,2235,25,2256,..,104,11,119,2989,3108,40103,1871,482,2348,3013,45463,43153,..,..,..,..,43153,..,31,3,30,0,30,..,61,6,66,0,66,..,4,0,4,0,4,..,56,14,63,0,63,..,172,81,246,0,248,..,10,3,15,0,15,..,229,89,321,3,328,..,10,0,18,0,18,..,27,3,27,3,33,..,43,3,46,0,46,..,56,0,51,0,51,..,47,12,59,0,59,..,28,6,31,0,32,..,77,10,84,0,86,..,75,9,80,0,86,..,50,8,56,0,56,..,35,3,37,0,37,..,57,3,66,0,66,..,311,39,347,0,347,..,73,4,77,4,80,..,24,0,26,0,29,..,24,6,27
2005,0,6,0,6,..,27,0,27,0,27,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,9,0,9,..,106,13,115,5,122,..,274,45,323,6,326,..,11,9,20,359,379,5286,291,49,338,363,5995,5604,..,..,..,..,5604,..,0,0,0,0,0,..,12,3,23,0,23,..,0,0,0,0,0,..,5,0,9,0,9,..,14,13,34,0,34,..,0,0,0,0,0,..,26,21,42,0,42,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,9,0,9,0,9,..,4,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,15,0,15,..,18,9,25,3,32,..,3,0,3,0,3,..,0,0,0
2006,0,0,0,0,..,19,0,25,0,25,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,3,0,3,..,3,0,3,0,3,..,54,13,67,3,68,..,231,39,268,3,273,..,31,0,31,646,681,8863,261,37,301,652,9816,9554,..,..,..,..,9554,..,9,0,9,0,9,..,10,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,22,0,23,0,23,..,3,0,3,0,3,..,26,0,29,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,10,0,10,..,13,0,13,0,13,..,10,0,11,0,10,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,6,0,6,..,25,0,26,0,26,..,28,4,36,0,36,..,0,3,3,0,3,..,0,0,4
2007,4,67,3,69,..,527,11,535,5,539,..,205,34,242,3,245,..,120,3,125,0,125,..,74,20,97,0,98,..,133,36,170,0,170,..,275,86,357,8,364,..,1993,562,2552,62,2613,..,10379,1689,12072,170,12244,..,302,29,337,7455,7794,100045,10684,1724,12408,7624,120081,107167,..,..,..,..,107167,..,86,0,86,3,86,..,231,60,291,3,296,..,12,0,12,0,12,..,199,26,226,0,221,..,726,192,915,20,932,..,37,15,52,0,52,..,957,233,1194,15,1212,..,891,201,1095,7,1102,..,282,3,285,8,295,..,221,10,231,3,237,..,494,18,513,8,518,..,367,64,427,7,440,..,50,7,65,0,65,..,225,13,235,0,235,..,318,41,354,3,359,..,104,11,116,0,119,..,79,9,89,0,89,..,146,12,161,3,164,..,924,96,1019,9,1031,..,1069,205,1275,21,1291,..,160,9,171,0,171,..,69,14,90
2008,0,0,0,0,..,3,3,4,0,4,..,19,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,42,10,52,3,59,..,391,40,432,9,438,..,26,0,26,497,516,9055,413,40,453,505,10017,9195,..,..,..,..,9195,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,3,3,8,0,8,..,23,14,31,0,31,..,5,0,5,0,5,..,30,18,48,0,48,..,22,4,22,0,22,..,9,0,9,0,9,..,23,0,23,0,23,..,33,0,33,0,36,..,27,0,32,0,29,..,0,0,0,0,0,..,3,0,3,0,3,..,4,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,3,11,0,11,..,66,0,67,0,67,..,5,0,8,0,8,..,3,0,3
2009,0,3,0,3,..,32,3,36,0,36,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,15,0,15,..,0,0,0,0,0,..,69,19,85,0,85,..,283,32,311,3,318,..,16,4,23,419,439,7048,300,35,334,422,7806,7625,..,..,..,..,7625,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,10,3,17,0,17,..,25,6,26,0,26,..,0,0,0,0,0,..,33,6,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,11,0,11,..,6,0,7,0,7,..,4,0,4,0,4,..,7,0,12,0,12,..,6,0,6,0,6,..,5,0,5,0,5,..,3,0,3,0,3,..,14,0,15,0,15,..,43,0,48,0,50,..,40,7,42,0,48,..,6,0,6,0,6,..,8,0,6
2010,173,2994,22,3018,..,24115,1039,25150,187,25340,..,14028,1574,15602,181,15783,..,11988,1192,13185,119,13306,..,2790,685,3474,30,3507,..,12427,2335,14768,159,14924,..,34318,12171,46484,367,46848,..,85384,20472,105850,2086,107932,..,580576,106186,686762,7207,693971,..,5117,1286,6403,114781,121181,1304412,585696,107473,693165,121987,2119559,1341919,..,..,..,..,1341919,..,2217,33,2247,17,2260,..,30244,6813,37054,411,37469,..,124,3,123,0,123,..,29999,10213,40209,229,40437,..,74750,26021,100776,554,101326,..,6981,2860,9847,57,9901,..,111733,39096,150830,837,151668,..,7556,1337,8892,105,9005,..,3247,102,3351,39,3392,..,8722,354,9080,70,9148,..,8018,243,8258,98,8362,..,43915,11046,54961,514,55474,..,4414,433,4848,32,4878,..,21644,1414,23058,176,23238,..,19504,2937,22442,225,22670,..,16318,1204,17521,133,17651,..,7915,1174,9091,90,9182,..,12994,1461,14458,94,14546,..,82786,8629,91414,746,92166,..,44291,8952,53241,677,53915,..,5101,898,5993,51,6049,..,5529,2236,7765
2011,0,32,0,32,..,364,15,379,8,380,..,243,24,264,3,267,..,31,0,32,0,32,..,26,3,33,0,30,..,108,16,118,0,119,..,114,53,163,7,168,..,1162,265,1427,26,1451,..,4932,720,5657,74,5730,..,112,13,125,1868,1991,21654,5043,732,5782,1940,29371,22298,..,..,..,..,22298,..,26,0,26,0,26,..,213,45,255,9,263,..,0,0,0,0,0,..,40,21,59,3,65,..,116,45,158,0,161,..,13,3,18,0,18,..,169,67,236,3,241,..,114,23,139,0,138,..,21,0,20,0,22,..,44,4,44,0,45,..,78,0,78,0,74,..,141,24,168,3,168,..,60,9,70,0,73,..,237,16,257,3,260,..,289,66,355,7,357,..,138,4,144,0,146,..,81,8,91,0,90,..,49,34,80,0,80,..,853,136,991,12,1003,..,185,18,204,6,211,..,11,0,16,0,16,..,16,11,32
2012,24,59,0,59,..,78,25,109,0,109,..,10,0,13,0,13,..,22,12,34,0,34,..,16,6,18,0,22,..,149,53,203,3,211,..,51,42,94,3,93,..,434,171,601,8,608,..,1794,543,2339,32,2371,..,67,4,74,2061,2137,20091,1863,548,2409,2097,24594,21138,..,..,..,..,21138,..,16,0,16,0,16,..,38,9,41,0,41,..,21,0,26,0,24,..,40,16,58,0,61,..,89,74,161,0,165,..,7,0,7,0,7,..,142,84,224,4,232,..,39,6,40,0,40,..,23,0,23,0,23,..,10,3,15,0,15,..,24,0,24,0,24,..,119,25,145,3,149,..,17,0,17,0,17,..,24,0,25,0,25,..,71,12,84,0,84,..,22,0,25,0,25,..,3,0,3,0,3,..,29,0,28,0,28,..,169,15,185,0,189,..,427,76,506,8,515,..,15,10,27,0,27,..,13,9,24
2013,0,0,0,0,..,8,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,7,0,7,0,7,..,64,19,77,0,79,..,373,59,428,9,439,..,20,3,22,593,616,6972,391,64,455,594,8022,7344,..,..,..,..,7344,..,0,0,0,0,0,..,13,3,14,0,14,..,0,0,0,0,0,..,9,3,16,0,16,..,16,13,24,0,24,..,7,0,9,0,9,..,33,16,45,0,45,..,16,3,15,0,15,..,46,0,46,0,46,..,4,0,4,0,4,..,39,0,38,0,36,..,30,4,36,0,36,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,22,0,22,0,22,..,34,6,39,0,39,..,0,0,0,0,0,..,0,0,0
2014,0,0,0,0,..,7,0,12,0,12,..,4,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,3,0,3,..,23,4,27,0,27,..,110,11,124,4,126,..,15,0,18,406,426,4773,128,17,141,410,5325,4907,..,..,..,..,4907,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,5,0,5,..,0,0,0,0,0,..,6,3,12,0,12,..,5,0,5,0,5,..,8,0,8,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,7,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,17,3,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
2015,0,3,0,3,..,28,0,33,0,33,..,3,0,3,0,3,..,12,7,23,0,23,..,3,3,6,0,6,..,0,0,0,0,0,..,14,4,23,0,19,..,51,5,53,0,53,..,329,52,375,9,385,..,18,0,18,532,548,6107,344,52,394,541,7041,6596,..,..,..,..,6596,..,12,0,12,0,12,..,6,0,11,0,11,..,4,0,4,0,5,..,6,0,9,0,9,..,25,23,47,0,47,..,0,0,0,0,0,..,31,30,61,0,61,..,7,0,7,0,7,..,18,0,20,0,20,..,8,0,8,0,8,..,3,0,3,0,3,..,8,0,8,0,6,..,0,0,0,0,0,..,15,0,19,0,19,..,23,3,28,0,28,..,19,0,18,0,18,..,13,0,14,0,14,..,5,0,4,0,4,..,80,9,84,0,84,..,25,5,34,0,34,..,3,0,4,0,4,..,0,0,0
2016,3,23,0,26,..,115,11,127,0,125,..,11,3,15,0,15,..,32,4,34,0,34,..,20,5,26,0,26,..,155,61,211,3,217,..,19,8,24,0,24,..,853,387,1248,33,1277,..,3299,884,4185,72,4255,..,76,13,89,1935,2032,18052,3381,896,4277,2009,24328,19042,..,..,..,..,19042,..,19,0,24,0,24,..,414,190,605,8,611,..,21,0,21,0,21,..,41,27,67,0,69,..,131,105,238,3,237,..,0,3,3,0,3,..,174,138,314,6,312,..,10,0,10,0,14,..,17,0,18,3,23,..,17,0,18,0,22,..,24,4,29,0,29,..,79,18,96,0,98,..,15,3,17,0,17,..,57,6,61,0,57,..,303,72,373,6,378,..,55,8,59,0,58,..,55,3,59,0,59,..,61,12,73,0,76,..,543,98,638,8,654,..,395,93,490,3,495,..,9,0,12,0,12,..,13,4,13
2017,9,21,0,21,..,45,13,62,0,62,..,4,0,3,0,3,..,0,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,8,3,10,0,15,..,96,85,179,8,186,..,382,149,524,13,546,..,16,4,22,544,568,4201,393,152,546,559,5307,4545,..,..,..,..,4545,..,9,0,9,0,9,..,10,3,14,0,14,..,0,0,0,0,0,..,7,3,11,0,11,..,27,10,37,0,37,..,0,0,0,0,0,..,32,12,43,0,43,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,9,0,5,0,5,..,45,12,56,0,56,..,7,3,9,0,9,..,5,0,5,0,5,..,4,0,4,0,4,..,73,19,84,0,89,..,73,19,89,4,99,..,0,0,0,0,0,..,7,0,7
2018,0,11,0,14,..,67,3,71,0,73,..,30,6,36,0,36,..,20,0,20,0,20,..,7,3,11,0,11,..,0,0,0,0,0,..,19,4,27,0,27,..,229,57,280,0,285,..,1349,192,1533,19,1555,..,54,6,57,1588,1649,16503,1398,192,1595,1607,19709,17418,..,..,..,..,17418,..,23,0,26,0,26,..,42,19,61,3,65,..,3,0,3,0,3,..,29,17,37,0,40,..,72,22,92,0,93,..,9,0,9,0,9,..,100,40,141,3,146,..,10,0,10,0,10,..,52,0,49,0,49,..,24,0,24,0,24,..,44,0,50,0,50,..,109,31,142,3,141,..,18,3,19,0,19,..,37,0,37,0,37,..,14,0,21,0,21,..,29,0,29,0,29,..,11,0,11,0,11,..,29,4,30,3,30,..,145,6,150,3,154,..,284,69,356,6,363,..,12,0,11,0,11,..,5,3,8
2019,0,3,0,3,..,29,3,27,0,30,..,8,0,6,0,6,..,8,0,10,0,10,..,0,0,3,3,7,..,3,4,3,0,3,..,0,0,0,0,0,..,34,4,37,0,40,..,396,60,458,3,461,..,20,0,18,604,624,7709,410,61,477,608,8791,8633,..,..,..,..,8633,..,3,0,3,0,3,..,9,3,8,0,8,..,0,0,0,0,0,..,10,3,9,0,14,..,18,6,17,0,19,..,0,0,3,0,3,..,27,9,35,3,34,..,0,3,3,0,3,..,8,0,8,0,8,..,5,5,9,0,9,..,18,0,18,0,18,..,11,3,12,0,12,..,0,0,0,0,0,..,3,0,5,0,5,..,18,0,15,0,15,..,12,0,12,0,12,..,4,0,4,0,4,..,10,0,10,0,10,..,49,3,54,0,54,..,164,44,215,4,214,..,9,0,9,0,9,..,0,0,0
2020,0,0,0,0,..,17,0,17,0,17,..,20,4,24,0,21,..,4,0,4,0,4,..,5,3,7,0,7,..,0,0,0,0,0,..,5,4,8,0,8,..,111,20,139,4,142,..,602,91,697,7,706,..,44,4,54,1026,1077,15028,650,97,752,1031,16812,16220,..,..,..,..,16220,..,13,0,13,0,13,..,10,0,12,0,12,..,3,0,3,0,3,..,10,3,13,0,13,..,53,26,82,0,82,..,4,0,3,0,3,..,69,32,102,0,102,..,20,0,15,0,15,..,57,0,57,0,57,..,24,0,24,0,24,..,43,3,42,0,46,..,25,6,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,28,0,26,0,26,..,15,0,15,0,15,..,4,0,4,0,4,..,9,0,12,0,12,..,65,6,74,0,75,..,67,8,69,0,76,..,11,3,14,0,14,..,4,0,4
2021,0,6,0,6,..,31,3,37,0,37,..,6,3,9,0,9,..,8,0,8,0,8,..,14,7,16,0,16,..,3,0,5,0,5,..,8,4,10,0,10,..,86,18,101,0,105,..,495,229,722,7,729,..,42,4,48,1100,1153,14461,540,236,775,1113,16341,15676,..,..,..,..,15676,..,8,0,8,0,8,..,26,6,35,3,33,..,3,0,3,0,0,..,18,3,23,0,23,..,71,71,137,0,139,..,5,8,17,0,17,..,95,88,180,0,179,..,0,0,4,0,4,..,18,0,18,0,18,..,29,0,30,0,26,..,14,0,20,0,20,..,13,0,11,0,11,..,0,0,0,0,0,..,18,4,18,0,19,..,8,3,6,0,6,..,28,3,36,0,36,..,0,0,0,0,0,..,7,0,7,0,8,..,65,7,74,4,76,..,14,0,15,0,15,..,26,3,27,0,27,..,10,12,23
3000,13,88,3,94,..,1362,61,1424,21,1444,..,396,33,425,5,434,..,89,22,107,0,107,..,147,30,181,0,177,..,37,4,45,0,45,..,240,126,367,4,373,..,3076,739,3818,126,3937,..,17437,3012,20447,528,20977,..,1120,117,1237,38351,39583,327225,18550,3134,21684,38878,387785,315601,..,..,..,..,315601,..,603,15,615,5,621,..,101,28,134,0,134,..,4657,499,5154,241,5397,..,214,55,274,0,276,..,750,503,1250,20,1272,..,19,26,47,0,53,..,988,588,1577,19,1597,..,107,8,119,0,120,..,490,17,510,4,512,..,530,37,568,3,571,..,1202,27,1236,7,1246,..,163,23,189,3,188,..,29,6,34,0,34,..,187,14,202,3,202,..,456,96,554,5,560,..,71,4,76,0,81,..,49,3,52,0,58,..,149,24,179,0,181,..,945,148,1092,17,1108,..,1714,314,2022,45,2071,..,365,119,485,6,492,..,186,193,373
