SUA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
1035,0,196,..,2308,796,3098,38,3133,..,280,19,297,6,304,..,178,33,206,3,211,..,252,39,287,7,296,..,106,15,123,0,128,..,47,0,47,0,47,..,683,189,866,10,879,..,199,6,204,3,209,..,141,21,159,0,162,..,402,23,424,5,428,..,96,3,103,0,102,..,839,52,895,16,904,..,1061,209,1274,9,1276,..,63,3,68,0,68,..,345,73,423,0,421,..,478,110,589,5,598,..,483,198,685,0,686,..,2264,617,2885,61,2944,..,17314,4089,21405,295,21705,..,358,74,430,6589,7014,116275,17672,4165,21835,6886,144995,229508,..,..,..,..,229508,..,192,0,194,5,198,..,2401,664,3063,23,3086,..,33,0,33,0,34,..,570,204,773,3,780,..,2526,712,3241,15,3260,..,278,120,396,0,396,..,3375,1038,4412,20,4434,..,821,144,958,17,980,..,418,6,427,12,435,..,396,20,420,4,422,..,1039,46,1084,21,1105
2000,3,87,..,101,18,121,0,124,..,229,6,240,5,241,..,31,3,36,0,36,..,198,17,219,3,223,..,119,21,140,0,138,..,31,0,30,0,30,..,105,11,119,0,124,..,431,19,452,10,460,..,127,8,135,3,138,..,442,13,455,11,468,..,138,3,144,0,144,..,1139,43,1183,23,1207,..,376,37,415,6,416,..,79,4,85,3,86,..,304,60,371,4,376,..,94,35,130,0,130,..,183,139,321,5,332,..,1984,399,2381,62,2439,..,11782,1865,13654,239,13889,..,835,48,882,25613,26495,303213,12620,1917,14532,25854,343603,605332,..,..,..,..,605332,..,334,0,330,4,337,..,481,111,590,12,607,..,113,9,121,3,126,..,368,151,511,4,517,..,1216,690,1905,28,1937,..,146,71,215,0,215,..,1724,910,2635,33,2668,..,455,47,504,4,506,..,1081,23,1106,19,1124,..,758,28,788,15,805,..,1791,48,1841,20,1868
2001,0,0,..,7,0,9,0,9,..,51,0,55,0,55,..,0,0,0,0,0,..,15,3,17,0,17,..,7,0,7,0,7,..,5,0,10,0,10,..,16,0,16,0,16,..,11,0,11,0,11,..,0,0,3,0,3,..,10,0,15,0,15,..,4,0,4,0,4,..,30,3,32,0,32,..,26,4,25,0,25,..,3,0,3,0,3,..,14,0,14,0,14,..,3,0,3,0,3,..,13,0,16,0,20,..,103,9,118,3,120,..,579,64,641,9,651,..,19,0,19,540,566,9190,599,64,659,551,10407,17941,..,..,..,..,17941,..,25,0,25,0,25,..,34,3,33,3,38,..,0,0,0,0,0,..,13,0,8,0,8,..,26,12,32,0,36,..,0,0,0,0,0,..,38,12,50,0,47,..,44,8,55,0,53,..,46,0,46,0,46,..,24,0,25,0,25,..,62,0,60,0,60
2002,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,3,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,22,0,25,0,25,..,0,0,0,0,0,..,21,0,21,0,21,..,0,0,0,0,0,..,49,0,47,0,47,..,3,0,3,0,3,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,15,18,34,0,34,..,31,5,38,0,38,..,278,52,334,6,338,..,28,0,29,751,786,6697,306,53,363,764,7819,12682,..,..,..,..,12682,..,15,0,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,11,4,15,0,15,..,32,25,54,0,60,..,9,3,9,0,9,..,52,29,82,0,77,..,4,0,4,0,4,..,9,0,9,0,10,..,13,0,13,0,13,..,43,0,43,3,45
2003,0,26,..,8,0,8,0,8,..,30,0,30,0,33,..,24,4,28,0,28,..,26,4,29,0,29,..,28,4,37,0,37,..,3,0,3,0,3,..,17,0,17,0,19,..,84,3,83,0,83,..,29,0,29,0,29,..,91,3,93,0,93,..,25,0,26,0,24,..,221,5,232,0,229,..,49,3,51,0,52,..,31,4,35,0,35,..,47,8,56,0,60,..,11,3,9,0,9,..,48,9,58,0,56,..,458,70,527,19,545,..,2421,348,2772,40,2805,..,149,10,157,2995,3153,45984,2569,356,2928,3032,51943,88346,..,..,..,..,88346,..,56,3,61,0,61,..,142,7,155,0,155,..,18,0,19,0,20,..,130,36,167,0,165,..,655,191,846,5,854,..,55,20,76,0,76,..,840,245,1085,4,1090,..,102,17,118,0,115,..,158,5,159,4,163,..,113,5,120,0,118,..,159,5,168,0,168
2004,0,27,..,5,0,5,0,5,..,9,0,9,0,9,..,15,0,18,0,18,..,10,0,10,0,10,..,28,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,77,0,80,0,80,..,53,0,53,0,53,..,89,0,89,0,89,..,17,0,17,0,20,..,238,0,236,3,243,..,25,8,36,0,36,..,38,3,36,0,36,..,29,0,29,3,35,..,8,0,12,0,12,..,34,10,47,0,45,..,526,342,866,26,890,..,1913,535,2446,43,2489,..,139,3,146,3125,3268,43153,2053,544,2592,3165,48916,83258,..,..,..,..,83258,..,60,3,63,0,63,..,134,12,148,0,148,..,10,0,10,0,10,..,92,20,115,0,111,..,313,134,452,4,452,..,23,3,24,0,24,..,435,161,590,4,597,..,23,0,27,0,27,..,46,4,43,3,49,..,74,3,78,0,78,..,93,0,98,0,97
2005,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,3,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,13,0,13,..,3,0,3,0,3,..,10,0,6,0,6,..,0,0,3,0,3,..,27,3,30,0,30,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,7,0,7,..,51,11,59,4,70,..,190,51,241,8,248,..,14,0,11,391,401,5604,204,53,257,397,6258,10892,..,..,..,..,10892,..,3,0,3,0,3,..,49,9,60,0,60,..,0,0,0,0,0,..,11,3,14,0,14,..,30,32,59,0,60,..,0,0,0,0,0,..,44,32,77,0,83,..,3,0,3,0,3,..,12,0,12,0,12,..,3,0,3,0,3,..,12,0,12,0,12
2006,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,3,0,3,0,3,..,23,0,23,0,23,..,0,0,0,0,0,..,48,0,48,0,48,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,48,6,57,3,64,..,260,23,286,7,292,..,39,0,41,722,762,9554,298,28,323,729,10611,18418,..,..,..,..,18418,..,14,0,14,0,14,..,13,0,13,0,13,..,10,0,10,0,10,..,7,0,7,0,7,..,31,4,34,0,34,..,3,0,3,0,3,..,46,4,47,0,47,..,4,0,4,0,4,..,8,0,8,0,8,..,17,3,24,0,24,..,28,0,28,0,28
2007,0,90,..,417,121,544,10,551,..,79,8,89,0,89,..,171,43,214,0,212,..,254,43,301,3,303,..,113,37,147,0,147,..,20,0,20,0,20,..,308,100,405,5,405,..,256,7,260,0,260,..,144,3,147,0,147,..,317,10,321,3,330,..,83,3,84,0,85,..,794,22,819,5,825,..,290,55,352,3,355,..,69,5,72,0,72,..,156,41,194,0,195,..,126,26,151,0,153,..,233,118,351,3,348,..,1850,646,2504,49,2553,..,10660,2180,12835,176,13009,..,337,27,360,6837,7205,107167,10991,2201,13198,7011,127382,207214,..,..,..,..,207214,..,178,0,179,3,183,..,545,124,664,10,676,..,27,0,27,0,27,..,372,69,442,0,447,..,1414,373,1790,22,1806,..,100,43,135,0,135,..,1875,490,2365,23,2387,..,1738,343,2082,16,2104,..,512,10,524,11,536,..,402,21,420,3,421,..,896,22,920,18,934
2008,0,3,..,8,0,7,0,7,..,31,0,31,0,31,..,3,0,3,0,3,..,15,3,17,0,17,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,15,0,15,0,15,..,18,5,26,0,26,..,0,0,0,0,0,..,6,0,8,0,8,..,4,0,4,0,4,..,10,0,7,0,7,..,46,11,55,4,61,..,416,55,465,7,470,..,22,0,29,510,535,9195,442,53,493,513,10202,18247,..,..,..,..,18247,..,30,0,34,0,34,..,11,0,11,0,15,..,3,0,3,0,3,..,8,3,14,0,14,..,34,23,57,0,63,..,4,0,6,0,6,..,50,29,78,0,78,..,32,4,36,0,36,..,22,0,22,0,22,..,35,0,33,0,33,..,70,0,70,0,71
2009,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,18,0,18,..,0,0,0,0,0,..,18,0,18,0,18,..,10,0,10,0,10,..,50,0,46,0,46,..,9,0,8,0,8,..,5,0,5,0,5,..,4,0,5,0,5,..,7,3,14,0,14,..,4,0,4,0,4,..,72,21,95,3,100,..,321,48,367,7,376,..,12,4,22,434,450,7625,338,50,386,438,8448,14672,..,..,..,..,14672,..,6,0,6,0,6,..,15,0,15,0,15,..,4,0,4,0,4,..,20,3,22,0,22,..,42,6,47,0,46,..,0,0,0,0,0,..,63,8,69,0,68,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,20,0,19,0,19
2010,64,7836,..,11343,2611,13955,137,14088,..,7250,620,7865,115,7979,..,5759,1424,7181,62,7246,..,6677,1073,7749,74,7819,..,7600,1758,9360,81,9440,..,5001,344,5347,101,5449,..,6374,1422,7797,79,7874,..,8588,245,8837,81,8915,..,7931,588,8523,62,8582,..,11288,335,11621,129,11751,..,3471,204,3674,27,3709,..,31283,1377,32658,302,32958,..,14927,2032,16953,144,17095,..,10304,1062,11373,100,11466,..,5432,1232,6669,58,6721,..,11678,3275,14955,144,15101,..,34635,19059,53691,402,54092,..,80502,23565,104065,1961,106027,..,592231,140597,732830,7396,740222,..,5298,1372,6667,114704,121372,1341919,597525,141968,739493,122098,2203512,2646330,..,..,..,..,2646330,..,4403,65,4467,29,4498,..,62952,11891,74840,818,75660,..,235,9,244,3,247,..,57488,18193,75678,445,76128,..,137032,46475,183507,1007,184518,..,13450,5145,18595,106,18698,..,207973,69808,277783,1557,279347,..,14540,2309,16846,204,17046,..,5867,164,6034,69,6103,..,16563,654,17218,147,17371,..,15053,437,15486,186,15675
2011,0,32,..,96,14,110,4,111,..,376,32,408,9,412,..,13,7,15,0,15,..,88,15,100,0,100,..,27,8,37,0,38,..,282,14,303,8,314,..,148,25,170,0,176,..,190,3,194,0,194,..,42,9,46,0,49,..,268,3,274,4,278,..,47,0,45,0,45,..,544,15,565,4,567,..,264,31,298,6,299,..,31,4,31,0,31,..,54,10,69,0,69,..,98,19,119,0,119,..,121,71,190,3,193,..,1129,298,1433,39,1475,..,5154,904,6056,106,6165,..,131,17,145,1915,2058,22298,5282,914,6196,2019,30523,43949,..,..,..,..,43949,..,54,0,54,0,54,..,412,76,484,7,493,..,6,0,6,0,6,..,82,32,114,3,115,..,195,80,271,3,277,..,44,6,46,0,46,..,313,122,430,6,438,..,217,40,264,0,264,..,38,0,44,0,45,..,84,6,84,0,84,..,121,3,123,0,126
2012,0,24,..,4,0,4,0,4,..,3,0,3,0,3,..,9,5,11,0,11,..,3,0,4,0,9,..,0,0,0,0,0,..,32,5,35,0,35,..,13,0,13,0,8,..,42,0,47,0,47,..,3,0,3,0,3,..,44,3,51,0,51,..,32,12,45,0,48,..,124,13,141,0,140,..,8,3,11,0,11,..,19,3,21,0,23,..,20,4,22,0,28,..,133,70,200,0,197,..,32,51,82,0,80,..,417,137,554,4,563,..,1882,525,2401,31,2430,..,76,7,79,1999,2078,21138,1952,530,2483,2028,25645,41225,..,..,..,..,41225,..,29,0,29,0,29,..,85,15,104,0,104,..,37,3,45,6,48,..,70,43,117,0,121,..,162,119,274,5,282,..,7,3,12,0,12,..,238,166,405,8,408,..,73,8,78,0,78,..,38,0,38,0,38,..,30,3,32,0,32,..,43,0,43,0,43
2013,0,0,..,0,0,0,0,3,..,46,3,51,0,51,..,0,0,0,0,0,..,15,4,20,0,20,..,0,0,3,0,3,..,4,0,4,0,4,..,16,7,22,0,22,..,26,0,29,0,29,..,5,0,5,0,5,..,18,3,21,0,21,..,6,0,8,0,8,..,60,3,64,0,64,..,7,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,5,0,9,0,9,..,76,24,100,3,106,..,472,88,560,5,561,..,25,3,24,597,618,7344,491,90,582,603,8527,14315,..,..,..,..,14315,..,3,0,3,0,3,..,28,9,31,0,31,..,0,0,0,0,0,..,19,11,24,0,24,..,33,17,45,0,45,..,9,3,13,0,13,..,62,27,90,0,90,..,31,4,34,0,34,..,95,0,94,0,100,..,10,0,7,0,7,..,60,0,64,0,63
2014,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,11,0,9,0,9,..,17,0,17,0,17,..,4,4,8,0,8,..,32,3,41,0,41,..,7,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,6,0,6,..,21,3,24,0,24,..,130,21,148,3,152,..,14,0,14,400,419,4907,148,21,167,401,5473,9680,..,..,..,..,9680,..,5,0,5,0,5,..,5,0,5,0,5,..,7,0,7,4,4,..,8,3,6,0,6,..,8,3,14,0,14,..,0,0,4,0,4,..,19,7,23,0,23,..,5,0,5,0,5,..,14,0,14,0,12,..,0,0,0,0,0,..,15,0,15,0,15
2015,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,17,0,17,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,16,0,20,0,20,..,4,0,4,0,4,..,25,3,25,0,25,..,15,0,17,0,17,..,59,3,66,0,66,..,4,3,4,0,4,..,7,3,14,0,14,..,5,0,9,0,9,..,0,0,0,0,0,..,15,6,26,0,26,..,51,15,62,3,67,..,388,81,472,3,475,..,20,0,19,515,538,6596,411,84,491,522,7602,12702,..,..,..,..,12702,..,31,0,31,0,31,..,19,0,17,0,20,..,4,0,4,0,5,..,14,3,20,0,20,..,50,32,85,3,85,..,3,3,5,0,5,..,65,38,105,3,111,..,20,0,20,0,20,..,27,0,31,0,31,..,19,0,17,0,17,..,13,0,13,0,13
2016,0,13,..,72,15,90,0,91,..,3,0,3,0,3,..,30,10,45,0,45,..,7,3,14,0,14,..,6,0,8,0,8,..,101,3,105,0,106,..,9,3,12,0,12,..,70,3,76,0,76,..,9,3,13,0,11,..,79,3,87,0,87,..,35,9,44,0,44,..,196,17,216,0,216,..,16,3,21,0,21,..,23,0,23,0,23,..,40,9,48,0,48,..,146,52,198,5,203,..,8,7,15,0,16,..,750,341,1093,23,1110,..,3155,1012,4164,63,4226,..,77,26,99,1974,2076,19042,3231,1042,4268,2034,25342,37086,..,..,..,..,37086,..,50,0,46,0,46,..,882,338,1221,16,1234,..,31,0,31,0,31,..,81,43,120,0,125,..,225,159,379,8,389,..,6,5,9,0,9,..,304,206,512,6,521,..,19,0,19,3,20,..,34,0,31,3,35,..,44,0,51,0,49,..,50,4,57,0,57
2017,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,17,0,17,..,11,3,17,0,21,..,18,0,18,0,18,..,12,0,14,0,12,..,55,8,60,3,68,..,8,0,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,11,11,3,17,..,80,31,110,0,114,..,372,95,469,14,481,..,19,5,21,546,574,4545,385,103,493,556,5596,8747,..,..,..,..,8747,..,9,0,9,0,9,..,17,0,25,0,25,..,0,0,0,0,0,..,5,3,11,0,11,..,40,19,56,0,56,..,0,0,0,0,0,..,45,25,70,0,70,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,6,0,6,0,6
2018,0,12,..,0,0,0,0,0,..,41,5,48,0,46,..,0,0,0,0,0,..,32,3,35,0,35,..,8,0,8,0,8,..,3,0,3,0,3,..,4,6,7,0,7,..,47,8,52,0,52,..,13,3,13,0,13,..,65,0,65,0,65,..,15,0,17,0,17,..,142,9,151,0,151,..,33,7,38,0,38,..,10,0,11,0,11,..,24,7,37,0,37,..,0,0,0,0,0,..,19,6,28,0,28,..,217,48,267,4,266,..,1407,272,1681,21,1700,..,68,4,74,1701,1767,17418,1478,274,1751,1719,20891,33924,..,..,..,..,33924,..,50,0,46,0,46,..,109,23,137,9,146,..,4,0,4,0,4,..,49,28,77,0,79,..,137,44,178,0,179,..,15,4,19,0,19,..,200,77,276,3,277,..,26,5,33,0,33,..,80,3,83,0,83,..,37,0,37,0,37,..,92,0,93,0,93
2019,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,5,0,5,..,17,0,17,0,17,..,3,0,4,0,4,..,17,0,17,0,17,..,4,0,4,0,4,..,42,3,44,0,44,..,7,0,10,0,10,..,7,0,6,0,6,..,3,0,3,3,3,..,3,3,7,0,7,..,3,0,3,0,3,..,44,7,47,0,54,..,426,87,507,9,523,..,35,0,35,733,769,8633,457,87,551,743,9922,16341,..,..,..,..,16341,..,16,0,16,0,16,..,16,3,17,0,17,..,0,0,0,0,0,..,15,7,19,0,24,..,34,7,41,0,45,..,3,0,4,0,4,..,51,12,67,3,72,..,10,3,11,0,11,..,12,0,12,0,12,..,15,5,17,0,17,..,31,0,31,0,31
2020,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,12,4,21,0,21,..,7,0,10,0,10,..,4,0,4,0,4,..,10,3,8,0,8,..,31,3,37,0,38,..,3,0,3,0,3,..,18,0,18,0,18,..,3,0,3,0,3,..,61,3,58,0,58,..,25,0,25,0,25,..,9,0,12,0,12,..,13,4,14,0,14,..,0,0,0,0,0,..,14,4,16,0,16,..,104,18,120,3,129,..,672,98,769,11,777,..,34,5,42,1116,1158,16220,709,97,809,1125,18153,31254,..,..,..,..,31254,..,35,0,35,0,35,..,29,4,33,0,34,..,4,0,4,0,4,..,18,3,26,0,26,..,85,55,137,0,137,..,9,3,12,0,12,..,115,56,176,0,176,..,32,3,37,0,37,..,99,0,107,0,107,..,41,0,41,0,41,..,82,3,85,5,85
2021,0,23,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,4,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,27,0,27,0,27,..,15,0,18,0,18,..,29,0,28,0,28,..,3,0,3,0,3,..,75,0,82,0,82,..,19,0,19,0,19,..,16,0,16,0,16,..,15,5,23,0,26,..,8,0,3,0,3,..,7,0,5,0,5,..,103,22,119,11,132,..,576,144,718,17,736,..,48,3,50,1210,1264,15676,622,151,774,1229,17675,30135,..,..,..,..,30135,..,21,0,19,0,19,..,61,7,63,3,66,..,3,0,3,0,8,..,35,11,46,0,46,..,141,189,335,4,339,..,9,19,29,0,29,..,186,220,407,4,412,..,3,0,6,0,6,..,29,0,29,0,33,..,47,4,50,0,49,..,33,0,31,3,36
3000,0,377,..,10,0,13,0,13,..,119,4,126,3,130,..,32,0,36,0,36,..,128,11,143,3,145,..,155,24,179,0,179,..,68,3,71,0,75,..,51,9,62,3,64,..,808,37,846,13,861,..,168,14,185,4,184,..,1028,48,1076,11,1085,..,206,12,220,7,226,..,2210,115,2321,35,2356,..,366,32,399,12,406,..,61,6,68,0,68,..,423,84,505,5,515,..,24,9,33,0,33,..,226,176,400,11,412,..,3163,526,3686,108,3787,..,19084,3030,22112,527,22631,..,1012,121,1135,30995,32132,315601,20097,3145,23246,31523,370362,642821,..,..,..,..,642821,..,1241,28,1268,7,1278,..,252,69,326,4,330,..,9082,1094,10179,492,10668,..,372,116,487,5,494,..,1242,878,2126,25,2152,..,41,45,86,0,90,..,1652,1041,2692,35,2727,..,231,28,259,4,263,..,911,23,940,13,945,..,1005,92,1092,6,1105,..,2253,60,2313,15,2326
3001,46,6786,..,394,51,447,5,454,..,228,5,231,10,240,..,2018,441,2457,21,2477,..,1652,159,1811,22,1835,..,1867,252,2117,13,2125,..,6457,486,6944,117,7063,..,1399,245,1640,11,1653,..,3474,100,3577,31,3609,..,1904,187,2092,17,2108,..,5525,152,5672,59,5735,..,1437,51,1489,14,1503,..,12350,488,12838,123,12959,..,6662,945,7611,58,7664,..,1741,178,1920,16,1938,..,2319,486,2803,24,2831,..,460,83,540,0,547,..,7696,4112,11810,74,11879,..,26846,6404,33249,744,33992,..,156868,31494,188362,2005,190367,..,2633,373,3008,59365,62370,862084,159504,31869,191370,61374,1114828,1702821,..,..,..,..,1702821,..,6028,95,6125,35,6163,..,7804,1944,9744,98,9843,..,636,33,668,19,687,..,15357,4141,19499,106,19608,..,40701,12410,53111,253,53365,..,2313,908,3225,19,3245,..,58375,17458,75831,376,76211,..,1985,262,2246,21,2269,..,3333,84,3416,28,3453,..,5972,291,6263,58,6322,..,7044,211,7256,72,7322
