SUA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
1034,379,1070,2506,2262,2149,1542,241,27,0,10181,465,314,385,272,260,354,219,41,3,2315,18,28,63,55,56,90,24,0,0,343,27,48,58,35,35,38,14,5,0,252,891,1468,3012,2621,2493,2021,503,68,6,13090,66,118,126,90,81,58,5,0,0,541,97,53,33,24,26,38,11,4,0,272,167,168,161,115,107,92,16,4,0,817,1062,1633,3175,2738,2594,2115,517,69,6,13909,782,324,295,284,347,661,1446,982,407,5539,110,128,223,174,188,183,147,84,38,1286,1960,2092,3688,3200,3128,2959,2117,1142,445,20732,173,702,1491,1287,1468,961,107,8,0,6205,696,740,1023,1091,987,840,235,27,4,5651,29,69,199,97,69,74,26,3,0,564,27,37,33,22,29,19,10,4,0,179,923,1548,2752,2505,2554,1903,383,40,3,12599,51,72,93,56,59,34,3,0,0,370,123,79,63,62,27,40,3,0,0,392,172,155,155,119,89,72,6,0,0,766
1035,1220,3808,10802,12138,11783,7152,873,73,5,47858,2094,2581,2204,1688,1843,2065,892,128,8,13497,131,172,368,326,433,425,79,12,5,1947,94,183,271,218,220,136,63,17,3,1208,3537,6746,13643,14373,14270,9770,1904,231,26,64507,351,607,655,501,502,397,28,3,0,3049,724,505,260,130,129,176,46,5,3,1979,1079,1109,916,629,630,573,74,13,3,5030,4619,7861,14560,15003,14907,10345,1982,244,29,69532,4514,2289,2052,1821,2586,5657,10289,6584,2294,38083,338,510,941,821,911,892,815,650,321,6192,9469,10657,17549,17641,18398,16886,13083,7472,2640,113809,478,2709,6043,5571,6688,3843,334,16,3,25692,3084,3454,5043,6865,6325,4388,854,65,6,30092,146,214,896,586,370,417,84,9,4,2725,84,138,163,126,149,107,39,21,11,838,3793,6522,12146,13140,13532,8756,1307,111,22,59339,213,326,376,302,316,150,3,0,0,1674,758,446,431,419,302,181,27,3,0,2561,966,773,801,712,616,326,30,4,0,4241
2000,2887,8099,18765,23445,29045,23685,6029,1043,189,113188,4569,2637,3215,3683,5346,7966,4602,1038,187,33252,299,282,685,902,1304,1852,730,145,35,6236,365,386,570,641,759,668,316,181,54,3936,8117,11404,23238,28666,36457,34173,11677,2410,462,156613,582,947,1248,1068,1299,1316,73,9,3,6541,675,286,262,216,312,511,149,15,4,2429,1259,1230,1508,1289,1613,1828,225,21,3,8972,9374,12633,24744,29952,38069,36000,11902,2426,470,165583,10226,2378,3610,4505,6624,14359,30829,17127,5584,95246,1304,1244,2411,2878,3878,4249,4005,2348,965,23274,20912,16255,30767,37337,48576,54607,46732,21903,7026,284107,994,4013,8818,10389,16067,11427,2139,307,67,54222,6314,4570,9397,14752,17712,15520,4484,554,101,73408,335,446,1685,1203,1436,1803,577,76,13,7584,327,274,373,447,586,544,260,123,30,2969,7972,9302,20275,26794,35798,29290,7457,1067,216,138178,339,509,613,593,754,548,15,8,7,3382,784,381,561,645,682,683,82,11,8,3832,1120,893,1177,1237,1433,1227,98,12,11,7212
2001,108,304,869,950,952,590,80,3,3,3863,143,120,110,110,111,122,82,12,0,810,7,11,23,24,29,37,12,3,0,127,6,21,21,19,22,13,8,0,0,113,257,452,1021,1103,1114,760,178,17,3,4917,20,48,56,37,33,29,3,0,0,222,40,15,0,6,3,11,4,0,0,77,57,68,52,43,37,40,8,0,0,300,319,520,1082,1147,1157,800,186,17,3,5219,355,76,97,109,149,273,661,301,98,2116,26,31,62,81,71,74,60,25,13,438,692,625,1233,1332,1373,1139,914,348,116,7773,29,209,452,468,504,279,33,3,0,1974,265,178,351,482,472,325,72,3,0,2144,4,8,64,36,38,35,5,0,0,194,9,9,12,17,8,6,4,0,0,78,315,402,880,1004,1026,651,111,6,0,4393,17,28,33,30,24,13,0,0,0,143,42,14,17,35,15,20,0,0,0,150,59,46,53,63,36,33,0,0,0,295
2002,46,185,478,436,424,385,71,3,0,2035,106,69,111,83,97,126,75,21,3,677,0,7,15,18,25,27,16,4,0,111,3,7,13,14,6,10,6,0,0,62,161,261,617,539,559,547,166,27,4,2888,6,34,27,31,32,22,0,0,0,155,14,11,4,6,3,5,0,0,0,49,24,39,36,39,33,25,3,0,0,205,179,304,651,581,593,574,167,27,4,3086,207,43,74,87,121,229,609,440,147,1962,34,45,86,66,67,75,101,60,28,554,428,390,809,732,773,877,878,532,183,5605,24,134,211,185,311,190,26,3,0,1080,133,109,259,296,344,310,60,13,0,1526,13,21,44,27,31,28,9,0,0,174,5,9,9,9,5,13,10,4,0,64,181,264,513,517,692,545,101,21,4,2843,11,11,14,10,10,10,0,0,0,68,16,16,19,23,18,14,0,0,0,93,22,23,30,34,28,21,0,0,0,165
2003,339,1330,3992,3857,3796,2534,371,34,3,16260,808,897,776,589,610,748,436,68,3,4932,32,63,101,102,111,143,54,11,0,616,41,73,86,61,74,53,24,11,3,427,1219,2353,4959,4606,4593,3481,885,118,14,22234,121,248,295,185,193,128,9,0,0,1177,201,183,91,50,52,57,12,0,0,642,319,428,384,238,239,185,25,0,0,1815,1544,2782,5348,4844,4837,3665,905,118,14,24057,1611,691,633,604,783,1534,3162,1994,685,11695,158,238,385,339,335,309,332,196,91,2388,3311,3709,6368,5789,5950,5514,4406,2315,786,38144,124,899,2111,1755,2271,1404,139,9,3,8711,1201,1363,1954,2474,2272,1745,382,36,3,11426,67,120,349,223,152,169,55,0,0,1128,38,60,61,56,61,50,11,6,0,346,1426,2438,4477,4505,4747,3361,586,45,15,21605,69,151,174,100,127,65,3,0,0,681,213,151,152,152,121,73,13,0,0,873,282,298,324,252,246,136,19,0,0,1549
2004,293,1434,3882,3524,3433,2368,331,27,8,15313,792,775,709,554,588,799,413,63,0,4700,46,64,124,116,121,174,59,5,0,699,33,65,73,64,65,51,13,10,0,388,1170,2341,4784,4260,4207,3394,819,108,14,21093,105,240,251,192,147,127,4,3,0,1068,187,110,61,54,35,57,15,3,0,532,291,346,317,247,184,186,22,5,0,1593,1456,2689,5102,4507,4388,3580,841,110,14,22684,1402,511,519,537,757,1442,3002,2000,729,10890,159,198,382,308,364,362,351,237,150,2517,3016,3395,6001,5358,5513,5384,4192,2352,886,36093,159,901,2093,1650,2060,1312,116,10,3,8301,1130,1302,1858,2167,2087,1800,375,30,9,10762,62,120,343,208,163,174,45,3,0,1116,36,51,55,63,44,52,21,7,0,327,1397,2369,4344,4083,4353,3330,566,45,20,20500,60,95,115,103,88,52,4,0,0,531,219,166,144,131,93,63,9,0,0,819,282,264,261,236,182,113,16,0,0,1352
2005,60,221,446,437,432,352,46,4,0,2017,120,62,108,84,65,108,58,10,4,623,9,8,14,3,17,35,16,0,0,93,3,8,23,9,11,4,5,3,3,67,193,300,588,541,528,493,124,19,7,2797,14,15,26,20,19,4,0,0,0,104,12,6,3,3,3,4,3,0,0,42,25,20,32,28,22,11,3,0,0,141,216,324,622,567,552,506,131,19,7,2944,131,37,67,83,124,198,428,322,138,1533,19,24,63,35,48,43,56,42,13,339,374,391,753,687,724,747,612,380,154,4817,40,108,208,157,233,190,21,3,0,962,141,119,215,280,318,239,60,6,3,1378,3,14,31,14,19,30,10,0,0,112,3,6,12,12,10,10,7,0,0,59,191,240,463,462,579,471,88,11,6,2512,5,5,5,8,18,11,0,0,0,55,9,5,4,11,3,8,3,0,0,45,18,15,11,15,23,20,3,0,0,102
2006,102,249,696,722,821,600,116,12,3,3322,205,73,82,94,109,188,102,30,0,880,7,9,25,16,36,51,15,3,0,167,12,18,19,18,19,20,3,3,0,104,321,348,823,855,985,854,239,38,4,4468,22,18,30,30,32,28,0,0,0,166,25,8,16,8,3,14,0,0,0,70,43,28,45,40,37,46,0,0,0,240,365,372,866,897,1017,899,242,38,4,4706,245,51,76,89,129,309,982,616,189,2685,15,36,66,75,71,91,109,88,38,592,624,460,1009,1064,1217,1295,1332,741,226,7977,44,161,416,385,533,308,31,0,0,1884,252,140,344,462,488,413,103,12,0,2208,18,14,56,37,36,56,8,3,0,232,11,12,11,14,11,14,11,0,0,81,319,326,831,892,1064,795,151,18,3,4397,14,7,8,11,22,13,0,0,0,80,29,11,29,18,12,13,0,0,0,110,39,25,39,34,29,26,0,0,0,188
2007,649,3016,9757,10612,9977,6556,946,86,11,41614,2046,2200,1822,1452,1528,2119,1164,184,19,12531,123,139,285,309,335,399,118,14,0,1724,69,153,268,211,205,132,40,18,6,1099,2891,5508,12132,12582,12037,9207,2275,297,36,56970,181,459,585,440,474,385,10,0,3,2545,482,314,163,98,98,163,46,11,0,1369,666,770,750,534,575,553,62,10,3,3911,3555,6279,12884,13117,12610,9765,2336,304,38,60883,3884,1541,1656,1540,1832,3801,8338,5239,2059,29897,356,465,833,786,855,819,800,519,266,5701,7795,8284,15369,15448,15298,14383,11474,6063,2361,96484,247,2036,5780,4536,5596,3216,330,20,3,21764,2872,3038,4468,6489,6127,4787,1092,77,13,28972,166,206,831,534,391,416,114,13,4,2676,125,133,141,141,141,119,38,15,6,861,3404,5415,11228,11707,12256,8535,1581,118,26,54266,141,235,310,244,274,149,8,5,3,1369,534,304,316,345,240,206,27,3,0,1973,677,541,629,591,514,357,31,10,0,3348
2008,63,233,622,1048,1162,694,140,10,0,3964,193,123,72,85,135,183,139,16,0,944,9,8,19,23,27,55,16,0,0,151,9,7,14,20,20,11,7,0,0,85,271,369,716,1178,1336,940,294,25,0,5145,11,25,21,21,25,31,0,0,0,137,43,9,11,3,3,14,5,0,0,89,57,37,33,24,27,37,11,0,0,226,325,408,748,1204,1366,980,305,25,0,5365,347,69,43,49,59,231,668,331,95,1897,26,21,41,81,75,71,56,34,17,409,688,490,828,1335,1506,1288,1026,393,112,7677,20,136,362,429,592,320,48,0,0,1908,227,211,285,615,664,394,107,3,0,2513,10,11,67,67,30,44,10,0,0,226,13,3,9,15,12,13,6,0,0,72,265,357,726,1128,1301,765,169,5,4,4721,5,17,8,12,18,16,0,0,0,78,45,16,11,21,18,22,7,0,0,146,51,36,16,39,38,38,3,0,0,226
2009,84,257,663,575,629,495,83,18,3,2807,153,70,103,86,90,121,88,23,0,745,3,8,20,18,20,33,17,0,0,123,5,16,13,13,6,13,10,3,0,79,243,353,800,686,750,667,197,47,3,3756,15,41,36,25,24,19,0,0,0,157,24,10,13,12,9,10,4,0,0,86,39,45,48,33,33,28,4,0,0,238,279,404,852,721,787,695,208,47,3,3997,190,52,62,62,114,242,511,418,169,1820,23,21,66,50,63,52,58,41,13,377,495,467,981,836,964,989,773,500,183,6190,31,189,348,249,348,258,28,3,0,1447,196,154,303,397,399,361,83,4,3,1904,10,13,63,23,26,40,14,0,0,186,6,3,7,10,16,8,8,5,0,60,240,356,716,682,789,672,129,15,9,3610,7,17,19,15,5,9,0,0,0,67,20,6,21,16,18,7,3,0,0,105,34,23,35,27,28,20,3,0,0,174
2010,8332,48812,217795,212202,183395,110240,19635,1435,263,802104,28904,45605,47384,29993,28107,29271,17603,2944,351,230176,1256,2110,5078,4514,4144,4280,1582,239,38,23233,1100,2907,6311,4507,3837,2419,815,226,86,22219,39592,99425,276567,251215,219490,146215,39642,4849,736,1077734,2558,7319,12754,9298,8562,6082,530,36,15,47153,9806,8300,4492,1981,1832,2356,834,89,7,29701,12362,15621,17248,11278,10395,8437,1364,127,21,76849,51960,115046,293815,262498,229881,154654,41006,4974,755,1154588,73666,39188,33522,24813,29959,52829,104797,73134,28053,459958,5708,9409,22576,17156,14880,12198,9781,7019,3546,102283,131334,163639,349913,304468,274722,219682,155579,85128,32353,1716829,3024,37489,150462,105049,106296,58684,7419,375,104,468899,38734,54026,79487,98417,90308,61189,16962,1478,179,440792,1495,2813,13697,9279,4895,4741,1384,143,38,38481,1195,2285,4207,3027,2993,1743,605,231,88,16369,44453,96608,247852,215774,204493,126359,26368,2227,410,964541,1667,4818,9142,6062,5225,2727,129,27,11,29800,10451,8307,7567,6878,5306,3266,455,59,17,42311,12124,13126,16709,12940,10532,5988,584,86,30,72108
2011,233,875,2889,2824,2111,1400,221,8,0,10556,372,345,448,362,281,342,140,9,0,2302,19,24,77,70,72,79,15,3,0,358,27,46,83,72,66,42,11,0,0,341,644,1286,3500,3329,2530,1858,388,23,3,13557,86,159,235,172,125,95,5,0,0,881,105,61,48,20,31,32,10,0,0,310,190,223,284,198,152,128,19,0,0,1191,833,1504,3785,3524,2688,1988,408,22,3,14751,965,317,414,462,516,832,1658,636,177,5982,106,132,329,271,232,206,149,69,12,1499,1909,1955,4520,4263,3437,3028,2207,733,191,22233,95,568,1574,1235,1186,686,66,3,0,5417,561,532,1110,1143,920,765,129,3,0,5160,19,41,196,121,70,72,6,0,0,530,18,42,44,31,39,25,8,3,0,203,695,1176,2928,2528,2209,1546,210,10,4,11314,57,133,156,118,95,56,0,0,0,610,122,70,133,134,63,69,6,0,0,585,171,200,280,250,159,121,4,0,3,1188
2012,203,637,1725,1734,1859,1439,265,38,3,7900,369,235,339,239,292,380,219,35,9,2126,31,26,55,42,63,67,26,3,3,308,24,28,59,51,49,46,15,6,3,278,624,925,2176,2069,2257,1928,528,85,16,10609,69,118,181,109,115,85,9,0,0,680,96,39,36,32,22,31,10,0,0,272,167,157,218,143,139,116,21,0,0,953,789,1090,2390,2217,2391,2048,544,80,16,11564,801,226,295,341,498,871,1771,1085,404,6291,121,147,302,219,266,294,262,161,58,1831,1713,1459,2994,2773,3159,3210,2578,1325,472,19686,79,481,909,892,1241,825,104,8,3,4530,558,405,820,1038,1003,806,231,12,7,4890,28,28,137,59,65,103,30,3,0,458,15,19,43,34,40,24,10,3,0,197,680,936,1910,2024,2345,1768,367,29,7,10074,39,69,79,71,67,24,3,0,0,355,104,49,71,54,49,48,5,3,0,379,138,118,145,127,116,76,5,3,0,730
2013,63,234,493,477,525,434,64,6,0,2294,121,94,104,90,112,113,45,11,0,690,3,9,13,17,22,35,6,3,0,105,13,11,10,15,14,14,3,4,0,76,200,342,625,596,667,597,121,16,7,3160,38,76,80,73,55,61,0,0,0,376,28,17,21,6,12,18,3,0,0,104,61,93,94,73,70,75,5,0,0,477,259,431,717,670,742,673,127,21,7,3639,241,76,108,132,210,402,719,444,158,2480,29,46,74,60,84,84,84,49,21,526,532,552,898,859,1033,1153,932,510,185,6650,13,154,241,190,265,145,27,4,0,1048,152,143,288,318,380,297,67,3,0,1652,7,12,46,11,25,42,3,0,0,149,13,17,6,8,11,22,3,4,0,76,187,322,582,526,678,503,104,9,0,2920,17,34,38,32,33,20,0,0,0,176,19,26,36,30,16,22,3,0,0,158,39,60,74,64,55,41,3,3,0,333
2014,34,136,293,367,470,321,59,15,0,1684,102,50,53,61,78,109,53,6,0,509,4,10,11,17,25,36,11,0,0,112,6,8,15,14,13,9,4,4,0,68,140,194,367,456,586,477,122,24,3,2372,15,26,27,28,20,18,3,0,0,145,17,10,6,3,12,5,0,0,0,55,33,37,36,33,32,24,6,0,0,196,170,237,406,490,612,496,127,24,3,2572,167,40,57,65,119,236,440,261,106,1482,17,28,40,41,53,54,52,42,11,352,353,305,493,597,789,792,621,331,122,4404,18,61,109,162,215,149,13,0,0,724,114,81,159,255,264,227,58,10,4,1168,9,4,40,23,20,28,5,0,0,127,10,5,8,5,8,4,3,3,0,49,153,148,307,444,510,415,85,12,4,2074,14,14,9,12,10,15,0,0,0,74,18,8,11,9,9,4,0,0,0,63,32,27,23,20,20,22,0,0,0,142
2015,48,193,584,539,544,389,65,4,0,2378,144,78,82,69,70,102,46,9,0,615,0,5,27,23,28,25,13,0,0,123,6,9,11,18,8,6,0,0,0,60,198,290,705,644,653,525,125,18,6,3173,15,33,33,30,34,27,3,0,0,182,24,8,7,3,0,11,4,0,0,58,41,43,40,37,37,34,5,0,0,241,241,338,750,683,693,555,134,18,6,3412,208,59,67,79,114,240,500,325,135,1736,25,30,70,75,69,66,53,54,13,449,472,423,882,837,871,864,691,395,159,5595,28,118,285,252,299,211,27,0,0,1215,161,114,269,329,348,282,50,10,0,1564,3,6,52,25,27,24,4,0,0,143,11,5,9,9,6,13,0,0,0,51,197,248,618,614,676,534,83,9,3,2981,12,11,13,21,17,4,4,0,0,80,37,13,34,12,12,8,0,0,0,124,46,25,46,36,35,17,3,0,0,206
2016,193,660,1840,1764,1865,1338,268,28,3,7959,406,212,327,290,273,321,223,34,4,2092,30,30,54,56,58,87,24,6,0,337,31,29,49,53,46,24,14,3,6,266,652,928,2271,2159,2250,1771,531,67,14,10649,67,120,163,95,99,51,0,0,0,600,118,43,29,18,22,38,6,0,0,273,187,160,188,117,125,86,6,0,0,874,845,1090,2460,2280,2374,1858,532,67,12,11520,787,250,390,415,494,715,1494,1062,366,5985,106,112,280,226,266,237,234,136,52,1650,1730,1455,3131,2920,3138,2816,2255,1265,434,19150,82,433,1058,898,1099,729,89,5,0,4387,576,372,795,995,1043,818,196,14,3,4820,22,38,125,82,84,87,20,0,0,456,28,33,37,31,30,22,18,3,3,193,710,879,2009,2003,2252,1649,320,24,10,9855,34,50,67,70,50,25,3,0,0,298,117,42,64,63,50,24,3,0,0,367,154,92,138,136,101,46,3,0,0,668
2017,56,193,474,378,395,309,40,12,0,1848,88,46,65,60,71,69,53,8,0,455,12,4,7,8,21,21,8,0,0,82,4,9,14,6,7,7,4,3,0,60,158,254,560,452,491,407,103,18,4,2441,6,19,18,26,19,11,0,0,0,112,11,0,5,3,4,5,3,0,0,28,19,21,26,31,20,14,6,0,0,141,173,272,582,483,520,420,106,18,5,2582,147,33,58,68,74,136,319,264,108,1202,28,36,74,67,63,57,64,43,30,463,346,344,710,616,654,609,491,329,139,4248,14,118,235,203,243,159,14,0,0,985,140,88,193,203,211,194,37,7,0,1081,3,13,30,13,16,27,8,0,0,104,5,7,12,6,6,14,0,0,0,48,163,226,467,426,474,390,64,11,0,2218,5,7,17,6,4,3,0,0,0,44,9,6,9,20,10,3,0,0,0,58,16,13,26,27,15,3,0,0,0,101
2018,115,559,1579,1388,1521,1074,158,14,3,6417,313,194,245,221,195,237,149,26,0,1582,14,18,48,47,58,95,18,3,0,300,12,21,45,35,31,15,13,0,0,189,458,787,1918,1686,1808,1423,345,48,4,8486,67,138,182,121,127,132,4,0,0,767,77,32,27,19,16,32,8,0,0,209,146,173,209,140,144,158,7,3,0,979,603,960,2125,1832,1951,1584,356,46,4,9462,521,197,229,274,401,704,1365,895,321,4920,85,114,207,160,203,236,182,133,66,1386,1213,1274,2559,2268,2551,2527,1906,1076,388,15764,60,351,856,651,726,482,58,3,0,3193,397,422,744,883,888,679,144,24,0,4178,16,34,135,66,59,70,15,3,0,401,13,21,21,16,15,20,8,3,3,122,486,837,1755,1618,1692,1248,232,31,0,7893,40,69,71,78,65,39,0,0,0,363,69,44,72,88,41,31,9,0,0,360,108,117,147,164,110,69,9,0,0,719
2019,69,215,629,654,727,517,66,8,0,2891,174,78,93,108,115,153,83,11,5,814,11,12,22,14,28,26,17,3,0,127,6,12,23,12,21,14,5,4,0,95,259,328,763,793,892,704,174,22,4,3936,15,38,27,35,30,29,0,0,0,170,17,4,6,8,4,12,6,0,0,56,32,48,31,44,37,39,6,0,0,227,290,370,791,831,921,746,176,22,4,4166,220,70,101,108,144,297,707,505,206,2357,35,34,48,70,59,77,64,77,76,544,542,470,945,1016,1127,1122,950,603,288,7060,42,159,322,297,409,286,24,3,0,1542,230,152,329,457,450,399,92,12,0,2114,16,10,46,36,38,50,7,3,0,204,13,11,13,12,12,7,5,0,0,74,301,329,708,798,904,746,125,16,0,3930,12,18,27,11,21,14,0,0,0,107,21,8,22,22,10,17,4,0,0,115,33,29,50,40,33,34,3,0,0,217
2020,183,510,1385,1237,1447,1035,201,31,13,6032,272,153,176,169,211,286,224,45,4,1542,12,15,46,26,40,66,23,7,0,228,13,17,34,25,31,29,17,0,0,164,479,696,1637,1461,1740,1417,457,84,15,7973,32,67,48,43,55,54,3,0,0,302,56,15,13,9,12,20,3,0,0,138,90,85,65,53,61,76,7,0,0,434,569,777,1703,1510,1800,1485,464,81,15,8406,505,122,148,186,218,490,1313,881,229,4095,40,63,116,113,149,132,138,104,52,912,1120,961,1963,1817,2166,2111,1923,1065,295,13415,48,306,649,538,762,476,72,9,0,2859,374,294,617,757,893,695,140,20,0,3793,11,20,118,58,67,81,19,5,0,380,12,11,21,18,29,26,7,3,0,128,455,625,1402,1366,1752,1277,248,43,3,7162,25,36,32,34,37,33,0,0,0,194,86,41,42,36,33,33,0,0,0,277,107,80,74,73,71,64,0,0,0,472
2021,143,570,1320,1258,1369,932,147,14,3,5756,405,240,265,201,231,306,158,27,6,1849,11,22,42,49,66,75,23,5,3,286,20,23,29,22,34,21,7,3,0,156,586,855,1653,1535,1697,1334,336,45,11,8046,36,58,70,44,35,37,0,0,0,277,65,37,15,21,11,21,6,0,0,167,101,93,91,62,39,55,7,3,0,450,683,950,1743,1599,1738,1384,343,49,11,8495,387,136,157,177,207,499,1141,698,290,3684,68,84,118,123,165,143,141,96,41,979,1139,1169,2011,1892,2106,2027,1631,846,343,13165,78,328,677,533,807,517,45,3,0,2994,501,375,648,883,938,700,147,12,0,4204,17,34,124,63,72,67,14,0,3,394,16,23,19,27,21,17,8,6,0,140,614,760,1465,1515,1828,1300,213,26,4,7730,24,38,42,29,30,17,0,0,0,184,66,23,28,39,44,37,3,0,0,235,84,63,73,70,69,49,3,0,0,415
