SOSR_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SOSR101,654,113,159,13,933,10,0,9,946,54,3,1005,326,56,14,455,845,17,3,28,869,70,29,962,53927,6529,755,977,62190,1253,292,1541,63731,3376,90,67198,702,164,8,21,901,172,17,194,1091,125,0,1221,1107,326,21,31,1486,133,86,215,1700,173,3,1876,1808,488,26,57,2390,304,103,408,2792,297,7,3098,55735,7019,784,1033,64573,1557,397,1949,66522,3671,95,70293,13944,3168,245,524,17878,595,217,812,18691,5151,67,23908,72,25,0,74,172,3,0,3,170,29,199,393,69746,10213,1031,1632,82622,2150,615,2766,85388,8850,362,94597,16632,1846,194,108,18776,422,105,529,19309,1329,13,20645,12861,2266,164,127,15416,309,89,398,15818,984,17,16817,415,80,141,9,647,9,9,10,659,48,4,712,169,42,13,330,549,6,3,11,560,50,20,629,30077,4236,514,566,35391,746,207,954,36341,2412,54,38806,385,88,10,12,494,99,13,113,613,97,0,709,550,185,13,22,764,75,63,143
SOSR102,200,36,51,9,294,6,0,12,308,21,0,328,64,4,0,72,143,9,0,8,148,10,4,163,12889,1505,234,161,14787,279,41,322,15109,822,21,15946,153,13,0,5,176,20,5,24,199,20,0,218,228,33,3,3,265,27,8,32,299,25,0,318,381,41,6,10,441,46,8,53,491,45,0,537,13268,1546,239,165,15225,332,46,377,15602,864,21,16485,2266,345,69,59,2735,102,21,130,2866,660,6,3528,17,6,3,3,28,0,0,0,28,5,26,61,15549,1890,315,229,17991,434,74,504,18498,1532,49,20078,2261,291,32,15,2602,54,17,74,2671,194,5,2868,2495,323,44,15,2873,54,6,60,2935,183,0,3125,83,13,39,3,132,3,0,3,131,12,0,143,28,0,3,30,62,3,0,3,62,5,3,76,4861,626,118,60,5667,109,24,136,5805,393,9,6211,48,10,0,0,58,9,3,14,74,9,0,79,67,5,0,0,80,3,4,9
SOSR111,28,6,4,0,39,0,0,0,42,0,0,44,5,0,0,9,14,0,0,0,18,0,0,17,1668,186,33,24,1916,40,3,48,1961,75,7,2038,12,4,0,4,22,11,0,11,32,4,0,29,28,3,0,0,35,0,5,5,43,4,0,44,46,9,0,4,58,9,5,14,74,9,0,80,1709,196,37,24,1970,50,9,63,2030,83,7,2119,292,42,14,3,351,24,3,25,375,88,0,462,0,0,0,0,4,0,0,0,4,0,7,8,2004,237,51,35,2325,75,10,86,2408,165,18,2590,261,29,0,6,294,3,0,3,297,14,0,309,263,32,0,0,293,6,3,6,300,11,0,315,3,0,4,0,7,0,0,0,7,0,0,9,3,0,0,0,3,0,0,0,3,0,0,3,535,55,4,3,600,8,3,13,611,24,0,638,6,0,0,0,10,7,0,7,14,0,0,14,10,0,0,0,11,0,3,3
SOSR112,88,9,21,0,111,0,0,0,117,6,0,122,41,3,0,28,72,3,0,3,78,9,3,87,5384,735,102,85,6306,89,24,111,6419,319,14,6758,55,9,0,0,63,16,0,16,81,10,0,85,68,7,0,3,84,10,3,14,97,18,0,108,126,18,0,3,152,21,3,27,178,24,0,200,5507,754,110,86,6459,112,25,133,6592,346,14,6952,781,137,17,4,940,53,6,60,998,357,3,1356,3,0,0,3,5,0,0,0,11,0,3,13,6292,892,126,96,7402,159,32,191,7599,701,23,8327,598,65,8,0,669,11,8,15,687,47,0,727,540,78,13,8,633,6,0,8,643,44,0,682,17,3,4,0,29,0,0,0,29,3,0,28,7,0,0,10,20,0,0,0,20,0,0,20,1157,147,27,14,1349,15,8,25,1372,95,0,1467,9,3,0,0,11,8,0,8,16,3,0,20,12,3,0,0,13,0,0,0
SOSR113,42,8,18,0,71,0,0,0,72,6,0,82,23,0,0,22,48,0,0,0,48,3,0,50,2947,416,65,59,3490,62,9,78,3565,217,0,3785,26,9,0,0,37,11,3,10,47,10,0,62,45,7,0,3,61,9,4,8,74,9,0,78,76,18,0,4,98,18,7,24,118,19,0,138,3022,436,68,65,3588,83,19,99,3690,232,3,3920,510,90,10,15,629,36,8,48,674,253,5,935,4,3,0,0,4,0,0,0,4,8,10,21,3538,524,80,81,4225,121,23,145,4366,488,15,4875,341,40,3,3,391,6,3,11,396,23,0,427,267,55,8,3,330,9,4,15,340,25,0,363,15,0,10,0,24,0,0,0,24,0,0,25,0,0,0,12,7,0,0,0,7,0,0,7,622,95,27,16,750,15,6,25,777,50,0,822,6,3,0,0,7,3,0,3,11,0,0,15,14,0,0,0,14,0,0,4
SOSR114,41,16,15,0,75,0,0,0,72,5,0,81,22,0,3,32,63,0,0,0,60,4,0,69,2593,389,50,66,3093,23,15,35,3136,180,4,3323,24,3,0,0,29,16,0,14,46,7,0,50,48,14,0,0,63,3,6,9,69,0,0,71,72,18,3,0,94,14,6,24,116,8,0,121,2663,407,52,70,3191,44,14,58,3249,186,4,3442,359,75,10,9,448,19,8,28,478,165,4,643,7,3,3,0,13,0,0,0,16,0,14,25,3029,484,63,77,3655,61,27,85,3743,355,20,4113,251,33,5,0,290,3,0,8,293,15,0,301,262,51,5,5,329,0,0,0,329,21,3,351,0,4,3,0,8,0,0,0,10,3,0,15,6,0,0,0,4,0,0,0,4,3,0,10,519,89,11,11,630,3,0,9,635,35,3,674,3,0,0,0,3,3,0,3,9,0,0,8,7,3,0,0,12,3,0,3
SOSR115,67,14,24,0,103,3,0,6,109,3,0,114,30,7,4,29,74,0,0,0,74,3,0,82,3893,580,101,79,4654,74,16,98,4754,286,3,5044,49,15,3,4,71,18,0,18,89,15,0,100,42,8,0,3,54,0,0,0,57,5,0,62,94,24,3,6,124,16,0,21,147,19,0,166,3985,603,107,86,4784,96,22,111,4894,305,3,5208,602,99,21,14,738,25,6,34,772,243,3,1019,7,0,0,0,8,0,3,3,11,3,8,24,4597,705,127,105,5529,123,30,149,5676,552,13,6250,416,54,6,9,483,6,3,6,494,42,0,535,414,57,6,3,485,7,0,9,498,32,0,526,4,4,5,0,14,3,0,3,16,0,0,16,9,3,0,8,19,0,0,0,19,4,0,21,846,117,21,22,1003,15,3,13,1020,75,4,1100,10,4,0,0,10,0,0,0,10,4,0,13,6,0,0,0,9,0,0,0
SOSR121,22,6,5,0,32,0,0,0,29,4,0,37,4,0,0,14,24,0,0,0,27,0,0,28,1316,193,23,37,1568,22,3,28,1597,102,0,1702,4,3,0,0,16,3,3,5,21,0,0,20,19,3,0,0,20,0,0,0,26,3,0,26,20,11,3,0,37,3,5,8,40,5,0,44,1340,203,25,38,1606,28,5,30,1637,109,0,1747,170,40,5,8,224,11,3,14,236,94,0,327,0,0,0,0,0,0,0,0,0,0,3,6,1508,242,37,48,1830,36,7,44,1875,200,3,2076,151,16,0,0,171,3,0,4,170,8,0,182,143,16,3,3,173,3,3,4,174,13,0,196,10,0,3,0,12,0,0,0,12,0,0,12,0,0,0,3,3,0,0,0,3,0,0,3,305,30,12,8,356,7,4,9,367,27,0,390,3,0,0,0,3,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0
SOSR122,11,3,3,0,22,0,0,0,22,0,0,22,0,0,0,6,6,3,0,3,8,0,0,8,608,119,21,10,761,6,0,9,771,59,3,834,7,0,0,0,7,5,0,5,10,3,0,14,8,0,0,0,8,4,0,3,11,0,0,11,16,0,0,0,19,6,0,3,26,3,0,27,623,115,21,12,779,12,0,15,795,60,3,859,115,34,0,3,152,8,3,14,160,51,0,210,0,0,0,0,0,0,0,0,0,0,0,0,736,146,24,15,931,27,3,28,955,106,3,1071,85,7,0,0,99,0,0,0,99,9,0,107,84,14,0,0,93,0,0,0,93,4,0,101,4,0,0,0,3,0,0,0,3,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,167,21,3,4,198,0,0,0,198,15,0,211,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0
SOSR131,129,22,37,5,193,3,0,3,200,15,0,212,62,10,3,108,183,0,0,0,186,15,0,198,9170,1158,222,208,10756,107,31,136,10897,521,11,11424,57,12,3,0,72,24,0,25,99,22,0,116,80,15,3,0,101,11,3,15,122,12,0,133,135,32,3,3,175,37,4,39,215,30,0,245,9306,1185,229,214,10938,142,35,178,11114,553,11,11671,1407,233,59,48,1746,50,12,64,1810,436,8,2255,25,4,0,3,33,0,0,0,33,0,30,63,10739,1423,289,264,12712,189,49,240,12950,987,49,13988,1141,113,25,11,1294,17,0,21,1312,67,0,1375,1038,167,12,8,1229,12,5,17,1249,75,0,1324,27,7,11,0,47,0,0,0,47,3,0,48,18,3,0,21,37,0,0,0,37,3,0,45,2226,292,49,39,2608,33,5,39,2640,144,5,2794,9,4,0,0,13,3,0,3,15,3,0,23,18,5,0,0,27,0,0,0
