SOSR_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SOSR179,0,0,0,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,4,5,3,6,3,0,26,4,14,12,39,31,53,60,24,7,239,0,0,0,0,0,0,0,0,0,0,9,22,20,42,34,34,43,24,6,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,11,16,3,3,3,0,0,31,0,0,3,3,3,0,3,0,0,11,0,0,0,0,0,7,0,0,0,7,7,9,28,70,28,15,3,3,0,168,19,25,162,324,113,111,82,20,4,864,149,200,848,1720,646,732,477,120,48,4939,0,0,4,3,0,0,0,0,0,4,252,278,956,2451,1096,1080,718,148,42,7028,0,0,7,8,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,10,0,0,17,13,3,0,3,0,0,34,0,0,0,19,4,5,3,0,0,25,0,8,98,83,13,11,3,0,3,225,0,0,0,3,5,3,0,0,0,10,0,0,0,12,3,3,0,0,0,23,4,4,106,115,69,73,93,21,3,501,0,0,7,10,6,0,0,0,0,22,0,6,22,36,3,0,0,0,0,69,0,0,20,21,14,9,9,9,0,78
SOSR201,188,744,4142,17487,9046,7558,2666,1239,534,43607,5,45,73,377,294,283,233,158,80,1556,5,101,286,1036,269,199,79,21,8,2001,973,4192,7973,31238,12709,10220,8206,5588,2829,83923,6687,10561,15088,40782,16606,14601,12391,9014,5900,131630,130480,239991,279615,657772,280226,228049,167930,102445,53590,2140106,140,1105,3990,7881,1850,821,337,94,31,16255,239117,400356,371033,663078,302943,226902,144599,74840,39947,2462808,110,444,797,4748,703,344,95,12,6,7253,6,40,475,2774,1662,1472,724,490,79,7714,57,280,1237,5253,2711,2115,1017,364,134,13176,148,479,703,3463,1164,723,322,113,69,7189,37,93,170,2274,1462,1210,1209,350,85,6893,1248,5845,39512,62741,19614,14605,6434,3913,1431,155340,6,36,190,1499,2105,2649,3028,2582,516,12616,109,854,655,2456,1513,2346,2450,1421,601,12394,1007,6144,6542,27628,23231,20472,20289,11909,5133,122350,22,263,712,4046,2078,1464,729,326,81,9720,62,315,623,2863,894,529,540,255,122,6207,89,356,971,3525,2128,1949,5324,2971,1386,18711
SOSR203,0,5,22,96,32,24,7,3,0,188,0,7,3,9,15,21,24,10,10,86,0,0,4,25,7,0,0,3,0,47,16,78,127,379,179,199,225,216,125,1552,237,413,637,1295,762,720,610,544,377,5594,4732,8797,10898,21117,10403,9767,7721,5024,2996,81462,9,66,156,194,58,14,8,0,0,506,8978,15751,17991,31031,14879,13230,9057,4975,2770,118672,0,14,7,48,13,0,0,0,0,86,0,0,21,88,94,92,46,49,7,396,0,0,3,16,10,16,3,0,0,45,3,23,29,74,33,21,11,0,0,198,0,0,0,10,7,12,7,3,0,36,21,78,257,626,142,115,61,24,15,1332,0,3,20,108,171,205,301,279,59,1152,0,10,12,31,10,11,12,6,0,86,28,195,200,687,768,945,917,600,288,4624,0,4,8,50,20,7,4,0,0,91,0,4,11,52,17,15,12,5,4,121,0,5,22,73,44,100,352,164,104,876
SOSR211,4,13,17,154,33,24,8,0,0,245,0,7,9,7,12,14,16,10,3,77,0,8,17,46,11,3,8,0,0,86,30,177,300,825,313,241,214,147,64,2309,574,942,1180,2613,1331,1329,1182,812,395,10341,9558,17504,18788,37602,17586,17108,13112,7502,3895,142654,6,6,26,47,9,4,0,0,0,99,17976,31738,32289,56997,26474,25130,17948,9619,4439,222611,3,26,9,136,20,9,9,0,0,207,0,0,12,58,33,19,18,4,0,153,0,6,5,17,4,3,0,0,0,35,0,11,27,98,41,30,29,9,0,247,0,7,13,43,26,17,29,11,0,144,5,58,336,535,170,78,47,15,4,1245,0,0,8,28,65,85,101,89,25,406,0,51,26,57,26,34,29,9,9,247,28,164,181,721,975,1135,1280,742,283,5513,0,19,34,128,55,32,6,3,3,287,0,3,9,30,19,16,28,3,0,110,3,11,28,63,81,159,405,135,82,958
SOSR212,0,5,7,77,26,23,8,3,0,152,0,0,3,10,10,4,7,13,7,51,0,0,6,21,11,4,3,0,0,45,15,130,163,464,189,144,100,84,43,1339,325,551,769,1672,917,894,857,706,473,7153,5430,10593,10910,22322,11557,10739,8380,5321,2739,87993,3,100,267,425,153,53,23,0,0,1026,10221,19173,18393,32561,16943,15727,11151,6299,2821,133300,0,19,6,48,18,3,3,0,0,99,0,0,3,8,6,0,5,0,0,29,0,3,14,25,4,9,3,0,0,51,4,8,12,41,32,23,9,3,4,137,0,0,0,6,11,5,11,0,0,36,6,28,77,287,85,45,36,13,4,590,0,0,0,12,20,31,44,39,13,161,0,23,9,24,15,17,24,3,4,103,14,90,118,464,622,683,826,464,195,3484,0,9,19,81,21,18,14,6,0,170,0,3,15,18,28,13,4,8,3,95,0,3,13,42,47,81,210,83,38,510
SOSR213,0,6,9,82,26,11,0,0,0,145,0,7,3,19,25,21,24,15,5,126,0,12,5,31,11,13,3,4,0,81,7,57,73,342,165,168,148,124,72,1151,438,774,942,2104,1319,1400,1310,1013,562,9864,7823,15523,14030,30996,16799,16904,14263,9051,4849,130231,0,13,49,66,33,20,0,0,0,180,15030,29065,25481,48823,25658,24938,19000,10969,5160,204123,0,7,3,30,12,9,0,0,0,62,0,0,4,23,5,20,11,8,3,65,0,0,0,19,4,0,3,0,0,26,6,19,10,107,44,42,17,11,13,275,0,0,0,25,16,11,9,6,0,68,8,12,61,243,93,58,15,12,0,508,0,0,0,22,47,39,76,53,11,243,0,12,0,24,3,24,28,14,4,106,29,243,193,870,1174,1433,1842,1251,500,7536,0,4,12,55,44,23,11,10,0,157,0,6,13,33,20,7,14,14,3,117,3,10,17,100,55,156,490,216,113,1167
SOSR214,0,3,11,28,13,3,0,0,3,52,0,0,0,4,3,4,19,12,3,52,0,0,0,6,6,6,3,0,0,25,4,42,28,139,76,72,99,78,30,566,212,440,469,1237,832,947,1052,770,482,6441,3702,7941,6959,14822,9259,9885,9777,6026,3261,71633,0,0,0,5,3,0,0,0,0,4,7215,14787,12983,23103,14093,14661,13179,7685,3658,111367,0,0,0,10,3,0,0,0,0,14,0,0,0,3,0,3,0,3,0,9,0,4,7,20,5,7,0,0,0,43,3,16,4,48,25,28,14,4,0,144,0,0,3,10,7,4,3,3,0,31,8,23,198,128,53,37,10,3,0,469,0,0,0,3,24,20,27,36,6,118,0,3,0,11,6,15,25,16,6,75,7,89,80,376,619,807,1199,804,297,4285,0,0,4,23,16,8,7,0,0,66,0,7,5,22,13,11,10,4,3,71,0,8,5,48,54,99,262,106,53,633
SOSR215,0,6,6,78,20,27,10,0,0,146,0,0,0,15,25,24,24,11,3,104,0,0,5,12,6,6,6,0,0,41,12,38,34,253,143,155,173,105,67,971,333,736,734,1964,1302,1504,1368,996,616,9559,6175,12977,10600,24330,14549,15700,13961,8507,4820,111612,0,0,3,14,4,0,0,0,0,22,11902,24473,19558,38103,21940,23157,19328,10965,5399,174825,3,4,3,35,7,0,0,0,0,49,0,0,0,3,7,3,6,6,0,30,0,3,13,42,22,12,3,3,0,88,3,14,7,92,38,37,19,11,4,221,0,0,0,19,15,11,15,4,0,58,0,21,68,136,62,31,21,14,3,355,0,0,0,11,41,31,63,41,10,186,0,0,5,25,3,20,17,15,9,95,14,151,164,734,1204,1459,2053,1228,445,7449,0,4,4,47,27,18,9,10,0,123,0,4,3,34,11,28,18,17,3,119,0,6,14,84,99,135,382,189,93,991
SOSR221,0,0,0,8,0,0,0,0,0,13,0,0,0,3,4,8,9,4,0,26,0,0,0,0,3,3,0,0,0,5,0,9,4,50,48,58,39,22,15,248,82,195,167,514,406,489,485,238,169,2745,1535,3521,2702,6269,4336,4824,4146,2111,972,30425,0,0,0,0,0,0,0,0,0,0,2973,6770,5143,10115,6706,7194,5743,2866,1110,48623,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,3,0,0,13,0,0,0,6,0,0,0,0,0,6,0,0,0,23,12,15,10,0,0,60,0,0,0,6,3,9,5,0,0,18,0,0,0,17,10,5,9,3,0,43,0,0,0,3,8,10,14,9,0,51,0,0,0,6,3,5,7,3,0,23,0,34,31,179,377,548,751,351,97,2366,0,0,0,8,3,13,3,0,0,18,0,3,0,12,8,5,4,8,3,40,0,0,3,23,32,60,139,71,21,354
SOSR222,0,0,0,0,4,0,0,0,0,5,0,0,0,0,7,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,9,6,37,36,33,27,22,8,174,57,182,149,398,315,299,257,129,58,1842,961,2364,1760,4029,2826,3161,2340,1052,502,19003,0,0,0,0,0,0,0,0,0,0,1887,4283,3279,6305,4330,4897,3548,1472,621,30625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,3,3,0,0,0,0,12,0,0,3,14,6,3,3,0,0,38,0,0,0,0,4,0,5,3,0,15,0,10,3,34,9,0,5,0,0,60,0,0,0,5,3,9,5,5,0,25,0,0,0,0,0,0,9,0,0,9,0,22,19,132,238,363,375,170,44,1377,0,0,0,4,0,0,0,0,0,11,0,0,4,9,9,0,7,0,0,29,0,6,4,22,18,37,54,32,11,175
SOSR231,0,3,8,91,32,21,4,0,0,154,0,3,0,20,29,37,37,10,0,143,0,3,3,26,27,20,9,0,0,96,6,52,76,431,314,330,302,133,53,1702,691,1691,1516,3637,3206,3369,2520,1032,321,17988,10062,26317,21669,41434,33153,33382,22945,8465,2766,200186,0,3,4,14,0,0,0,0,0,25,19065,49220,41160,67856,52438,52730,35321,12724,3634,334150,0,0,4,27,9,0,0,0,0,39,0,0,3,24,11,14,9,16,0,71,0,9,9,38,15,6,0,0,0,82,8,25,22,138,94,82,49,15,0,435,0,4,3,31,25,23,17,0,0,108,6,48,89,178,107,75,45,21,3,568,0,0,0,31,72,132,156,105,18,524,0,0,0,22,7,33,45,15,0,125,15,264,334,1164,2520,3239,3155,1204,314,12204,0,13,9,75,31,42,11,3,3,183,0,11,22,59,33,26,49,15,0,214,3,14,48,173,219,352,721,310,68,1907
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,15,19,3,7,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,48,76,14,11,11,3,3,178,23,26,82,201,49,57,30,9,5,476,163,197,631,1271,347,352,204,49,28,3238,0,0,3,8,0,0,0,0,0,6,295,255,654,1734,591,504,271,66,26,4389,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,8,0,0,7,16,3,0,4,0,0,31,0,0,0,11,3,0,0,0,0,16,0,4,71,51,3,11,0,0,0,140,0,0,0,0,4,0,4,0,0,3,0,0,0,7,3,0,0,0,0,16,3,0,35,83,39,39,46,17,0,259,0,0,0,0,3,0,0,0,0,7,0,0,6,16,0,0,0,0,0,20,0,0,7,5,3,3,7,3,0,33
SOSR301,42,273,693,3801,1842,1515,587,264,106,9128,11,72,89,295,220,195,198,91,51,1219,3,75,267,876,479,325,116,36,12,2183,413,2318,4273,14173,5301,3723,2400,1301,569,34467,3312,5580,7771,18339,7675,6616,5248,3865,3303,61705,66090,129803,145303,311911,137093,110881,79338,42405,22766,1045588,10,189,759,1409,282,132,63,20,5,2866,123136,218709,206919,365749,162241,133912,93942,46129,21282,1372021,51,189,208,1095,187,108,23,6,0,1870,0,13,153,844,502,417,183,103,19,2228,6,51,96,533,342,272,100,58,27,1480,95,316,509,2118,801,564,288,101,47,4847,10,47,90,565,289,205,163,55,18,1444,330,1255,9271,15793,3886,2766,1496,796,310,35908,0,10,57,334,372,364,339,320,58,1854,29,193,127,316,122,150,198,80,33,1251,553,4786,5646,15977,17153,12981,12678,7176,2674,79628,32,280,728,3745,1863,1503,731,297,57,9248,32,159,297,1234,481,276,240,121,52,2886,32,169,461,1832,1215,1013,2181,833,362,8102
SOSR302,4,22,62,246,60,49,29,7,3,478,0,23,30,106,87,71,67,48,19,449,0,8,43,178,84,67,31,12,0,419,76,340,790,3150,1112,995,802,500,238,7996,1019,1809,2536,5857,2774,2589,2200,1473,1062,21330,15815,31987,35039,77093,37614,32771,26593,13970,7214,278089,0,4,24,70,15,3,0,0,0,115,28844,53069,48147,88122,41003,35889,28728,14074,6252,344125,3,15,24,183,39,18,5,0,0,294,0,0,38,267,190,157,85,38,3,777,3,8,8,59,42,24,5,3,0,162,27,103,182,831,251,201,120,43,26,1791,3,5,27,167,71,47,53,20,4,394,79,272,1597,2963,993,542,306,129,46,6930,0,3,24,116,126,158,207,190,39,866,5,15,25,99,66,115,161,86,49,629,162,1516,2010,5142,5356,4397,5074,3002,1211,27863,5,41,67,344,175,144,80,41,11,910,9,27,73,295,128,111,118,60,20,853,11,27,133,460,322,358,782,491,189,2763
SOSR303,9,35,44,245,70,50,11,7,0,461,0,26,31,113,85,69,70,44,10,456,3,33,120,227,145,114,48,19,4,720,114,492,725,2382,1038,770,628,339,161,6642,1091,2156,2947,6258,3337,3011,2611,1769,1186,24370,19206,42048,42319,88461,46130,40685,31857,17764,8821,337288,3,35,76,87,17,19,3,0,0,238,36250,73204,68265,121142,60403,55231,41381,21509,9266,486649,6,19,20,153,32,8,0,0,0,239,0,0,0,26,22,15,13,10,0,96,3,14,9,47,17,7,3,0,0,107,38,157,178,769,310,256,185,70,26,1981,3,5,12,69,40,14,29,8,0,181,30,139,290,1018,375,211,110,58,30,2256,0,3,3,17,55,63,67,86,13,305,6,42,15,63,27,26,44,36,18,280,139,1514,1699,4720,5574,4422,5392,3029,1119,27609,3,59,112,308,193,148,63,44,8,945,4,34,90,313,128,101,95,36,16,816,14,78,183,614,507,455,883,513,176,3428
SOSR311,0,34,27,141,38,15,4,0,0,261,0,5,3,13,16,15,24,13,11,101,0,17,32,78,52,39,6,4,0,230,11,89,93,435,203,155,171,105,44,1306,403,750,971,1969,1189,1153,1109,758,368,8678,7184,15231,14558,29606,15961,15037,12712,8093,3680,122062,0,20,19,40,15,3,0,0,0,94,13586,27621,24958,44469,23474,22534,17736,10722,4377,189471,3,27,12,79,34,4,0,0,0,159,0,0,0,0,0,3,6,3,0,14,0,4,0,12,0,4,0,0,0,19,10,15,14,114,43,58,47,21,8,332,0,0,0,7,7,0,4,0,0,23,5,29,47,244,121,55,18,13,5,526,0,0,0,4,9,17,19,25,0,70,0,3,0,17,12,8,16,12,0,65,17,209,297,790,1123,1213,1727,1130,350,6856,5,25,42,134,83,46,12,12,8,364,0,3,24,34,19,15,34,12,5,154,3,14,31,92,96,130,240,197,54,859
SOSR312,0,0,3,12,3,3,0,0,0,19,0,0,0,0,0,0,3,0,0,9,0,6,3,12,10,3,3,0,0,40,5,23,9,105,45,41,30,15,10,285,111,210,254,551,253,259,251,164,63,2117,1968,3687,3359,7413,3606,3171,2459,1486,677,27834,0,0,0,0,0,0,0,0,0,0,3549,6495,5955,11050,5500,4947,3613,2046,826,43980,0,11,8,31,0,3,0,0,0,53,0,0,0,6,3,0,0,0,0,8,0,0,0,13,6,3,3,0,0,24,0,0,5,21,10,9,3,3,0,51,0,0,0,3,3,0,3,0,0,16,0,13,3,63,28,15,0,3,0,133,0,3,0,3,5,9,3,6,0,18,5,19,0,21,3,3,0,0,0,58,9,33,25,169,240,297,276,146,57,1245,0,10,9,44,27,5,10,0,0,106,0,0,0,12,7,3,5,3,0,27,0,3,8,16,15,40,46,39,10,167
SOSR313,0,3,3,41,4,3,7,0,0,69,0,7,0,5,14,15,16,6,0,71,0,17,22,70,27,10,5,0,3,153,9,34,58,237,137,132,110,69,30,819,339,652,675,1526,879,810,729,523,400,6529,5473,10615,9378,20024,10492,10050,8707,5209,2436,82378,0,0,0,3,0,0,0,0,0,3,10103,19465,16162,29908,14828,14645,12169,6790,2660,126733,0,0,3,19,0,0,0,0,0,21,0,0,0,0,3,0,4,3,0,7,0,0,0,5,0,3,0,0,0,14,4,14,22,91,35,36,25,12,4,245,0,5,0,6,3,4,4,3,0,26,3,14,9,90,39,21,22,10,0,210,0,0,0,0,7,5,19,15,3,55,0,0,0,9,4,0,5,8,0,32,24,162,176,599,852,842,1240,772,262,4915,0,18,32,116,45,35,18,8,0,266,0,7,8,21,14,19,26,13,3,107,0,13,22,87,85,96,183,108,39,629
SOSR314,0,12,11,70,14,9,7,0,0,124,0,0,4,22,8,4,15,8,0,60,0,10,18,41,39,20,12,7,0,147,12,58,88,316,159,121,100,53,46,952,367,782,773,2004,983,911,772,522,224,7328,5245,11384,9116,21187,10424,9293,7267,4257,1953,80128,0,0,14,25,0,0,0,0,0,42,9951,20330,15084,29625,14711,13411,10143,5466,2194,120910,4,8,7,40,0,0,0,0,0,66,0,0,0,4,0,4,3,3,0,13,0,3,7,13,0,0,0,0,0,30,11,20,21,113,35,35,31,8,0,271,0,0,0,7,7,5,0,0,0,18,3,17,47,139,44,28,11,4,7,304,0,0,0,4,7,11,15,16,5,62,0,4,0,12,0,3,3,3,0,28,14,192,296,803,969,791,1036,536,172,4810,0,13,8,38,27,24,11,0,0,131,0,9,33,59,26,9,24,16,4,177,0,3,38,97,65,92,175,99,35,598
SOSR315,3,12,26,71,14,13,0,0,0,135,0,6,8,25,23,27,23,17,3,118,0,8,16,56,41,19,11,4,0,155,6,55,69,376,199,201,187,83,42,1214,529,1039,1149,2703,1521,1487,1304,736,423,10893,8222,17227,13812,30534,16393,16098,13333,6346,2912,124878,0,0,0,9,0,0,0,0,0,12,15576,31890,24044,46708,24216,23595,18606,8634,3150,196418,0,0,3,27,4,0,0,0,0,44,0,0,0,7,4,3,3,0,0,19,0,8,0,12,4,0,0,0,0,31,3,18,25,143,68,52,39,19,7,377,0,0,0,23,10,10,3,0,0,42,4,22,18,121,47,29,12,11,3,271,0,0,0,7,8,16,18,21,3,83,0,4,0,4,0,12,17,7,7,46,18,233,295,1020,1508,1601,2116,1078,287,8157,3,7,23,72,46,33,24,6,0,218,0,3,30,85,47,40,38,14,6,257,0,11,35,145,131,194,314,196,51,1073
SOSR321,0,3,0,10,3,3,0,0,0,22,0,0,0,4,8,17,3,3,0,40,0,0,7,10,16,14,3,0,0,59,5,14,23,110,102,106,76,21,13,476,145,409,414,910,615,665,580,270,94,4096,2936,6573,5162,10999,7131,7294,5674,2362,800,48934,0,0,0,0,0,0,0,0,0,0,5619,12310,9152,17475,10777,10920,8245,3348,1061,78906,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,4,6,0,4,0,0,24,5,0,11,37,30,31,28,8,0,141,0,0,0,0,6,0,0,0,0,12,0,0,5,23,13,9,13,6,0,63,0,0,0,0,6,3,3,8,0,31,0,0,0,0,3,3,3,0,0,13,3,87,147,379,662,758,993,425,73,3528,0,11,8,31,23,16,11,0,0,91,0,0,5,17,12,7,23,3,0,77,0,7,17,59,58,91,149,89,19,484
SOSR322,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,5,3,4,3,0,0,19,5,6,4,41,31,41,33,7,7,169,70,159,156,389,316,329,312,150,39,1922,1196,2778,2163,4662,3147,3559,2855,1161,329,21855,0,0,0,0,0,0,0,0,0,0,2429,5216,3969,7496,4900,5544,4445,1794,462,36254,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,12,8,17,0,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,5,9,0,3,0,0,12,0,0,0,0,7,6,3,8,0,23,0,0,0,0,0,0,3,0,0,3,3,9,32,118,236,280,376,163,28,1249,0,0,0,11,9,6,3,0,0,27,0,0,3,13,3,4,0,0,0,26,0,0,3,22,12,36,73,29,4,182
SOSR331,0,6,4,87,29,27,12,3,0,162,0,4,10,30,37,27,42,7,3,158,0,10,24,90,80,56,22,10,0,291,7,80,106,543,421,434,304,128,38,2066,815,1952,1792,4426,3421,3272,2382,915,271,19244,10936,28176,21677,46402,34470,32520,22396,7908,2140,206625,0,0,0,6,0,3,0,0,0,15,20556,52800,39846,73870,52320,50857,35123,12526,3007,340907,0,3,0,16,0,0,0,0,0,20,0,0,0,4,5,7,3,3,0,18,0,4,14,59,46,24,3,0,0,153,11,31,40,169,134,150,99,26,8,652,0,0,0,20,14,10,11,0,0,59,3,29,50,130,69,50,29,23,6,389,0,0,3,3,21,42,50,53,7,180,0,0,0,3,3,12,14,9,0,52,25,414,582,1638,3115,3224,3480,1344,271,14090,0,13,9,86,64,59,30,15,3,293,0,14,31,100,79,61,69,16,3,386,3,15,55,263,345,373,620,285,41,1999
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,14,3,0,9,12,7,19,16,7,0,87,0,0,0,0,0,0,0,0,0,0,3,4,9,13,10,16,14,10,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,9,9,0,0,0,0,0,16,0,0,6,3,0,4,0,0,0,20,0,0,3,0,0,0,0,0,0,12,0,3,42,61,9,22,13,3,0,157,16,29,126,239,105,178,99,30,8,835,160,233,774,1518,688,1224,798,153,18,5572,0,0,0,0,0,0,0,0,0,3,270,372,714,2015,1055,1525,1162,221,21,7348,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,31,5,9,3,0,0,58,0,0,0,10,4,3,0,0,0,16,0,3,30,53,6,4,0,0,0,103,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,13,150,171,98,154,202,27,4,818,0,0,3,4,3,7,0,0,0,14,0,0,27,48,3,5,0,0,0,86,0,0,28,30,4,13,19,8,0,97
