UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL101001,505,2355,111,104751,8322,1334,563,7664,815,6069,396,2416,905,5481,25911,59884,584,75,357,655,146,354,63,127,244,708,1653,4982,130836,18814,4314,140969,17471,116749,4326,32229,6900,56770,28845,558210
UCL102001,3,3,3,874,98,8,7,62,10,34,0,6,3,19,250,505,4,0,0,5,0,0,0,0,0,0,10,26,1498,121,47,1208,214,671,46,139,47,205,274,4472
UCL102002,17,44,0,2894,584,125,37,736,75,382,37,163,55,307,1618,4128,36,13,29,59,5,21,3,10,11,40,82,307,6648,1365,308,11097,1187,6194,375,1716,446,2748,1785,33860
UCL102003,6,4,0,412,99,27,6,115,5,54,0,40,0,45,284,671,4,0,0,10,0,0,0,0,0,4,20,43,1015,313,46,1756,164,881,62,358,55,487,324,5457
UCL102004,27,56,3,4244,575,102,30,622,56,317,30,153,43,274,1903,4106,43,3,20,43,12,24,4,19,10,48,75,300,7064,1431,279,12387,1362,5676,414,1694,397,3024,2037,35776
UCL102005,24,68,3,3338,451,73,21,583,63,358,24,129,43,318,1401,3463,26,0,24,33,3,18,10,6,8,42,51,223,5881,1114,244,9938,1054,5405,351,1577,371,3187,1501,30633
UCL111001,0,3,0,293,78,10,0,97,9,43,3,18,3,20,246,531,7,0,0,13,3,6,0,0,8,9,9,57,974,181,37,1661,183,739,62,244,36,337,270,4732
UCL111002,3,10,0,861,161,22,8,179,10,86,5,34,10,61,525,1099,8,0,3,17,4,3,0,3,3,12,15,71,1973,307,71,3048,341,1786,94,422,117,699,559,9420
UCL112001,0,0,0,122,36,4,0,28,3,11,5,3,0,9,111,211,0,0,0,0,0,0,0,0,0,0,0,11,365,73,20,465,49,276,22,93,12,166,115,1655
UCL112002,3,4,0,247,55,8,0,63,7,35,3,16,0,19,183,387,3,0,0,6,0,3,0,0,0,8,7,26,870,114,17,1085,149,533,34,128,37,237,196,3395
UCL112003,0,5,0,233,41,18,4,71,4,32,4,17,5,25,142,362,7,0,0,0,0,3,0,0,0,12,4,27,541,208,15,913,95,556,38,187,47,221,151,2973
UCL112004,0,6,0,308,57,6,3,65,7,29,4,11,3,24,129,334,4,0,3,4,4,8,0,0,3,0,4,26,444,105,20,747,58,350,23,82,13,154,144,2132
UCL112005,0,3,0,148,28,3,4,32,6,11,0,11,6,20,85,206,0,0,3,4,0,0,0,3,0,6,5,21,344,77,30,554,72,367,27,125,31,280,101,2007
UCL112006,0,6,0,248,80,18,0,73,8,56,3,25,3,55,215,538,4,0,0,3,3,4,0,0,0,8,5,33,949,273,31,1344,124,697,55,257,47,445,234,4451
UCL112007,0,4,0,214,76,12,5,77,10,29,0,7,0,19,228,463,5,0,0,6,0,4,0,0,3,6,10,28,974,117,30,1049,137,526,31,92,28,204,238,3439
UCL112008,0,9,0,144,41,8,7,39,3,20,9,9,3,12,112,263,0,0,3,3,0,0,0,3,0,6,8,24,533,82,12,627,80,367,36,116,34,164,124,2174
UCL112009,0,3,0,97,28,6,4,31,0,19,0,13,0,20,92,216,0,0,0,0,0,0,0,0,0,3,8,15,521,134,14,719,69,358,22,156,24,216,109,2339
UCL112010,0,0,0,18,10,0,0,8,0,3,0,0,0,0,12,42,0,0,0,0,0,0,0,0,0,0,0,4,61,14,3,87,18,44,5,7,3,14,14,268
UCL112011,0,3,0,111,37,5,5,46,6,30,4,18,9,33,164,355,0,0,0,3,0,3,0,0,0,7,7,30,492,107,30,834,88,530,25,172,45,324,184,2823
UCL112012,6,3,0,350,66,6,0,77,6,32,3,14,3,26,204,439,3,0,0,4,0,0,0,0,0,7,7,19,944,115,28,1261,165,634,42,173,37,251,220,3869
UCL112013,0,8,0,320,59,20,0,64,9,25,0,14,6,33,187,417,11,0,4,8,0,3,0,0,0,6,5,40,920,209,40,1293,104,602,50,221,33,335,196,4007
UCL112014,0,8,0,169,61,14,7,50,13,26,3,11,0,24,169,386,4,0,0,0,0,3,0,0,3,9,7,42,713,114,28,888,122,491,32,121,29,253,179,2978
UCL112015,0,4,0,401,93,13,0,106,7,40,7,6,4,18,271,567,5,0,3,9,0,9,0,0,0,8,14,49,1317,166,30,1656,203,759,60,173,42,309,299,5003
UCL113001,0,0,0,64,16,12,0,22,0,8,0,6,3,7,61,137,0,0,0,3,0,0,0,0,0,0,4,6,224,74,13,342,28,172,15,90,15,135,71,1177
UCL113002,3,0,0,29,6,9,0,6,0,6,0,4,4,15,39,87,0,0,0,0,0,0,0,0,0,5,3,8,124,59,3,183,20,107,4,71,13,127,45,766
UCL113003,0,0,0,112,32,5,0,25,3,16,0,12,4,19,106,235,5,0,0,8,0,0,0,0,3,8,7,23,326,47,13,376,54,229,22,94,28,169,118,1465
UCL113004,0,0,0,41,13,0,0,13,0,4,0,0,0,0,33,63,0,0,0,0,0,0,0,0,0,0,0,0,145,28,7,202,23,70,8,17,3,18,41,554
UCL113005,0,0,0,57,30,5,0,23,6,12,7,9,3,18,73,180,7,0,3,4,0,0,0,0,0,3,4,18,231,76,15,370,37,166,16,105,20,176,83,1296
UCL113006,0,4,0,50,25,9,3,19,0,17,0,8,0,18,79,177,0,0,0,0,0,0,0,0,3,7,0,11,273,72,5,378,49,236,18,88,23,196,82,1418
UCL113007,0,5,0,126,54,3,0,53,9,20,3,3,0,18,93,265,8,0,3,6,0,4,0,0,0,6,11,32,463,54,21,712,69,352,17,79,13,206,112,2107
UCL113008,0,0,0,11,8,4,0,13,0,0,0,3,0,13,28,77,0,0,0,0,0,0,0,0,0,5,3,13,126,43,9,175,10,101,8,59,8,128,39,708
UCL113009,0,0,0,234,35,11,3,41,5,11,3,6,3,13,100,219,0,0,5,0,0,0,0,0,0,0,0,9,312,67,16,554,66,235,12,76,26,131,104,1598
UCL113010,0,0,0,82,34,8,3,33,0,18,3,15,4,22,76,209,0,0,0,3,0,0,0,0,0,5,5,17,304,52,12,526,58,348,22,117,26,256,88,1818
UCL113011,0,3,0,92,17,3,0,17,4,14,0,4,0,13,36,113,0,0,0,3,0,0,0,0,0,9,3,19,177,41,12,334,45,156,8,61,13,134,46,1025
UCL113012,0,4,0,123,40,4,3,26,3,23,3,12,0,20,110,237,4,3,3,3,0,0,0,0,0,4,8,22,370,65,17,581,52,319,30,122,19,201,123,1898
UCL113013,0,0,0,121,17,6,0,23,0,13,0,3,0,8,56,140,0,0,0,0,0,6,0,0,0,0,3,6,213,41,13,394,43,254,20,50,18,71,65,1181
UCL113014,0,0,0,105,21,0,3,21,0,14,0,4,3,7,39,115,0,0,0,3,0,0,0,0,0,0,5,14,204,33,7,335,33,246,13,46,22,105,54,1103
UCL113015,3,4,0,111,22,4,0,26,0,19,3,8,0,15,107,193,3,0,0,0,0,3,0,0,0,0,0,10,242,64,18,399,31,199,16,67,15,125,108,1288
UCL113016,0,0,0,62,17,5,0,17,3,20,0,12,0,17,76,166,3,0,0,0,0,0,0,0,0,0,0,4,226,43,13,361,52,271,9,86,14,169,81,1320
