UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,124343,114989,239339,56931,66756,123688,4323,3092,7414,1290,1303,2593,3215,1908,5125,602949,448596,1051552,31350,48511,79856,15312,231,15542,12353,1652,14006,12454,3497,15951,6963,3714,10674,42171,45130,87302,913657,739384,1653041,28147,29605,57748,854,719,1571,750,690,1437,16006,12232,28238,3065,5796,8854,1997,947,2951,50828,49981,100801,771,605,1375,206,242,450,2622,2560,5180,942,2098,3039,793,642,1441,5335,6147,11483,7305,3986,11287,63472,60109,123576,6845,6511,13362,503,453,961,362,133,495,7712,7099,14813,35364,49765,85125,57590,96173,153761,10436,8143,18580,1088223,960684,2048906
UCL102001,4,5,10,95,126,221,7,4,7,0,0,3,15,22,39,7726,6688,14417,492,717,1215,140,4,142,186,19,205,110,16,133,61,40,97,218,251,472,9065,7900,16960,0,3,3,0,0,0,0,0,0,3,3,6,0,4,4,0,0,0,3,11,12,0,0,0,0,0,0,16,25,45,9,20,29,0,7,7,29,50,80,93,66,156,128,122,247,0,0,0,4,0,3,7,0,7,11,3,9,143,255,401,670,1015,1689,91,75,169,10100,9375,19476
UCL102002,3036,2149,5185,587,809,1396,27,8,35,5,6,12,45,46,93,44965,40175,85136,3020,3019,6032,1308,30,1338,505,33,542,301,81,380,372,198,570,1012,1071,2084,55185,47623,102804,752,511,1264,14,6,19,9,12,19,1435,895,2329,167,251,413,139,37,175,2515,1709,4219,9,6,7,0,0,0,23,20,39,44,80,124,5,4,11,78,105,187,575,229,803,3172,2047,5218,446,270,714,14,14,30,27,5,33,492,286,775,2482,3742,6221,5188,8848,14034,674,685,1361,67187,63229,130416
UCL102003,13,8,19,138,108,241,3,0,9,0,0,3,8,12,23,8334,7871,16204,501,612,1110,192,3,201,122,22,144,179,64,241,115,63,174,274,296,564,9877,9056,18934,4,4,9,0,0,0,0,0,0,30,17,48,0,0,0,0,0,0,34,24,58,0,0,0,3,3,6,0,12,17,7,10,19,3,3,11,16,33,50,94,38,141,150,93,245,9,5,12,10,8,11,3,0,3,21,10,27,497,791,1286,896,1548,2445,131,141,270,11570,11636,23208
UCL102004,411,280,686,1131,1299,2428,37,44,80,10,6,15,93,76,172,54151,48606,102748,2994,3644,6640,1021,28,1045,919,140,1060,1276,387,1661,382,185,559,1878,2012,3893,64294,56701,120996,98,57,157,0,0,0,3,0,4,145,95,241,28,26,55,50,7,54,330,185,518,11,17,31,0,0,0,59,98,160,68,105,177,27,23,48,166,239,404,650,314,956,1142,739,1885,84,55,138,23,37,53,35,10,42,135,99,234,2091,3186,5280,6089,10243,16331,571,534,1104,74328,71495,145825
UCL102005,1670,1220,2893,815,1000,1817,14,5,12,9,3,10,66,70,135,41472,35509,76979,2586,2996,5577,878,14,891,468,49,514,521,123,642,325,175,495,1368,1536,2900,50187,42695,92883,149,126,277,0,0,0,5,0,10,672,354,1028,79,106,189,77,19,102,994,608,1603,0,0,0,0,0,0,33,48,77,38,63,104,25,16,45,91,130,219,421,212,639,1509,952,2458,103,96,198,12,15,30,19,5,28,139,111,248,1382,2210,3596,4787,7495,12281,562,435,999,58565,53903,112471
UCL111001,4,7,9,49,64,114,3,3,6,0,4,3,18,16,38,8300,7539,15836,497,554,1055,111,3,117,100,12,109,157,45,208,56,28,83,350,378,728,9643,8657,18300,0,0,0,0,0,0,0,0,0,7,5,8,0,0,0,4,0,4,6,7,12,0,0,0,0,0,0,4,0,4,5,7,13,0,3,4,8,10,19,75,49,126,96,71,161,4,0,6,0,0,0,8,3,10,11,3,15,243,391,638,732,1330,2060,90,77,166,10817,10525,21339
UCL111002,125,102,225,91,80,173,3,3,8,0,0,3,17,17,33,13664,11814,25477,897,798,1694,283,9,291,147,13,157,83,20,109,84,54,131,250,256,507,15640,13162,28799,33,64,101,0,0,0,0,0,0,32,18,46,3,9,10,15,0,12,82,89,173,0,0,0,0,0,0,10,9,19,5,8,15,3,0,4,13,18,34,187,74,260,279,183,464,36,48,77,0,3,5,3,3,5,39,51,92,341,684,1020,1561,2313,3870,131,118,247,17985,16504,34491
UCL112001,0,0,0,21,24,45,0,0,0,0,0,0,18,18,30,2687,2588,5280,275,337,609,53,0,56,54,4,59,71,20,92,25,14,46,250,248,499,3454,3252,6712,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,7,4,0,4,7,3,10,40,20,63,53,25,81,0,3,3,0,0,3,0,0,3,4,5,9,130,172,306,331,560,894,32,41,80,4009,4060,8068
UCL112002,16,5,17,24,19,50,3,0,3,0,0,0,16,21,39,5449,5037,10487,389,427,816,118,0,116,44,6,45,69,13,82,41,23,58,314,283,594,6480,5831,12309,0,7,6,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,11,4,14,0,0,0,0,0,0,4,3,3,0,3,8,3,3,6,5,9,15,53,25,79,71,40,111,3,3,8,0,0,0,0,3,4,7,5,15,167,284,449,612,990,1602,88,63,149,7421,7220,14638
