UCL_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL101001,1553,8688,7866,7257,14031,14326,6808,9780,904,71219,2595,9318,9353,7656,17923,20790,6406,11444,20862,106342,57316,203098,211247,191514,399633,449926,191761,303787,40619,2048906
UCL102001,22,68,60,60,145,150,92,89,5,694,21,53,32,58,130,134,45,84,172,722,714,1640,1374,1879,4563,4080,2146,2739,336,19476
UCL102002,147,733,578,638,1119,1016,508,697,62,5505,182,524,434,383,923,961,319,595,1075,5395,4762,15750,14519,15776,25194,24598,10927,16553,2339,130416
UCL102003,16,134,106,115,120,154,53,126,9,833,36,113,79,98,125,167,51,143,213,1026,798,3230,2640,3651,4118,3579,1676,3065,450,23208
UCL102004,161,732,579,616,1207,1040,599,800,43,5765,160,497,336,387,799,842,287,548,1000,4855,5415,18155,16223,17453,27791,26666,13376,18512,2232,145825
UCL102005,147,577,478,508,945,925,405,598,39,4613,147,390,348,314,702,745,261,469,870,4243,4237,13995,12627,12947,22511,20211,10054,14030,1869,112471
UCL111001,16,103,102,96,168,161,86,127,12,876,21,83,58,58,140,120,44,85,166,780,773,2571,2190,2784,4140,3612,2118,2771,368,21339
UCL111002,39,174,136,160,335,293,147,271,14,1571,30,132,80,89,214,257,81,164,237,1287,1244,3978,3603,3793,6738,6128,3499,4968,544,34491
UCL112001,12,34,21,17,59,32,37,32,7,257,11,18,12,16,31,33,18,26,52,207,349,1230,820,984,1793,1103,646,999,154,8068
UCL112002,10,79,43,53,117,92,46,92,3,537,25,49,31,34,95,63,27,64,102,493,572,1831,1372,1584,3153,2467,1284,2118,265,14638
UCL112003,12,56,49,52,64,67,37,58,9,410,27,72,43,38,65,72,26,58,71,470,461,1766,1649,1753,2151,2005,1052,1752,210,12795
UCL112004,11,47,47,51,52,51,39,51,4,340,13,45,28,38,36,50,27,63,61,360,285,1257,1012,1076,1288,1430,765,1468,142,8726
UCL112005,12,51,43,34,70,57,39,62,3,372,17,32,26,35,46,54,21,19,69,310,326,946,906,929,1446,1252,736,971,162,7661
UCL112006,16,123,75,84,160,156,67,105,10,783,26,73,61,61,111,90,43,68,159,693,662,2691,2170,2716,3892,2988,1469,2448,335,19363
UCL112007,21,64,65,62,195,124,73,113,4,716,15,33,29,33,86,105,39,47,134,524,523,1534,1287,1645,3684,2939,1498,2332,274,15716
UCL112008,7,47,35,41,91,72,37,63,3,392,19,26,19,32,55,49,21,50,79,352,360,924,955,1162,2255,1569,775,1295,186,9471
UCL112009,12,54,39,58,115,92,59,53,4,481,10,48,36,40,60,62,22,25,91,393,333,1502,1194,1697,2507,1672,846,1157,194,11100
UCL112010,0,3,3,9,13,4,7,7,0,43,0,0,10,4,4,9,0,7,10,44,42,104,92,126,181,168,103,160,26,1007
UCL112011,11,54,58,43,88,67,55,66,3,449,17,51,22,28,68,53,20,41,115,404,420,1460,1243,1406,2239,1701,1174,1275,266,11176
UCL112012,24,70,61,50,125,121,77,130,10,667,16,47,28,43,81,72,30,59,128,501,591,1677,1475,1783,3224,2804,1640,2665,288,16153
UCL112013,15,112,70,72,137,95,63,101,4,669,15,74,34,59,65,55,33,53,120,505,590,2335,1794,2479,3341,2881,1392,2246,279,17335
UCL112014,13,73,53,67,144,102,65,83,12,608,23,52,32,53,106,95,41,45,150,597,467,1490,1275,1660,3109,2693,1390,1821,307,14212
