UCL_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
UCL101001,0,0,45,546,587,645,586,436,99,2939,73,536,1056,5699,2459,2092,1185,471,159,13731,70,153,556,3110,333,432,307,52,10,5038,114,330,1104,5045,633,387,142,38,3,7802,16,33,127,915,1076,1333,1238,541,143,5421,39,90,296,1845,1671,977,657,276,47,5906,386,1406,1349,3702,1598,1035,670,190,55,10393,195,740,2630,11696,8707,7804,2822,1017,425,36035,12,40,83,646,448,329,301,151,51,2064,9,94,303,834,482,279,88,19,0,2114,1005,4126,7796,35282,15357,12204,9756,5275,1978,92787,7182,11714,16461,45696,17266,14199,10713,6311,2967,132509,143869,269798,289436,670599,273705,221844,152924,78665,30209,2131038,36,211,877,2285,695,513,233,74,20,4933,122210,210923,181491,302572,127346,101343,71457,41409,27245,1185994,141,500,1150,6588,1049,430,100,27,10,9993,3,17,136,1084,671,646,298,229,42,3120,18,85,395,2490,1381,1262,577,248,118,6578,60,231,462,2259,742,473,249,91,40,4614,15,55,146,1614,1161,1069,1112,372,121,5663
UCL102001,0,0,0,4,11,6,8,7,0,37,0,3,0,14,14,4,5,0,0,41,0,0,0,0,0,0,0,0,0,4,0,7,4,4,0,3,0,0,0,22,3,0,5,52,65,66,49,14,11,264,0,0,0,4,3,0,0,0,0,11,6,11,10,24,17,6,14,0,0,97,0,0,3,15,4,6,0,0,0,37,0,0,0,3,7,4,0,0,0,22,0,0,0,16,4,0,0,0,0,21,0,17,15,136,67,61,45,40,7,400,77,93,114,383,197,124,99,59,14,1163,1328,2314,2322,5440,2837,2019,1172,559,179,18173,0,0,0,3,0,0,0,0,0,3,1049,1940,1925,3883,2074,1338,710,372,175,13463,3,6,12,49,4,0,0,0,0,70,0,0,0,0,4,0,0,6,0,14,0,3,0,6,0,0,0,0,0,10,0,3,0,12,13,9,3,0,0,46,0,0,0,5,12,7,0,0,0,20
UCL102002,0,0,0,0,8,13,12,19,4,56,0,4,0,40,23,15,27,12,0,119,0,6,7,16,3,4,0,0,0,41,6,20,22,58,20,8,0,0,0,136,0,0,0,0,0,7,3,0,0,16,0,0,0,6,19,8,5,10,0,47,12,49,40,130,94,87,61,17,4,497,6,7,8,44,29,12,9,3,0,117,0,9,3,35,41,48,59,39,12,246,0,11,11,49,23,23,8,0,3,137,19,71,85,515,348,321,401,268,79,2104,368,832,883,2045,1247,1352,1244,857,516,9348,9365,19943,18155,34261,19507,18468,15983,9164,3731,148587,0,0,3,3,0,3,0,0,0,11,8343,17013,15660,28648,15526,15221,12538,7814,4155,124926,0,3,7,20,3,0,0,0,0,31,0,0,0,4,8,6,6,5,0,25,0,0,0,23,8,4,4,0,0,38,0,19,27,92,50,44,21,4,3,258,0,3,0,24,35,26,44,13,8,147
UCL102003,0,0,0,0,3,3,5,6,4,20,0,0,0,3,0,0,4,0,0,8,0,0,0,7,0,0,0,0,0,10,3,3,8,3,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,10,5,16,22,19,21,4,3,111,0,3,3,0,0,0,0,0,0,8,0,3,0,10,3,10,20,8,7,55,0,0,3,11,7,4,6,0,0,31,6,14,12,113,41,31,48,49,21,343,83,183,173,438,270,344,364,259,136,2252,1606,3215,3020,5699,3475,3863,3951,2591,1110,28537,0,0,0,0,0,0,0,0,0,0,1308,2753,2483,4737,2937,3414,2940,1989,1070,23621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,32,14,8,9,3,0,75,0,0,0,3,0,0,0,0,0,3
UCL102004,0,0,0,8,19,34,32,29,12,129,3,21,13,78,35,21,7,9,0,189,0,3,6,31,0,0,0,0,0,48,11,23,36,54,13,6,0,0,0,144,0,0,3,26,70,130,129,89,22,461,0,0,0,12,10,6,3,0,0,34,21,55,53,150,79,57,38,16,3,465,8,18,36,83,34,24,4,0,3,216,0,8,9,34,47,31,35,24,8,204,0,6,30,57,7,18,5,0,0,122,33,161,250,710,261,229,247,147,66,2114,264,495,790,1944,1143,1064,949,571,270,7489,10036,19324,21460,40842,20473,19531,15215,7966,3070,157923,20,24,31,38,6,0,0,0,0,118,8713,16916,17984,34327,17557,16860,12767,7713,4306,137144,3,4,8,57,15,0,0,0,0,98,0,0,3,25,17,22,25,8,0,98,0,3,3,29,10,10,3,5,0,59,4,22,27,143,43,30,19,4,0,301,0,0,9,30,20,13,13,0,0,78
UCL102005,0,0,3,34,49,64,61,78,17,310,0,8,37,66,19,26,7,4,3,179,3,0,10,27,4,3,0,0,0,50,3,30,55,88,12,3,0,3,0,203,0,3,19,143,369,449,544,237,52,1827,0,9,11,88,139,49,49,34,3,374,7,26,60,110,61,43,45,8,6,368,4,16,87,129,77,97,38,17,6,474,0,4,7,29,69,93,61,47,13,315,0,3,11,31,17,7,4,0,0,73,72,218,278,818,569,597,514,390,166,3622,338,597,846,1852,1067,1074,942,632,243,7600,8078,16554,18584,32619,16746,15161,11807,6855,2418,128813,0,0,3,4,3,0,6,0,0,16,7026,14306,14925,25655,11933,10349,6938,4147,2219,97496,0,4,13,31,6,0,0,0,0,54,0,3,6,61,34,37,28,27,7,197,0,3,0,16,9,4,0,0,0,34,4,14,16,112,38,34,14,3,3,239,0,0,6,55,84,58,103,40,11,359
UCL111001,0,0,0,0,5,0,3,5,0,14,0,0,0,21,5,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,13,4,6,3,3,0,40,0,6,4,5,3,0,0,0,0,12,0,0,0,8,3,6,7,0,0,25,0,0,0,7,3,0,0,0,0,10,3,18,15,134,65,52,51,38,19,391,76,166,239,447,238,233,203,142,73,1817,1586,2962,3121,5875,2927,2846,2172,1168,475,23120,0,0,0,3,0,0,0,0,0,3,1362,2563,2855,4875,2510,2489,1835,1104,595,20187,3,3,3,32,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,7,3,3,0,0,0,13,0,0,0,0,0,0,4,0,0,6
UCL111002,0,0,0,0,3,0,3,0,0,11,0,0,0,12,4,0,0,0,0,17,0,0,0,12,0,0,0,0,0,23,0,7,0,4,3,0,0,0,0,14,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7,0,3,9,10,13,10,11,5,0,55,0,0,3,13,8,0,0,0,0,26,0,0,0,6,18,6,0,0,0,33,0,6,6,30,13,3,0,0,0,61,0,7,13,97,44,43,32,20,7,263,107,208,207,549,296,269,223,153,55,2068,3013,5743,4864,10265,4744,4255,3184,1525,445,38041,0,0,0,0,0,0,0,0,0,0,2709,4971,4509,9242,4280,3790,2816,1561,666,34548,0,0,0,12,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,4,19,12,3,3,3,0,46,0,0,0,5,0,7,0,0,3,18
UCL112001,0,0,0,0,0,0,0,0,0,0,0,3,4,8,4,0,0,0,0,22,0,0,0,3,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,5,10,4,5,11,3,0,51,0,0,0,17,0,0,0,0,0,24,0,3,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,8,15,28,32,128,27,15,12,15,0,273,35,52,182,175,102,86,62,49,21,761,602,1201,2076,2308,1095,1002,781,464,154,9691,0,0,0,0,0,0,0,0,0,0,514,995,1812,1731,878,898,693,504,273,8282,0,3,0,21,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,3,0,0,23,0,0,0,3,0,0,0,0,0,4
UCL112002,0,0,0,0,4,0,0,0,0,8,0,3,0,5,6,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,3,0,0,0,31,0,3,4,14,7,0,0,0,0,36,0,0,0,0,3,3,4,0,0,9,0,0,0,3,0,0,0,0,0,7,4,3,16,42,18,16,20,10,4,130,49,98,217,249,123,141,131,73,42,1124,1156,2353,2702,4386,1911,1855,1346,682,253,16638,0,0,0,4,0,0,0,0,0,4,987,2023,2201,3464,1683,1577,1143,734,371,14190,0,3,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,4,4,5,3,4,0,0,20,0,0,0,0,3,0,0,0,0,3
