UCL_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
UCL101001,2357,45,49297,3643,30309,2515,152,32975,19,36632,82,3970,4144,34,8152,7,8239,35,183,32,71,283,0,320,3762,34460,6689,260,41409,21,45195,38,21,0,0,22,47,109,50693,36782,6727,288,43794,112,94597,22986,1027,14,11,1056,13,24052,1868,20359,1731,78,22175,12,24053,65,3061,3615,27,6703,3,6769,13,113,16,33,166,3,180,1945,23540,5366,143,29042,11,31001,22,13,3,0,19,17,54,24959,24582,5380,152,30116,42,55110,11342,516,13,3,524,11,11874,887,10537,951,33,11522,3,12408,23,1647,2198,13,3852,0,3880,7,56,16,22,92,0,97,915,12234,3159,68,15465,3,16388,5,11,0,0,13,9,27,12264,12761,3175,72,16003,26,28289,379854,24276,362,229,24869,436,405159,38263,280390,18012,1366,299773,169,338198,824,31411,26736,280,58430,41,59296,275,1512,211,706,2429,25,2719,39356,313318,44964,2347,360629,235,400216,486,379,42,28,447,780,1716,419693,337966,45368,2604,385944,1455,807095
UCL102001,24,0,750,26,99,4,0,98,0,120,0,3,3,0,3,0,7,0,0,0,0,0,0,0,29,97,6,0,106,0,129,3,0,0,0,0,0,3,758,119,6,0,122,0,883,249,3,0,0,3,0,258,5,37,3,3,42,0,45,3,3,4,0,3,0,3,0,0,0,0,0,0,0,10,42,3,0,51,0,56,0,0,0,0,0,0,0,260,49,3,0,54,0,309,98,0,0,0,0,0,106,6,28,0,0,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,25,0,28,0,0,0,0,0,0,0,105,25,0,0,26,0,137,4986,178,0,0,175,5,5174,239,933,24,4,966,0,1210,3,46,20,0,62,0,69,7,3,0,0,4,0,10,252,981,42,9,1032,0,1284,8,0,0,0,0,9,23,5245,1160,42,12,1213,15,6477
UCL102002,105,4,5712,189,240,11,3,251,0,438,6,14,11,0,26,0,34,5,3,0,0,3,0,8,199,258,25,3,280,0,482,3,0,0,0,0,10,15,5798,357,30,4,386,17,6206,1953,25,3,0,24,3,1984,73,119,10,0,125,0,205,3,7,12,0,19,0,22,3,0,0,0,0,0,3,80,128,17,0,149,0,234,7,0,0,0,0,0,7,2038,153,19,0,175,7,2222,853,27,0,0,28,0,880,36,45,3,0,45,0,86,0,11,9,0,20,0,20,0,0,0,0,0,0,0,35,55,11,0,69,0,105,4,0,0,0,0,0,4,893,80,15,0,94,0,986,42997,1028,21,8,1054,66,44111,1569,2403,82,13,2500,8,4078,34,209,113,0,324,0,359,21,19,4,3,24,0,45,1628,2626,199,16,2844,8,4481,71,10,0,0,10,70,146,44697,3661,218,24,3904,140,48739
UCL102003,21,0,941,37,36,6,0,41,0,75,3,0,3,0,7,0,5,0,0,0,0,0,0,0,35,38,14,0,47,0,84,3,0,0,0,0,3,4,959,54,14,0,67,3,1035,282,4,0,0,4,0,291,8,13,0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,14,0,24,0,0,0,0,0,0,0,292,19,0,0,15,0,314,105,0,0,0,0,0,106,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,107,3,0,0,3,0,109,6957,135,3,11,148,3,7107,267,349,11,3,362,0,632,7,9,12,0,27,0,32,3,0,0,0,0,0,4,277,357,30,5,392,0,674,15,0,0,0,0,6,19,7249,493,33,15,538,11,7802
UCL102004,101,3,5804,157,266,17,3,285,0,448,0,37,24,0,63,0,66,0,0,0,0,0,0,0,164,300,48,3,349,0,508,9,0,0,0,0,3,9,5863,399,48,8,447,8,6322,2179,34,0,3,35,0,2213,52,108,16,0,125,0,183,0,9,12,0,22,0,21,0,0,0,0,0,0,0,55,122,29,0,149,0,205,3,0,0,0,0,3,3,2237,154,29,3,184,3,2423,1024,18,0,0,18,0,1040,22,59,7,0,71,0,93,0,7,6,0,19,0,18,3,0,0,0,0,0,3,28,68,13,0,85,0,116,0,0,0,0,0,0,0,1050,84,13,0,101,0,1158,44636,927,10,15,956,58,45646,1427,2843,143,14,2999,3,4427,30,297,187,3,485,0,522,11,30,3,0,32,0,44,1473,3165,338,14,3516,3,4988,59,0,0,0,0,48,114,46165,4096,347,32,4473,109,50751
UCL102005,156,6,4610,233,608,31,0,643,3,882,7,45,79,0,119,0,120,3,0,0,5,8,0,13,234,655,110,9,772,3,1013,5,0,0,0,0,3,12,4686,807,113,8,925,15,5632,1788,41,0,3,49,0,1831,73,373,18,0,389,0,468,0,29,43,0,70,0,71,3,0,0,0,0,0,3,80,399,59,0,463,0,539,4,0,0,0,0,4,10,1873,439,59,3,511,3,2385,798,20,0,0,20,0,827,37,199,13,0,207,0,245,0,7,31,0,38,0,38,0,0,0,0,0,0,0,41,208,40,0,250,0,286,0,0,0,0,0,0,3,835,231,40,0,274,6,1114,34203,1294,30,16,1341,47,35588,1573,5275,239,24,5537,6,7124,22,456,472,3,933,0,954,18,23,0,16,46,0,64,1616,5751,711,49,6511,6,8137,44,14,3,0,15,46,109,35863,7069,745,59,7868,103,43836
UCL111001,11,0,834,14,42,3,0,44,0,59,0,6,16,0,22,0,19,0,0,0,0,0,0,0,19,42,16,0,64,0,81,0,0,0,0,0,0,0,844,55,16,0,73,0,915,215,0,0,0,0,0,215,4,12,0,0,19,0,23,0,4,15,0,24,0,24,0,0,0,0,0,0,0,4,16,20,0,37,0,39,0,0,0,0,0,0,0,215,16,20,0,37,0,251,61,0,0,0,0,0,61,0,3,0,0,3,0,3,0,3,11,0,13,0,13,0,0,0,0,0,0,0,0,5,11,0,14,0,14,0,0,0,0,0,0,0,61,5,11,0,14,0,79,6158,77,0,0,77,8,6246,163,501,20,0,522,0,689,3,83,123,0,205,0,208,0,3,0,0,3,0,3,164,587,139,4,729,0,896,6,0,0,0,0,3,6,6329,658,144,4,809,15,7151
UCL111002,17,3,1584,17,61,3,0,63,0,85,0,3,0,0,0,0,7,0,0,0,0,0,0,0,24,67,3,0,66,0,91,3,0,0,0,0,0,3,1581,87,3,0,86,3,1675,479,4,0,0,4,0,482,6,27,3,0,28,0,35,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,30,3,0,27,0,38,0,0,0,0,0,0,0,485,33,3,0,32,0,521,200,0,0,0,0,0,197,3,6,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,12,0,15,0,0,0,0,0,0,0,203,6,0,0,12,0,212,12775,208,0,0,212,24,13009,234,581,29,0,611,0,845,5,38,17,3,57,0,60,5,0,0,0,0,0,8,245,613,49,3,669,0,909,14,0,0,3,4,5,28,13037,822,47,5,880,29,13944
UCL112001,9,0,286,6,24,3,0,30,0,37,0,10,0,0,11,0,11,0,0,0,0,0,0,0,6,28,5,0,36,0,46,0,0,0,0,0,0,0,281,39,5,0,45,0,325,53,0,0,0,0,0,53,0,11,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,14,0,0,0,0,0,0,0,54,12,0,0,10,0,67,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,16,2062,51,0,0,51,6,2116,67,294,21,0,315,0,382,0,68,12,0,81,0,81,0,0,0,0,0,0,0,67,365,35,0,396,0,465,0,0,0,0,0,15,15,2128,412,35,0,444,18,2595
UCL112002,10,0,624,13,27,8,0,33,0,46,0,3,3,0,7,0,7,0,0,0,0,0,0,0,13,32,6,0,44,0,52,0,0,0,0,0,0,0,631,36,6,0,50,0,676,134,4,0,0,4,0,137,3,18,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,19,0,21,0,0,0,0,0,0,0,136,17,0,0,19,0,162,47,0,0,0,0,0,47,4,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,4,0,0,0,0,0,0,0,52,3,0,0,3,0,54,4839,65,3,0,63,3,4903,123,229,7,3,243,10,378,0,23,17,0,38,0,38,4,0,0,0,0,0,4,125,255,24,3,279,10,414,0,0,0,0,0,11,12,4964,316,28,3,346,17,5332
