UCL_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
UCL101001,166,678,3423,16837,9557,8515,3120,1476,662,44431,10,37,61,587,326,239,239,140,71,1716,8,113,318,964,419,228,85,27,12,2174,992,4083,7743,37950,15818,12963,10363,5945,3047,98904,6949,11260,15462,43873,16457,14346,11327,7781,5344,132806,136979,255152,279494,685507,284607,235941,164386,95672,52767,2190497,71,414,2432,6025,1550,1078,473,139,40,12219,250908,434039,371078,604103,251832,198721,134568,71998,40685,2357933,308,1047,2414,14943,2499,1352,277,47,11,22895,7,35,290,2118,1314,1242,616,454,81,6157,41,170,718,4233,2678,2290,1141,433,186,11891,131,450,831,4145,1520,957,482,169,70,8745,32,137,319,3325,2282,1940,2161,697,150,11032,1536,5289,39757,86561,34449,28514,13851,8854,3397,222217,9,45,244,1584,1951,2445,2976,2622,578,12462,173,834,756,4218,2416,3414,3334,1964,834,17942,1216,7082,6912,37267,25766,19430,18098,9359,4149,129284,60,605,1952,12242,6682,5426,2625,1038,225,30863,88,466,928,5031,1184,623,531,246,140,9230,78,392,968,4330,2243,1626,3931,1817,975,16352
UCL102001,0,0,6,25,8,5,0,0,0,46,0,0,0,3,11,3,0,0,0,17,0,0,3,6,9,4,4,0,0,22,0,15,27,156,57,61,44,45,34,437,63,100,127,365,160,125,105,61,27,1130,1144,2209,2294,5495,2808,2005,1185,695,341,18177,0,0,0,4,0,0,0,0,0,8,2244,3957,3932,7699,4126,2714,1354,610,266,26892,8,13,12,124,3,3,0,0,0,166,0,0,0,4,5,3,0,10,0,29,0,4,0,9,4,0,0,0,0,19,0,8,3,23,24,12,12,3,3,83,0,0,0,13,14,9,0,0,0,29,4,10,15,85,36,17,11,6,0,181,0,0,0,9,18,30,41,39,7,147,10,7,0,22,0,3,4,0,0,41,4,46,40,163,238,159,128,76,26,884,0,8,13,63,24,9,6,0,0,117,0,3,3,13,4,8,3,3,0,39,0,0,11,16,23,34,68,35,17,191
UCL102002,0,12,14,103,30,19,7,0,0,181,0,12,3,46,27,37,56,30,13,227,0,9,19,47,27,14,8,9,0,132,15,79,79,641,387,358,383,233,89,2260,378,775,869,2053,1330,1340,1409,1225,976,10362,8850,18724,17538,36324,21008,20774,18173,11523,6235,159149,0,0,3,7,5,5,0,3,0,24,17189,35212,31859,56065,30058,28731,23236,13587,6576,242518,0,3,9,46,6,0,0,0,0,68,0,0,4,9,15,8,9,14,0,61,0,0,0,38,11,7,10,0,0,68,3,38,44,179,99,82,44,24,10,514,0,8,3,50,75,43,75,24,9,291,7,67,84,502,274,243,179,77,27,1451,3,0,4,17,40,57,61,59,6,247,0,5,4,40,26,72,110,54,21,334,62,554,543,2015,2487,2594,3042,2119,844,14263,0,9,15,124,81,79,36,27,4,371,0,10,12,76,51,47,44,23,5,270,0,19,24,128,125,156,368,163,117,1104
UCL102003,0,4,0,5,3,0,0,0,0,18,0,0,0,8,4,15,9,7,7,49,0,0,0,3,5,3,4,0,0,21,8,17,17,147,56,56,68,48,16,431,73,161,161,451,296,364,416,332,235,2482,1407,3078,2852,6273,3951,4595,4330,3103,1655,31239,0,0,0,0,0,0,0,0,0,0,2802,5592,5108,9120,5546,6299,5618,3541,1761,45393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,4,0,4,0,0,0,0,0,3,0,3,6,46,26,24,8,6,3,123,0,0,0,4,4,0,0,0,0,8,3,10,39,80,29,24,15,6,0,203,0,0,0,0,0,3,11,7,0,22,0,0,0,5,0,5,9,6,4,23,4,70,90,250,404,473,782,789,316,3182,0,5,3,15,10,8,7,11,3,63,3,6,5,22,3,10,11,8,7,75,0,3,9,22,20,30,108,64,29,288
UCL102004,9,20,39,152,42,32,6,0,0,296,0,3,11,26,32,32,35,11,16,168,0,6,35,54,9,18,0,0,0,129,45,148,204,767,278,226,260,147,117,2188,272,494,751,1745,948,1059,1029,823,568,7697,9199,18358,20500,41938,21345,20658,16542,10096,5730,164361,33,42,55,108,12,5,0,0,0,256,18268,34736,36891,67941,34278,32835,24363,13535,6548,269387,11,11,16,128,21,7,3,0,0,198,0,0,3,41,33,41,43,21,0,189,4,4,9,48,17,10,6,3,3,111,7,40,45,221,107,67,38,11,0,544,0,4,12,54,27,23,24,3,0,143,20,42,677,906,207,145,91,31,27,2152,0,4,5,29,52,52,61,70,11,290,0,9,5,34,13,22,41,15,4,142,52,365,318,1314,1291,1370,1436,885,392,7427,0,7,11,78,66,47,12,10,4,244,0,12,19,80,35,15,12,9,4,177,3,18,36,156,109,140,670,148,99,1383
UCL102005,0,23,102,177,87,107,42,14,7,559,0,5,3,26,79,62,61,46,20,299,0,7,10,31,15,9,3,0,0,70,65,216,267,883,600,618,499,439,222,3805,318,588,870,1731,1016,1081,1006,757,407,7774,7557,15826,17578,33326,17367,16320,12648,8397,4066,133083,0,4,9,10,9,0,6,3,0,34,14537,29328,30333,50688,23506,20077,13282,7380,3356,192483,3,9,30,63,10,5,0,0,0,121,0,3,17,102,73,71,43,38,14,377,0,3,0,27,11,6,3,0,0,54,5,33,40,180,73,51,23,10,8,419,0,0,15,120,180,98,195,72,17,695,22,70,1068,1462,199,166,71,46,22,3122,0,0,17,113,163,160,205,263,58,988,7,19,5,65,22,47,41,21,8,236,45,285,279,1166,2288,2267,2363,1555,564,10813,0,0,17,91,38,42,40,13,0,240,4,3,22,51,50,35,44,11,8,223,7,0,31,119,118,312,545,327,173,1628
UCL111001,0,0,0,16,0,0,3,0,0,20,0,0,0,0,3,3,3,0,0,17,0,3,3,10,0,0,0,0,0,14,0,26,32,165,69,48,64,44,15,455,106,145,213,449,212,267,212,227,110,1938,1498,2870,3265,6176,3085,3130,2406,1587,826,24845,0,0,6,4,0,0,0,0,0,9,2846,5192,5564,9488,4801,4757,3413,1930,921,38922,3,10,3,66,4,0,0,0,0,81,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,16,14,10,4,0,0,42,0,0,0,0,6,0,4,0,0,15,3,8,10,58,19,11,4,4,0,110,0,0,0,0,3,7,12,13,3,48,0,3,0,8,0,3,3,0,0,22,3,25,35,120,176,191,206,118,56,927,0,0,3,15,6,6,3,0,0,35,0,0,0,4,6,0,0,0,0,19,0,0,0,16,19,45,92,41,19,240
UCL111002,0,0,4,16,5,3,0,0,0,31,0,0,0,4,10,9,7,9,0,33,0,3,13,34,5,3,0,0,0,56,0,9,17,99,47,47,46,12,9,279,105,227,195,509,271,262,267,195,112,2140,2846,5358,4889,10824,5154,4539,3548,1949,880,39979,0,0,6,0,0,0,0,0,0,6,5579,10337,8973,18065,8203,7325,5293,2697,996,67475,0,0,0,32,0,3,0,0,0,40,0,0,0,0,0,3,0,3,0,9,0,0,0,3,0,0,0,0,0,5,3,8,8,35,21,7,8,4,0,86,0,4,0,7,4,7,0,0,3,25,3,0,12,72,44,37,11,11,3,198,0,0,0,0,8,7,6,3,0,22,0,3,3,11,4,4,10,0,3,30,8,56,52,227,268,279,331,162,55,1431,0,7,8,34,18,6,5,3,0,74,0,0,0,4,10,0,3,0,0,21,0,0,5,22,20,37,155,19,21,276
UCL112001,0,4,4,18,0,0,0,0,0,30,0,0,0,0,0,0,3,0,4,11,0,0,3,5,0,3,0,0,0,16,13,38,34,110,24,20,12,10,3,260,41,56,203,184,125,90,76,76,38,892,583,1159,2261,2483,1186,1144,895,645,337,10698,0,0,0,0,0,0,0,0,0,0,1046,2023,3479,3313,1700,1681,1264,851,385,15752,0,6,3,34,5,4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,5,5,3,0,45,0,0,0,3,5,0,0,0,0,6,3,0,138,87,22,0,4,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,25,43,52,67,102,54,14,368,0,0,4,9,8,6,0,3,0,30,0,0,0,16,3,4,0,0,0,20,0,4,5,3,12,16,11,7,8,79
UCL112002,0,0,0,13,6,0,0,0,0,24,0,0,0,0,6,4,0,3,0,12,0,0,3,0,7,6,0,0,0,14,0,6,15,30,14,12,15,7,8,113,43,107,242,244,133,154,131,141,123,1307,1051,2201,2562,4121,2076,1933,1471,980,548,16948,0,3,0,9,0,0,0,0,0,9,2073,4198,4514,7131,3243,3087,2159,1230,556,28190,0,3,3,22,0,3,0,0,0,37,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,10,0,4,4,15,6,4,7,0,0,43,0,0,0,3,3,0,3,0,0,5,0,5,17,51,19,14,9,0,0,116,0,0,0,3,4,3,8,0,0,20,0,0,3,11,0,0,3,0,0,16,0,17,45,88,98,127,130,85,26,620,0,0,3,6,7,12,3,0,0,32,0,0,0,5,4,3,0,0,0,19,0,0,0,8,8,10,30,15,3,72
UCL112003,0,0,25,12,4,0,0,0,0,44,0,0,0,0,11,8,10,3,3,30,0,0,0,0,3,3,0,0,0,4,3,3,21,85,52,52,73,42,11,341,32,67,73,193,126,186,157,86,37,958,765,1658,1464,3208,2236,2577,2047,963,417,15338,0,0,0,0,0,0,0,0,0,3,1446,3158,2534,4720,3005,3252,2306,1005,387,21819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,10,7,3,3,0,0,24,0,4,3,29,21,12,11,3,0,84,0,3,0,6,15,7,10,5,0,41,0,3,18,38,25,23,13,7,0,124,0,0,0,0,4,5,10,8,3,35,0,0,0,0,0,8,12,7,3,32,3,27,29,160,337,430,472,220,79,1758,0,0,3,6,8,14,6,0,0,39,3,0,4,17,15,14,10,3,0,61,0,3,0,13,45,40,81,56,15,254
