UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL122157,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,16,3,12,0,3,3,0,48
UCL122158,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,52,32,17,23,8,17,4,5,181
UCL122159,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,9,7,13,3,3,4,3,0,46
UCL122160,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,11,35,37,11,12,9,7,15,3,149
UCL122161,0,0,5,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,12,16,24,16,9,8,10,8,0,98
UCL122162,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,16,10,11,5,3,4,11,0,58
UCL122163,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,9,8,5,4,0,7,0,41
UCL122164,0,0,5,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,21,11,10,7,8,0,8,4,79
UCL122165,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,23,18,14,7,4,6,0,121
UCL122166,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,12,52,26,24,15,3,6,10,0,156
UCL122167,3,0,3,3,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,26,42,36,9,33,9,4,10,4,174
UCL122168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,10,7,3,3,3,8,0,45
UCL131777,1136,186,2425,1084,966,675,463,841,95,7873,55,31,12,21,22,11,15,29,9,206,443,325,219,173,232,79,188,176,86,1913,1441,500,967,551,646,519,648,944,623,6834,36595,36956,27621,15174,19003,7380,8368,11344,2725,165153
UCL179997,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
UCL199994,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
UCL201001,7603,2178,23530,10319,7639,7032,3315,5646,648,67923,171,164,207,221,198,191,190,414,77,1822,3855,5989,2137,2740,3785,1910,1438,1407,748,24005,2929,3466,4693,3147,3256,2840,2665,3521,5087,31613,200727,468146,184317,140724,171701,89068,48711,66631,21208,1391235
UCL203001,267,70,1037,437,260,271,113,278,37,2773,7,13,7,11,6,7,8,9,0,62,81,151,65,84,94,46,51,49,17,646,93,104,207,138,110,114,146,227,172,1311,5276,14077,7823,6412,5040,2962,1840,2930,654,46999
UCL211001,62,21,237,118,72,85,48,82,3,723,0,3,3,0,3,0,3,5,0,17,22,17,19,27,15,8,16,10,3,132,24,17,48,39,28,32,40,51,51,331,1122,2401,1921,1557,1223,678,571,689,159,10318
UCL211002,136,35,600,260,178,195,68,170,14,1649,0,4,3,6,3,8,3,6,0,31,56,95,41,56,61,16,22,27,11,387,52,53,110,76,51,83,63,100,88,669,3032,8274,4495,3578,2917,1696,913,1593,364,26854
UCL211003,135,47,621,249,167,182,58,190,12,1670,0,6,3,0,0,4,0,6,0,26,39,80,37,38,38,31,25,29,8,327,79,62,111,96,77,71,57,120,79,748,2890,7810,4596,3630,2802,1550,993,1826,315,26408
UCL211004,79,18,267,129,112,96,70,102,16,885,3,0,3,0,3,3,8,3,3,26,19,18,21,33,30,11,33,16,10,191,25,18,77,62,48,49,73,66,76,503,1158,2062,2616,2010,1719,828,1170,988,250,12800
UCL212001,71,17,221,76,61,69,23,75,9,617,3,0,3,0,3,0,6,3,0,20,13,19,11,17,5,5,7,11,3,94,30,22,43,36,24,55,39,53,45,342,941,2226,1300,1209,805,566,331,623,134,8134
UCL212002,89,20,287,105,80,101,42,108,3,832,0,3,4,0,0,0,0,11,0,15,20,32,18,10,17,11,7,17,0,140,33,32,54,38,30,52,38,91,69,438,1339,3188,1916,1579,1117,656,459,955,158,11363
UCL212003,59,17,214,104,95,93,44,62,3,679,0,0,0,0,0,0,3,6,0,13,13,28,17,29,40,13,18,7,5,169,26,24,40,22,35,24,31,23,23,250,1272,2492,2176,1481,1423,684,567,560,119,10770
UCL212004,41,11,180,76,69,65,17,47,4,517,0,0,0,0,0,0,0,0,0,3,13,10,16,6,14,8,0,4,4,83,19,13,38,28,17,14,13,36,23,206,781,1919,1552,902,890,363,340,460,124,7336
UCL212005,68,18,266,96,59,87,23,76,4,691,0,4,4,0,0,0,0,5,0,21,21,16,13,18,9,4,12,16,0,117,23,19,43,33,25,16,23,52,26,266,945,2530,1548,1183,852,566,323,639,91,8679
UCL213001,26,8,75,34,31,25,26,18,0,250,0,0,0,0,0,0,0,0,0,3,11,15,7,11,8,3,14,3,3,73,12,9,22,16,17,11,11,21,12,138,571,1150,970,644,585,264,319,282,75,4852
UCL213002,21,3,96,42,30,35,3,33,0,258,0,0,0,0,0,0,0,4,0,10,7,14,0,9,4,0,4,9,0,42,16,3,20,11,11,30,9,29,22,142,324,696,582,468,305,214,125,286,48,3047
UCL213003,22,4,79,33,18,18,14,61,0,252,0,0,0,0,0,0,0,4,0,6,3,3,3,6,6,4,3,6,5,31,20,7,19,17,7,9,10,35,15,142,324,551,534,510,267,180,168,394,45,2967
UCL213004,18,8,76,23,18,20,7,27,0,200,0,0,0,0,0,0,0,0,0,0,3,3,7,8,3,0,3,4,3,34,11,6,25,7,10,9,8,17,13,112,342,683,655,429,289,183,200,279,37,3101
UCL213005,8,8,98,49,19,22,12,21,3,247,0,0,0,0,0,0,0,0,0,3,3,14,10,9,5,0,7,0,0,40,8,3,19,10,11,9,7,8,14,98,336,788,748,552,385,210,148,237,57,3460
UCL213006,27,7,111,42,26,30,15,44,10,315,0,0,0,0,0,0,0,0,0,3,3,3,0,4,6,3,3,3,0,30,8,9,14,20,8,18,10,29,17,134,400,831,669,528,258,232,141,274,49,3383
UCL213007,35,14,127,56,39,43,11,24,0,349,0,0,0,0,0,0,0,4,0,3,3,3,3,10,3,7,3,5,3,42,10,5,30,14,10,17,10,17,24,132,576,1209,768,611,482,287,179,228,56,4389
UCL213008,19,11,81,41,32,38,21,25,5,270,0,0,0,0,0,0,0,0,0,4,5,16,4,19,9,0,15,4,0,75,7,5,24,11,9,8,14,10,17,110,429,986,813,644,470,240,244,280,77,4172
UCL213009,21,4,101,52,35,24,13,24,0,286,0,0,0,0,0,0,0,0,0,3,6,3,8,6,4,3,4,8,3,45,3,7,21,15,4,17,8,12,8,106,381,804,750,593,448,235,168,253,43,3674
UCL213010,9,9,78,36,18,23,8,40,4,222,0,0,0,0,0,0,0,5,0,6,7,0,6,5,4,0,0,4,0,30,8,4,23,20,13,12,14,22,17,144,224,574,831,587,359,184,166,293,69,3296
UCL213011,15,0,62,19,16,23,9,29,0,174,0,0,0,0,0,0,0,3,0,5,4,5,3,3,5,0,4,6,0,40,8,6,23,17,13,10,22,33,14,143,201,461,542,402,282,169,193,234,51,2538
UCL213012,26,14,107,58,28,38,3,12,4,292,0,0,0,0,0,0,0,3,0,4,15,35,13,14,19,5,0,3,0,101,20,17,27,17,8,3,0,8,17,113,829,2174,1079,745,576,329,111,232,81,6157
UCL213013,16,8,60,25,21,25,12,28,0,185,0,0,0,0,0,0,0,5,0,7,0,3,5,0,4,0,3,0,0,23,6,8,14,9,5,3,24,21,6,114,229,554,507,349,220,95,216,218,34,2418
UCL213014,32,3,113,40,20,25,12,24,3,273,0,0,0,0,0,0,0,3,0,3,13,10,10,7,3,3,0,3,4,51,10,6,11,10,9,10,14,14,14,101,442,1073,719,506,332,195,131,253,53,3695
UCL213015,19,5,90,26,27,19,3,36,9,239,0,0,0,0,0,0,0,0,0,3,9,3,4,3,0,0,0,0,0,19,12,12,11,13,12,10,6,28,15,112,371,697,479,333,243,162,103,213,46,2651
UCL213016,26,17,102,41,37,32,5,12,4,281,0,3,0,0,0,0,0,0,0,4,15,24,11,11,11,12,3,0,3,90,12,16,11,9,12,8,3,9,21,111,929,2142,930,660,596,359,98,242,92,6038
UCL213017,37,5,135,58,28,61,10,35,3,382,0,3,0,0,0,0,0,4,0,9,4,14,4,11,7,0,5,9,0,50,11,4,24,23,5,13,31,23,12,146,545,1342,851,759,522,354,224,337,54,4990
UCL213018,23,0,78,29,19,28,10,25,3,218,0,0,0,0,0,0,0,0,0,3,4,5,3,11,10,0,4,7,5,55,9,6,17,17,14,12,8,17,14,97,495,1150,740,540,432,203,141,305,58,4059
UCL214001,10,3,49,28,12,10,3,13,3,137,0,0,0,0,0,0,0,3,0,6,3,3,3,6,3,0,4,7,0,26,5,4,7,11,3,11,10,21,3,87,165,347,260,390,124,85,74,193,32,1657
UCL214002,18,5,58,22,15,19,7,18,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,3,3,19,9,6,24,11,9,8,19,26,7,133,260,499,442,332,208,129,113,154,30,2174
UCL214003,14,5,46,13,5,9,9,22,0,124,0,0,0,0,0,0,0,0,0,0,6,30,0,6,8,4,0,5,4,59,13,11,8,11,10,11,4,18,8,90,330,928,365,344,214,122,73,188,31,2591
UCL214004,13,0,36,13,15,11,3,23,0,118,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,11,11,4,3,4,3,6,5,16,5,67,120,210,210,137,107,63,57,170,18,1087
UCL214005,4,3,10,4,3,0,0,10,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,20,32,39,56,30,23,11,13,47,3,259
UCL214006,13,4,56,26,16,20,9,8,0,152,0,0,0,0,0,0,0,0,0,0,11,16,0,17,10,8,3,3,0,68,11,8,10,3,13,4,3,6,0,57,503,991,581,381,399,176,92,121,26,3276
UCL214007,11,8,81,39,21,21,8,20,0,203,0,0,0,0,0,0,0,3,0,7,0,9,9,3,6,0,0,3,0,32,7,7,11,14,3,7,8,12,14,76,318,613,467,351,240,153,100,164,27,2427
UCL214008,11,6,83,34,7,21,3,18,0,189,0,0,0,0,0,0,3,0,0,4,8,5,3,6,3,0,4,7,0,35,6,10,16,8,9,5,16,13,13,107,308,512,543,327,235,126,107,216,52,2421
UCL214009,7,3,39,17,11,6,0,7,0,88,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,15,9,3,10,0,0,9,4,3,9,43,209,417,220,164,112,65,33,68,31,1320
UCL214010,8,3,39,19,11,9,7,11,0,117,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,7,0,22,7,10,11,6,14,6,7,9,12,84,207,388,409,268,205,104,117,133,31,1864
UCL214011,8,0,38,15,5,10,8,23,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,3,13,3,0,12,12,4,3,7,12,9,55,137,336,275,210,129,87,62,146,22,1399
UCL214012,27,5,48,16,7,17,0,16,3,139,0,0,0,0,0,0,0,3,0,3,3,4,4,0,0,0,0,0,0,14,4,0,9,7,0,5,5,5,3,37,166,220,222,192,110,97,51,116,23,1186
UCL214013,6,0,33,3,8,11,6,9,0,83,0,0,0,0,0,0,0,0,0,3,3,0,8,0,4,0,0,0,0,14,4,3,7,7,3,3,0,13,3,50,143,297,259,158,134,74,67,89,16,1241
UCL214014,8,0,56,12,9,15,4,17,3,128,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,3,0,0,25,14,4,9,12,7,7,5,17,8,80,150,261,306,241,122,93,63,157,27,1412
UCL214015,5,3,26,12,3,8,6,7,0,73,0,0,0,0,0,0,0,0,0,3,3,7,7,3,5,0,4,0,0,27,5,5,10,9,4,13,7,3,6,63,169,362,269,189,164,89,62,91,24,1417
UCL214016,10,0,45,9,8,3,4,7,0,92,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,3,3,0,24,4,7,13,9,7,6,12,11,0,76,122,220,274,201,135,69,86,144,12,1260
UCL214017,14,0,34,18,3,10,5,11,0,106,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,8,5,10,5,10,3,5,0,21,9,68,142,235,205,260,86,83,61,149,21,1236
UCL214018,13,3,41,15,25,24,4,10,5,142,0,3,0,0,0,0,0,0,0,9,3,7,0,9,8,0,4,9,0,41,9,10,25,11,16,5,15,10,11,115,263,425,579,311,330,136,161,138,43,2379
UCL214019,9,3,53,30,8,23,8,14,0,153,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,4,3,7,0,24,14,5,10,10,3,12,5,18,15,86,149,266,338,272,151,141,71,153,32,1584
UCL214020,22,4,53,32,13,15,6,30,4,180,0,0,0,0,0,0,0,0,0,5,4,5,6,3,0,0,4,3,0,23,3,4,22,17,4,13,10,17,10,93,212,361,379,258,154,97,87,165,30,1752
UCL215001,4,0,7,3,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,3,3,0,0,4,0,0,0,13,70,131,70,25,22,26,3,18,5,372
UCL215002,8,0,17,3,3,3,0,4,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,0,8,6,0,0,0,3,3,21,81,135,114,80,74,25,26,42,16,594
UCL215003,3,0,22,3,3,0,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,16,3,0,8,0,3,4,0,3,0,22,124,281,149,94,91,46,21,37,20,867
UCL215004,8,0,22,0,3,3,3,10,0,54,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,5,0,14,72,75,78,41,29,34,15,58,3,404
UCL215005,3,0,6,4,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,10,0,3,3,3,3,0,4,6,0,21,67,156,111,84,73,31,28,29,6,587
UCL215006,5,4,14,3,7,3,0,9,0,41,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,12,0,3,0,3,0,0,0,3,0,16,121,245,139,83,88,36,25,45,10,783
UCL215007,9,0,29,17,12,21,4,6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,0,15,3,8,16,8,7,6,0,5,7,59,155,318,387,225,187,100,78,112,28,1593
UCL215008,3,0,10,7,3,3,3,3,0,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,4,0,8,0,3,0,3,17,81,160,133,75,94,34,26,37,10,654
UCL215009,0,0,5,7,0,4,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,9,14,28,33,25,19,17,11,18,6,163
UCL215010,4,0,16,3,10,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,11,7,0,0,0,3,0,0,0,0,15,151,197,176,64,77,43,17,25,16,768
UCL215011,0,0,7,3,3,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,24,30,30,38,20,12,17,16,4,185
UCL215012,7,0,34,8,0,3,3,6,0,65,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,14,4,9,8,5,0,0,3,9,0,32,137,323,140,140,73,57,27,58,8,964
UCL215013,3,0,4,7,3,7,8,0,3,36,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,3,4,5,4,0,0,6,0,22,64,105,124,83,84,30,27,27,12,556
UCL215014,0,0,7,6,4,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,4,3,0,4,3,22,32,55,103,42,46,14,24,27,8,358
UCL215015,9,0,13,3,8,3,3,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,0,4,0,0,0,3,0,12,118,147,105,66,64,46,23,50,10,632
UCL215016,6,0,24,11,7,9,7,11,0,71,0,0,0,0,0,0,0,3,0,3,5,3,0,0,8,0,7,0,0,25,3,3,13,3,8,4,12,4,3,56,100,148,231,142,108,64,71,92,18,969
UCL215017,3,0,10,6,3,11,4,3,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,0,8,3,0,3,0,0,0,21,65,103,143,69,68,28,41,38,3,559
UCL215018,6,8,27,7,5,0,0,10,0,61,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,7,4,7,8,3,0,6,7,0,38,78,181,135,97,60,32,30,71,5,694
UCL215019,7,0,18,10,3,3,0,3,0,36,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,0,0,6,4,4,4,0,0,3,21,62,149,137,61,44,38,7,28,9,528
UCL215020,6,0,8,0,3,0,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,3,15,30,49,34,40,20,11,15,37,3,241
UCL215021,0,0,6,0,3,7,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,8,0,0,3,0,0,0,9,32,55,63,48,37,31,28,29,5,323
UCL215022,3,3,13,7,6,11,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,13,0,0,9,4,5,3,0,8,10,41,70,217,226,161,102,51,60,85,25,995
UCL215023,9,0,17,4,0,0,0,12,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,7,0,14,36,59,66,50,18,21,32,63,5,353
UCL215024,4,0,9,4,4,7,4,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,3,0,15,46,72,73,48,33,18,26,28,3,343
UCL215025,0,0,15,4,0,3,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,8,0,16,32,61,64,36,12,6,16,39,0,272
UCL215026,22,0,39,12,7,16,8,8,0,110,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,0,11,9,0,12,3,4,3,3,14,5,53,174,201,235,156,94,94,41,90,18,1097
UCL215027,6,0,19,4,6,5,3,4,0,50,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,10,0,0,7,4,0,0,0,8,3,22,64,126,158,94,76,37,27,48,11,640
UCL215028,13,3,40,19,0,5,3,15,0,99,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,3,0,0,0,17,3,8,7,3,0,5,5,13,4,47,162,258,163,164,85,54,24,88,10,1012
UCL215029,4,0,12,6,0,5,0,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,4,3,10,4,3,3,3,40,71,144,136,94,121,44,41,44,14,709
UCL215030,3,0,8,7,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,6,27,71,46,52,24,11,30,18,3,273
UCL215031,0,0,7,3,0,5,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,3,3,0,3,5,0,17,35,67,51,33,23,19,22,29,0,287
UCL215032,14,0,12,5,3,6,0,5,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,7,0,3,3,0,0,0,0,5,3,23,88,154,122,96,57,39,34,73,7,672
UCL215033,7,4,6,9,9,0,7,3,0,37,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,4,0,0,18,3,3,7,4,7,6,3,7,0,36,134,270,159,119,163,53,46,45,4,1001
UCL215034,0,0,11,0,0,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,4,0,0,0,9,34,50,41,30,18,13,11,21,0,227
UCL215035,0,0,5,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,36,71,101,48,34,18,31,31,8,373
UCL215036,3,0,6,0,3,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,3,0,7,0,0,0,3,3,0,24,41,92,94,36,39,19,20,23,5,365
UCL215037,0,0,10,3,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,9,3,20,42,49,68,41,21,24,21,32,9,308
UCL215038,3,0,9,0,0,3,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,3,3,6,0,21,24,46,73,48,31,19,32,28,6,300
UCL215039,0,0,3,3,0,3,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,3,9,3,3,30,27,31,55,41,18,19,31,30,8,268
UCL215040,9,0,25,6,8,10,0,15,3,75,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,16,4,9,4,5,7,5,16,5,59,113,185,158,113,89,48,37,90,7,848
UCL215041,0,0,12,4,5,4,3,4,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,8,3,7,5,3,4,7,11,3,44,37,83,151,90,63,47,43,52,10,580
UCL215042,9,0,27,5,3,3,0,13,0,56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,6,0,0,4,0,6,0,19,53,108,97,76,40,28,29,51,5,472
UCL215043,6,3,34,15,3,14,3,6,0,74,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,0,0,11,3,0,8,3,0,8,3,11,7,56,97,153,195,138,65,65,60,69,20,858
UCL215044,12,3,30,14,4,14,3,20,0,94,0,0,0,0,0,0,0,3,0,4,7,15,0,0,3,0,0,5,0,31,0,3,13,13,4,4,3,16,9,62,178,383,209,179,131,79,35,116,21,1340
UCL215045,4,0,7,3,6,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,14,3,0,3,0,3,3,0,3,0,15,50,93,117,42,52,26,23,31,5,451
UCL215046,3,0,7,0,3,3,3,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,4,5,0,24,28,40,79,36,24,19,36,29,7,295
UCL215047,3,0,10,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,6,0,3,0,25,31,50,86,56,30,33,20,42,4,362
UCL215048,6,0,17,7,3,3,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,9,77,72,63,32,16,26,3,28,7,315
UCL215049,9,0,9,0,3,3,0,3,0,34,0,0,0,0,0,0,0,0,0,0,3,4,0,4,6,3,0,0,0,19,9,11,5,8,0,3,0,3,3,49,189,387,141,95,84,54,14,34,21,1009
UCL215050,11,3,39,11,8,9,3,3,0,81,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,3,0,9,3,6,0,3,10,3,37,108,231,260,160,107,34,75,89,16,1082
UCL215051,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,13,64,89,50,43,35,23,6,20,6,340
UCL215052,16,7,34,10,5,23,0,12,0,110,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,7,0,9,3,3,8,0,10,10,41,126,215,221,135,97,73,39,101,17,1031
UCL215053,3,0,3,4,3,9,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,3,0,4,0,24,34,56,71,84,46,32,31,40,7,397
UCL215054,0,0,15,0,0,3,0,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,8,3,0,24,18,44,94,67,29,13,28,36,3,341
UCL215055,4,0,10,3,3,3,0,0,0,22,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,3,3,3,3,0,0,3,0,0,19,61,120,110,52,48,20,25,36,7,481
UCL215056,3,0,5,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,11,33,35,55,42,27,17,9,24,11,239
UCL215057,9,0,14,3,0,5,3,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,4,5,0,0,0,0,0,0,0,14,73,119,91,75,43,25,24,41,7,493
UCL215058,5,0,34,12,3,3,5,11,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,8,0,3,5,3,8,3,3,6,49,55,116,131,100,63,34,49,56,16,621
