UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL101001,293029,50571,63888,1364,697,409544,315972,68585,88784,1006,957,475296,88295,47533,204593,3054,1687,345163,19226,18526,25824,39,125,63744,29121,11197,33830,1041,739,75926,1720,2542,4961,37,109,9373,4461,1992,3479,423,222,10583,2769,923,2256,90,87,6126,145595,82717,274941,4690,2975,510915,3815,2663,5104,57,165,11795,17884,5865,13269,467,1289,38765,776295,210402,445979,7578,6074,1446323
UCL102001,2709,408,224,5,13,3357,3808,801,393,7,11,5014,675,952,1333,8,3,2971,418,147,53,0,0,613,340,237,230,4,3,814,26,55,10,0,0,93,284,40,40,0,0,366,27,9,6,0,0,46,1771,1436,1675,14,10,4908,39,28,3,0,0,73,189,100,58,6,7,348,8513,2775,2355,24,32,13701
UCL102002,31782,5072,2119,307,92,39372,35230,2042,1106,104,50,38536,12625,3541,3520,338,131,20159,1292,1416,855,10,11,3584,4085,710,569,84,44,5497,161,291,196,0,11,666,521,110,66,161,28,884,326,86,61,13,3,497,19022,6154,5268,605,230,31282,397,990,299,3,12,1703,2226,703,406,59,120,3514,88662,14959,9204,1083,504,114410
UCL102003,5838,2172,1090,629,39,9766,4822,1028,413,22,11,6293,1302,1170,1255,9,11,3745,163,328,238,0,0,728,716,475,344,20,16,1570,33,72,23,0,0,124,94,50,43,114,12,312,58,35,22,3,3,123,2360,2128,1930,144,46,6610,74,149,48,8,0,280,320,254,175,50,10,813,13419,5726,3656,855,109,23767
UCL102004,35463,4112,1404,269,55,41316,37665,2318,1075,43,53,41154,11635,4433,3934,150,115,20262,2423,2126,1993,10,19,6574,4722,1112,913,49,49,6839,201,306,211,5,9,732,424,138,91,101,10,768,305,76,62,3,3,455,19709,8192,7203,318,206,35632,484,325,178,6,11,1004,1995,482,409,45,62,2990,95313,15434,10271,684,395,122093
UCL102005,27179,2891,2105,431,138,32749,25834,2287,1714,57,74,29970,6345,3298,5613,113,74,15454,3207,1985,1675,9,7,6878,2602,817,1007,58,38,4522,120,181,146,10,7,465,214,88,107,85,9,502,203,67,99,10,6,388,12689,6444,8649,281,150,28205,255,304,174,14,63,813,1572,435,472,59,141,2675,67527,12358,13114,845,564,94407
UCL111001,5024,458,22,34,10,5551,5437,323,20,7,9,5799,2340,1882,263,17,10,4512,499,174,19,0,10,691,685,246,18,7,7,968,57,65,0,0,3,126,64,20,4,12,0,108,51,11,3,0,0,65,3690,2400,304,36,41,6477,153,11,0,3,6,171,356,125,27,3,4,511,14662,3325,379,82,65,18506
UCL111002,7501,455,35,25,137,8159,10121,275,30,20,24,10463,3844,1111,364,19,16,5359,942,330,115,3,3,1396,954,148,35,4,5,1147,36,38,26,0,6,105,258,24,11,23,10,328,65,11,4,0,3,84,6100,1665,555,60,46,8417,87,108,0,0,58,251,462,69,21,8,109,673,24276,2563,645,102,376,27965
UCL112001,2004,94,18,6,14,2131,1659,48,16,0,8,1725,1107,537,247,10,21,1918,255,94,111,0,0,455,314,53,43,0,10,422,46,11,35,0,0,99,47,6,3,4,4,62,31,9,0,0,0,37,1800,706,442,15,33,2998,42,3,9,0,6,56,133,30,24,0,8,195,5638,888,497,22,56,7104
UCL112002,3182,276,54,9,4,3537,3639,164,38,7,0,3850,1634,674,341,9,6,2666,353,121,57,0,0,531,501,122,46,0,0,673,36,14,0,0,54,105,32,12,9,0,4,64,35,11,6,3,0,61,2592,950,464,20,74,4100,39,12,3,0,7,67,197,46,20,0,47,310,9652,1452,581,38,140,11861
UCL112003,4210,164,37,5,14,4432,4095,38,30,3,13,4179,1217,120,217,5,8,1565,89,86,79,0,0,254,487,41,36,0,7,577,31,23,40,0,0,94,26,3,6,3,3,41,43,9,3,0,0,59,1895,286,377,18,20,2596,57,25,4,0,0,90,227,17,24,0,11,286,10485,533,483,28,60,11578
UCL112004,3435,327,32,31,30,3858,2236,63,11,8,7,2330,773,189,99,3,4,1071,132,31,17,0,0,191,245,36,27,4,5,312,36,15,4,0,0,55,22,3,0,7,0,36,32,0,0,0,3,39,1237,280,154,13,12,1694,87,28,0,0,3,112,179,21,12,0,3,231,7179,726,210,51,52,8225
UCL112005,2319,134,3,0,0,2455,2185,38,4,4,3,2230,1244,383,73,11,12,1722,216,144,39,0,0,401,332,42,8,0,3,379,4,32,0,0,0,41,36,15,0,0,0,50,25,7,0,0,0,34,1858,618,122,12,18,2620,28,29,0,0,0,60,175,72,6,3,3,260,6558,887,135,22,27,7631
UCL112006,4841,726,468,171,43,6255,4227,416,265,11,33,4937,1613,914,1211,14,44,3791,485,300,253,0,4,1037,642,219,204,14,24,1107,56,80,37,0,3,179,59,31,27,75,15,204,44,14,9,3,6,76,2907,1548,1738,106,92,6393,121,78,31,0,3,234,248,128,116,23,33,540,12339,2889,2614,313,210,18365
UCL112007,3051,142,166,21,8,3390,3874,92,51,20,7,4043,1689,487,522,18,12,2723,399,93,185,3,3,676,640,69,50,6,8,768,32,26,20,0,0,79,56,10,5,14,6,86,34,5,9,0,3,47,2845,688,789,36,28,4395,43,17,109,0,5,175,262,24,62,4,7,355,10074,962,1172,88,55,12359
UCL112008,2534,184,19,23,5,2767,2425,88,19,6,0,2536,1023,326,213,15,7,1575,407,54,50,0,0,513,376,64,31,5,0,470,41,48,10,0,0,92,47,6,5,28,9,89,27,9,3,0,0,44,1908,504,309,49,16,2781,34,33,3,0,3,80,194,40,14,12,3,256,7095,852,353,87,37,8421
UCL112009,2945,285,60,86,13,3383,2892,161,49,4,3,3115,1063,562,361,4,9,2002,230,155,67,0,0,455,611,144,82,4,8,857,40,100,29,0,3,166,42,18,9,59,3,133,24,17,4,0,0,50,2018,987,558,69,28,3666,26,29,5,3,0,69,222,61,44,11,6,342,8097,1525,724,171,49,10572
UCL112010,217,0,4,0,3,226,331,0,6,0,0,334,54,4,30,0,0,85,12,0,0,0,0,11,42,3,0,0,0,51,3,0,0,0,0,3,7,0,4,0,0,8,0,0,3,0,0,4,118,4,40,4,0,168,0,0,0,0,0,3,19,0,0,3,0,21,689,12,48,7,3,755
UCL112011,3166,223,28,100,36,3552,3096,88,34,7,7,3233,1320,495,158,3,7,1979,675,263,54,0,4,993,482,64,29,3,8,591,93,64,13,0,8,173,228,9,3,36,11,291,39,13,3,0,0,60,2831,901,269,42,33,4081,49,24,5,0,12,87,254,52,15,15,9,345,9398,1287,350,163,103,11298
UCL112012,3704,230,60,13,8,4017,4224,94,31,3,13,4370,2154,651,266,4,13,3086,489,212,104,0,0,804,545,82,28,0,3,658,27,37,13,0,11,96,49,3,6,3,5,71,32,15,3,0,3,54,3297,1004,415,7,39,4764,31,19,7,3,7,74,327,59,28,9,56,471,11591,1402,545,33,121,13690
UCL112013,5164,1019,679,174,26,7063,3764,446,259,9,11,4491,1637,814,1039,9,12,3509,214,267,267,0,3,752,469,192,220,10,14,903,41,64,32,0,0,136,61,33,39,34,3,167,36,12,36,0,3,88,2458,1382,1628,50,29,5555,98,142,166,4,0,404,240,139,148,16,14,555,11728,3125,2881,259,82,18070
UCL112014,3473,224,23,62,7,3783,3246,86,9,34,15,3397,1935,904,194,74,20,3127,372,182,78,100,5,740,647,116,17,9,7,802,41,37,6,3,0,82,81,21,4,6,6,116,61,16,0,3,0,85,3132,1281,303,196,41,4952,63,18,3,0,0,90,309,108,19,14,8,452,10220,1715,357,308,78,12685
UCL112015,4806,153,232,30,3,5228,5475,72,123,31,9,5717,2340,385,1216,50,8,3998,785,36,191,0,0,1007,833,62,118,11,3,1036,38,19,60,0,0,120,213,14,18,15,3,257,65,4,22,3,0,88,4273,519,1619,77,18,6510,80,16,45,0,3,143,384,37,89,9,0,524,15023,801,2115,151,35,18116
UCL113001,1800,671,92,242,7,2810,899,343,65,3,6,1314,460,651,245,10,6,1381,162,302,48,0,0,511,206,173,59,13,4,458,16,50,9,0,0,70,25,15,3,88,0,126,23,20,0,0,0,38,885,1217,366,110,10,2587,58,98,3,0,0,154,116,126,18,22,4,283,3747,2448,546,389,29,7156
UCL113002,1517,226,149,40,3,1934,836,44,30,0,10,919,430,146,227,0,3,810,105,50,71,0,0,232,230,35,69,3,3,342,30,12,12,0,0,54,17,7,10,5,3,43,14,3,9,0,0,26,826,259,396,17,16,1505,15,30,7,3,0,52,103,15,28,10,3,162,3299,571,609,68,24,4573
UCL113003,2969,31,8,10,7,3020,2092,14,0,3,7,2115,560,48,41,0,0,648,64,21,24,0,0,111,554,29,26,0,3,615,17,4,21,0,0,44,163,9,20,3,3,193,52,0,7,0,0,62,1414,112,144,5,6,1682,30,3,7,0,0,40,256,8,20,3,8,293,6760,164,183,18,23,7142
UCL113004,750,50,32,21,3,856,640,8,14,0,3,662,233,24,82,4,3,349,7,0,0,0,0,8,71,0,7,6,0,95,3,4,8,0,0,16,17,5,0,6,0,25,8,0,0,3,0,6,336,35,104,23,3,498,3,23,8,3,0,45,45,6,10,4,0,63,1778,126,169,53,6,2125
UCL113005,2805,881,291,84,24,4089,1355,149,104,3,13,1619,602,280,609,26,16,1525,33,123,89,3,0,244,236,104,96,4,3,438,44,47,31,0,0,125,17,14,13,17,7,67,27,5,3,4,0,43,961,567,834,54,28,2438,44,45,6,0,7,106,171,72,64,17,5,325,5335,1710,1304,154,73,8577
UCL113006,1957,162,92,41,7,2259,1626,41,20,3,8,1701,711,151,238,6,0,1110,199,53,61,0,3,317,401,67,86,3,6,564,34,55,6,0,0,91,34,17,12,30,0,88,33,11,4,3,0,53,1410,360,400,41,10,2223,39,6,3,0,0,45,160,16,26,3,6,220,5189,584,543,88,28,6436
UCL113007,1882,89,62,26,7,2068,1643,39,43,0,9,1730,738,151,472,13,11,1384,228,22,46,0,0,298,279,25,56,3,3,363,21,3,16,0,3,44,49,14,31,21,3,123,23,6,8,0,0,37,1336,222,632,35,20,2244,27,19,0,0,0,47,164,19,64,8,0,255,5052,389,805,76,32,6348
UCL113008,1192,27,12,11,9,1250,894,11,3,0,6,913,441,72,75,15,3,605,223,22,42,0,0,299,215,16,8,3,7,246,52,12,11,0,0,79,24,9,3,15,0,51,22,3,0,0,0,26,984,137,150,28,7,1318,11,0,0,0,0,12,113,10,8,4,12,152,3193,185,179,46,32,3640
UCL113009,1788,316,161,8,5,2282,1316,208,42,4,3,1568,297,195,111,8,3,615,29,17,11,0,0,59,153,42,38,3,0,239,0,0,5,0,0,7,10,0,11,8,0,27,8,4,9,0,0,19,498,256,186,16,10,971,10,3,84,0,0,97,51,13,25,0,4,94,3664,790,500,36,17,5013
UCL113010,1865,96,0,3,4,1971,2072,33,4,3,3,2111,816,247,61,4,7,1134,140,54,30,0,0,224,285,25,15,0,3,325,4,3,0,0,0,16,31,11,0,0,0,39,23,0,0,0,0,25,1297,340,107,6,11,1764,28,0,0,0,0,32,154,23,7,0,3,184,5418,485,120,11,20,6054
UCL113011,1715,104,3,12,7,1842,1146,27,3,0,4,1176,514,203,56,3,4,782,233,88,27,0,0,346,231,15,15,3,0,265,6,8,3,0,0,23,13,0,4,11,0,33,19,3,3,0,0,28,1019,326,113,19,7,1478,31,19,0,0,0,49,120,33,6,0,3,162,4029,511,126,31,12,4715
UCL113012,2504,260,11,4,3,2781,2136,15,7,0,3,2159,873,84,55,0,3,1025,25,18,0,0,0,45,356,15,18,0,4,392,7,45,15,0,0,72,41,18,0,0,4,69,21,4,0,0,0,23,1320,185,94,0,6,1616,50,150,0,0,0,206,159,30,3,0,9,210,6172,649,122,9,22,6974
UCL113013,1015,43,45,25,5,1129,1213,24,13,3,11,1262,717,133,70,5,0,922,147,28,28,0,0,202,205,19,13,0,0,251,9,6,10,0,0,26,22,3,0,8,0,36,14,3,0,3,3,23,1116,194,117,17,4,1455,13,3,0,0,0,13,94,22,11,9,4,137,3444,290,187,60,19,4001
UCL113014,937,27,7,4,3,976,1216,23,6,0,0,1247,734,271,10,0,4,1030,179,87,3,0,0,269,180,20,3,0,0,198,20,16,0,0,0,37,23,5,0,0,0,27,18,6,0,0,0,23,1153,405,15,0,4,1583,7,3,0,0,0,5,80,21,0,0,6,104,3385,477,28,3,18,3920
UCL113015,1606,502,164,5,10,2294,1051,221,49,3,4,1327,436,395,238,3,7,1079,6,43,46,0,0,96,136,82,41,0,8,267,4,20,0,0,0,26,74,37,3,0,3,127,9,7,3,0,0,25,670,583,335,8,16,1613,6,22,4,0,0,28,67,46,16,0,3,130,3395,1376,565,18,39,5391
UCL113016,1088,115,0,12,4,1218,1386,99,3,3,3,1496,606,324,16,5,6,953,434,107,8,0,0,550,168,48,0,3,0,222,9,6,0,0,0,17,93,8,0,4,0,110,13,9,0,0,0,16,1324,504,24,14,10,1869,20,4,0,0,0,23,83,25,26,108,8,244,3894,745,54,134,21,4853
UCL113017,1196,68,25,25,6,1323,1577,66,21,0,3,1669,661,261,130,0,10,1056,239,39,38,0,0,312,124,26,9,0,4,166,0,4,0,0,0,12,83,3,3,22,3,115,9,5,3,0,0,15,1120,337,187,24,12,1680,27,5,3,0,0,32,76,12,8,3,5,114,3991,490,254,54,30,4819
UCL113018,1725,41,11,25,0,1798,1022,11,3,0,3,1041,583,27,19,0,0,632,19,6,0,0,0,26,177,14,4,0,0,193,11,4,0,0,0,17,44,0,0,18,0,65,22,0,0,0,0,20,856,55,26,21,0,953,11,50,0,0,0,65,123,7,0,6,0,139,3730,160,44,49,3,3993
UCL113019,2298,222,58,10,14,2593,1630,45,20,6,4,1701,907,227,302,9,8,1452,285,61,125,3,3,484,278,48,36,3,7,374,35,59,41,0,0,127,25,19,10,14,6,65,22,5,9,0,0,34,1548,413,520,29,20,2534,26,32,4,0,3,64,175,45,32,6,10,262,5675,751,629,51,44,7155
UCL113020,2357,148,29,105,7,2650,1149,34,9,7,3,1197,500,135,56,3,3,700,92,64,23,0,0,178,268,47,12,3,0,327,27,22,6,0,0,53,14,0,0,13,3,32,20,4,0,0,0,28,926,267,104,13,8,1322,27,0,0,0,0,29,143,16,0,9,0,173,4599,464,145,138,19,5370
UCL114001,790,173,10,4,3,973,448,60,3,0,3,518,176,103,18,0,0,304,31,10,0,0,0,42,60,35,5,0,0,101,8,12,0,0,0,22,3,3,0,0,0,4,4,3,0,0,0,9,280,176,22,0,0,484,31,5,0,0,0,42,44,17,0,0,3,61,1598,427,36,9,10,2081
UCL114002,665,40,0,77,15,795,497,46,0,4,3,551,172,100,0,0,0,270,4,4,0,0,0,5,70,17,3,0,0,85,0,0,0,0,0,3,15,3,0,7,3,25,5,0,0,0,0,4,257,119,4,11,3,397,12,0,0,0,0,12,35,0,0,3,3,43,1472,207,4,92,23,1801
UCL114003,776,82,95,77,26,1054,635,119,54,6,8,820,256,197,78,5,12,541,33,23,44,0,0,94,234,71,49,13,3,369,19,7,8,0,0,31,11,5,0,33,0,47,19,6,4,0,0,24,563,311,176,47,16,1112,20,3,3,0,0,25,74,15,15,12,13,127,2061,532,342,137,66,3137
UCL114004,1422,258,47,163,5,1893,468,25,8,13,4,517,256,92,91,13,5,458,0,4,42,0,0,46,80,32,18,8,0,137,0,18,0,0,5,23,9,7,0,57,0,72,8,6,0,0,0,17,358,163,144,81,9,756,15,78,0,3,0,96,87,32,9,21,0,146,2343,560,212,276,22,3419
UCL114005,1242,17,73,41,0,1378,878,0,20,5,0,902,510,19,223,7,3,765,166,14,32,0,0,210,234,8,51,9,4,299,19,11,40,0,0,70,38,0,7,13,0,56,13,0,8,0,0,19,983,52,349,28,6,1421,13,0,22,0,0,40,114,4,29,5,0,155,3227,71,495,80,12,3891
UCL114006,887,15,6,8,3,923,716,4,3,4,4,732,326,48,95,6,3,480,48,8,13,0,0,78,143,17,16,3,5,182,15,4,8,0,0,26,19,0,3,4,4,31,13,0,0,0,0,20,570,77,135,18,11,810,12,0,0,0,0,14,72,8,7,3,24,118,2253,112,163,30,42,2589
UCL114007,985,29,10,9,4,1034,594,3,3,0,0,600,205,49,33,4,3,293,142,4,7,0,0,154,121,9,9,3,0,145,0,0,0,0,0,4,13,0,7,0,0,18,10,0,0,0,0,5,485,67,53,9,4,622,10,15,0,0,0,25,67,4,5,0,0,78,2143,119,67,17,9,2352
UCL114008,826,41,22,20,4,917,586,15,4,3,0,607,217,39,72,3,4,333,28,0,0,0,0,28,126,10,13,0,0,144,6,10,3,0,0,16,8,0,0,0,0,14,8,0,0,0,0,13,397,50,92,3,3,553,7,3,4,0,0,17,64,5,9,0,3,89,1884,118,130,29,11,2177
UCL114009,1190,29,24,0,4,1246,807,3,4,0,3,825,365,53,114,3,0,536,154,4,22,0,0,179,176,9,22,0,3,220,20,4,11,0,0,39,15,0,3,0,0,29,17,0,5,0,0,21,746,71,182,7,9,1014,10,9,0,0,0,23,99,9,9,0,0,125,2863,128,224,12,17,3242
UCL114010,949,6,43,21,11,1025,742,3,6,0,9,751,335,29,116,8,0,495,76,11,17,0,9,110,126,3,19,3,3,152,12,0,3,0,0,17,18,0,5,3,0,32,11,0,8,0,0,22,583,48,166,11,17,823,10,0,0,0,0,6,70,6,16,0,0,87,2344,57,232,28,33,2700
UCL114011,912,25,5,16,3,960,779,5,3,9,3,796,257,66,75,0,0,393,116,5,15,0,0,138,171,10,17,4,0,201,11,0,7,0,0,15,19,0,5,8,4,37,19,0,0,0,0,22,588,83,118,15,3,806,11,0,0,0,0,13,76,4,11,3,0,93,2354,115,139,48,10,2675
UCL114012,712,3,9,5,15,746,515,3,0,0,6,531,324,22,61,0,7,416,58,3,0,0,5,69,118,0,12,3,0,139,15,0,17,0,0,30,14,0,0,0,0,17,12,0,3,0,0,19,545,27,101,7,10,686,8,0,0,0,0,8,84,0,9,0,6,95,1866,31,115,12,40,2064
UCL114013,930,33,19,7,0,993,789,3,6,3,9,816,496,70,126,4,3,708,90,3,29,0,3,126,158,8,23,6,3,192,24,9,8,0,0,41,28,3,7,0,3,38,22,3,3,0,0,30,818,95,203,12,13,1135,13,15,0,0,0,25,82,13,14,0,3,114,2635,157,241,17,22,3075
UCL114014,504,16,60,3,0,576,932,34,117,5,3,1085,102,26,55,3,0,183,29,0,0,0,0,29,30,3,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,24,61,3,0,255,3,0,0,3,0,5,23,0,6,0,0,31,1627,73,246,8,3,1958
UCL114015,1100,21,31,9,18,1182,917,5,10,4,8,945,592,72,188,0,8,863,159,7,31,0,0,190,203,10,30,0,3,246,12,25,34,0,0,75,22,0,10,17,0,44,18,11,3,0,0,32,1009,119,293,21,18,1454,14,3,0,0,0,13,96,12,26,3,3,143,3134,164,351,39,49,3739
UCL114016,769,35,27,9,4,847,685,11,11,0,0,718,312,87,104,0,7,502,92,3,3,0,0,99,150,23,28,0,3,208,3,0,4,0,0,6,20,3,3,3,0,33,14,0,0,0,0,16,592,120,148,4,11,873,9,0,0,0,0,13,76,7,14,0,3,97,2137,183,194,22,22,2556
UCL114017,601,174,16,7,5,809,604,152,18,0,0,776,156,170,40,0,4,371,0,0,0,0,0,0,62,54,12,0,5,134,0,3,0,0,0,3,3,3,0,0,0,7,0,3,0,0,0,3,228,232,52,3,5,520,3,4,0,0,0,6,27,14,0,0,4,47,1465,570,89,10,19,2152
UCL114018,710,10,3,3,0,727,1368,3,4,3,0,1377,369,20,0,0,0,394,10,0,0,0,0,10,74,0,0,0,0,84,0,0,0,0,0,0,173,0,0,0,0,175,6,0,0,0,0,6,640,26,0,0,0,669,14,0,0,0,0,10,50,0,0,0,3,52,2780,34,11,5,8,2839
UCL114019,1072,250,88,7,7,1427,638,83,31,3,12,769,205,169,89,3,0,469,11,22,3,0,0,35,104,70,21,0,3,203,3,13,12,0,0,28,8,10,0,3,0,22,11,7,0,0,0,15,342,282,124,9,8,769,11,28,22,0,0,57,60,29,12,8,3,104,2112,671,282,28,32,3129
UCL114020,580,25,27,24,5,660,624,12,18,3,0,663,356,47,193,3,0,592,183,5,82,0,0,271,108,11,23,4,0,152,48,0,21,0,0,72,34,3,20,13,3,68,15,0,4,3,0,23,751,64,342,20,9,1178,12,0,4,0,0,22,112,4,41,10,0,160,2073,108,432,58,15,2677
UCL114021,963,85,3,34,9,1099,890,25,9,0,3,928,306,86,38,3,3,442,115,40,17,0,0,174,115,22,3,4,0,143,28,22,9,0,0,53,11,0,0,3,8,24,15,0,0,0,0,14,581,180,71,9,11,848,15,5,0,0,0,19,67,8,3,6,9,94,2519,302,79,51,28,2993
UCL114022,1021,25,142,7,3,1198,1007,23,17,0,9,1054,348,65,127,0,3,549,76,50,19,0,0,144,191,45,43,4,0,285,3,10,3,0,0,14,12,5,9,12,0,38,20,6,4,0,0,26,656,182,197,23,6,1061,14,0,13,0,0,29,65,11,29,3,0,106,2770,237,397,33,21,3457
UCL114023,923,42,70,187,0,1226,416,13,12,6,0,452,269,56,195,6,4,527,135,9,35,0,0,180,100,13,28,3,3,140,21,31,12,0,0,60,23,3,3,26,0,55,10,3,0,0,0,18,547,113,268,37,7,973,19,5,8,0,0,27,55,6,28,13,0,105,1956,188,382,250,11,2790
UCL114024,627,6,10,10,0,653,606,6,6,4,3,620,180,62,77,0,0,331,84,0,36,0,0,122,164,11,34,0,3,209,20,3,14,0,0,37,34,0,15,0,0,51,13,3,3,0,0,17,506,76,180,3,3,773,9,4,0,0,0,12,74,9,15,3,0,93,1814,102,207,18,12,2154
UCL114025,1118,27,24,8,6,1186,1070,7,5,0,3,1087,393,58,133,6,3,589,138,14,45,0,0,197,296,11,27,0,4,336,9,5,16,0,3,34,24,3,7,7,3,45,20,0,0,0,0,28,883,101,223,12,11,1232,19,0,9,0,3,32,109,4,14,0,4,131,3195,138,273,23,31,3666
UCL114026,622,101,10,37,7,778,728,93,3,0,8,836,234,140,59,0,0,431,0,20,0,0,0,20,74,37,10,0,0,116,0,3,0,3,0,5,8,3,0,0,0,8,3,3,3,0,0,15,319,205,69,3,3,601,6,0,0,0,0,9,40,15,0,0,0,59,1720,422,83,43,16,2283
UCL114027,624,312,58,16,3,1018,392,80,15,0,3,496,152,121,56,0,0,331,5,12,16,0,0,29,61,31,13,0,0,111,0,21,4,0,0,24,15,15,0,4,3,39,6,4,0,0,0,10,236,198,92,8,6,544,0,36,15,0,0,47,30,29,6,5,4,67,1280,654,186,29,15,2170
UCL114028,955,76,64,16,0,1110,389,12,20,3,3,431,248,67,75,0,0,394,3,8,3,0,0,17,81,10,11,0,3,106,7,4,0,0,0,5,3,0,3,0,0,10,4,0,0,0,0,10,357,90,90,0,8,541,8,4,0,0,0,13,30,3,11,0,0,46,1739,181,186,27,13,2150
UCL114029,813,9,9,8,0,834,823,0,5,3,0,840,279,8,8,0,0,294,0,0,0,0,0,0,116,3,0,0,0,117,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,404,8,14,0,0,427,13,0,0,0,0,13,52,3,0,0,0,55,2104,26,24,16,0,2167
UCL114030,830,21,10,0,3,860,667,0,10,0,3,680,282,38,60,0,6,388,111,3,15,0,0,124,114,9,8,0,0,134,3,15,0,0,0,18,23,3,6,0,0,28,11,4,3,0,0,13,543,71,84,0,4,708,7,5,0,0,0,15,48,7,3,0,0,64,2095,106,113,3,15,2323
UCL114031,847,43,32,0,0,926,710,15,4,3,3,730,277,123,23,7,0,434,108,24,20,0,0,146,136,18,5,3,0,161,9,4,6,0,0,18,5,0,0,3,0,9,8,0,0,0,0,9,543,172,54,17,0,788,7,0,26,0,0,30,71,6,6,0,0,84,2176,238,119,22,3,2558
UCL114032,1056,85,73,74,3,1290,408,32,27,0,3,465,281,114,107,10,0,505,5,11,10,0,0,22,92,13,40,4,0,150,9,10,3,0,0,28,12,0,4,9,3,24,13,0,0,0,3,14,412,151,162,21,3,745,6,3,0,0,0,4,69,11,11,9,0,102,1956,274,273,107,12,2618
UCL114033,307,20,29,7,4,367,205,0,10,0,0,221,59,5,36,0,0,101,0,0,0,0,0,0,42,3,13,0,0,62,0,0,0,0,0,0,5,0,3,0,0,15,0,0,0,0,0,0,113,11,53,3,0,173,3,10,0,0,0,8,28,0,4,0,0,39,653,43,100,9,4,815
UCL114034,600,43,4,3,0,658,714,22,3,0,0,744,199,61,3,0,0,266,65,4,0,0,0,70,111,15,6,0,0,132,17,14,0,0,0,31,13,8,0,3,0,17,11,4,0,0,0,13,407,101,9,3,5,526,11,20,0,0,0,31,35,10,0,0,0,48,1766,203,20,9,7,2007
UCL114035,860,28,49,4,0,942,661,10,8,0,0,679,443,109,140,0,4,693,93,21,6,0,0,116,150,11,7,0,0,169,13,3,12,0,0,29,23,7,3,0,0,27,12,5,3,0,0,22,729,147,180,0,3,1061,17,0,3,0,0,19,65,10,18,0,0,95,2325,202,257,7,8,2792
UCL115001,219,0,0,30,0,248,238,0,4,5,0,245,63,4,30,0,0,96,11,0,0,0,0,11,44,0,8,3,0,51,5,0,0,0,0,5,9,0,0,5,0,17,0,0,0,0,0,0,133,4,39,10,0,187,0,0,0,0,0,0,15,0,3,0,0,19,605,8,44,40,3,706
