UCL_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
UCL101001,3,39,96,638,468,592,444,225,117,2630,4,70,313,1046,551,424,211,117,57,2800,66,418,3067,9141,377,289,68,10,3,13437,24,131,186,770,398,497,859,555,359,3779,465,2926,5171,14277,6833,5233,2625,932,380,38835,6,22,59,483,340,262,391,168,60,1797,298,1061,1050,4877,974,541,183,62,20,9063,5,25,82,497,485,349,145,122,49,1771,239,1586,3237,17655,8235,7280,3317,824,470,42848,13,44,110,1999,665,1269,834,567,606,6114,21,171,230,1673,1251,1453,1367,836,400,7406,164,616,890,1932,795,856,518,197,59,6024,108,772,1600,5938,3305,2458,1490,755,274,16697,0,0,37,490,566,763,579,465,144,3045,80,500,846,4709,2412,1939,1113,611,267,12489,77,127,661,3791,764,836,357,60,17,6686,106,365,1452,9575,1691,1025,342,64,22,14651,11,41,126,1022,1116,1339,1138,633,149,5572,40,94,254,1746,1562,916,649,278,81,5611,344,1345,1536,4272,1484,957,616,167,59,10783
UCL102001,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,12,0,4,14,46,0,0,0,0,0,61,0,0,0,0,3,10,8,3,3,31,0,6,23,93,51,48,13,4,0,243,0,0,0,3,3,0,6,0,0,11,0,0,3,24,0,0,0,0,0,35,0,0,0,14,8,3,0,0,0,27,0,28,25,97,35,51,10,7,0,246,0,0,0,7,3,10,11,4,8,38,0,3,0,7,10,17,11,13,7,62,0,0,3,5,8,3,0,0,0,16,0,5,9,20,13,3,0,0,0,54,0,0,0,0,10,5,14,10,3,48,0,3,0,21,6,7,3,0,0,39,0,0,0,5,0,0,0,0,0,5,0,7,7,24,8,6,3,0,0,52,0,3,16,54,50,63,28,20,10,239,0,0,0,0,5,0,0,0,0,9,3,20,4,35,13,10,4,0,0,86
UCL102002,0,3,0,16,16,18,17,9,5,80,0,0,0,8,3,3,3,6,0,38,0,3,3,33,0,3,0,0,0,42,0,7,4,30,50,77,173,99,55,491,19,91,154,684,591,557,347,168,65,2679,0,3,6,20,37,26,39,31,5,167,3,11,3,26,6,11,5,3,0,58,0,5,7,44,43,29,7,9,0,156,7,46,67,428,263,260,103,20,13,1213,0,4,3,53,17,42,30,14,16,179,0,27,21,86,133,163,247,160,81,915,3,4,5,23,28,22,12,3,3,100,0,37,77,240,150,120,101,52,13,788,0,0,0,8,9,12,19,12,3,67,0,0,6,38,17,20,17,8,3,110,0,9,3,39,13,12,0,0,0,69,7,22,35,220,78,38,3,0,0,404,0,0,0,0,7,6,5,3,0,20,0,0,0,14,7,3,8,0,0,37,6,49,51,140,97,74,55,3,6,485
UCL102003,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,13,40,30,9,97,4,26,51,244,174,183,159,105,44,986,0,0,0,3,5,6,12,5,3,35,0,0,0,0,0,0,0,0,0,6,0,0,0,16,9,13,0,3,0,43,3,14,18,106,59,62,22,7,0,287,0,0,0,11,0,8,7,3,3,28,0,3,0,14,19,38,59,51,36,212,0,0,0,6,3,0,5,0,0,13,0,0,12,29,21,16,11,8,0,106,0,0,0,0,3,3,8,7,0,20,0,0,0,3,0,3,0,0,0,8,0,0,0,16,0,0,3,0,0,19,3,5,12,42,17,16,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,13,31,13,19,14,0,0,105
UCL102004,0,0,5,5,5,4,9,3,0,35,0,0,3,16,3,3,0,0,0,28,0,7,14,35,5,0,0,0,0,54,0,6,3,31,26,50,126,37,34,305,15,65,131,514,344,270,159,77,22,1593,0,0,0,14,12,16,20,12,5,81,3,16,4,62,3,0,10,0,0,102,0,0,9,45,28,23,11,0,0,124,15,52,70,367,207,208,83,23,4,1026,0,0,0,44,24,36,57,45,64,271,0,27,17,81,76,131,172,95,59,657,3,4,48,40,21,9,11,3,0,149,4,24,74,174,91,75,22,16,7,485,0,0,0,4,25,30,31,30,6,133,0,15,21,83,32,12,17,5,0,180,3,3,10,48,5,3,0,0,0,82,4,15,40,198,64,31,4,0,0,353,0,0,3,32,81,109,115,89,29,457,0,0,3,3,3,4,3,0,0,24,11,65,71,204,70,67,33,12,5,535
UCL102005,0,0,0,6,5,6,0,0,0,18,3,5,18,54,15,9,12,3,0,107,0,0,4,27,0,0,0,0,0,32,0,9,4,20,21,92,172,125,67,505,7,78,128,426,271,232,128,54,20,1343,0,0,3,13,14,30,28,22,4,118,0,7,11,56,8,3,3,0,0,96,0,3,0,25,16,12,0,3,0,64,8,36,57,323,155,250,102,21,7,966,0,3,3,54,24,59,44,38,45,264,0,15,9,52,188,235,247,185,74,1006,0,15,10,28,12,11,4,4,0,85,4,29,44,119,54,55,43,14,4,362,0,0,3,22,47,70,64,62,22,301,3,6,24,58,22,19,8,8,3,153,3,4,6,41,17,8,3,0,0,82,10,46,74,236,71,40,15,0,0,492,0,6,21,209,346,481,461,289,68,1874,0,3,7,71,112,47,63,28,3,336,9,23,60,149,62,47,36,7,4,396
UCL111001,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,34,34,25,0,0,0,0,0,101,0,3,0,7,10,16,26,23,12,98,0,19,15,57,48,51,32,17,0,240,0,0,0,0,0,0,3,4,0,10,0,3,0,5,0,0,0,0,0,10,0,0,0,3,6,0,0,0,0,11,3,11,16,66,26,26,13,0,0,170,0,0,0,4,0,3,3,0,8,18,0,0,0,7,7,18,11,12,11,73,0,0,0,3,3,3,0,0,0,11,0,3,5,14,20,9,4,0,4,67,0,0,0,3,0,0,3,5,3,13,3,3,9,25,6,0,0,0,0,50,0,0,0,0,0,0,0,0,0,6,0,0,6,31,10,3,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,20,3,11,3,0,0,54
UCL111002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,11,25,14,4,64,8,31,22,134,78,57,36,8,3,368,0,0,0,3,4,0,0,6,0,17,0,0,0,11,6,0,0,0,0,18,0,0,0,3,3,0,3,0,0,13,0,19,11,94,73,42,19,4,3,269,0,0,0,5,5,11,9,9,18,48,0,4,4,14,20,30,22,10,4,110,0,0,0,4,0,3,0,0,0,10,0,15,14,60,29,13,3,0,3,135,0,0,0,4,0,0,0,0,3,10,0,0,0,20,0,3,0,0,0,21,0,0,14,57,0,0,0,0,0,73,0,6,9,28,13,13,0,0,0,66,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,8,10,28,14,14,5,0,0,80
UCL112001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,23,60,0,0,0,0,0,86,0,0,0,3,0,7,7,3,3,25,0,10,26,21,24,18,10,3,0,114,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,11,7,0,0,0,0,23,0,3,20,49,8,17,0,0,0,96,0,0,0,3,0,3,0,0,0,3,0,0,3,3,4,3,11,5,3,30,0,0,0,0,0,3,0,0,0,12,0,0,7,13,9,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,5,3,17,0,0,0,0,0,32,0,0,4,9,0,0,0,0,0,12,0,0,3,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,3,8,6,5,0,45
UCL112002,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,6,3,20,0,0,0,0,0,23,0,0,0,4,6,9,13,10,6,40,0,5,21,52,32,32,14,7,8,168,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,14,0,0,0,3,8,3,0,0,0,11,3,9,4,34,18,12,0,3,0,77,0,0,0,0,0,3,0,0,0,5,3,0,3,3,17,12,19,11,4,69,0,0,0,6,4,0,0,3,0,12,0,3,11,18,6,7,10,0,0,51,0,0,0,0,0,0,3,0,0,6,0,3,3,11,6,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11,4,3,6,0,0,36
