UCL_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL621026,0,0,0,0,0,0,0,0,3,3,3,0,16,14,25,31,7,0,3,103,3,3,3,3,4,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,10,0,0,0,25,3,4,11,8,7,19,6,0,0,55,0,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,4,3,3,3,0,0,0,12,0,0,0,0,3,0,0,0,0,8,0,0,9,0,11,14,0,0,0,32,0,0,0,0,0,3,0,0,0,3
UCL621027,0,0,0,4,0,0,0,0,0,9,7,9,16,35,28,18,5,0,0,119,3,7,7,6,12,4,0,0,0,45,0,0,0,3,0,0,0,0,0,4,3,3,0,0,3,0,0,0,0,17,0,0,3,0,3,3,0,0,0,8,3,0,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,7,4,3,3,6,0,0,0,33,3,4,5,5,7,12,0,0,0,39,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,10,0,3,3,7,3,6,0,0,0,22,0,0,0,3,3,0,0,0,0,6,0,0,5,9,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3
UCL621028,0,0,0,0,0,0,0,0,0,5,0,8,18,22,27,20,0,0,0,96,0,0,0,0,3,0,0,0,0,8,0,15,15,21,32,12,4,0,0,96,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,7,0,0,4,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,3,0,0,11,0,0,5,7,8,8,0,0,0,34,0,0,0,5,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,4,0,0,0,0,11,0,0,3,0,3,8,0,0,0,12,0,0,3,0,3,4,0,0,0,11,0,0,0,0,3,3,0,0,0,8,0,3,0,0,0,0,0,0,0,8
UCL622001,0,0,0,0,0,0,0,0,0,3,6,15,20,21,21,11,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,4,10,0,4,3,0,0,0,24,0,0,0,3,3,0,0,0,0,11,0,5,4,7,3,7,3,0,0,25,0,0,3,0,3,0,0,0,0,7,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,6,0,0,0,0,7,0,0,5,0,3,3,0,0,0,17,0,0,0,0,3,3,0,0,0,8,0,3,3,5,6,3,0,0,0,29,0,0,0,4,0,0,0,0,0,7
UCL622002,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,12,3,0,0,29,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,11,0,0,3,3,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL622003,0,0,0,0,0,0,0,0,0,0,3,7,11,9,16,10,8,0,0,64,0,7,6,4,18,0,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,4,0,5,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,3,0,7,3,0,0,0,13,0,3,0,0,0,5,0,0,0,10,0,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,7,0,0,0,12,0,0,3,0,3,0,0,0,0,10,0,0,6,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
UCL622004,0,0,0,3,0,0,0,0,0,3,3,11,11,12,24,3,0,0,0,68,0,0,4,5,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,7,4,7,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,0,14,0,0,3,0,6,0,0,0,0,9,0,0,0,0,5,0,0,0,0,13,5,0,3,0,4,0,0,0,0,10,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,3,0,0,8,0,3,3,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
UCL622005,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,11,0,0,0,19,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
UCL622006,0,0,0,0,0,0,0,0,0,0,4,7,20,23,19,3,3,0,0,77,0,0,5,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,3,3,7,0,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,3,5,4,4,0,0,0,0,18,3,0,3,0,3,0,0,0,0,9,0,0,0,7,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,9,8,4,3,0,0,0,19,0,4,0,3,7,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0
UCL622007,0,0,0,0,0,0,0,0,0,0,6,12,17,16,31,18,4,0,0,110,0,0,3,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,3,4,5,9,3,0,0,0,22,0,0,0,0,4,0,0,0,0,4,0,3,5,7,0,4,0,0,0,22,0,0,3,0,3,0,0,0,0,6,5,5,0,7,3,3,0,0,0,26,3,6,3,4,0,3,3,0,0,19,0,0,3,0,3,3,0,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,4,3,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,3,4,10,3,0,0,0,14,0,0,3,9,11,3,4,0,0,28,0,0,0,0,0,0,0,0,0,4
UCL622008,0,0,0,0,0,0,0,0,0,0,3,9,7,11,11,10,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,3,0,4,3,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,7,0,0,0,6,3,0,0,0,0,7,0,0,0,0,4,6,0,0,0,12,0,3,7,3,6,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3
UCL622009,0,0,0,0,0,0,0,0,0,0,5,9,6,8,25,11,5,0,0,69,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,8,0,0,0,4,9,3,0,0,0,15,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,0,0,9,0,0,0,0,6,3,0,0,0,17,0,0,0,3,8,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0
UCL622010,0,0,0,0,0,0,0,0,0,0,0,3,10,16,21,20,3,0,0,67,0,10,11,16,11,12,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,12,0,0,0,0,3,7,0,0,0,8,0,0,0,0,3,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,4,3,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0
UCL622011,0,0,0,0,0,0,0,0,0,0,0,5,4,7,7,9,3,0,0,44,0,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,0,4,3,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,5,0,0,0,6,0,0,0,0,0,6,0,0,0,8,0,0,0,0,3,0,0,0,0,3
UCL622012,0,0,0,0,0,0,0,0,0,0,0,0,8,14,21,17,3,0,0,63,0,0,3,0,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,13,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,3,0,0,0,18,0,0,0,0,4,4,0,0,0,11,0,0,0,3,3,10,0,0,0,11
UCL622013,0,0,0,0,0,0,0,0,0,0,3,8,10,13,22,14,4,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,9,0,0,0,20,0,0,0,0,0,0,0,0,0,3,6,0,4,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,10,0,0,3,3,3,3,0,0,0,13,0,0,3,3,14,8,3,0,0,27,0,0,0,0,0,0,0,0,0,0
UCL622014,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,13,3,0,0,47,3,0,0,0,0,3,0,0,0,12,0,0,0,0,3,7,0,0,0,8,0,0,0,0,3,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,5,7,0,0,0,15,0,0,0,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL622015,0,0,0,0,0,0,0,0,0,4,4,7,16,18,23,18,3,0,0,88,0,0,0,3,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,3,0,0,20,4,3,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,8,3,3,0,0,0,24,0,0,4,6,5,6,0,0,0,26,0,0,0,0,0,0,0,0,0,3
UCL622016,0,0,0,0,0,0,0,0,0,0,3,3,4,6,13,9,0,0,0,36,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,5,0,0,0,8,0,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
UCL622017,0,0,0,0,0,0,0,0,0,0,0,3,7,14,17,11,3,0,0,55,0,0,3,3,0,3,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,6,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,4,0,0,0,12,0,0,0,3,0,0,0,0,0,7,0,3,4,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,4,3,0,0,0,11,0,0,0,0,5,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UCL622018,0,0,0,0,0,0,0,0,0,0,0,3,10,13,16,12,0,0,0,56,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,4,3,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,11,0,0,4,0,3,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0
UCL622019,0,0,0,0,0,3,0,0,0,5,3,3,8,14,42,14,3,0,0,84,0,0,0,0,3,3,0,0,0,14,0,0,0,4,3,0,0,0,0,6,0,0,3,3,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,0,3,3,8,4,0,0,0,17,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,3,10,0,0,0,0,14,0,0,0,3,14,0,0,0,0,20,0,0,0,3,11,4,3,0,0,30,0,0,0,0,0,0,0,0,0,0
UCL622020,0,0,0,0,0,0,0,0,0,0,4,6,13,11,19,18,7,0,0,78,0,0,6,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,4,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,17,0,3,0,0,3,0,0,0,0,5,0,0,0,7,4,4,0,0,0,15,4,0,0,0,3,0,0,0,0,11,0,0,0,0,3,8,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,3,3,7,5,0,0,0,17,0,0,0,0,7,0,0,0,0,6,0,3,0,0,3,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0
UCL622021,0,0,0,0,0,0,0,0,0,0,4,0,8,21,23,13,0,0,0,74,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,0,0,0,19,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,3,0,0,0,10,3,0,0,0,7,0,0,0,0,10,0,3,0,0,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,4,0,0,0,4,3,5,0,0,0,11,0,0,0,8,8,3,0,0,0,24,0,0,3,10,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0
UCL622022,0,0,0,0,0,0,0,0,0,0,4,0,15,11,10,10,0,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,4,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,3,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
UCL622023,0,0,0,0,0,0,0,0,0,0,4,0,11,9,20,26,7,0,0,73,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,3,9,5,0,0,0,27,0,0,0,0,0,3,0,0,0,5,0,3,0,0,5,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,12,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,13,0,0,0,4,10,6,0,0,0,20,0,0,3,4,3,12,0,0,0,23,0,0,0,0,3,0,0,0,0,3
UCL622024,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,10,0,0,0,22,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
