UCL_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL122093,85,81,168,4,0,3,17,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,29,0,0,0,0,0,0,19,18,33,10,9,22,120,105,221
UCL122094,103,95,202,0,4,8,16,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,24,0,0,0,0,0,0,18,16,33,12,15,29,136,130,265
UCL122095,175,152,334,8,9,15,6,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,19,0,0,0,3,4,7,18,19,39,21,20,38,219,191,415
UCL122096,92,70,166,0,3,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,5,4,17,13,14,23,114,89,202
UCL122097,100,89,191,0,7,6,3,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,9,8,17,0,0,0,0,0,0,8,15,27,16,11,31,127,126,252
UCL122098,135,150,283,0,0,0,12,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,32,0,0,0,0,0,0,16,23,37,16,17,30,158,195,350
UCL122099,169,161,330,3,0,6,18,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,20,40,0,0,0,0,0,0,18,19,40,7,9,16,203,189,389
UCL122100,117,106,219,12,11,19,0,0,3,8,9,14,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,20,0,3,3,0,0,0,17,21,42,17,18,40,159,141,303
UCL122101,133,151,283,4,10,10,12,12,23,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,23,0,0,0,0,0,0,15,16,36,13,17,32,163,187,347
UCL122102,149,150,303,25,27,46,3,0,3,3,0,4,11,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,25,0,0,0,0,0,0,40,35,77,31,39,65,215,224,444
UCL122103,125,129,251,15,16,29,13,27,44,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,46,0,0,3,0,0,0,34,42,74,12,4,16,166,178,338
UCL122104,83,81,168,7,5,10,16,16,33,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,35,0,0,0,0,0,0,22,20,46,3,3,8,109,113,220
UCL122105,73,81,161,0,0,6,8,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,28,0,0,0,0,0,0,14,22,36,7,8,13,101,113,209
UCL122106,88,86,169,6,3,11,12,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,17,0,0,0,0,0,0,18,9,31,6,8,15,107,106,216
UCL122107,150,158,305,11,8,17,10,6,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,23,0,0,3,0,3,4,17,23,42,50,53,105,217,229,446
UCL122108,100,94,193,3,0,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,10,7,14,0,0,0,0,0,0,10,10,21,11,7,15,119,112,226
UCL122109,157,152,308,3,14,14,20,19,37,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,22,24,44,0,0,0,0,3,0,25,37,60,21,9,32,203,196,402
UCL122110,151,137,283,7,5,9,9,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,20,0,0,0,0,0,0,19,17,30,25,23,46,188,173,363
UCL122111,130,125,257,4,3,4,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,6,5,16,16,17,29,155,146,303
UCL122112,97,88,179,3,8,11,13,4,17,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,12,24,0,0,0,0,0,0,14,16,35,7,3,7,113,104,226
UCL122113,188,179,373,3,0,0,9,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,17,0,0,0,0,0,0,9,10,22,9,3,10,213,197,406
UCL122114,125,112,231,3,0,6,19,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,22,44,0,0,0,0,0,0,24,29,54,5,4,11,158,135,294
UCL122115,122,111,231,3,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,8,3,11,14,20,36,146,135,277
UCL122116,150,143,293,0,0,3,11,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,13,0,0,0,0,0,0,9,8,19,3,5,14,163,162,329
UCL122117,76,71,147,9,8,18,8,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,0,0,0,0,0,0,15,16,35,8,5,15,102,97,194
UCL122118,45,23,73,0,0,0,3,0,4,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,3,5,0,0,0,11,3,12,17,3,22,74,30,102
UCL122119,158,190,349,0,3,3,7,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,29,0,0,0,0,0,0,8,21,33,22,13,34,191,222,414
UCL122120,142,143,280,0,0,0,14,19,35,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,41,0,0,0,0,0,0,23,26,44,9,4,12,167,165,340
UCL122121,110,111,222,5,4,10,7,11,19,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,25,0,0,0,0,3,4,18,17,38,11,14,26,141,142,281
UCL122122,86,89,177,0,3,3,10,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,23,0,0,0,0,0,0,14,12,22,3,4,8,106,102,210
UCL122123,125,110,236,4,8,5,5,8,13,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,25,5,0,4,0,0,0,17,23,36,11,15,29,155,141,300
UCL122124,109,100,206,4,4,10,12,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,17,27,0,0,0,0,0,0,21,22,41,23,19,43,150,142,292
UCL122125,175,147,324,3,3,4,6,4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,15,3,0,4,0,0,0,12,7,21,19,12,32,204,175,373
UCL122126,200,171,371,4,3,10,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,0,0,0,0,0,0,15,13,26,9,10,24,222,192,416
UCL122127,116,129,243,0,7,5,6,16,21,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,9,18,25,0,0,0,0,0,0,15,25,33,9,11,14,134,158,296
UCL122128,122,123,246,3,0,6,7,9,22,0,3,4,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,17,32,0,0,0,0,0,0,19,17,36,29,29,56,169,168,334
UCL122129,194,183,381,10,0,12,7,13,20,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,19,26,0,0,0,0,0,0,22,22,43,16,25,40,233,226,461
UCL122130,113,115,230,3,3,6,13,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,22,0,0,0,0,0,0,19,17,32,11,10,20,143,143,284
UCL122131,188,169,358,10,7,16,14,11,20,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,26,0,3,3,0,0,0,27,23,45,15,10,30,224,205,433
UCL122132,77,88,166,0,3,3,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,4,0,0,0,7,7,17,0,0,0,0,0,0,7,12,16,8,4,13,94,109,198
UCL122133,98,99,198,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,10,25,0,0,0,15,16,28,0,0,0,0,0,0,15,19,35,11,9,17,121,119,245
UCL122134,90,86,172,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,0,0,0,0,0,0,9,4,18,20,15,27,112,110,219
UCL122135,134,118,251,0,3,7,12,12,28,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,36,0,0,0,0,0,0,18,19,39,9,0,9,153,141,299
UCL122136,129,115,242,9,7,22,18,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,34,0,0,0,3,3,7,35,30,61,15,20,33,172,157,333
UCL122137,73,66,137,5,12,14,11,5,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,21,0,0,0,0,0,0,17,20,41,19,13,31,112,99,205
UCL122138,121,122,245,3,5,4,4,7,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,7,0,0,0,11,8,18,0,0,0,0,0,0,11,16,24,3,12,15,136,146,286
UCL122139,76,77,154,0,0,0,10,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,25,0,0,0,0,0,0,12,14,27,10,12,23,92,104,197
UCL122140,138,95,226,5,9,14,11,8,21,3,0,0,0,3,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,27,3,6,5,0,0,0,21,27,50,68,47,111,222,168,389
UCL122141,184,172,353,3,12,15,9,5,12,0,0,0,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,25,0,0,0,0,0,4,16,22,42,44,36,77,239,228,467
UCL122142,114,59,172,0,0,0,30,17,40,0,0,0,3,3,5,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,19,50,0,0,0,0,0,0,36,19,51,35,17,58,178,99,278
UCL122143,169,168,336,0,0,0,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,17,0,0,0,0,0,0,13,7,17,11,7,20,189,188,375
UCL122144,55,62,122,0,0,4,0,3,5,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,15,0,0,0,0,0,0,9,11,18,16,21,37,83,95,172
UCL122145,78,95,170,0,0,0,5,3,8,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,21,0,0,0,0,0,3,14,14,24,0,0,0,89,106,194
UCL122146,126,117,240,7,9,15,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,0,0,0,3,0,3,18,17,35,22,27,55,166,166,330
UCL122147,168,162,332,12,6,17,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,3,3,0,0,0,18,16,28,22,31,49,206,202,411
UCL122148,92,98,190,4,6,15,12,7,17,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,33,0,0,0,0,0,0,18,19,40,15,10,28,123,130,259
UCL122149,84,86,168,7,8,14,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,9,12,18,11,8,24,105,106,213
UCL122150,122,145,265,0,0,5,16,14,27,0,0,0,5,10,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,26,49,0,0,0,0,3,5,23,31,55,16,17,30,159,195,354
UCL122151,94,110,210,3,3,4,3,5,12,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17,0,0,0,0,0,0,6,12,20,12,11,27,114,139,259
UCL122152,57,65,125,7,5,17,7,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17,0,0,0,0,0,0,18,18,36,8,15,27,88,95,181
UCL122153,163,193,356,9,6,18,14,13,29,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,38,0,0,0,0,0,0,28,29,56,15,11,27,206,229,433
UCL122154,105,119,228,4,7,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,9,9,16,16,20,39,132,153,287
UCL122155,106,90,194,6,6,9,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16,0,0,0,0,0,0,15,12,25,38,32,73,165,132,291
UCL122156,58,75,131,0,3,3,6,3,15,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,24,0,0,0,0,0,0,16,10,30,21,31,45,92,110,208
UCL122157,91,87,185,4,0,4,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,11,3,14,7,3,16,112,97,210
UCL122158,214,205,418,0,8,7,13,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,25,0,0,0,0,0,0,15,17,35,5,9,17,232,241,475
UCL122159,153,124,277,4,4,8,3,5,13,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,18,0,0,0,0,0,0,13,19,29,21,24,47,182,166,349
UCL122160,182,183,365,8,3,9,15,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,41,0,0,0,0,0,0,25,29,50,16,20,36,224,236,457
UCL122161,155,153,312,10,4,11,15,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,32,0,0,0,0,0,0,19,24,44,22,13,35,197,192,390
UCL122162,115,115,226,7,9,7,4,13,19,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,19,0,0,0,0,0,0,16,19,31,9,14,30,137,150,289
UCL122163,139,109,247,7,12,18,10,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,30,0,0,0,0,0,0,14,23,41,14,16,29,174,150,325
UCL122164,175,147,327,14,13,21,14,13,22,3,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,35,0,0,3,0,0,0,31,31,65,10,14,22,216,193,413
UCL122165,149,144,290,0,3,3,8,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,0,0,0,0,0,0,8,13,17,12,7,20,166,162,327
UCL122166,157,160,317,7,11,19,3,5,6,0,0,0,3,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,10,18,0,3,4,0,0,0,20,22,43,23,19,42,199,210,401
UCL122167,188,184,379,0,0,0,18,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,34,3,3,7,3,0,4,23,21,41,11,14,24,223,224,440
UCL122168,101,114,211,9,11,21,10,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,26,0,0,0,0,0,0,20,29,50,13,14,24,130,153,285
UCL131777,224432,211648,436082,6673,6650,13325,16133,16082,32216,765,733,1492,1666,1590,3255,168,133,299,295,254,551,79,68,145,164,146,313,621,611,1225,5,4,10,19891,19616,39514,837,912,1751,540,481,1017,27938,27665,55603,30020,25577,55592,282390,264884,547273
UCL179997,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
UCL199994,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
UCL201001,1561466,1632986,3194450,46599,47890,94486,8035,7960,15999,188905,194773,383685,5871,6015,11884,2667,2620,5282,3612,3416,7027,1017,1136,2152,802,798,1604,1117,1238,2350,36,20,61,212072,217978,430047,49424,55602,105022,3677,3300,6977,311766,324761,636531,156371,157209,313582,2029600,2114956,4144555
UCL203001,57098,61373,118467,2578,2844,5427,232,265,498,7092,7848,14942,226,243,469,88,105,193,115,107,220,32,56,83,51,45,101,37,44,84,0,0,0,7880,8708,16592,955,870,1818,140,142,288,11555,12568,24118,6075,6600,12677,74727,80538,155264
UCL211001,12577,13165,25745,844,910,1752,448,501,949,1187,1249,2440,165,148,315,38,37,80,33,43,77,21,24,37,17,13,32,29,32,64,0,0,0,1952,2047,3995,89,123,210,28,29,59,2919,3102,6013,1409,1468,2878,16911,17732,34638
UCL211002,33345,36422,69766,1657,1811,3467,115,122,238,4627,5210,9841,144,169,308,72,83,154,70,51,120,28,32,61,24,37,61,13,16,30,0,0,0,5089,5718,10809,299,322,620,80,80,159,7126,7924,15048,3685,4053,7738,44157,48401,92558
UCL211003,33611,35902,69514,1372,1579,2944,195,202,396,4209,4824,9028,139,136,278,70,81,151,57,60,118,37,45,83,31,31,69,15,13,24,0,0,0,4759,5393,10148,236,318,555,85,62,148,6449,7350,13801,3829,4096,7928,43887,47352,91245
UCL211004,20178,20949,41128,715,781,1499,108,109,215,2398,2559,4963,79,80,155,35,38,74,39,39,72,18,13,37,12,14,25,0,0,3,0,0,0,2687,2851,5544,218,273,496,61,43,106,3690,3957,7648,2359,2426,4785,26224,27333,53553
UCL212001,11584,12661,24244,734,765,1498,182,204,386,1139,1259,2394,53,52,105,113,116,228,33,30,65,3,3,9,10,22,31,7,3,9,0,0,0,1540,1694,3232,223,192,415,56,52,110,2553,2701,5253,1734,1784,3515,15869,17148,33015
UCL212002,16856,17633,34489,1028,1130,2153,98,100,196,1505,1629,3135,81,86,168,26,24,51,24,19,45,17,19,34,17,18,41,7,5,5,0,0,0,1779,1899,3677,240,295,531,40,43,86,3084,3367,6448,2253,2376,4629,22198,23374,45567
UCL212003,13537,14281,27816,529,608,1137,31,41,66,1077,1118,2193,43,48,88,8,7,20,20,21,37,7,14,22,0,3,3,0,0,3,0,0,0,1188,1244,2433,76,92,164,21,30,52,1826,1967,3788,1176,1215,2392,16538,17465,33997
UCL212004,9300,9957,19258,780,915,1703,33,38,68,582,633,1216,46,39,84,13,10,21,12,22,28,12,6,13,7,5,15,0,0,4,0,0,0,708,749,1455,56,66,125,27,22,48,1572,1750,3324,1210,1360,2563,12081,13069,25151
UCL212005,11029,12111,23141,689,760,1451,29,39,69,1028,1195,2224,51,58,108,24,31,62,27,37,61,10,15,18,16,18,35,3,5,6,0,0,0,1192,1391,2581,202,130,329,30,29,60,2112,2316,4427,1341,1454,2790,14478,15876,30352
UCL213001,6730,7119,13842,369,443,815,14,21,37,454,458,910,7,11,18,3,0,3,13,15,29,7,11,16,3,6,10,0,0,0,0,0,0,504,521,1033,30,35,64,19,16,41,924,1028,1951,633,682,1314,8286,8823,17106
UCL213002,4401,5003,9400,386,503,888,33,54,91,339,343,686,29,40,68,14,12,26,6,10,20,0,0,0,7,5,10,4,3,5,0,0,0,438,470,900,18,16,38,15,11,31,863,1002,1864,687,842,1532,5944,6849,12796
UCL213003,4501,4744,9246,422,413,839,12,17,28,248,308,557,15,12,30,12,8,16,3,3,6,3,0,3,6,9,11,0,0,0,0,0,0,298,354,654,18,28,40,6,4,18,745,799,1544,468,497,963,5717,6039,11751
UCL213004,4132,4532,8661,298,352,646,16,15,28,544,624,1172,29,35,64,3,10,8,10,12,20,4,4,7,4,6,7,0,3,3,0,0,0,613,709,1317,15,11,30,22,4,26,941,1081,2018,509,532,1039,5583,6144,11721
UCL213005,4672,5051,9725,296,322,618,5,9,17,433,523,953,25,17,40,3,0,5,15,12,26,5,3,9,3,6,12,4,4,6,0,0,0,487,583,1072,20,14,32,11,8,20,808,927,1740,411,496,906,5896,6470,12363
UCL213006,4703,5156,9860,357,413,769,112,122,226,275,314,587,19,18,41,8,6,14,13,4,14,3,3,7,0,3,5,0,3,5,0,0,0,424,476,901,14,28,43,21,20,36,818,930,1752,559,610,1165,6079,6703,12779
UCL213007,5808,6230,12030,606,767,1372,11,14,26,291,348,636,21,20,36,26,31,56,15,12,30,3,0,3,8,10,15,0,0,0,0,0,0,377,433,810,23,34,56,16,24,38,1024,1255,2279,556,577,1133,7385,8061,15449
UCL213008,5172,5345,10515,331,385,715,12,13,25,429,454,884,17,14,28,3,3,11,10,12,23,0,0,0,0,0,0,0,0,0,0,0,0,471,501,973,23,33,54,11,10,20,831,930,1755,408,460,873,6406,6736,13148
UCL213009,4561,4896,9456,224,252,477,13,19,34,386,461,845,20,20,39,4,8,9,11,3,8,3,0,10,0,0,0,0,0,0,0,0,0,434,510,945,23,30,47,10,15,28,696,799,1493,361,390,752,5618,6087,11708
UCL213010,5690,6020,11709,434,506,940,10,9,17,323,363,681,18,26,42,0,0,0,9,4,14,0,3,7,8,4,12,3,0,4,0,0,0,357,417,774,18,29,46,11,8,22,821,964,1781,695,705,1405,7208,7687,14896
UCL213011,4945,5071,10018,350,386,731,14,15,31,366,447,817,16,19,39,7,7,14,19,12,24,3,3,6,0,0,0,0,0,0,0,0,0,430,507,931,26,29,53,17,17,40,819,941,1754,809,808,1615,6572,6818,13388
UCL213012,6815,7281,14097,547,605,1149,26,32,62,557,628,1181,27,23,47,6,5,7,19,14,37,5,6,9,3,3,11,3,5,10,0,0,0,644,718,1365,53,68,124,6,7,14,1256,1398,2659,624,636,1261,8702,9316,18014
UCL213013,3876,3965,7838,298,328,623,11,16,33,173,190,359,15,9,31,13,26,42,7,7,20,3,3,10,3,5,4,3,0,3,0,0,0,232,265,498,10,9,18,9,11,17,545,609,1156,467,465,939,4895,5041,9934
UCL213014,4826,5194,10022,439,542,978,49,56,107,319,346,666,27,27,56,9,13,25,24,24,48,3,4,9,12,11,28,8,8,19,0,0,0,454,497,946,43,45,89,15,18,35,946,1101,2051,626,648,1272,6396,6946,13346
UCL213015,3771,4075,7848,368,418,781,45,42,80,216,197,414,9,9,19,7,13,17,0,0,3,0,4,4,3,3,8,0,0,0,0,0,0,288,260,547,28,18,49,15,9,25,693,708,1399,609,609,1217,5071,5382,10458
UCL213016,6184,6478,12663,612,642,1258,22,24,43,640,643,1284,20,19,33,7,10,16,17,15,32,6,4,10,12,14,25,5,5,15,0,0,0,728,728,1453,66,75,140,14,11,21,1427,1455,2875,588,598,1186,8196,8529,16724
UCL213017,6721,7552,14272,639,715,1355,46,53,103,361,444,801,26,30,56,4,0,6,10,11,21,0,0,3,9,8,16,0,3,4,0,0,0,464,552,1008,35,46,78,17,15,35,1155,1325,2486,732,882,1608,8605,9759,18361
UCL213018,5126,5683,10804,342,397,734,19,30,53,515,569,1082,26,22,48,3,10,13,10,5,22,0,7,3,0,0,0,6,3,6,0,0,0,588,644,1234,36,44,77,15,19,33,971,1104,2074,560,667,1226,6657,7446,14104
UCL214001,2654,2775,5429,249,259,514,14,10,29,162,145,309,12,11,16,11,12,20,9,12,23,3,0,3,0,0,3,0,0,0,0,0,0,209,189,399,13,37,47,8,7,10,480,488,972,217,232,453,3359,3499,6856
UCL214002,3363,3749,7116,325,370,694,26,38,63,195,228,425,12,14,30,3,0,7,6,5,11,0,3,6,3,10,13,0,0,0,0,0,0,246,297,542,10,14,19,5,8,17,588,680,1271,385,448,831,4333,4887,9218
UCL214003,3293,3790,7088,200,218,420,13,13,25,251,312,564,9,7,15,11,9,26,9,3,16,3,3,7,8,4,16,0,0,0,0,0,0,303,354,660,26,29,55,3,8,8,533,609,1146,1114,492,1609,4940,4897,9835
UCL214004,2003,2089,4092,155,177,334,56,53,105,101,91,187,12,10,18,0,4,7,3,3,8,0,3,4,5,0,7,0,0,0,0,0,0,180,161,337,23,20,43,11,0,10,369,358,727,246,243,490,2614,2694,5310
UCL214005,419,412,830,10,11,23,19,28,46,20,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,0,0,36,49,89,3,3,6,0,0,0,51,63,117,36,24,62,506,509,1012
