UCL_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL101001,996,24356,92149,61711,54181,41492,17731,5339,2217,300170,331,10718,69742,50128,41052,28718,10930,2837,1101,215544,184,4312,56788,48877,38945,26185,8501,2322,984,187109,113,1579,35770,39630,30774,19677,5731,1531,652,135451,109,1264,50186,74481,53923,31322,8925,2350,946,223503,241,705,17646,55558,52277,27438,9315,2915,1327,167417,19679,24949,60196,45484,38394,31627,26616,20620,17531,285092,256521,312400,721227,634879,558311,457780,317307,174334,82975,3515745
UCL102001,25,284,812,542,643,437,151,38,12,2929,5,147,688,559,553,393,87,16,0,2446,3,46,545,559,551,308,58,9,0,2076,0,23,296,421,401,207,47,6,4,1400,0,12,370,778,860,361,57,11,4,2460,0,5,77,259,438,187,28,10,3,1006,168,155,469,336,355,261,252,190,147,2337,2250,2368,5743,5195,5649,4025,2353,1248,523,29355
UCL102002,59,1145,4354,4100,4421,3766,1545,496,246,20126,19,411,2966,3082,3067,2284,735,180,83,12826,5,177,2280,2736,2834,1969,518,135,62,10717,0,52,1238,2145,2190,1426,292,80,40,7465,3,39,1225,2977,2917,1777,393,118,38,9483,21,43,334,1148,1381,917,300,155,82,4384,1579,1199,2160,2308,2651,2738,3056,2963,2483,21142,18612,17091,33541,37051,40522,39240,34152,20689,9964,250854
UCL102003,10,140,634,762,852,746,388,132,72,3730,3,50,455,451,505,464,150,53,39,2163,0,23,274,450,454,343,109,37,23,1715,0,4,140,323,345,230,49,22,15,1135,0,6,167,364,394,269,75,32,3,1310,0,8,72,204,195,134,55,34,20,726,305,217,440,504,574,708,853,839,816,5253,3175,2696,5456,6515,7427,8459,8284,5692,2769,50478
UCL102004,56,1558,5808,4460,4478,3843,1554,459,161,22376,16,600,4167,3357,3192,2571,772,175,58,14908,7,227,3263,3205,3151,2243,551,119,51,12817,3,101,1904,2577,2441,1653,308,77,33,9089,7,95,2460,3978,3651,2337,430,111,47,13113,21,48,641,1867,2022,1449,420,146,64,6676,1224,1235,2349,2083,2458,2493,2561,2380,2363,19148,19173,22796,42409,40367,41812,40188,31757,18059,8800,265368
UCL102005,44,1182,3999,3481,3462,2725,1059,384,108,16443,18,496,3031,2615,2528,1799,508,110,42,11139,10,230,2337,2487,2460,1673,320,74,23,9623,0,80,1361,2084,2017,1351,207,51,13,7170,5,72,1542,3208,2961,1700,306,70,28,9882,23,43,399,1261,1348,831,232,90,20,4248,1234,1213,2135,1872,2054,2133,2146,1862,1111,15767,16975,19188,32979,32966,34107,31483,24458,15250,6480,213890
UCL111001,13,226,813,720,660,586,220,62,27,3327,0,72,542,501,486,395,118,24,10,2148,0,20,377,415,424,340,64,11,9,1658,0,4,180,275,310,225,39,11,4,1045,0,7,179,363,374,235,50,13,5,1221,3,8,50,135,161,142,50,18,11,578,298,352,533,471,494,524,497,488,329,3991,3037,3353,6221,5828,6013,5975,4572,2756,1294,39049
UCL111002,22,395,1401,1079,1048,762,256,50,26,5035,6,154,910,865,783,490,131,20,3,3355,4,85,704,753,678,483,69,16,4,2796,0,32,465,586,553,334,48,13,3,2035,0,32,593,955,842,454,54,19,3,2957,3,12,144,343,342,210,64,18,5,1137,343,299,666,606,611,570,540,472,238,4338,4881,4868,10879,10212,9892,8796,6730,3471,1326,61062
UCL112001,0,74,283,226,232,220,98,56,19,1209,0,26,167,142,180,124,49,24,9,716,0,8,120,128,145,129,50,16,3,590,0,6,80,114,102,90,25,4,11,435,0,3,52,137,183,156,38,12,0,580,6,4,21,40,62,64,25,17,9,240,200,284,251,155,232,190,172,150,82,1706,1940,2392,2689,2105,2282,2141,1682,1114,494,16835
UCL112002,4,160,559,419,453,359,146,60,22,2174,7,73,383,312,321,275,74,27,4,1486,0,32,251,299,310,284,45,18,8,1242,0,18,158,289,235,178,30,6,3,911,0,9,189,298,335,200,34,7,0,1073,0,4,49,90,103,96,26,9,3,384,299,429,546,383,340,318,284,253,182,3030,2464,2801,4543,3969,3984,3790,2823,1658,795,26826
