GCCSA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
9OTER,1597,1575,3171,60,64,125,55,45,101,13,8,22,41,24,63,7,9,15,49,43,89,0,0,0,10,9,12,19,17,36,3,3,5,198,145,345,33,36,70,9,3,13,294,258,550,523,236,756,2422,2061,4477
99799,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6
99499,13,8,21,0,0,0,0,0,0,0,4,10,3,0,8,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,0,4,4,0,3,3,5,22,28,0,3,9,24,28,50
8ACTE,144451,150035,294482,2801,2880,5682,4627,4945,9576,1232,1255,2485,1256,1321,2577,396,424,821,515,476,998,127,146,267,228,200,434,16763,17116,33878,17,15,34,25161,25901,51060,4557,4844,9397,381,326,713,32909,33952,66855,15403,14982,30386,192763,198963,391730
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,60,41,98,31,14,47,20,28,43,3,3,6,10,8,18,3,3,7,0,5,6,0,0,0,0,0,0,61,61,122,0,0,0,103,110,211,21,23,45,8,5,14,165,153,319,86,35,125,312,226,538
7RNTE,32322,32204,64521,1241,1289,2532,394,417,810,341,349,687,663,611,1278,273,272,542,214,236,444,25,22,47,1982,2000,3986,39,39,79,3,0,3,3924,3948,7876,439,515,949,439,457,894,6041,6201,12247,6251,5125,11377,44619,43532,88152
7GDAR,45097,41819,86924,1519,1442,2959,794,698,1489,775,697,1471,1514,1302,2814,443,423,865,813,699,1512,66,59,119,7284,7132,14415,101,90,190,4,3,4,11792,11100,22889,1463,1594,3061,263,207,464,15030,14342,29369,10733,7755,18488,70858,63916,134773
79799,45,10,52,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,10,4,19,61,14,70
79499,370,269,639,92,73,167,73,73,145,64,68,126,114,105,215,27,18,46,56,60,116,4,8,8,118,109,222,3,4,7,0,0,0,452,450,900,34,64,94,9,6,21,588,591,1185,361,290,654,1321,1151,2476
6RTAS,110212,113512,223728,4194,4645,8839,705,710,1415,672,689,1365,854,928,1790,213,192,405,454,456,912,8907,9849,18750,96,101,198,36,38,75,4,0,10,11938,12971,24911,793,738,1523,262,255,523,17187,18609,35794,12088,12135,24228,139488,144257,283747
6GHOB,83025,88501,171526,2608,2819,5430,484,541,1028,655,695,1351,600,606,1205,133,131,269,254,271,523,8391,9098,17490,90,87,171,58,68,131,0,3,3,10668,11498,22164,1116,1297,2418,248,200,449,14643,15818,30462,8971,8926,17893,106637,113251,219888
69799,32,16,47,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,10,7,13,3,0,3,0,0,0,11,7,22,4,0,9,49,21,68
69499,112,66,176,46,30,72,10,16,32,19,10,31,25,31,59,3,6,13,9,13,24,127,126,253,5,0,4,4,0,4,0,0,0,207,205,415,20,21,39,3,3,8,279,258,540,128,63,188,516,391,909
5RWAU,192985,183971,376950,14482,14968,29448,720,566,1295,668,564,1231,1466,925,2389,371,303,676,20746,19823,40570,170,147,320,333,333,663,24,28,50,19,11,33,24523,22699,47223,1989,2126,4120,1032,969,1998,42019,40768,82787,32567,25421,57991,267569,250158,517726
5GPER,715593,735620,1451214,27701,28504,56199,2060,2084,4143,1966,1925,3886,1869,1840,3712,778,709,1488,96720,99051,195778,230,282,517,568,546,1115,203,226,428,34,32,60,104444,106684,211129,17328,19090,36418,2014,1831,3846,151480,156111,307594,83758,76670,160424,950838,968404,1919237
59799,259,11,272,0,0,0,3,0,3,3,0,3,4,0,6,0,0,0,45,7,53,0,0,0,0,0,0,0,0,0,0,0,0,62,8,69,11,0,15,0,0,0,73,12,84,71,8,80,408,26,434
59499,814,434,1248,245,154,396,99,104,201,67,62,132,142,130,274,45,37,78,808,594,1395,15,15,22,32,17,52,4,7,13,0,0,0,1209,962,2166,189,195,387,44,36,84,1691,1346,3036,1020,617,1636,3518,2398,5915
4RSAU,149177,147741,296920,9143,9881,19017,458,418,874,605,567,1174,507,500,1003,9311,9612,18928,375,349,726,69,77,147,255,266,523,19,23,44,0,0,0,11605,11812,23413,768,875,1640,432,375,803,21944,22938,44879,17330,15093,32432,188459,185775,374233
4GADE,495955,520058,1016016,13283,14143,27425,1733,1866,3602,1730,1688,3421,1339,1381,2723,54723,57413,112135,760,629,1385,165,193,358,573,607,1181,265,220,483,3,8,9,61296,63996,125286,9420,10532,19953,1278,1059,2334,85275,89735,175004,45307,45098,90405,626539,654893,1281431
49799,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
