SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED10001,3,3,0,482,162,18,4,201,23,68,11,42,7,46,430,1003,15,0,4,20,4,12,0,3,8,18,21,94,1674,311,82,2760,302,1205,113,374,71,520,469,7879
SED10002,8,50,0,827,89,40,10,91,15,163,3,78,37,211,598,1343,5,0,11,3,0,8,0,3,10,36,89,177,1942,485,108,1679,243,3197,71,1494,292,2482,744,12739
SED10003,0,17,0,541,117,53,13,153,17,62,9,50,10,59,443,982,10,3,5,10,3,5,0,7,0,0,17,63,1249,627,85,2117,179,909,100,529,96,570,483,6945
SED10004,20,24,5,3364,112,17,3,97,6,63,4,25,5,44,447,827,8,0,3,3,3,3,0,0,0,3,14,41,2190,262,67,2270,414,1370,50,280,69,393,467,7837
SED10005,9,38,0,598,87,17,15,86,11,143,11,82,40,196,456,1145,13,0,8,3,4,5,0,0,18,25,67,141,1652,364,75,1556,185,2730,83,1245,292,2306,585,11073
SED10006,3,6,4,401,287,27,12,191,17,96,10,29,15,85,391,1172,24,0,9,19,3,7,0,0,10,26,28,115,1643,214,96,1867,247,1052,83,304,110,687,446,6751
SED10007,7,8,0,637,168,27,11,174,15,95,10,38,6,67,395,1003,16,0,10,10,0,8,0,0,5,18,19,94,1842,291,81,2466,305,1205,78,339,103,665,437,7811
SED10008,15,70,7,3247,228,34,14,198,14,137,7,53,9,104,635,1423,20,0,7,16,6,9,3,0,3,3,19,81,3676,462,81,3675,371,2677,95,603,121,865,668,13291
SED10009,3,14,0,229,93,37,11,126,12,61,9,51,10,82,360,847,7,3,0,4,0,0,0,3,0,13,26,53,1045,388,61,1676,147,762,61,399,73,647,405,5665
SED10010,7,26,0,788,171,20,11,96,9,115,13,44,16,135,396,1016,14,0,3,10,0,7,3,5,6,23,39,113,3112,404,107,2412,349,2885,114,701,200,1368,469,12130
SED10011,3,8,0,1006,137,33,8,186,16,84,12,23,14,67,416,987,9,0,0,11,0,3,0,0,4,17,11,65,1808,412,58,2740,301,1489,90,403,98,533,434,8365
SED10012,3,58,3,573,112,29,21,90,13,137,8,61,24,241,389,1118,11,0,9,4,0,6,0,9,5,27,62,137,1692,388,83,1416,157,2471,59,1073,193,2649,490,10685
SED10013,3,29,0,1719,248,22,15,208,30,158,18,39,19,76,470,1292,22,6,9,20,5,13,3,4,8,11,28,128,3640,368,145,4099,608,2407,121,430,128,694,529,13170
SED10014,3,14,0,669,153,14,3,128,14,131,8,48,20,146,320,984,13,0,8,7,0,11,0,0,0,25,33,97,2127,262,66,2088,252,2189,86,604,138,1160,388,9352
SED10015,7,67,0,1196,127,25,18,92,20,143,3,72,19,177,494,1193,7,0,9,10,0,9,0,0,9,19,44,112,2285,501,95,2425,307,2423,98,901,188,1636,570,11416
SED10016,11,53,4,3569,257,39,14,248,18,154,8,42,19,75,642,1506,23,0,11,18,3,11,5,0,7,9,23,102,3954,435,91,4071,343,2586,85,496,102,725,684,13575
