SED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED10001,8,0,0,0,0,0,0,0,0,18,0,23,3,0,0,0,0,4,0,3,0,4,0,15,0,3,0,0,0,7,0,6,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,8,0,16,0,24,0,56,0,8,0,8,0,18,0,27,0,37,0,108,12,11,0,15,3,34,0,32,3,60,0,174,10,26,0,45,5,105,5,58,7,68,0,328,40,37,5,149,15,182,6,50,10,69,5,568,75,34,10,295,22,168,8,47,6,63,4,732,82,31,3,289,27,148,11,23,10,30,0,651,100,27,4,280,36,107,8,28,4,24,0,626,330,63,19,573,52,154,25,30,5,28,5,1280,289,21,10,365,59,74,11,10,5,14,0,856,202,19,10,261,23,30,9,7,0,3,0,562,142,4,10,74,18,33,6,4,0,0,0,290,198,14,9,171,21,45,9,7
SED10002,0,0,0,0,0,5,0,11,4,163,0,189,0,0,0,0,0,3,0,4,0,31,0,50,0,0,0,3,0,8,0,36,0,64,3,116,0,5,0,0,0,13,0,40,7,36,0,105,0,15,0,3,0,31,0,110,8,173,0,344,0,12,4,7,0,102,0,176,32,178,4,518,5,44,3,19,0,188,0,160,26,230,8,689,11,57,10,43,5,338,9,245,38,214,5,974,53,49,10,115,14,466,12,181,19,278,7,1202,99,66,12,201,16,357,3,128,23,201,5,1121,120,30,12,144,12,323,4,79,15,153,9,889,120,34,8,152,17,242,7,42,15,101,5,750,344,44,12,299,47,430,7,87,22,172,3,1472,318,38,7,211,44,177,5,44,13,76,0,927,219,12,7,133,22,88,5,25,10,59,0,579,190,13,3,64,19,109,3,18,3,34,4,461,365,16,7,173,32,143,10,22
SED10003,0,0,0,3,0,0,0,0,0,15,0,22,3,0,0,0,0,4,0,3,0,0,0,15,0,0,0,0,0,3,0,3,0,15,0,20,0,0,0,0,0,4,0,6,0,8,0,14,3,8,3,3,0,9,0,9,0,33,0,69,4,12,0,3,0,16,3,23,3,22,0,89,16,21,4,10,0,34,3,47,4,41,0,177,16,49,0,31,3,60,7,75,3,48,3,289,27,92,5,117,12,129,7,75,16,81,4,568,64,76,3,165,16,120,11,62,11,61,3,590,55,47,8,206,24,86,13,41,6,50,4,538,87,57,8,246,13,91,11,45,5,34,0,589,236,96,13,432,39,134,20,40,14,41,6,1064,193,47,8,303,18,38,5,21,5,18,0,655,156,24,4,155,15,20,3,9,3,8,0,404,84,16,3,69,15,46,4,13,3,5,0,244,179,34,11,200,11,59,6,21
SED10004,0,0,0,0,0,0,0,3,0,16,0,23,0,0,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,10,0,4,0,12,0,0,0,0,0,4,0,9,0,10,0,30,0,3,0,3,0,3,0,14,0,10,0,32,0,3,0,4,0,18,0,9,0,23,0,62,4,11,0,4,0,28,0,13,0,21,0,86,6,12,0,22,0,38,0,23,0,35,0,141,14,22,0,48,4,44,0,21,0,38,0,196,23,23,0,52,8,57,0,21,3,25,0,208,26,5,6,56,8,81,3,22,0,27,0,231,110,36,9,190,14,195,6,26,11,44,0,627,141,34,4,235,35,82,6,21,3,22,0,581,164,18,6,252,45,47,3,12,3,14,0,580,190,13,4,157,46,319,3,19,8,13,0,778,1383,69,35,1145,251,380,14,33
SED10005,7,0,0,0,0,3,0,5,0,123,0,135,0,0,0,0,0,0,0,3,3,25,0,34,0,3,0,0,0,10,0,20,8,85,0,117,0,0,0,0,0,11,0,23,0,41,4,86,0,4,0,4,0,23,3,65,14,161,8,282,0,4,0,5,0,75,0,126,12,178,5,409,9,30,3,17,0,144,0,156,23,211,9,599,12,48,0,48,0,292,7,186,42,225,8,864,43,45,4,107,3,395,3,160,36,231,4,1033,70,47,0,155,8,374,6,120,19,210,10,1027,99,32,5,153,15,292,3,76,19,134,6,844,111,36,4,167,14,231,5,54,14,104,4,761,329,43,3,275,41,327,11,77,17,159,4,1283,264,24,10,219,32,135,13,44,10,89,3,831,209,8,4,122,21,86,5,11,8,40,0,520,150,10,4,56,9,80,0,13,3,34,0,357,254,7,8,142,19,90,8,23
SED10006,10,0,0,4,0,3,0,0,0,9,0,33,3,0,0,3,0,3,0,0,0,10,0,24,3,0,0,3,0,4,0,3,0,11,0,27,3,0,0,0,0,3,0,0,0,11,0,14,8,0,3,6,0,11,0,9,3,68,3,111,11,7,3,8,0,13,0,25,4,38,0,105,8,10,4,21,0,31,0,32,8,80,0,198,30,13,0,51,0,72,3,47,11,92,7,331,53,26,8,131,16,136,6,50,15,94,0,532,83,27,12,177,14,126,9,33,4,66,3,556,64,14,7,207,24,121,3,20,9,31,4,512,109,24,4,173,27,113,4,15,11,23,3,504,242,26,16,303,53,164,12,19,11,18,0,869,245,13,6,250,31,57,15,6,4,4,0,630,183,15,7,120,30,29,4,3,0,3,0,391,103,3,0,56,16,38,0,7,0,0,0,219,186,3,7,136,20,31,12,3
SED10007,3,0,0,0,0,0,0,0,0,16,0,28,0,0,0,0,0,0,0,0,0,7,0,14,0,4,0,0,0,0,0,3,0,8,0,19,0,0,0,0,0,0,0,0,0,7,0,13,0,3,0,4,0,7,0,9,3,44,0,70,0,3,0,6,0,15,0,15,3,41,0,90,13,14,3,7,0,23,0,27,6,96,0,187,8,14,4,41,3,77,3,52,8,72,3,291,27,31,5,97,15,134,7,44,14,102,3,478,68,32,3,238,25,154,4,37,8,48,3,629,75,29,10,217,25,138,6,27,12,45,3,583,92,30,3,229,21,120,9,20,5,28,0,566,295,46,10,506,45,216,9,30,9,25,5,1199,312,24,20,381,54,77,7,11,5,15,0,913,272,11,9,241,35,23,10,7,0,12,0,616,193,10,4,95,27,49,3,5,3,4,0,394,292,6,4,210,32,69,5,6
SED10008,6,0,0,6,0,3,0,3,4,32,0,48,5,0,0,0,0,5,0,0,0,8,0,17,0,0,0,3,0,0,0,8,0,19,0,28,0,0,0,3,0,0,0,14,0,4,0,22,0,4,0,0,0,7,0,5,0,20,0,37,0,0,0,6,0,16,0,29,5,24,0,89,6,15,0,4,0,44,3,31,0,44,0,159,7,21,0,31,0,88,3,35,10,53,0,250,22,44,3,70,7,151,4,44,9,65,0,418,42,40,0,127,13,158,5,54,12,67,0,520,62,42,3,158,11,193,4,39,4,61,0,592,99,37,3,200,7,207,3,40,5,45,0,647,361,66,10,474,38,541,18,68,18,97,0,1696,433,37,8,631,59,199,8,41,9,74,4,1505,505,41,13,506,53,132,10,30,5,49,3,1338,447,25,5,231,51,344,7,27,9,28,3,1177,1445,56,18,1008,115,438,20,61
SED10009,3,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,3,0,3,0,3,0,13,0,0,0,4,0,0,0,3,0,8,0,17,0,0,0,0,0,3,0,7,0,4,0,12,3,3,0,9,0,7,0,14,0,31,0,62,4,6,0,10,0,12,0,21,3,34,0,98,7,20,0,13,0,28,0,43,7,66,0,184,10,28,8,36,8,63,5,59,10,63,5,287,40,59,3,140,6,135,10,58,12,110,5,563,58,78,6,224,14,120,10,48,6,71,5,647,65,47,3,189,14,78,3,19,4,42,0,470,84,31,7,208,18,80,10,17,4,32,0,501,229,42,12,308,32,101,5,28,7,43,0,806,156,12,4,191,25,37,8,13,0,13,0,467,109,8,3,89,11,12,0,4,0,11,0,253,61,0,0,41,7,13,0,0,5,3,0,133,92,14,3,72,8,15,3,11
SED10010,4,0,0,0,0,3,0,3,0,71,0,80,0,0,0,0,0,6,0,3,0,15,0,27,0,0,0,4,0,0,0,11,3,29,0,45,0,0,0,0,0,5,0,12,0,19,3,41,0,0,0,5,0,14,4,32,6,65,0,126,4,3,0,5,0,51,0,46,12,52,3,181,3,16,3,9,3,103,0,56,11,114,4,312,7,32,8,48,0,235,3,95,21,111,7,570,30,60,9,120,7,438,13,108,31,127,3,944,82,60,11,229,27,350,15,72,24,135,3,997,130,42,6,275,28,326,13,51,19,113,3,995,221,32,10,283,24,278,17,48,16,92,3,1035,673,59,14,555,76,470,20,59,23,119,6,2065,609,36,13,372,65,192,11,24,6,60,0,1389,446,24,10,189,51,86,4,21,6,47,0,889,267,10,7,80,25,97,0,3,9,14,0,513,448,15,7,143,32,97,3,7
